Speaker,Original Witch Hunt (OG)
Ushiromiya Natsuhi,"""......Father..., it's Natsuhi. Good morning..."""
Ushiromiya Eva,"""There's no way he'll wake up if you do it like that! Father, it's Eva! Please wake up! It's an emergency!!"""
,Eva pushed Natsuhi aside and knocked repeatedly with all her strength.
Ushiromiya Natsuhi,"""Q, quiet down...!! You're being too boisterous...!"""
Ushiromiya Eva,"""Is now really the time to be saying something like that?!?!"""
Furudo Erika,"""............So he isn't picking up the phone, and he isn't responding to knocking either? That's troublesome."""
Nanjo Terumasa,"""...H, ...he might be in a bad mood again... Kinzo-san sometimes considers even the slightest change to be an omen and gets into a bad mood for reasons only he can understand..."""
Kumasawa Chiyo,"""Hoh, ......hohoho... Yes, that's true... This isn't something that's started today..."""
Ushiromiya Battler,"""Is that how badly Grandfather wants to shut himself away in the study?"""
Shannon,"""......Yes. ......It's not uncommon for him to stay in his study for more than a month at a time..."""
Gohda Toshiro,"""......Don't tell anyone, ......but even though I work here, I sometimes forget that the Master even lives here..."""
Ushiromiya Natsuhi,"""Gohda. That's not the sort of thing a servant should be saying!!"""
Gohda Toshiro,"""M, my apologies, Madam..., I am truly sorry......"""
Ushiromiya Hideyoshi,"""Anyway, ...isn't it bad that we can't get in contact with him? In the worst case, Father might not even know that there was a crime! Right?!"""
Kanon,"""......W, well, I wonder........."""
,"Keenly noticing that people were starting to doubt Kinzo's existence, Kanon mumbled his words..."
Ushiromiya Kyrie,"""............Who was the last person to meet Father...? ......And when?"""
Ushiromiya Natsuhi,"""I, ...it was me. Last night, ......up until the time of the uproar from when Battler found the gold, I was in Father's study, giving the daily report."""
Furudo Erika,""".........So around 23:00 last night."""
Ushiromiya Rudolf,"""......No way around it. Let's open it up."""
Ushiromiya Natsuhi,"""Wh, what did you say...?! This is the family head's precious study and research room! No one is permitted to trespass without permission, okay?!"""
Ushiromiya Eva,"""Who here holds the highest rank? Me, right?! I am the third in rank of the Ushiromiya family! If we open it and get scolded by Father, that is also a responsibility to be taken up by the highest ranked. Because of the urgent circumstances, we'll open this door. You have a key, right? Open it."""
Kanon,"""I, ......I believe you know this, but the study door cannot be opened with the master key."""
Shannon,"""Umm, ......the Master has recently taken away Genji-sama's key as well, so he has both keys on his person. ......Therefore, umm......"""
Ushiromiya Battler,""".........So, both of the keys that can open this door are inside the study."""
Furudo Erika,"""A closed room. .........<Good>. It's finally starting to get a little interesting. ......It'd be pretty neat if Kinzo-san was lying on the bed in there with his throat cut."""
Ushiromiya Natsuhi,"""That is too imprudent, Erika-san!! A, ......anyway, as you know, this door can only be opened by the keys that Father has."""
Ushiromiya Natsuhi,"""......That means it's impossible for anyone, even a murderer, to even touch Father from outside the room! So Father must be alright...!!"""
Ushiromiya Eva,"""Still, that doesn't mean we don't have to worry about checking to see that he's safe. Are you really so unconcerned about confirming the safety of the Father you respect so much......?"""
