Speaker,Original Witch Hunt (OG)
,"The marriage ceremony ended without any problems, and the reception was held inside the cathedral..."
," As the goat demons partied raucously, Dlanor could be seen leaning against a pillar, trying to escape from the noise."
," Then, Gertrude appeared and whispered some kind of report to her."
Dlanor,""".........Is that TRUE?"""
Gertrude,"""Allow me to speak. Aide Cornelia is currently heading towards the scene. ......I suggest that Lady Erika be contacted as well."""
Dlanor,"""UNDERSTOOD. I will tell HER. ......Gertrude, contact the head of ceremony SECURITY. ......Prepare for BATTLE."""
Gertrude,"""As you wish."""
Chiester00,"""I apologize for interrupting your chat. I am in charge of security for this ceremony."""
{f:5:Lambdadelta},"""Huh? For me?! Oh, what's going on?"""
{f:5:Bernkastel},"""......I already said you were going too far. Champagne Tower Bowling was always a bad idea. Time for a scolding. *giggle*giggle*......"""
{f:5:Lambdadelta},"""Hey, Beeeeeeern!! Hey, what's going on, did I do something wrong?!"""
Chiester00,"""The reception desk has received an envelope from an unknown sender addressed to Lady Lambdadelta."""
{f:5:Lambdadelta},"""I always ignore anonymous calls and letters. Just throw it away."""
Chiester00,"""But, ......please look at this..."""
{f:5:Lambdadelta},"""............What's that? ......Did you tell anyone you've received this...?"""
Chiester00,"""No, only the two Sisters at the reception desk and I know. They have already been ordered to keep silent."""
,"The instant she saw that envelope, Lambdadelta snatched it away and lowered her voice."
,......Bernkastel had walked away and was apparently making fun of Erika.
," Bern--and of course, Erika--were both drunk. If they were left alone, they'd probably forget about this."
, It's true that this envelope has no sender written on it.
,"......However, the seal done on it in gold leaf... fulfills the same purpose."
,......This seal is......
," Lambdadelta hid behind a pillar, ripped the envelope open, took out its contents, and read them."
," Her eyes instantly started to glint, .........and she smiled like a kid who's just thought of a nasty trick..."
Chiester00,"""......What is to be done? The sniper team is carrying red warheads. If you give your permission, I will give the order to load them."""
{f:5:Lambdadelta},"""..................What are you talking about? Do you realize how important these guests are? If a stray bullet hits one of these attendants, all the new Siesta Sisters will be sent straight from the factory to the guillotine for the next ten years."""
Chiester00,"""Understood. We will intercept with regular warheads. Shall we post lookouts around the Seven Sisters of Purgatory?"""
{f:5:Lambdadelta},"""Why would we need those? After all, the Seven Stakes are Battler's...and now Erika's furniture. Why would we post lookouts around our allies? Just make sure security is nice and tight."""
Chiester00,"""Just now, we received a recommendation from Assistant Inquisitor Gertrude suggesting that we make preparations for battle. Her reasons are unknown."""
{f:5:Lambdadelta},"""From Gertrude? .........Heheh. Then follow that recommendation. A party's more fun once you liven things up...!"""
Chiester00,"""Understood. .........00 calling Siesta 17, Siesta 38, Siesta 45, Code R, be on your guards. Transmitting level 2 alert."""
,"""17, copy."" "
,"""38, copy."" "
Chiester45,"""45, understood...!"""
Chiester410,"""It'd have been so much cooler if you'd said 'copy' nyeh."""
Chiester45,"""Ah, I just got nervous...!"""
Chiester410,"""Ah, right. 45, come over here a second."""
Chiester45,"""Wh, ...what is it? H, hey, we're working now...! Stop, don't play with my ears...!"""
Chiester410,"""Your ears. Better fold them down nyeh."""
Furudo Erika,""".........What did you say...?! You're kidding, right? That's impossible...!"""
Dlanor,"""Cornelia is heading there NOW. ......The odds of Beatrice attacking here are extremely HIGH. I recommend suspending the reception and EVACUATING."""
{f:5:Bernkastel},"""What's going on, Erika......? Something go wrong with the entertainment...?"""
Furudo Erika,"""N, no, my master...! Please continue to enjoy the reception. ......Hey, someone? Let's get Lady Bernkastel some more dried plum wine...!"""
,Erika didn't have time to hide her agitation.
," When Bernkastel saw this, ......she knew that their final, late guest had finally arrived."
Asmodeus,"""Luci-nee. I hear there's been some movement in the guesthouse."""
Lucifer,"""......The guesthouse? Who cares about the game board now?"""
Beelzebub,"""Well... ...They're saying that Kanon-kun disappeared from the cousins' room..."""
Satan,"""What?! Are you a moron? The cousins' room is a perfect closed room, with the door and all the windows perfectly sealed. It's impossible for him to escape...!"""
Belphegor,"""No, I've been snooping about as well. ......There's no mistake. Kanon has disappeared from the cousins' room."""
Mammon,"""......He's probably hiding somewhere in the cousins' room. Or else, he's managed to trick everyone since the beginning...and was never in that room to begin with."""
Leviathan,"""That's impossible. It's been guaranteed that 'everyone' is in the cousins' room except the specific names Lady Erika read aloud back then. It's impossible for him to trick his way out of there."""
Lucifer,"""......How did he get past the Jungfrau seal barrier...? No, first off, where on earth is Kanon? Find him at once...!"""
,"At that moment, the cathedral suddenly went black."
, The surprised commotion of the guests filled the cathedral...
{f:5:Lambdadelta},""".........She's here."""
Chiester00,"""00 calling <All Siestas>. Code R Alert! Siesta 17, can you repair the electrical systems?"""
,"""Negative. Communications with the management staff have been severed."""
Chiester00,"""<All Siestas, Code Red>! <Rock 'n' Roll>!!"""
Chiester410,"""Copy"""
,"""Copy"""
,"""Copy"""
Chiester45,"""U, understood. Ah! I mean copy!"""
,The sniper teams in the chandeliers all released their safeties at once. The entire security team down in the hall loaded their ammunition.
Dlanor,"""......Lady Erika, let us evacuate to the waiting ROOM. It is dangerous HERE."""
Furudo Erika,"""What's dangerous?! I'm the territory lord of this world! Why should I have to run away in fear?!"""
Dlanor,"""Gertrude, set up a VIP guard BARRIER. Call Cornelia back here at ONCE."""
Gertrude,"""Yes, executing."""
Furudo Erika,"""A barrier?! I need to be wrapped in one of your pitiful, pathetic barriers while I'm wearing a wedding dress?! How insulting!!"""
,"This disturbance made even Battler groan, as he sat in the next seat like a doll..."
Ushiromiya Battler,""".........Uuu........."""
,"Even with his soul sealed, Battler probably realized that something strange was going on..."
{f:5:Bernkastel},"""She's late. Right, Lambda?"""
{f:5:Lambdadelta},"""Totally. She sure kept us waiting."""
{f:5:Bernkastel},"""What was that just now? A love letter from someone...?"""
{f:5:Lambdadelta},"""A fan letter. From the Lambda-chan Fan Club."""
,Lambdadelta played dumb and munched some popcorn.
," Then, the lights finally turned on..."
," It was clear that during that blackout, ......Beatrice had snuck in somewhere nearby, possibly even inside the cathedral itself."
, The whispering goat attendants all realized it as well.
, Whose scheme was this...and what were they doing?
,"......Though it may have been imprudent, they were looking forward to this, and an excited chatter filled the cathedral..."
Gaap,"""Looks like she came."""
{f:5:Virgilia},"""G, Gaap...! They let you come back too...?!"""
Gaap,"""Come on, putting me in a jail is meaningless."""
Ronove,"""True! Pu ku ku ku."""
Gaap,"""......But Riiche. .........Battler's closed room, the cousins' room, ......and even the final possibility, the next room over, have all been sealed... ......How are you planning to save Battler...?!"""
Ronove,"""Let us suppose that Milady has found some trick X. If so, she would inevitably have to march in here to thrust that in Lady Erika's face..."""
{f:5:Virgilia},"""But...against all of these Siesta troops... ......I can't believe this many of them were hiding here...! It's impossible... She'll be sewn to death...!"""
,Rabbit ears dashed all about the hall.
,......Incredible that she could remain hidden and unnoticed with so many people around...
Gaap,"""......If she can just get close enough to challenge Erika, ......she should be able to get herself an even fight."""
Ronove,"""I see, that move. .........However, does Milady have that item with her? ......She always complains, and dislikes it when I prepare them for her. ......My, my. She's a troublesome one to the end."""
,"Amid the crowd, Ronove took something out and showed it."
,"......When Virgilia saw, she understood what 'that' in his hand meant..."
," True, with 'that', ......it should be possible to stop the attacks from the Siesta troops......"
Gaap,"""Well, if it doesn't work on Erika, we're through. The problem is getting her right in front of Erika, if only for a second. ......The Siestas will probably prevent that with all they have. ......Lia, ......do you think you could give her that time...?"""
,Virgilia gave a small nod.
," However, the problem was the two Siesta troops standing at her back."
,"......Since that time she had tried to jump out in front of the procession, she had been marked constantly..."
," It was possible, with Virgilia's vast magical power, to momentarily take out all of the Siesta troops in the cathedral."
," That would only gain a short bit of time, but it would be enough to confront Erika."
,"......The Siesta troops knew this, so they kept a close eye on Virgilia with tense faces."
," At that moment, ......the great cathedral door was blasted to bits."
, The fragments became bright gold butterflies... which danced across the room in a beautiful blizzard of gold leaf......
, That golden storm......slowly faded away...
," Then, ......at the entrance to that red-carpeted path to the grave.........stood a calm, majestic figure......"
Dlanor,"""Guards, shoot to KILL...!!"""
Chiester00,"""Negative, conducting identity comparison."""
,"Dlanor ordered the guards to shoot the intruder right away, but Siesta 00 didn't respond."
, Was it because she had been threatened about shooting these guests...and was afraid of the consequences of possibly shooting a drunk guest pulling some sort of prank? 
,No. 00 was just cooly and calmly carrying out her duties.
Furudo Erika,"""......Oh, what a surprise... You know, I thought you weren't going to make it."""
{f:5:Beatrice},"""............"""
,The pair faced each other from either end of the long red carpet.
," However, in between them stood several dozen Siesta honor guards..."
Furudo Erika,"""It took you quite some time to come here, most honored guest!! You had us all quite worried! But I am glad you managed to make it to the reception at least......!!"""
{f:5:Beatrice},""".........Heh, ......heheheheheheheheheheheheh..."""
,Beato......laughed......
, That chuckle.........made Battler's eyes quiver slightly.
Ushiromiya Battler,"""Y, ......you............"""
{f:5:Beatrice},"""......Did I keep you waiting? Furudo Erikaaa?! ......I'm here to celebraaaaaate...!"""
,"She had an overpowering and evil presence about her, ......strong enough to make anyone shiver."
, Was it still necessary for her identity to be confirmed? Who else could possess such an overwhelming presence?
Furudo Erika,"""B, ......Beaaaaaaaatrriiiiiiiiiiiiice!!!"""
{f:5:Beatrice},"""'Let us meet again in hell' is a favorite parting line of mine, but-"""
Chiester00,"""Identity confirmed. It is the great Lady Beatrice!!"""
{f:5:Beatrice},"""This time, it really is true, Furudo Erikaaaaaaaaaaaaaaaaaaaaaaaa!!!"""
,"At that moment, the two Siesta troops standing behind Virgilia slumped over and fell to the floor."
,......Ronove had touched the bases of their big ears from behind.
, It was clear that he had applied some sort of magic.
Ronove,"""Someone find a doctor. These girls seem to be ill."""
Chiester00,"""<All Siestas, open fiiiiiiiiiiire>!!"""
{f:5:Virgilia},"""Beato, now!!"""
,"Just an instant before the Siesta troops could fire, Virgilia raised her arms to the heavens."
," Her magical power, which was more than enough to remind all present what her name had been at the height of her strength, became a spirit wave and exploded throughout the cathedral."
," That impact made the stained glass windows shatter, and colorful glass shards poured down everywhere."
Chiester00,"""S, spirit particle warfare defenses!! Hurry on reboot!!"""
,"However, all of the Siesta honor guards, who didn't have spirit particle defenses, toppled over like dolls."
," The ceiling snipers, who were defended, were able to avoid a system down, but it would take several minutes before the system could be rebooted."
,.........That span of time......should have been enough to reach Erika...
