Speaker,Original Witch Hunt (OG)
Ushiromiya Lion,"""I've brought Willard-san."""
Willard H. Wright,"""............"""
,Kinzo and Genji could be seen in the VIP room.
," Kinzo was sitting back in a chair, his eyes closed as though in a troubled sleep."
Ronoue Genji,"""......Master. The guest has come to see you."""
Ushiromiya Kinzo,"""............Nn."""
,Kinzo slowly opened his eyes.......Those eyes were red from crying.
, They regained their focus and slowly fell on Will.
Ushiromiya Kinzo,"""......I am...Ushiromiya Kinzo."""
Ushiromiya Lion,"""......Will."""
Willard H. Wright,"""I'm Willard. Allow me to express my condolences."""
Ushiromiya Kinzo,"""......So, you've come to visit Beatrice's funeral. ......Just who are you?"""
Willard H. Wright,"""I'm no one. I have no connections with anyone. Don't think too deeply about it. You'll just get a headache. ......Ow."""
Ushiromiya Lion,"""I ask that you choose your words a little more carefully. (*smile*)"""
Ushiromiya Kinzo,"""......Hmph, what a strange guest. So? What business do you have with me?"""
Willard H. Wright,"""I want to ask about Beatrice."""
Ushiromiya Kinzo,"""What.........?"""
,Kinzo's gaze grew sharp.
, Lion felt a bit lightheaded and wondered why this guy had to be so direct.
Ushiromiya Kinzo,"""Why do you ask? I thought you were no one. Why do you want to know about Beatrice? What is your purpose?"""
Willard H. Wright,"""Because I am no one, I can listen to your tale openly and record it. You will probably leave this world before too long. If you die without telling anything about Beatrice, your children will adorn Beatrice with whatever tale they like, and write that into their memories."""
Ushiromiya Kinzo,"""Pft, hahahahahahahahahaha! You entertain me, boy. You think you can write my will for me?!"""
Ushiromiya Kinzo,"""But that is none of your business. Beatrice is mine alone. No matter what anyone says, no one can defile me and that tale. What they say is of no consequence! No matter how Krauss and the others misconstrue it, it will not be painful or vexing for me."""
Ronoue Genji,"""......Willard-sama. The Master does not like wills. He is not one to abandon anything while he still lives."""
Willard H. Wright,"""......Probably true. I thought it sounded a bit unlike you."""
Ushiromiya Kinzo,"""The ability to struggle on as long as we have life is what makes us human! You think I would give up so soon and leave behind a will? How laughably absurd!"""
Willard H. Wright,"""Yes, that does sound a bit more like you. ......It's not your style to ask someone to write about the past just because you feel you might die soon."""
Ushiromiya Lion,"""......We know how deeply you loved Beatrice-sama. You are the model most worthy of respect that any of us know, and an example for us to follow in every aspect of our lives. "
Ushiromiya Lion,"Please guide our wandering souls and tell us just how much you loved her, Grandfather. How you were able to live so strongly because of her love. ......Can I not ask for you to guide us by showing us the strength of that love...?"""
Willard H. Wright,"""You're pretty good at this."""
Ushiromiya Lion,"""It's your fault for being so tactless."""
Ushiromiya Kinzo,"""Boy. What do you know of Beatrice? A truly ignorant person would not hold any interest at all. The mere fact that you know Beatrice's name shows that you are neither ignorant nor unconnected."""
Willard H. Wright,"""Good point. ......The Beatrice I know of is the woman you loved, the one you met before the mansion on Rokkenjima was even built. However, she probably departed from this world, leaving behind a daughter. That is the girl who was raised in Kuwadorian."""
Ushiromiya Kinzo,"""......Oho."""
Ronoue Genji,"""Willard-sama. There is no building known as Kuwadorian on Rokkenjima."""
Ushiromiya Lion,"""......That name, Kuwadorian... ...You mentioned it when we were talking with Rosa oba-san too. ......What in the world does it mean?"""
Willard H. Wright,"""You should have an idea by now. It's the name of the hidden mansion deep in the forest where his mistress's daughter lived."""
Ushiromiya Kinzo,"""Interesting. ......So, you actually know the name of Kuwadorian. ......Continue. You have sparked my interest."""
,Kinzo shrugged and grinned......
Willard H. Wright,"""The one living in Kuwadorian was probably Beatrice's daughter. However, it seems that you didn't think of her that way."""
Ushiromiya Kinzo,"""Oho. ......Then how did I think of her?"""
Willard H. Wright,"""When Ushiromiya Rosa went to Kuwadorian, Beatrice told her a little about herself. ......In that conversation, she referred to you as Kinzo. It was the same when she spoke to you directly."
Willard H. Wright," Though she said that she thought of you as a father, she didn't call you Father. ......She either didn't call you that, or she wasn't allowed to call you that. That can only mean one thing."""
Ushiromiya Kinzo,"""And what might that be......?"""
Willard H. Wright,"""Reincarnation. You didn't think of your daughter as a child Beatrice left behind. You believed that the dead Beatrice had revived into a new body. ......Genji. Once in the past, you spoke in front of Natsuhi and several other family members, stating that there had never been a child between Kinzo and Beatrice."""
Ronoue Genji,"""......I have no memory of saying this."""
,"Of course, 'this game's' Genji probably wouldn't remember that."
," However, near the end of the first game, when the survivors had all gathered in Kinzo's study..."
," Genji was asked whether Kinzo and Beatrice ever had a child together, and he denied it, saying 'I have not heard of anything like that'."
Willard H. Wright,"""That may have been a lie, but in a way, it was a perfect sort of answer for one of Kinzo's confidants. ......After all, in Kinzo's eyes, she wasn't a daughter, but Beatrice reborn."""
Ushiromiya Lion,"""Will...! I don't know what you're talking about, but I will not let you slander the family head!"""
Willard H. Wright,"""This isn't slander. It's reasoning. ......However, I understand the heart. In your eyes, Beatrice was the woman you loved most. She remained that way even after death, for all eternity, and without fading in the slightest. I doubt you thought of her as Beatrice reborn at the moment of her birth."""
Willard H. Wright,"""However, it would not be strange if you slowly began to wonder whether that child, whose blue eyes and beautiful blonde hair reminded you of a younger Beatrice, might actually be Beatrice reborn."""
Ronoue Genji,"""............Master. Shall I...?"""
,Shall I drag this rude child out? Genji asked Kinzo.
," For a while, Kinzo hung his head in silence, as though remembering something from his own past."
Willard H. Wright,"""Your daughter grew to be beautiful, and nearly identical to her mother. You must have been ecstatic. However, it's doubtful that you were fully satisfied by this. ......After all, though she was Beatrice reborn to you, she didn't feel that way herself."""
Ushiromiya Kinzo,"""......How can you know that?"""
Willard H. Wright,"""Whenever she was called Beatrice, she got this feeling she couldn't shake away, a feeling like something was out of place. ......People never feel anything out of place about the name they were given at the time of their birth. However, she did have that feeling. That must mean that she was aware that the name Beatrice was not hers."""
,"In Kuwadorian, she asked both Kinzo and Rosa about who she was."
{f:5:Beatrice},"'Who am I? ......Everyone calls me Beatrice. ...And that does indeed seem to be the name of a great witch, as you say."
{f:5:Beatrice},......But that isn't me. I cannot use any magic. ......I simply have the soul of that witch sealed inside my body.'
Ushiromiya Kinzo,"""............Her memory... would have returned. ......She must have been Beatrice reborn. ......Her memory was coming back bit by bit. My magical ceremonies were helping her regain her memories one little bit at a time......"""
Ushiromiya Lion,"""H, ......Head-sama......"""
Willard H. Wright,"""There's no need to be surprised. If you line up the information in all the games so far, this is the answer it leads you to. ......The high-level Beatrice talked about this. By metaphor, she said that Kinzo refused to let the witch's soul escape even after death, and instead caught it and locked it up in a body of flesh. She also said that her power and memory had been sealed. If you match that interpretation of hers to this theory, it all makes sense."""
Ronoue Genji,""".........Willard-sama. Thanks to a powerful magical ceremony, the Master gained a reborn child of the dead Beatrice-sama. That cannot be denied."""
Willard H. Wright,"""I won't contradict the stork. And I don't intend to doubt the depths of Kinzo's love for this woman called Beatrice. ......How a man shows his affection for a child who is the only living reminder of her mother is no one's business. If she grew to look more and more like Beatrice, and Kinzo's love gave rise to a new, special emotion, I find that a very human reaction."""
Ushiromiya Kinzo,""".........You think......you can understand my love...?"""
Willard H. Wright,"""I'm not qualified to understand it. However, I'm also not qualified to deny it."""
Ushiromiya Kinzo,"""............Oooh, ......Beatrice.........Please, ...forgive me......"""
,"Kinzo sobbed quietly for a while, wiping away his tears..."
," Because of love, he believed she was Beatrice reborn, and had raised her that way."
