Speaker,Original Witch Hunt (OG)
Ushiromiya Ange,"""The day after Christmas isn't Christmas. It couldn't happen."""
Ushiromiya Kinzo,"""Heheheh. Too bad. Wrong."""
Ushiromiya Ange,"""Huh? Why...?!"""
Ushiromiya Eva,"""Ange-chan, what time of day does a new day start?"""
Ushiromiya Ange,"""Midnight, at 12:00 AM."""
Ushiromiya Eva,"""There you go. Isn't it nighttime at midnight?"""
Ushiromiya Ange,"""......Ah."""
,I see. The first night was just after midnight on December 25th.
," In other words, the time right after the previous day ended and Christmas began."
," That would indeed be Christmas Day, and it would be at night."
Ushiromiya Ange,"""And then, the morning of the 25th would come, and when the sun sank again, that would be nighttime on the 25th again......"""
Ushiromiya Eva,"""Exactly! You figured it out."""
Ushiromiya Kinzo,"""Hohoho! If only you had figured it out a little faster."""
,Grandfather laughed like Santa Claus.
," Eva oba-san asked him to count it as a right answer, since I figured it out in the end, but Grandfather shook his head."
Ushiromiya Eva,"""Come on...! Don't be such a stingy Grandpa."""
Ushiromiya Ange,"""Still, now I've figured out how to do it. I'll get the next one right."""
Ushiromiya Kinzo,"""Yes, yes. That's the spirit. That's my granddaughter for you."""
Ushiromiya Ange,"""Thank you, Grandpa! I'm really ready now. I'll start getting a lot of them right!"""
Ushiromiya Kinzo,"""Yes. Give it your all. I have a truly splendid present waiting for you."""
,"After bowing to Grandfather, I hurried off with Eva oba-san to where everyone else was gathered."
Ushiromiya Ange,"""Oh, I see. It is possible...!"""
Ushiromiya Eva,"""Yep, that's right. After all, there are two nights in every day."""
Ushiromiya Ange,"""Right! December 25th starts at 12:00 midnight. Midnight is during the night, so that's the first night. Then, morning comes, and when night falls again, it's still the same day until midnight!"""
Ushiromiya Eva,"""Exactly. And both of those nights are nights on Christmas Day."""
Ushiromiya Ange,"""Eheheheheh. Am I awesome? Am I awesome...?!"""
,"With a delighted smile, Eva oba-san patted my head vigorously."
Ushiromiya Kinzo,"""Wahahaha! Well done, Ange. I tried to make it a hard question, but you solved it like it was nothing."""
Ronoue Genji,"""Congratulations, Ange-sama. ......Here is a medal for getting the first question right."""
,"Genji-san held out a gold-colored medal. Grandfather smiled at me, urging me to take it."
Ushiromiya Ange,"""Th, thank you!"""
Ushiromiya Kinzo,"""Keep up the pace. Well now, that is all for my puzzle. Head over there and ask whomever you choose for a quiz."""
,"It was a heavy, gold-colored medal."
," If I get a lot of these right, my pocket might burst."
, I'm gonna get so many that I can brag about it to everyone! 
,"After bowing to Grandfather, I hurried off with Eva oba-san to where everyone else was gathered."
, Kinzo watched Ange go  a warm gaze.
Ushiromiya Kinzo,"""Did I make it a bit too easy...?"""
Ronoue Genji,"""No. I think it was just right."""
Ushiromiya Kinzo,""".........Genji. Have I...managed to act the part of a good grandpa...?"""
Ronoue Genji,"""Of course."""
Ushiromiya Kinzo,"""Ange is young. And, she frequently grows sick and is unable to come to Rokkenjima. ......She probably won't...remember me well."""
,Young children have their own kind of cruelty.
, They think of kindness as something they will naturally receive.
," And because they think of kindness as only natural, ......they forget about it quickly."
Ronoue Genji,"""......It is no different from gratitude to one's parents. It will probably take Ange-sama many years before she understands."""
Ushiromiya Kinzo,"""Do you think......that she will eventually remember that I was a fun grandpa?"""
Ronoue Genji,"""......Yes. I am certain of it."""
Ushiromiya Kinzo,""".................."""
,Kinzo's expression grew slightly darker.
,"......Eventually, even Ange will get older, and she will probably hear how the public at large regards Ushiromiya Kinzo."
, The Ushiromiya Kinzo known by the public is completely different from the Kinzo who plays with his grandchildren.
," When she learns, ......will Ange remember the face of Kinzo the tyrant, known of by the world, ...or that gently smiling face?"
Ushiromiya Kinzo,"""......If possible, I would hope for her to remember my smile, ......but such a thing is probably too much to ask for."""
Ronoue Genji,"""............"""
{f:5:Beatrice},"""There's no way around it. That's what children are."""
Ushiromiya Kinzo,"""Oh, it's you."""
{f:5:Beatrice},"""Children just eat up kindness, and it never remains in their memories. By the time 12 years have passed, she will surely learn what a bizarre eccentric Ushiromiya Kinzo was. Your smile is fated to be painted over by that and forgotten."""
Ushiromiya Kinzo,"""......Most probably. No matter how much I spoil her, my love will not be rewarded."""
{f:5:Beatrice},"""However, just as it takes a long time to remember what you owe your parents, ......Ange will surely remember someday. ......She will remember the smiles you showed her."""
Ushiromiya Kinzo,"""Hmph...... Let her forget. One smile from her is the greatest parting gift I could ever take with me, when my time comes. This is...the essence of unrewarded love."""
{f:5:Beatrice},"""I guess grandfathers are always unrewarded."""
Ushiromiya Kinzo,"""Oh, but I have been rewarded. With Ange's smile just now to look back upon, I could happily pass on in my sleep tonight. Wahhahahahahahahaha......"""
,"With a lonely laugh, Kinzo spun around, setting his cape fluttering."
, This was all the love he could offer Ange as a grandfather.
," Part of him wanted to be remembered, but he knew he mustn't wish for that."
, That was...how unrewarded love worked.
," After looking at Kinzo's back, Beato stared at Ange's back again."
{f:5:Beatrice},""".........Ange. ......Even so, please remember it someday. ......Remember the smile...that Kinzo once showed you."""
,"Okay, whose quiz should I take next? "
,"I'm gonna challenge more and more people, get more and more medals for getting them right, and get a wonderful present to show everyone."
, Krauss oji-san and Natsuhi oba-san are over there.
, They're looking this way and smiling. I'm sure they've thought up some interesting puzzles.
," There's Hideyoshi oji-san, beckoning for me to come over."
," He's a fun uncle, so I'm sure he's thought up a fun question."
," Mom and Dad are across from him. They're waving at me, telling me to have lots of fun."
,......Dad probably knows a lot of really hard questions. He might be tough.
," Over there is Rosa oba-san and Maria onee-chan. It looks like they're reading a quiz book together, searching for a problem."
," Every now and then, Maria onee-chan glances over at me, saying 'kihihihihi'."
," She can be mean sometimes, so I'm sure her puzzle won't be a nice one."
," Beyond them are Battler onii-chan, George onii-chan, and Jessica onee-chan."
,"......Battler onii-chan is usually nice, but he sometimes says really mean things, and I think he likes seeing me get confused."
,......I get the feeling... that he'll give me a really tough problem.
, Is there anyone who looks like they won't be mean? 
,"If I can, I'd like to start with some easy puzzles to warm me up."
, All the way over there are Genji-san and Doctor Nanjo. I don't think those two will be mean to me.
, And then there's Shannon and Kanon.
, Shannon knows about a lot of quizzes and fairy tales. I'm sure she'll give me something unique.
," Then, we have Gohda-san and Kumasawa-san, who are serving tea."
, Kumasawa-san might be tough. ......I kinda think she'll give me a really confusing problem.
,......It looks like everyone might be pretty tough. Hmmmmm......
Ushiromiya Hideyoshi,"""Ange-chan. I've got a good one for ya...! Over here!"""
,Hideyoshi oji-san is calling for me.......What should I do? Should I go?
Ushiromiya Eva,"""Do you want to try Hideyoshi oji-san?"""
Ushiromiya Ange,"""Yeah. The order doesn't matter. After all, I'm gonna challenge everyone."""
,I rolled up my sleeves and headed towards Hideyoshi oji-san.
Ushiromiya Hideyoshi,"""Wahahahahahaha, here you are. Mine's a tricky one, okay?"""
Ushiromiya Eva,"""I wonder what sort of question you'll give her. Don't make it too hard, okay?"""
Ushiromiya Ange,"""It's okay if it's hard. I'll solve it."""
Ushiromiya Hideyoshi,"""Oooh, looking pretty confident there...! Okay, here it comes!"""
,"After clearing his throat, Hideyoshi oji-san started telling his question..."
Ushiromiya Hideyoshi,"""Mine's a riddle. Listen closely, now. You know the story of Momotarou, right?"""
Ushiromiya Ange,"""The boy who floated down a river in a peach?"""
Ushiromiya Hideyoshi,"""That's right. But you know, one day, an apple floated down that river."""
Ushiromiya Ange,"""An apple??"""
Ushiromiya Hideyoshi,"""Yep! And the next day, a butternut squash floated down it!"""
Ushiromiya Ange,"""I hate butternut squash."""
Ushiromiya Hideyoshi,"""And then, the next day, some cabbage floated down it! And the next day, a dill pickle did. And the next day, an eggplant floated by. And the day after that, a fig did!"""
Ushiromiya Eva,"""*giggle*. What a strange tale. Did a greengrocer live upstream, or something?"""
Ushiromiya Hideyoshi,"""Okay, here's the question. What floated down the river the next day?!"""
Ushiromiya Ange,"""Huh...?!"""
Ushiromiya Eva,"""I've got it. Do you get it, Ange-chan?"""
Ushiromiya Ange,"""I don't get it."""
Ushiromiya Eva,"""Then I'll give you a hint. There's a pattern to the things that float down the river. Can you guess what the pattern is?"""
Ushiromiya Hideyoshi,"""Wahahahaha! What a huge hint...!"""
Ushiromiya Ange,""".........I don't...have a clue!"""
Ushiromiya Hideyoshi,"""Wahhahahahahahahaha. Guess that was a bit too hard...!"""
Ushiromiya Eva,"""I know what floated down the river the day after that. A hassaku orange, right?"""
Ushiromiya Hideyoshi,"""Yep. And the day after that, it was probably an i.........i...hmmm... ......I can't think of a veggie that starts with 'i'!"""
,"I'm not sure I understand. No, I don't even have a clue."
Ushiromiya Ange,"""I know! It's a grapefruit!"""
Ushiromiya Eva,"""That's right. It wasn't one of the choices, but green beans would have worked too."""
,The names all followed the alphabet. Apple was 'a'. Butternut squash was 'b'. Cabbage was 'c'.
," It kept going with 'd', 'e', and 'f'."
," So, after 'f' comes 'g'. That's why the answer had to be something that started with 'g'."
Ushiromiya Ange,"""Thanks, Eva oba-san. I got it right thanks to your hint!"""
Ushiromiya Eva,"""*giggle*. You solved it by yourself, Ange-chan. Incredible."""
Ushiromiya Hideyoshi,"""Yep, nice work! Now, here's your medal for gettin' it right...!"""
,Hideyoshi took out a gold-colored medal and placed it on my palm.
," It felt heavy in my hand. Yeah, this is what victory feels like."
, I'd better keep it up!
Ushiromiya Hideyoshi,"""I've got another medal for Eva's puzzle. But I can't think of any more."""
Ushiromiya Eva,"""Then maybe I should give Ange-chan a puzzle."""
Ushiromiya Ange,"""Huh? You will?"""
Ushiromiya Eva,"""Sure. A quiz for the princess from her attendant♪ I've thought of a fun one, so please, have a go at it!"""
,Eva oba-san smiled brightly.
," I want to get as many medals as possible, so of course, I want as many chances as I can get."
Ushiromiya Ange,"""Okay, I'll have a go at it."""
Ushiromiya Eva,"""*giggle*. That's the spirit. Okay, here it comes."""
Ushiromiya Eva,"""We've talked about how I love to travel, haven't we?"""
Ushiromiya Ange,"""Yeah. You said you like traveling overseas a lot."""
Ushiromiya Eva,"""That's right. So this will be a puzzle about traveling. There was a traveler in a certain place."""
Ushiromiya Ange,"""A traveler?"""
Ushiromiya Eva,"""First, the traveler walked five kilometers north."""
Ushiromiya Ange,"""......Should I write this down on a piece of paper?"""
Ushiromiya Eva,"""Don't worry. The puzzle isn't that hard, so listening to it will be enough."""
Ushiromiya Eva,"""The traveler first walked five kilometers north. Then, he walked five kilometers to the east. Then, he walked five kilometers to the south."""
Ushiromiya Ange,""".........Five kilometers north. Five kilometers east. Five kilometers south. ......You mean, like a blocky 'n'?"""
Ushiromiya Hideyoshi,"""That's right! You work it out, and he's in a spot five kilometers to the east of where he started."""
Ushiromiya Eva,"""That should be the case, right? But, incredibly, this traveler ended up in the exact same spot he started. ......Is something so mysterious possible?"""
Ushiromiya Hideyoshi,"""Wahaha, there's no way! His compass must've gone crazy."""
Ushiromiya Eva,"""Of course it didn't! Eheheheheh, do you know, Ange-chan?"""
Ushiromiya Ange,"""It wasn't because of his compass? ......Is this a play on words?"""
Ushiromiya Eva,"""No, this is a real quiz. For a hint, why don't you try thinking about a globe?"""
Ushiromiya Ange,"""............I don't get it."""
,I've never traveled overseas at all.
, There might be some strange place in the world where you could walk in a blocky 'n' and get back to where you started.
,"......Like the Bermuda Triangle, or something..."
Ushiromiya Eva,"""Hmmm...... I guess that was a bit too hard for you, Ange-chan."""
Ushiromiya Ange,"""If you went north, then east, then south, there's no way you'd get back to where you started."""
Ushiromiya Eva,"""But there is a place. A place somewhere on the Earth's surface. If you have a globe in your house, take a good look at it and think carefully. If you just can't figure it out, try asking your dad, okay?"""
Ushiromiya Ange,"""Okay, I'll ask him. So tell me the right answer...!"""
