Speaker,PC Japanese (JP)
Ushiromiya Battler,「おー、みんな『うみねこのなく頃に』、お疲れさん！　やれやれ、わけがわかんない内に物語が終わっちまったなぁ！」
Ushiromiya Jessica,「つまり何だ？　あれは結局、犯人は暴けず時間切れのバッドエンドでしたーってことなのか？」
Ushiromiya Maria,「うー。きっとバッドエンド。うー。」
Ushiromiya George,「そうだね。一日目の夜に真里亞ちゃんが読んだ、ベアトリーチェの手紙に、碑文の謎を解いてみろとちゃんと予告してたもんね。僕たちは自衛や犯人を探るのに忙しくて、全然その謎に挑まなかったし。」
Shannon,「………そうですね。ちゃんと碑文の謎に挑んでいたら、違う結末もあったのでしょうか。」
Ushiromiya Battler,「それはどうかな。紗音ちゃんもお疲れ！
Ushiromiya Battler,お茶の給仕なんてしなくていいぜ。何しろここはお疲れさま会なんだからよ。酷ぇ目に遭った者同士、仲良く傷の舐めあいをしよぅぜ〜〜！　べろべろべろ〜！！」
Ushiromiya Jessica,「酷ぇ目って言ったら、紗音がぶっちぎりだったぜ？　綺麗どころのキャラだから、てっきり最後まで生き残るかと思ったら、一番最初に殺されるし、しかも、何だっけ？　顔面を半分砕かれてたんだっけ？　最悪だよなぁ！」
Shannon,「…………そういうお役目でしたら、……その、仕方ありませんし…。」
Kanon,「…姉さんが気にすることはないよ。お嬢様方も、ラストのエピローグを見る限り、相当悲惨な最期を遂げられたようだしね。」
Ushiromiya George,「あっはっはっは…、どうもそうみたいだね。何だか、全身を食いちぎられてばらばらにされたみたいな、恐ろしい描写があったような気がするよ。」
Ushiromiya Battler,「それを言ったら、嘉音くんの最期が一番かっこよかったと思うぜぇ？　返り討ちとは言え、犯人と一騎打ちだろ？俺らのよくわからん最期よりは数段マシだぜ〜？」
Kanon,「………結局、何も歯が立ちませんでしたが。」
Shannon,「でも、…嘉音くんの死は大きなヒントになったと思うな。だって、あのせいで、１９人目の存在が明らかになったんだから。」
Ushiromiya George,「そうだね。あの時点では全員の所在が明らかだった。だから嘉音くんを殺せるのは、未知の１９人目しかありえない。」
Ushiromiya Maria,「うー！　真里亞は最初からベアトリーチェだって、ずーっと言ってるー。うー！」
Ushiromiya Jessica,「……信じたくはねぇけど、ベアトリーチェを名乗る、魔女が犯人ってことになるんだろうぜ。」
Shannon,「そうですよね…。人にはできない、不思議なことがいっぱいありましたし…。」
Ushiromiya Maria,「うー。絵羽伯母さんの密室殺人とか、魔女にしかできない。人間にはできない！　うー！」
Kanon,「…………１９人目が存在することが明らかで、しかもその人物は人間では考えられない力を持っている。」
Ushiromiya Jessica,「となれば、その人物をベアトリーチェと呼んでも、差し支えはねぇだろうぜ。」
Ushiromiya George,「…多分、僕たちはラストで、出会っているよ。…黄金の魔女にね。」
Ushiromiya Maria,「だから真里亞は、ベアトリーチェがいるーってずっと言ってる。みんなずっと信じなかったから駄目だった。うー！　信じないと奇跡は起きないって、友達の魔女も言ってる！　うー！」
Shannon,「そうですね。ベアトリーチェさまは、敬う者に寛大だそうですし。」
Kanon,「……真里亞さまは、恐ろしい事件が次々と起こっていっても、最後までベアトリーチェさまの脅威からは外されていたように思います。」
Ushiromiya Jessica,「真里亞は、一番の最初っからベアトリーチェを信じてたもんな。…でも、それじゃあ、同じように信じてた嘉音くんたちも殺されたのは納得がいかないぜ？」
Kanon,「……それは多分、ベアトリーチェさまなりのご都合があられたのでしょう。」
Shannon,「碑文の歌が、ベアトリーチェさまの復活の儀式を意味するものなら、大勢の生贄が必要だった。……そのひとりにご指名をいただけたということなのでしょう。」
Ushiromiya George,「…紗音ちゃんは、酷い最期だったよ…。せめて、もう少し綺麗で安らかな方法もあったろうに。」
Shannon,「………まぁその、…痛かったわけじゃないですし…。それにほら。今はこうして全然平気ですから、へっちゃらです。」
,紗音が劇中では砕かれていた頬を撫でて見せると、みんなは微笑ましそうに大笑いしました。
Ushiromiya George,「でも、こう言っちゃ何だけど、…僕はてっきり本格ミステリーだと思ってたからね。ファンタジーだとわかってちょっと驚いてるよ。遺産を巡る外界から隔絶された孤島の洋館ものなんて、推理ものの王道だと思ってたからさ。」
Ushiromiya Maria,「……うー。ファンタジーじゃないい！　ベアトリーチェは“い”るのー！　うー。」
Kanon,「………えぇ、わかっています。ベアトリーチェさまは“い”らっしゃいます。」
Shannon,「そうですね。……ベアトリーチェさまは“い”らっしゃいます。」
Ushiromiya Jessica,「…悔しいが認めざるを得ねぇよな。１９人目の魔女の関与は明らかだしなぁ…！」
Ushiromiya George,「人間には不可能なことをいくつもやってのけてる。劇中の僕らは、それを否定したくてあれこれと考えたけれども。
Ushiromiya George,…今なら、はっきり言えるよ。どれもいずれも、全て、人間には不可能な犯罪だった。……魔法の力を使いこなす、魔女のベアトリーチェにしか為し得ない犯行だよ。」
Ushiromiya Jessica,「犯人は魔女だった。その一点において、何の曇りもねぇぜ。ベアトリーチェさま万歳ってわけだ。はっははははは。」
Ushiromiya Maria,「うー。みんな信じた。真里亞は嬉しい。うー！」
Shannon,「……神さまも魔女も、怖がる人には恐ろしい存在かもしれませんけど、信じ、敬う人にとっては、きっと慈しみのある存在に違いないと思います。」
Kanon,「…………姉さんの、言う通りだと思います。」
Ushiromiya Jessica,「じゃあさ、せっかく殺人事件ごっこは終わったわけだし。ここで気を取り直して、ちゃんとベアトリーチェの言う通り、碑文の謎に挑戦してみねぇか？
Ushiromiya Maria,「うー！　賛成！　きっとベアトリーチェも喜ぶ。」
Ushiromiya George,「ははははは…。劇中ではみんな無視してたからね、あの手紙は。」
Shannon,「……せっかく、出題されたのに、ほとんど無視されて。何だか可哀想ですね、ベアトリーチェさま。」
Ushiromiya Maria,「碑文のメモがある！　みんなで謎解き、みんなで謎解き…！」
Ushiromiya George,「物語は多分、この時点から間違ってたんだろうね。」
Shannon,「………そうかもしれません。私たちは、ベアトリーチェさまのご指示通り、碑文の謎に挑むべきだったのかもしれません。」
Ushiromiya Jessica,「まぁ、すっかり遅くなっちまったけどな。今からでも再挑戦するってことで、魔女さまには許してもらおうぜ。ささ、碑文の謎に挑戦してみよう。……何々、“懐かしき、故郷を貫く鮎の川”…。」
,真里亞がテーブルの上に、碑文を記したノートのページを開くと、みんなはそこを覗き込みながら、楽しげに碑文の謎をあれこれ推測して賑わうのでした。
,紅茶の香りと、焼きたてのクッキーのバニラの香りが、それに彩を加える、とても楽しげでゆったりとした時間……。
Ushiromiya Battler,「………………ちょいと待てよ、お前ら。」
,なのに、戦人が水を挿すような言い方で、それを口にしました。
,見れば表情はどこか不愉快そう。この楽しい時間の何が気に入らないというのでしょうか。
Ushiromiya Battler,「…お前ら、さっきから聞いてりゃ、何を思考停止してんだ？　何で魔女の仕業ってことで決まってんだよ。…そんなのあるわきゃねぇじゃねぇかよ。」
,戦人のその一言に、…お茶会の楽しい空気があっという間になくなってしまいました。
,譲治も、朱志香も。紗音も、嘉音も。そして真里亞も。
,……戦人は何を変なことを言い出すんだろうと、きょとんとしています。
,愚かで身の程知らずの戦人も、さすがに自分が失言したことに気付きました。
Ushiromiya George,「…だ、………だって。明らかに人間には無理な事件だったじゃないか。」
Ushiromiya Jessica,「そ、そうだぜ、そうだぜ。…どの事件も人間には無理なことばかり。」
Shannon,「そうですよね…。だって、人間じゃ、説明がつかないことばかりじゃないですか…。」
Kanon,「…戦人さまが、何を言い出すのか、僕にはわかりません。」
Ushiromiya Battler,「お…、お前たちこそ、何を口々に言い出すのかさっぱりだぜ。こんなの人間が起こした事件に決まってるじゃねぇかよ。魔女なんているわけねぇだろ…？」
Shannon,「じゃ、…じゃあ。…私が倉庫の中で殺されてた時、顔の半分を酷いことにされていましたが、……あれは人間が犯人なら、どう再現するというのですか…？」
Ushiromiya Battler,「…そりゃ、……まぁ、どうやったらあんな酷ぇことができるのか、ちょっと想像はつかねぇけどよ。
Ushiromiya Battler,でも、あそこは薔薇庭園の倉庫だぜ？　きっと中に妙な道具とかがいくらでもあっただろ。わかんねぇけどよ、例えば、電ノコとかグラインダーとか、そんな電動工具でも使ったのかもしれねぇじゃないか。」
Shannon,「……………そ、………それは……、…その…。」
Ushiromiya Jessica,「じゃあ、戦人…。祖父さまが密室の書斎から消え去っていたのはどう説明するんだよ…。扉は封印されていたのに、祖父さまは忽然と消え去ってたぜ…？」
Ushiromiya Battler,「その話は劇中でも出ただろ。祖父さまが何らかの方法を使えば、レシートを誤魔化すことは不可能じゃない。あるいは窓から出て、あるいは落ちて、夏妃伯母さんが窓を内側から施錠した可能性もある。別に、魔法を使わなくたって、他にもいくつか手は思いつくだろうぜ…？」
Ushiromiya Jessica,「…………そ、……それはそうだけどよ………。」
Ushiromiya George,「なら戦人くん。僕のお母さんたちが客室の中で殺されていたのはどう説明するんだい？　扉には鍵もチェーンも掛かってた。無論、窓もね。どうやって人間に、母さんたちを殺せたって言うんだい？」
Ushiromiya Battler,「…まぁ、……確かにそのトリックは劇中でも保留になったままだったな。とにかく、犯人は鍵だけは持ってる可能性が高いからな。チェーンに許される程度の、扉の隙間は確保できたわけだ。
Ushiromiya Battler,……非常に苦しい話だが、その隙間から何かの仕掛けを施した可能性はありえるな。…いや、あるいは、その隙間から、何かを出したとか…？
Ushiromiya Battler,……んんん、確かにチェーンってのは、偉いシンプルだが、密室を構成するでかい要素だな…。………だが、密室トリックなんておよそやり尽くされてるんだ。そこいらの書店で密室ミステリーを数冊買ってくりゃ、どうせビンゴなトリックが見付かるだろうぜ。
Ushiromiya Battler,……とにかく、俺には思いつかねぇが、どうにかやりくりすりゃあ、人間にできないことはないだろうって断言できる。」
Ushiromiya George,「それは酷い暴論じゃないかい…？　説明できないのに、人間に可能だと断言できるなんて、めちゃめちゃだよ…。」
Ushiromiya Battler,「……何がどうめちゃめちゃなんだよ。兄貴たちは何を思考停止してんだよ。一見できなさそうに見えても、どうせできるんだよ。それがお約束ってもんだろうが。」
Ushiromiya Jessica,「めちゃめちゃなのは戦人の方だぜ。……人間にできるってんなら、説明してみろよ。できねぇだろ？」
Ushiromiya Battler,「できなきゃすぐに犯人は魔女ってことで落ち着くのかよ。その論法で行っちまったら、世界中の未解決事件は全部、魔女が犯人ってことで決着しちまうぞ！」
Ushiromiya Maria,「……戦人は問題を摩り替えてるし、何も説明してない。…真里亞たちは、“人間にはできない。だから人間じゃない存在が犯人。それが魔女”だと、そう言っている。なのに戦人は、説明できないけど魔女はありえないとか、一方的な決め付けで言ってる。
Ushiromiya Maria,……きひひひひひひひひひひ、まるで、無知な時代の人類のようだね。地球が回ってるはずがない、説明はできないけど、宇宙が地球を中心に回ってるんだと言い張る愚か者のよう。」
Ushiromiya Battler,「……………な、…何だか気に入らねぇ論法だが。つまりお前らはこう言いたいのかよ。…人間に可能だと説明できないなら、犯人が魔女、…ベアトリーチェであることを受け容れろってことかよ。」
Kanon,「…………そこまで押し付けているわけではありません。ただ、戦人さまが、何を根拠にそのような世迷言を言い出すのか、と思いまして。」
Ushiromiya Battler,「よ、…世迷言って、………。……な、…なぁ、俺ってさっきからそんなに変なこと言ってるか？！
Ushiromiya Battler,おかしいのは俺なのか？！　さっきから偉ぇ不愉快だぞッ？！」
Kanon,「……戦人さま。僕は、自分が死んだ時、ボイラー室で、存在しないはずの１９人目に殺されています。
Kanon,…それが人間の仕業だと説明できるのですか？　あの時、１８人の所在は全員がはっきりしていました。にもかかわらず、僕は殺されている。」
Ushiromiya Battler,「その件も劇中で言ってるぜ…？！　例えば、熊沢の婆ちゃんだ。嘉音くんがボイラー室に下りてからすぐ後を追ったと言ってるが、実は嘘かも知れねぇ。
Ushiromiya Battler,一緒にボイラー室に入って、不意を突いてブッスリ行っちまったのかも知れねぇ！　あるいは、ボイラー室に踏み込むと、何かのトラップが発動して、例のアイスピックが打ち込まれるように仕掛けられていたのかもしれない。
Ushiromiya Battler,何しろ焼却炉からは祖父さまの遺体の悪臭だ。必ず誰かがやってくるわけだから、仕掛けだけ施せば、犯人はその場を離れ、嘉音くんの死亡時刻にアリバイを作ることは充分できる…！」
