Speaker,PC Japanese (JP)
,……親たちの思惑はともかく。少なくとも俺たち子どもにとっては、いとこたちと親睦を深め合うだけの、楽しい二日間のはずだった。
,しかし、目が覚めてみれば、待ち受けていたのは信じ難いほどに残酷な現実だった…。
Ushiromiya Jessica,「…………ひっく、……えっく……！」
Ushiromiya George,「………………………………。」
,譲治の兄貴と朱志香は、それぞれ紗音ちゃんと嘉音くんの死に涙を零していた。
,……ゲストハウスの１階ロビーには、今、生きている全員が集まっていた。その人数は、１２人。
,…信じられるだろうか？昨日まで１８人いたんだ。…その三分の一が、一夜にして、命を失った…。
,俺は、ようやく興奮が醒めて、早朝に起こされた寝不足感が入り混じってきて、ほんの少し現実感を失いかけているところだった。
,……何かの悪い夢だと思いたい…。俺のチープな現実逃避は、さっきからそうであると延々と主張し続けている。
,真里亞は楼座叔母さんの座るソファーで、再び寝直してしまった。
,…肝が据わっているというよりは、純粋に寝足りなかったのだろう。
,大人たちは祖父さまのコレクションとかいう、ショートバレルのウィンチェスター銃をいじっていた。
,…西部劇被れだった時代の名残らしく、そっくりな銃が４丁もあった。
,それを蔵臼伯父さん、絵羽伯母さん、ウチの親父、楼座叔母さんの４兄弟で分ける。
,机の上には弾丸の詰まった紙箱が置かれ、４兄弟たちは黙々と弾丸を装填していた。
Ushiromiya Rudolf,「………何だか怖ぇや。こいつに触ってると、今でも親父に、触るな！って怒鳴られてぶん殴られるような気がするぜ。」
Ushiromiya Krauss,「なら良かったな。…いくら触っても、もう殴られることはない。」
Ushiromiya Rosa,「…………信じられないわ。…あのお父様が、…………こんな最期を迎えるなんて…。」
Nanjo Terumasa,「金蔵さんに限って、普通に床で亡くなるようなことはないだろうと思っていましたが、……それにしても、……惨すぎる…。」
Ushiromiya Eva,「ねぇ。あれは本当にお父様なのかしら…？　私は、別人の死体で誤魔化した替え玉を疑ってるんだけど…。」
Ushiromiya Natsuhi,「……いいえ、あれは間違いなくお父様です。足の指をご覧になったでしょう？　世間広しと言えど、両足の指が６本の人間はそうはいませんよ。」
Ushiromiya Kyrie,「でも、…………いないとも言えない。多指症は珍しくない病気だと聞いたわ。大仕掛けの大好きな方なんでしょう？　……どこかで両足の指の数が自分と同じな遺体を手配したかもしれないわ。」
Ushiromiya Natsuhi,「馬鹿馬鹿しい。そんなこと、何のためにするというのですか…！」
Ushiromiya Hideyoshi,「……普通の人にならわしもそう言うわ。…しかしあのお父さんや。霧江さんの話も、まったくの荒唐無稽とは言い切れんのやないか。」
Ushiromiya Rudolf,「…………焼死体は身元の確認が難しいという。だが、歯形とか骨格とか、色々調べる方法はあるはずさ。警察が調べれば、一発で身元なんかわかるに決まってる。」
Ushiromiya Krauss,「問題は、警察より先に電話技師が必要だという点だがね。」
Ushiromiya Rosa,「……この台風じゃ、船は来られないでしょうね。…なら、明日になるのかしら。」
Ushiromiya Natsuhi,「恐らく、明日の９時にもう一度船が来てくれるでしょう。そこで警察に連絡できると思います。」
Ushiromiya Eva,「……私たちも。そして犯人も。…つまりは台風が通り過ぎるまで、この島に閉じ込められたってわけね。」
,………親たちの会話だけで、おおよその流れは理解できるだろうが、一応、状況を説明する。
,まず早朝。
,祖父さまと使用人全員の合計６人の死体が、屋敷中の各所から相次いで見付かった。
,まず、祖父さまはボイラー室で火にくべられ丸焼けに。
,使用人たちは屋敷内のそれぞれの場所で、魔法陣の描かれた部屋に閉じ込められて死んでいた。
,使用人たちの死因は正確には不明だが、南條先生の見立てでは、槍のようなもので突かれたか、……もしくは銃で撃たれた可能性が高いという。
,大人たちがウィンチェスター銃で武装を始めたのはその為だ。
,さらに事態を混迷に追い込んだのは、電話が使用不能になっていたことだった。落雷で故障したのか、犯人が破壊したのかはわからない。
,とにかく外部に連絡がつかず、警察へ連絡が取れなかった。
,つまり、台風が通り過ぎ、外から船が来てくれる明日の朝まで、自分たちで自衛をしなくてはならないのだ。
,何しろ、今の六軒島は台風で隔絶されている。俺たちが島に閉じ込められているように、犯人だって閉じ込められているのだから。
,大人たちは、昨夜まるまる徹夜して、屋敷の食堂で親族会議に明け暮れていたらしい。そして事件は、にもかかわらず屋敷内で起こっている。
,……つまり、大人たちがカネの話で大いに盛り上がっている真っ最中に、殺人犯は同じ屋根の下で殺人を犯していたわけだ…。
,夏妃伯母さんは夜間の戸締りを厳重にさせていたという。にもかかわらず、屋敷の中を不審者が出入りした。
,…大人たちは、屋敷内は広すぎて安全ではないと判断し、銃を引っ張り出して、俺たちのいるゲストハウスへ移動してきたのだ。
,………そして現在に至る。
