Speaker,PC Japanese (JP)
,バタンと勢いよく扉が開けられると、真里亞を連れた楼座が飛び込んでくる。
Ushiromiya Rosa,「源次さんか誰かいない…？！　誰でもいいの、バスタオルを持ってきて…！！」
,外はもうすっかり台風で、大雨が降り始めている。そんな中、傘を差していたとはいえ、真里亞はずっと薔薇庭園で風雨の中にいた。
,肩はすっかり冷えてしまっていた。
,真里亞は楼座と薔薇庭園で些細な喧嘩をし、ずっとそこにいなさいと言われたのだ。
,……真里亞はその言いつけ通り、雨が降り出してもずっとその場に留まり続けていたのである。
,確かに楼座も少し感情的に怒ってしまったが、真里亞の頑固なわがままの方が確かに悪いだろう。
,……そのやり取りを見てしまったいとこたちは、親子が寄り添う姿を見て、ほっと胸を撫で下ろすのだった。
,楼座はタオルで真里亞の頭をごしごしと拭く。娘が風邪を引かないかと心配でならないようだが、当の真里亞はケロリとしていた。
Ushiromiya Rosa,「大丈夫？　寒気とかしない？　やっぱり一度戻って着替えさせた方がいいかしら…。」
Ushiromiya Maria,「うー、全然平気ー！　それよりお腹空いたから、着替えよりご飯がいいー、うー！」
Ushiromiya Battler,「はっはっはっは。大丈夫そうだぜ、楼座叔母さん。こんだけ元気ならきっと大丈夫だよ。」
Ushiromiya George,「傘があって本当に良かったよ。……ひょっとしたらずぶ濡れかもしれないと思ってたからね。傘を持ってたのは、不幸中の幸いだったよ。」
Ushiromiya Jessica,「でもよ、真里亞！　いくら傘があっても、こんな大雨になったらちゃんと雨宿りしなきゃ駄目だぜ？　女の子は体を冷やしちゃ、絶対にいけない。」
Ushiromiya Maria,「………うー。」
Ushiromiya Rosa,「いいのよ、朱志香ちゃん。……ママがそこにずっといなさいと言ったのが悪いの。本当にごめんね、本当にごめんね…！！」
Ushiromiya Maria,「うー！　真里亞いい子？　ママの言う通りにしてたからいい子？　寒くてもずっといた、ママが来るまでずっといた！　うーうー！」
Ushiromiya Rosa,「えぇ、真里亞は本当にいい子よ。ママの言いつけをちゃんと守ったわね…。本当に偉いわ。でも、次からはママの言いつけであっても、あんな大雨になったらちゃんと雨宿りをするのよ。いいわね…？　ママと約束よ。」
Ushiromiya Maria,「うー。ママと約束。……うー☆」
,楼座は、真里亞をやさしく抱きながら、小指を絡めあってそれを約束し合う。
,一本の小指を通しての親子の触れ合いで、真里亞の体に温もりが戻っていくのが、見守る戦人たちにもよくわかるのだった。
Ushiromiya Rosa,「嘉音くん、タオルをありがとう。助かったわ。」
Kanon,「……それでは失礼いたします。」
,嘉音は、礼を言われるほどのことはしていないという淡白な表情で頭を下げると、客間を出て行った。
Ushiromiya Rosa,「……さ、もうお夕飯よ。みんなも行きましょう。……偉い真里亞には、あとでママの分のデザートも分けてあげるわ。」
Ushiromiya Maria,「うー！　本当、ママ？！うーうー、デザートもらえる、うーうーうー♪　ママ大好き、ママ大好き！」
Ushiromiya Rosa,「こら、真里亞、はしゃがないの。ママも真里亞が大好きよ。真里亞大好き、真里亞大好き。」
Ushiromiya Maria,「真里亞もママ大好き、ママ大好き！　うーうーうーうー！」
Ushiromiya Rosa,「うーうーうーうー♪」
,楼座と真里亞は、仲睦まじい姿を見せる。それを見て戦人たちも、何だか懐かしいような温かみが胸に込み上げてくるのを感じる。
Ushiromiya Battler,「……このくらいの年頃が、親と一番仲がいいのかもしれねぇな。」
Ushiromiya Jessica,「うちはそうでもなかったぜー。母さんとか、いっつも勉強勉強とうるさかったなー。」
Ushiromiya George,「子どもを愛していればこそだよ。親の愛はやさしさや甘やかしだけじゃないんだよ。僕の母さんも厳しかったけど、僕を大事に思ってくれたからこそだって、今ならわかるよ。」
Ushiromiya Maria,「うーうーうー！　ママ大好き、ママ大好き！」
Ushiromiya Rosa,「真里亞大好き、真里亞大好き♪　さ、食事に行きましょう？　お手々つないで仲良くね。」
Ushiromiya Maria,「うー！　お手々つないで仲良く！　ママと真里亞、仲良し仲良し♪」
Ushiromiya Rosa,「えぇ、そうよ。ママと真里亞は仲良しよ。いつまでもずーっとね。愛してるわ、真里亞…。」
Ushiromiya Battler,「……………何だよ突然。…どうした？」
,突然の音は、グレーテルが手にしていたティーカップが落ちて割れた音だった。
Ushiromiya Ange,「………ごめんなさい。ぼんやりしてたわ。落としちゃってごめんなさい。」
,床のカップは粉々に砕けていた。
,……手から落としたくらいで、あそこまでの音を立てて、しかも粉々に砕けるだろうか。
,鈍感な戦人でも、それが何かの不機嫌を表すものだろうと察したが、なぜ突然、彼女が機嫌を悪くしたのか理解できなかった。
,屈んでカップの欠片を拾おうとすると、どこからともなく現れたロノウェが、それを制する。
Ronove,「お怪我をなさいますよ。お片付けは私どもにお任せを。紅茶のお代わりをお持ちしましょうか…？」
Ushiromiya Ange,「……いらないわ。………どうも悪魔の紅茶は口に合わないみたい。」
{f:5:Beatrice},「ほぉ。ロノウェの紅茶でも口に合わぬ者がおったとは。そなたの肥えた舌には敬意を表するぞ。」
Ushiromiya Ange,「………退屈してきたんで、ちょっと席を外すわ。」
Ushiromiya Battler,「退屈ぅ？　おいおい、いよいよこれからだろうが。多分、この時点で真里亞はまた、傘と手紙をベアトリーチェから受け取ってるって言い出すんだぜ？　ここからが重要だってのに…、」
Ushiromiya Ange,「失礼するわ。ごめんなさいね、後片付けをお願い。」
Ronove,「お任せを。」
,それだけを言い残し、グレーテルは一方的に姿を消す。文字通り、虚空に姿を溶かして消えた…。
,彼女の表情には、確かに不機嫌が浮かんでいた。
,しかし、戦人もロノウェも、もちろんベアトも含めて、なぜ突然に機嫌を悪くしたのか理解できない。
,後には、彼女が零した紅茶の香りだけが残っていた…。
,………不愉快だった。
,いや、さらに言葉を選ばないなら、虫唾が走ったとさえ言っても良かった。
Ushiromiya Maria,「うー…？　……何で縁寿はイラついてるの……？」
Ushiromiya Ange,「何でって！　決まってるでしょ…？」
Ushiromiya Maria,「うー。…真里亞にはわからないよ……？」
,きょとんとした表情を見せる真里亞お姉ちゃんにも、…イラつく。
,私が虚空に、手の平を上にしてかざすと、そこにどこからともなくストンと、一冊の本が乗っかる。
,………真里亞お姉ちゃんの日記だ。
,私がページをめくらずとも、風もないのにページがばらばらとめくれ、真里亞お姉ちゃんの世界への扉を開いていく。
