Speaker,PC Japanese (JP)
,私はハロウィンパーティーのお姫様になり、私のためだけのクイズとなぞなぞ大会が開かれることになった。
,正解する度に、メダルがもらえるらしい。
,いっぱいもらえば、お祖父さまから素敵なご褒美があるらしい。
,よし、がんばる。
Ushiromiya Ange,「誰からクイズをもらえばいいのかな。」
Ushiromiya Eva,「誰からでもいいそうよ。好きな人に話し掛けてごらんなさい。」
Ushiromiya Rudolf,「今の内に、何か取って置きの問題を考えておかないとなぁ。」
Ushiromiya Rosa,「真里亞ー、あなた、クイズの本を鞄に入れてなかった？」
Ushiromiya Maria,「うー！　あるよー！　きっひひひひひひ、意地悪な問題で縁寿をいじめるの…！」
,真里亞お姉ちゃんがすっごく意地悪そうな顔で笑う。
,みんな、私をいじめる気だ。きっとすっごく難しい問題を出してくる。
Ushiromiya Eva,「大丈夫よ、伯母さんが助けてあげる。」
Ushiromiya Ange,「本当…？」
Ushiromiya Eva,「えぇ。だって伯母さんは、お姫様の付き人じゃない。だから二人でがんばって、いっぱいいっぱいメダルを集めちゃおう。」
Ushiromiya Ange,「うん…！」
Gohda Toshiro,「さぁさぁ、縁寿さま。誰からでも結構でございますよ。この郷田も、いつでも挑戦をお受けいたします。」
Ushiromiya Kinzo,「まぁ待て待て。最初に姫君に謁見する栄誉はこの私のものだ。縁寿よ、まずは私の挑戦を受けてみよ…！」
Ushiromiya Ange,「は、はいっ。」
,思わず緊張してしまい、お腹がきゅうっと痛くなる。
,すると絵羽伯母さんがやさしく手を握ってくれた。
Ushiromiya Eva,「大丈夫よ。一緒にがんばりましょ！」
Ushiromiya Ange,「う、……うんっ。」
Ushiromiya Kinzo,「では行くぞ、縁寿よ。これは、クリスマスの日の話、１２月２５日の話だ。」
Ushiromiya Ange,「クリスマス…？」
,まだ１０月だというのに、唐突にクリスマスの話をされる。クリスマスは何日かという問題だろうか？
,そんなの知ってる。１２月２５日だ。
Ushiromiya Kinzo,「クリスマスの日。夜空を見上げながら、女は言った。『やがて夜が明けて朝になるわね。そしてまた日が沈んで夜になっても、またクリスマスだったらいいのに』。すると男は言った。『いいよ。その夢を叶えてあげるよ』と。そんなことが、果たして可能だろうか…？」
Ushiromiya Ange,「クリスマスの次の日は２６日で普通の日だもん。そんなの無理。」
Ushiromiya Eva,「夜が明けてもまだクリスマス……。あ、伯母さん、わーかった。」
Ushiromiya Ange,「え？　どうして？！　どうしてクリスマスの次の日がまたクリスマスなの？！」
Ushiromiya Kinzo,「わっははははは。縁寿も考えてみるがよい。」
