Speaker,PS3 Japanese - Censored (JPC)
{f:5:Beatrice},「…次は何の紅茶を淹れようか？　古今のありとあらゆる銘茶を披露しようぞ」
,「……梅干紅茶。……梅干は１パック２００円のヤツよ」
{f:5:Beatrice},「くっくっく…！　…千年、紅茶を嗜んだが、そのようなモノは知らぬ。…つくづくこの世は生き飽きぬものよ」
,「……………ベアト。そんなにも敵意を剥き出しにしなくてもいいわ。…私は単なる旅の魔女。あなたの領地のルールを侵しに来たつもりはないわ」
{f:5:Beatrice},「…くっくっく、敵意など微塵も。…伝説の魔女、ベルンカステル卿に粗相がないか、気が気でならぬだけよ」
{f:5:Bernkastel},「………誤解があるわね。私は無力よ。あなたのような、１人を百殺す恐ろしい力を持った魔女の前にはまったくの無力」
{f:5:Beatrice},「その無力な魔女殿が、何人たりとも寄せ付けぬ力をお持ちなのだから恐れ入る。かの大魔女、ラムダデルタ卿を単騎にて退けられたのだから」
{f:5:Bernkastel},「……根競べに勝っただけよ。あの子が飽きただけのこと」
{f:5:Beatrice},「ラムダデルタ卿は、そうは言ってなかったがな？　…くっくっく、過ぎた謙遜はかえって醜くもあるぞ、ベルンカステル卿？」
{f:5:Bernkastel},「……あの子は恐ろしい力を持ってる。…………１人を“必ず”殺す力。しかしこの世に“必ず”は存在しない。１をいくら割ろうとも決してゼロには出来ぬように」
{f:5:Bernkastel},「あの子は、それを“限りなくゼロ”に近付け、“限りなく絶対”を生み出す力を持つ。……あんな恐ろしい魔女と戦うのは二度とごめんよ」
{f:5:Beatrice},「しかしそなたは、“ゼロでない限り”必ず成就させる力を持つ。……この世に“必ず”は存在しないとのたまう卿ご自身が、“必ず”の力をお持ちでおられる。……恐ろしい恐ろしい、くっくっく…！」
{f:5:Bernkastel},「……１人を“無限に”殺す力。…私は貴女の方が恐ろしいけれども」
{f:5:Beatrice},「ご冗談を。……そなたから見れば、こんなのは瑣末な力。褒めても何も出ぬとはまさにこのこと」
{f:5:Bernkastel},「……世辞は滞在費代わりに。…私はカケラを渡り退屈から逃れ続ける逃亡の旅人。……貴女が面白そうなことを始めたと聞いたからやって来ただけのこと。貴女が面白くなくなったら、勝手に出て行くからご心配なく」
{f:5:Beatrice},「くっくっく…！　大ベルンカステル卿にご高覧頂け、このベアトリーチェ、恐悦至極に存じるぞ？　くっくっくっく！　して、ご感想は？」
{f:5:Bernkastel},「…………ラムダデルタは、とても残酷で恐ろしいけれども、理解できる子だった。…貴女は一見、慈しみがあるけれども、まったく理解できない。だから、あの子よりずっと恐ろしい」
{f:5:Beatrice},「くっくっくっくっく…！　気まぐれなのは我が性分。許すがいい。…それに、気まぐれなる賽の目に運命を託すは、ベルンカステル卿も好まれることだったのでは？」
{f:5:Bernkastel},「……私は賽を振る時、はっきりと出したい目がある。貴女とは違う。でも貴女にとっては、全ての目が、貴女の掌を出ない」
{f:5:Bernkastel},「そして、どの目であっても、貴女の期待を裏切らない。サイコロが何の目を見せようとも“必ず”貴女は満足する。………その意味において、貴女は私を遥かに凌駕する」
{f:5:Bernkastel},「………貴女とだけは戦いたくないわ。貴女の中にはゼロしかない。だから、私の力では貴女から勝機を得られない。…最悪の相性よ。……ラムダデルタなら、逆に相性がいいのかしら。貴女の“無限”を殺せるでしょうから」
{f:5:Beatrice},「くくくく、くっくっくっくっく！　……やはり、紅茶を飲むなら魔女とに限る。退屈しない。くーっくっくっく！」
{f:5:Bernkastel},「……なら良かったわ。退屈は私を殺す唯一の毒なの。……だから、私を殺さないでね？　無限の魔女、ベアトリーチェ卿」
{f:5:Beatrice},「それがお望みならこのベアトリーチェ、さらに楽しませてお見せしましょう」
