Speaker,PS3 Japanese - Censored (JPC)
,…秀吉の持論である、能書きは味を二倍高めるは、どうやら正しかったらしい。
,ゲストハウスに追い出された子どもたちと南條は、いとこ部屋に集まり、熊沢が運んできてくれたデザートのケーキを食べているところだった。
,それはクリームをふんだんに使い、果物で美しく飾った高級感溢れる素晴らしいものだったが、美味であるにもかかわらず、なぜか一味落ちているように感じるのだった…。
Ushiromiya Jessica,「はは、郷田さんの能書きがないと、味ってずいぶん落ちるんだな」
Ushiromiya Battler,「能書きを求めようにも、熊沢の婆ちゃんに聞いた日にゃ、このケーキの原料も鯖ってことになっちまうぜ」
Ushiromiya Maria,「うー？！　本当？！　鯖からケーキってできる？！」
Kumasawa Chiyo,「ほっほっほっほ。えぇえぇ、このケーキも、鯖の搾り汁に小麦粉と卵を混ぜて焼き上げると、ふっくら焼きあがるのでございますよ。ほっほっほっほ」
Ushiromiya George,「それが本当ならすごいね。お父さんの店の新メニューに、鯖ケーキとか登場するかもしれないよ」
Ushiromiya Battler,「わっはっはっは！　鯖って栄養満点でヘルシーっぽいイメージがあるしよ。女性とかお年寄りに人気が出たりしてな！　俺は食わねぇけどよ！」
Ushiromiya Jessica,「女はそんなゲテモノは食わねぇぜ」
Nanjo Terumasa,「年寄りも遠慮したいところですな」
Kumasawa Chiyo,「ほっほっほっほ！　おいしいんですけどねぇ？」
,熊沢は十八番の鯖ネタでよく場の雰囲気を盛り上げてくれた。…しかし降りしきる雨の音は、どうしても彼らの関心を、謎の来客に向けてしまうのだった。
,結局、この中で唯一ベアトリーチェに会ったという真里亞は再び質問攻めになるのだった。
Ushiromiya George,「………まさか、…あの話が本当だったとはね」
Ushiromiya Battler,「その口ぶりだと、真里亞が魔女に会ってたって話は、信じてなかったまでにも初耳じゃねぇってことらしいな」
Ushiromiya Jessica,「…あぁ。夢見がちなお年頃の、よくあるおとぎ話くらいに思ってたぜ」
Ushiromiya Maria,「いるー！！　ベアトリーチェは“い”るー！　毎年、親族会議に来る度に、真里亞は会って、一緒に遊んでた！」
Kumasawa Chiyo,「そうですねぇ。ベアトリーチェさまは、普段は姿をお見せになりませんけど、心が綺麗で素直な方の前には、ひょっこり姿を現してイタズラをすることもあるそうですからねぇ。ほっほっほ」
,ベアトリーチェは、六軒島の魔女というおとぎ話の中の存在を指し示す名前だ。
,金蔵がずっと妄想してきた魔女像は、家人や使用人たちが金蔵のご機嫌取りをするために、肯定し吹聴していったため、六軒島のおとぎ話、あるいは怪談として確立していった…。
,そういう経緯を知る家人たちにとっては、黄金の魔女のおとぎ話は希薄なものでしかない。…しかし、金蔵の手前、彼らはそれを口にできなかった。
,だから、経緯を知らない人間にとっては、…例えば幼い真里亞にとっては、それは断じて希薄なものではなく、…本物の魔女伝説なのだ。
,だから、真里亞は魔女伝説を信じた。鵜呑みにした。
,…それは、魔女を信じる夢見がちな少女にとって当然のことだった。
,だから誰も彼女の夢を裏切るようなことを口にしなかった。{n}…むしろ、彼女の夢を盛り上げるように口裏を合わせた。
Ushiromiya George,「…だから、真里亞ちゃんがベアトリーチェにもらったお菓子、といって僕らに見せびらかすことがあっても、…多分、誰かがそういうことにして真里亞ちゃんの手提げの中にこっそり飴玉でも忍ばせたのだろうって思ってた」
Nanjo Terumasa,「…………私も、昔に二度か三度、そういうフリをして、こっそりお菓子を置いてあげたことがあります。…おそらく、熊沢さんにも、いや、使用人の皆さんや、右代宮家の皆さんも一度や二度はあるんじゃないでしょうか」
Ushiromiya Battler,「……無邪気な小さい子が喜ぶなら、口裏を合わせてお菓子を置いてくこともあるか。……ってことは、譲治の兄貴なんか、だいぶやってそうだな？」
Ushiromiya George,「…………まぁね」
,それを認めることは多分、無粋なことなのだろう。
,譲治は決して真里亞に悟られぬよう気をつけながらそれを認める。
Ushiromiya Battler,「つまり、……サンタクロースみたいなもんか。子どもの夢を守るために、両親がグルで嘘をついて、寝静まった子の枕元にプレゼントを置いていたと」
Ushiromiya Jessica,「……子どもの夢って、守ってあげたいし。…私は当然、サンタなんていないってとっくに知ってるわけだけど。……もし、醒めなくてもいい夢だったなら、一生信じていたかったぜ」
Nanjo Terumasa,「…世の中は世知辛いばかりだと知ってしまうからこそ、…大人はせめて子どもの、綺麗な夢を守ってやりたいと思うものです」
Ushiromiya Maria,「うー！！　ベアトリーチェはいるの！　“い”るぅうー！！！」
Kumasawa Chiyo,「えぇ、いますとも。ベアトリーチェさまはおりますよぅ？　この前もですね、鯖を干して紅茶のダシに使おうとしておりましたら、そこへひょっこり、」
Ushiromiya George,「……まぁつまり、こういう調子。…だったはずなんだけどね」
Ushiromiya Battler,「つまり。……真里亞を除けば、誰も信じてなかったはずの魔女ってわけだ」
Ushiromiya George,「少し言葉が足りないね。……信じてなかったんじゃない。…信じさせてあげようとしたんだ」
,子どもの純情は裏切れない、ってことか。
,でも、現実にサンタはいない。それを知りがっかりするのが嫌だというなら、最初からそんな夢を見せなければいい。
,…そう考えてしまうのは、まだまだ自分が大人になりきれていないからなのだろうか。
,戦人は、六軒島の魔女の正体について、ようやく一定の理解を得るのだった。
,………だが、現在の状況は、その理解のさらに上に立ち、しかもその前提を全てひっくり返すものだ…。
Ushiromiya Battler,「……という認識だったはずの、魔女のベアトリーチェさまが、実際に現れちまったと。そういうことか」
Ushiromiya Battler,「しかもだ、伯父さんたちの騒ぎようを見る限り、どうも招かれた客でもないらしい。……こりゃあ面白そうな話だぜ」
Ushiromiya George,「ベアトリーチェという女性が実在しない、という前提は実は存在しない。……留弗夫叔父さんも言っていた悪魔の証明そのものだよ。……ベアトリーチェと名乗る女性の存在を僕たちは誰も知らなかった」
Ushiromiya George,「…でも、だからといってそれが、ベアトリーチェが実在する可能性を否定できるわけじゃない」
Ushiromiya Jessica,「……南條先生は祖父さまとの付き合いが長いですよね？」
Nanjo Terumasa,「…………………。…一時期、親族会議で蔵臼さんたちにずいぶんと聞かれた話ですな。……その昔、金蔵さんにベアトリーチェという愛人がいて、その隠し子がいるのではないかという話です」
Ushiromiya Battler,「なるほどな。親父たちは遺産分配で頭がいっぱいだ。そこに愛人の娘なんてのが現れれば、面倒なことになるのは火を見るより明らか、ってわけだ」
Nanjo Terumasa,「蔵臼さんたちも、最初は源次さんに聞かれたのでしょう。しかし、源次さんは金蔵さんに忠誠を誓う側近で、…多分、私よりも金蔵さんが心を許す親友です」
Nanjo Terumasa,「……源次さんは多分、何も語らなかったのでしょう。……それで次に古い友人である私の方に話を聞こうということになったのでしょうな…」
Ushiromiya Battler,「んで。……結論として南條先生。……祖父さまに、ベアトリーチェという愛人はいたんすか」
Nanjo Terumasa,「……………おりました。…いえ、私は会ったことはありませんぞ。…ですが、そういう女性と交際があったと金蔵さんから聞かされたことはありました。………相当昔にお亡くなりになられたそうで」
Ushiromiya Battler,「……死んだ。……その間に子どもがいたとか？」
Nanjo Terumasa,「それはわかりません。……ただ金蔵さんは、ベアトリーチェを蘇らせるために研究をしていると常々言っておりました」
Nanjo Terumasa,「…普通は、愛人を失い忘れ形見がいたならば、そちらにその分の愛情を注ぐものです。……ですから、金蔵さんとベアトリーチェの間に子どもはいなかったろうと私たちは自然に考えました…」
Ushiromiya Battler,「…………うん？　…ってことは、それも悪魔の証明になっちまうな」
Ushiromiya Jessica,「……なるぜ。……愛人との間に子どもが“いなかった”ことは証明不能。……現にこうして現れた以上、“いた”ってことになっちまうわけか」
Ushiromiya George,「少し暴力的な理論だね。……右代宮家の遺産問題でトラブルが生じていることを聞きつけ、何者かがお祖父さまの大昔の愛人関係を知り、それを装って遺産問題に食い込もうとしているとかの方が現実的だよ」
Ushiromiya Battler,「……現実的ではある。…しかし、本当に彼女が隠し子で、しかもその上、祖父さまに顧みられなくて孤独に生き、復讐に帰ってきたって設定も、否定はできねぇよな…？」
Ushiromiya Jessica,「復讐ぅ？！　何だよそれぇ！」
Ushiromiya Battler,「あぁ、スマンスマン…。男なんでよ、ついつい面白そうな方に脚色しちまうぜ。妙なドラマの見過ぎだな。いっひっひっひ！」
,本来なら、それは軽薄な冗談のはず。
,……しかし、誰も招いていなかったという謎の来客はベアトリーチェを名乗り、親族同士でも血生臭い議題となろう遺産分配を話し合う親族会議の日に、乗り込んでくる。
,………戦人の冗談が、笑いをもって迎えられようはずもなかった。
,だから、南條が場を和ますために快活に笑い出してくれたのはとても助かることだった。
Nanjo Terumasa,「はっはっはっは…。なるほどなるほど、それはなかなか面白そうですな。そんな筋書きの小説をぜひ読んでみたいものです」
Ushiromiya Battler,「まぁ、現実にはそんなことはできねぇと思う。……何しろよ、今、この島には、ひぃふぅみぃ…、１８人もいるんだぜ？」
Ushiromiya Battler,「妙なことをすればすぐにでも取り押さえられちまう。それに、台風のお陰で島から逃げ出すこともできない。つまり、とんでもない事件を起こそうにも、どうにもならねぇってことさ」
Ushiromiya George,「……同感だね。退路の断たれた袋小路で、しかも充分怪しまれているような状況下で、そんな恐ろしい復讐劇なんか、とてもできるとは思わないね」
Nanjo Terumasa,「でしょうなぁ。…ならば、姿など現さずに暗躍しての復讐の方が現実味があるというものです。堂々と姿を現して仇討ちなど、時代劇の中でしか考えられませんなぁ」
Ushiromiya Jessica,「わからねぇぜ？　復讐ってのは感情でやるもんだ、理屈じゃねぇぜ。それこそ、刺し違えてでもなんて考えたら、別に警察も人数も退路がなくても、何も怖くはないかも知れねぇぜ」
Ushiromiya George,「大丈夫だよ朱志香ちゃん。僕たちが想像するような物騒なことは何も起きないよ」
Ushiromiya Battler,「いっひっひ！　遺産を巡って伯父さんたちがバトルロイヤルってのが、物騒なことじゃねぇってんならなー」
Ushiromiya Jessica,「……そうだよな。…父さんも留弗夫叔父さんも体格いいし、絵羽叔母さんなんか格闘技習ってんでしょ。……大丈夫だよね。うん…」
,朱志香は口に出さないが、自分の父親が遺産を巡り、他の兄弟たち全員と対立していることをうっすらと察していた。
,彼らは子どもの前では仲が良さそうに振舞うが、一度ボロを出せば、さっきの晩餐のように、喧々諤々の大騒動なのだ。
,それを察する朱志香としては、父や母が何かのトラブルに巻き込まれて、…恐ろしいことの犠牲になるのではないかと恐れるのも無理ないことだった…。
Ushiromiya Battler,「だよな。譲治の兄貴の言う通りだぜ。…何も起こらねぇよ。魔女さまの名前を騙ろうとも、魔法も使えない{i:人間の女}がひとりで何ができるってんだ」
Ushiromiya Maria,「きっひひひひひひひひひひひひひひひひひひひ…」
,唐突に聞こえてきた不気味な笑い声に、全員がぎょっとする。
,……その奇怪な笑い声は、真里亞が発していたものだとわかり、二度驚く。
