Speaker,PS3 Japanese - Censored (JPC)
Kanon,「お嬢様、どうか気をお静め下さい…！」
Gohda Toshiro,「誰が犯人かはまだわかりませんぞ！　それにベアトリーチェさまは、お館様の大切な賓客です…！」
Ushiromiya Jessica,「だから何だってんだッ！！　本人の胸倉、捻り上げてやれば白状するに決まってるぜ！！　目を見ればわかるんだよッ！！　私が見破ってやる！！　何が魔女だベアトリーチェだッ！！　バケの皮を剥いでやるッ！！」
,朱志香は決して足を止めなかった。{n}郷田と嘉音は早足に追いながら懸命に説得を続けるが、朱志香は決して耳を貸そうとはしなかった。
,やがて、“魔女の貴賓室”が見えてくる。{n}この貴賓室は、決して使われることのない開かずの間だった。
,…どのような来客であっても、金蔵はこの部屋に通さなかったのだ。
,……なのに、使用人たちには常にこの部屋を掃除させ、いつでも使用できるようにさせていた。
,だからこの部屋を使用人たちは、姿なきもうひとりの主の部屋、“魔女の貴賓室”と呼ぶようになっていたのだ。
,それは朱志香も知っていた。そして、その貴賓室に泊まることで、自らを魔女と名乗る傲慢が許せなかった。
,……黄金の魔女などおとぎ話だ。何が魔女だ！　自分にとっては、両親を惨たらしく殺した殺人者以上でも以下でもない！
,問い詰められ、苦しい言い訳を吐き、苦しい唾を吐いて苦しい息を吐いて。
,…どんなに魔女を装おうとも、汗臭いニオイのするニンゲンであることを教えてやるッ！！
,朱志香はあらん限りの力と大声をあげながら、貴賓室の扉を叩く。
,それは断じてノックではない。…開けぬなら打ち破ってやるという怒りの槌の打撲音だった。
Ushiromiya Jessica,「開けろよッ、ベアトリーチェ！！　出て来い！！　聞こえてるんだろう？！　ここを開けろッ！！！」
,返事はない。…朱志香は構わずトアノブを捻るが、施錠の手応えがあった。
,朱志香は使用人の二人に振り返り言い放つ。
Ushiromiya Jessica,「ここマスターキーで開くんでしょ？！　開けてッ！！」
Gohda Toshiro,「お嬢様…！　それは大変な失礼に当たります…！！」
,郷田はおろおろしながらも、何とか朱志香の怒りを治めようとする。
,……嘉音はしばらく無言で俯いていた後、上着のポケットからマスターキーを取り出した。
Gohda Toshiro,「嘉音さん…！　いいんですか？！」
Kanon,「……もしおられたなら、無礼になるのは承知です。………それに。…もし、ベアトリーチェさまが何の関係もないというなら、それを僕たちに釈明して納得させればいい」
Ushiromiya Jessica,「そ、……そうだぜ、その通りだ！！　借りるぜッ！」
,朱志香は嘉音の手からマスターキーを引っ手繰ると、それを乱暴に鍵穴にねじ込む。
,…すぐに軽やかな音がして開錠の手応えがした。
,そして断ることなく、その扉を開け放つ。
Ushiromiya Jessica,「ベアトリーチェッ！！！　どこだ？！　出て来い！！」
,朱志香は構わずずかずかと室内に踏み入る。{n}…魔女の姿はなかった。
Ushiromiya Jessica,「…くそったれッ！！　いねぇぜ！！　どこ行きやがったッ？！」
Gohda Toshiro,「………お、お姿がありませんね…」
,朱志香は室内のどこかに隠れているかもしれないと、カーテンの陰やベッドの下を覗き込んだが、見つけることはできなかった。
,でも、確かにベッドには使用の痕跡があって、……曖昧な言い方なのだが、部屋の空気が少しだけ柔らかくなっていた。
,礼拝堂のような、普段は無人の場所の硬い空気ではない。{n}確かにこの部屋に人が宿泊していたことをうかがわせる気配がある。
,しかし姿はなかった。
,実を言うと、朱志香も郷田も、まだベアトリーチェには会っていない。
,…肖像画に瓜二つの人物だと会った人間たちに聞かされただけだ。
,…だから、実際はどんな顔をしているのだろうと訝しがっていた。
,…しかし、嘉音だけは会っている。そしてあの魔女がどういう存在で、……どんな性分なのかを理解している。
,だから、自分たちが彼女の姿を求めてここへ押しかけたなら、絶対、思い通りになどさせるわけがないのだ。
