Speaker,PS3 Japanese - Censored (JPC)
{f:5:Beatrice},「この馬鹿がッ！！　決まっておろうがッ！！　殺したらそなたが歪めるだろうその表情が楽しいからの他に何の理由が必要なのかッ！！　くっひゃはははははははは！！」
{f:5:Beatrice},「ほらほら、目を瞑らずにちゃんと見ろよォ。ほらほら、ほらほら！　魔法だよォ家具だよォ、そなたがどんなに妾や魔法の存在を否定しようとも、ほらほら、ほらほらほらほらァ！！　ぎゃっはっはっはははァ！！」
{f:5:Beatrice},「悪いなァ、戦人ァ。結構面白かったぜェ。しかしお師匠様の言う通りにしてみたんだが、本当に結構、いいとこまでイケたなぁ！　何でも、ツンツンと残虐を尽くした後に程よくヘタれてデレて見せると、好感度ってヤツが大幅アップするんだろー？　くっきゃはっはっはっはっはァ！！」
,その寂しげな音色は、吹き抜ける荒涼とした風の音。{n}薔薇の茂みに輝く花びらの色は、黄金。
,その黄金の薔薇園に舞い散る花びらのように、にぎやかに舞っていた黄金の蝶たちの群は、どこにも見ることが出来ない…。
,黄金郷の主は、黄金の魔女、ベアトリーチェ。{n}彼女を例える言葉は、残虐非道。傍若無人。{n}そして天真爛漫。
,笑えば笑うほどに品を失う彼女のあの笑い声を、……もう聞くことは出来ない。
,黄金の魔女ベアトリーチェは、黄金の薔薇園に負けない美しき装飾のデッキチェアに、人形のように座っている。
,……くつろいでいるわけではない。
,その瞳は虚ろ。問い掛けども応えることはなく。{n}さりとて眠ることを許されたわけでもなく。{n}ベアトリーチェは、人形のように座っている……。
,その髪を解き、ワルギリアは櫛で丁寧に手入れをしていた。
,もし、髪型について、ああだこうだと彼女が文句を口にしてくれたなら、それは紛れもなく、いつものベアトであっただろう。
,……しかし、彼女は何も応えず、何も反応しない。{n}だからワルギリアはまるで、大きな人形の黄金の髪を梳いているようにしか見えない…。
,その傍らにはテーブル。
,卓上にはチェス盤と、入り混じり混戦する白と黒の駒たちが。
,しかしその駒はチェスのそれとはどこか趣きが違う。{n}…チェスとよく似た別のゲームかもしれない。
,そして向かいには、……椅子に深々と腰掛け、次の一手を熟考する青年の姿が。
,…いや、次の一手ではないのかもしれない。
,時折、盤面の駒の配置を変え、局面を変えては再思考を繰り返す。
,過去の譜面を再現し、その指し手の思考を探っているのかもしれない。
,かつて。右代宮家の当主、金蔵は、チェスの譜面を知ることを、過去の名人たちの思考を探る旅と例えたことがある。
,右代宮戦人は、旅をしている。
,――この譜面を生み出し、この指し手を示した黄金の魔女の思考を探る旅に。
,戦人は一手進めたはずの黒い駒を、元の場所に戻して深く溜息を漏らす。
,戦人の駒は白だ。しかしそのチェス盤は、戦人側が黒の陣地となっていた。彼はベアト側のつもりで、譜面を再現しているのだ…。
Ushiromiya Battler,「……お前の指し手は、やればやるほどに、理解できねぇぜ」
,戦人とて、…その問い掛けにベアトが応えるとは思っていない。
,いや、……それでもひょっとしたら応えてくれるかもしれないと思って、…独り言を装い、口にした。
,ベアトは、……その瞳に、何も映さない。{n}そしてその口が、何を語ることもない。
{f:5:Beatrice},「…………………………………」
,黄金の魔女は、……自らを殺してくれと懇願してから、…生きることを放棄した、屍なのだから。
,眠っているわけではない。{n}……ゲームを降りられない彼女に眠りは許されない。
,だからきっと、耳には届いているはずなのだ。{n}しかし、……彼女の心に言葉は、届いていないだろう。
,今や黄金の魔女は、戦人の指し手を嘲笑うこともなければ、褒めることも貶すこともない。
