Speaker,PS3 Japanese - Censored (JPC)
Shannon,「……私はその、今でもそうなんですが、うっかり屋さんで…。よく、ものをどこに置いたか忘れたり、鍵を掛けたつもりが忘れちゃったりとかして、……迷惑を掛けてたんです」
Ushiromiya George,「ははは、昔はよく夏妃伯母さんに怒られてたねぇ」
Ushiromiya Jessica,「でも紗音は途中から克服したんだぜ、その忘れっぽいの」
Ushiromiya Battler,「へぇ、克服って？」
Shannon,「……うふふ。大したことじゃないですけど、……その、小まめにメモを残すようにしたんです。大切なものはどこに置いたのか、ちゃんとメモして。……日々繰り返すことは、メモにチェックリストを書いてちゃんと点検して……」
Furudo Erika,「それで？　あなたはベアトリーチェを見たんですか、見てないんですか」
Shannon,「あ、えっと、……直接、見たわけじゃないんですけど、……その、……やっぱりおかしいことがあって…」
,それは、……ある夏の夜のお話。
,紗音が夜の見回りをしていた時のお話……。{n}紗音にとっては、怪談。
,魔女にとっては、……夏の夜の、ちょっとした悪戯のお話…。
{f:5:Beatrice},「我が妹よ。そなたはニンゲンの持つ反魔法の毒を理解しておるか？」
{f:5:Beatrice},「い、いいえ。何ですか、お姉様」
{f:5:Beatrice},「うむ。魔女の時代はもはや遠い過去。……万物を支配したとのたまうニンゲンどもは、我らの存在を否定する、強い毒を持つに至ったのだ」
{f:5:Beatrice},「その毒は、私たちには有害なのですか…？」
{f:5:Beatrice},「極めて危険だ。浴びればたちどころに我らの姿を蒸発させてしまうだろう。しかし、不幸中の幸いなことに、我らの存在は未だ極めて希薄だ。そのお陰で、毒の影響も甚大ではない。せいぜい、一時、姿を霞にされてしまうくらいだ」
{f:5:Beatrice},「しかし、好んで浴びたいものではない、ということですね」
{f:5:Beatrice},「その通り。さすがは妾。理解が早い」
,姉は、一見すると横柄そうに見えるが、………自分の分身にして妹という存在が嬉しくて仕方ないのか、どんなことでも懇切丁寧に教えてくれた。
,まず、彼女が教えてくれたのは、自分たちは魔女であり、ニンゲンとは異なる存在であるということ。
,ベアトは、魔法が使えない自分は魔女でないと思ってきたが、どうも魔法が使えなくとも、自分は魔女という存在であるらしかった。
,そして、魔女である自分はニンゲンとは異なり、色々な制約があることを教えてもらった。
,その最たるものが、ニンゲンの持つ反魔法の毒。
{f:5:Beatrice},「つまり、簡単に言えば、ニンゲンの視界に入ってはならない、ということですね…」
{f:5:Beatrice},「その通りだ。ニンゲンの目は毒を放つものと同じに考えよ。ヤツらに見られるということは、身を焼かれるのと同じことだ。それには劣るが、聞かれること、気取られることすらも、毒を含む」
{f:5:Beatrice},「……私たちは、ニンゲンに近付くだけでも大変なのですね…」
,お父様は、ニンゲンじゃなかったっけ…。{n}どうして私は、お父様の毒には焼かれないのだろう……。
{f:5:Beatrice},「我らが魔力を蓄え、それをニンゲンも認めたなら、その毒は限りなく軽減される。即ち、我らの存在を認めさせることが、ニンゲンたちから毒を失わせ、再び彼らの前に降臨することも出来るというわけだ」
{f:5:Beatrice},「なるほど……。今の私たちは基本的に、ニンゲンたちの居ぬ間のみに、存在できるわけですね…」
{f:5:Beatrice},「魔力がまだまだ足りぬ妾たちは、人影に怯え物陰にコソコソと隠れる野良猫にも劣る存在というわけよ」
,姉の一番の目的は、大きな魔力を得て、反魔法の毒に怯えなくてもいいほどの大魔女に復活すること。
,その為に彼女は、夜な夜な屋敷を徘徊しては、魔力を回復し、ニンゲンたちの反魔法力を軽減する努力を繰り返していた…。
,フェザリーヌの書庫で読んだ、過去の偉大なるベアトリーチェは、ニンゲンの前に堂々と姿を現し、自由自在に弄んでさえいた。
,……その境地は、姉に言わせればかなりのものらしい。
{f:5:Beatrice},「人前に堂々と姿を現し、魔法を自由自在とな！　……妾とて想像もつかぬ大魔女の境地よ。それが、妾たちの未来の姿だというのか」
{f:5:Beatrice},「はい。……お屋敷のニンゲンたちの前に堂々と姿を現し、魔法や眷属を次々に召喚できる、まるで絵本の中の魔女のようですらありました…」
{f:5:Beatrice},「ふむ、夢のある話だ。それが妾たちの未来ならば、努力に励む張り合いがあるというもの」
{f:5:Beatrice},「そうですね。……それでお姉様。そのための努力と、こうして窓の鍵を開けて回ることにどんな関係が…？」
