Speaker,PS3 Japanese - Censored (JPC)
Kumasawa Chiyo,「さささ、今は大丈夫ですよ、急ぎましょう」
{f:5:Beatrice},「お、お父様が甘い物をお好きだといいのですが……」
Kumasawa Chiyo,「えぇ、お好きですもの。甘い物に限らず、何でもよくお召し上がりになりますよ。ほっほっほっほ」
,書斎の主の不在の隙をついて、ベアトと熊沢が書斎に入る。
,そして、書斎机の上の書物を簡単に片付け、そこに持ってきたバスケットを置き、その中身を広げた。
,それは、……可愛らしい蝶の型に抜かれたクッキーだった。
,可愛らしいお皿を置き、そこに飾るように丁寧に盛り付けた。
,食べる側からしたら、気にも留めないようなささやかな気配り。そういうものに満ち溢れていた。
{f:5:Beatrice},「愛しのお父様とやらのために、精が出るな」
{f:5:Beatrice},「今の私に許されていることは、……こんなことくらいですので」
{f:5:Beatrice},「妾が、戦人にクッキーをか…。なぜに、夜の支配者である妾が、稀な客人である戦人にそこまで尽くすのか、わからぬ」
,その時、書斎の扉が激しく開いた。
,それは、源次を伴った、戦人だった…。
,戦人はベアトがいることに、一瞬だけ目を丸くしたものの、すぐに淡白な表情に戻った。
Ushiromiya Battler,「……ここで何をしている」
{f:5:Beatrice},「お父様、……失礼しました。決して、大切なゲームの邪魔に来たわけでは……」
Ushiromiya Battler,「どうしてここに入れた…？　ここには鍵が掛かっていたはず」
Ronoue Genji,「……申し訳ございません。お館様に内密で差し入れをお届けしたいとのことで、私が鍵をお貸ししました」
Kumasawa Chiyo,「ほら、見て上げて下さいませ…！　お館様に喜んでもらおうと、ベアトリーチェさまが一生懸命、クッキーを焼いたんですよ」
{f:5:Beatrice},「熊沢さんと源次さんに習いました…。源次さんがクッキーを焼くのがお上手だったなんて、とても驚きました」
Kumasawa Chiyo,「ほっほっほ。最近は全然ですけど、昔の源次さんは、それはもう、色々なお料理を作ってくれたんですよ。特にお菓子作りはお上手で…！」
Ushiromiya Battler,「クッキー…？」
{f:5:Beatrice},「は、はい。お父様への差し入れです。大切なゲームの必勝を、心よりお祈りいたしております…」
,戦人は、書斎机の上に置かれた、美しい盛り付けのクッキーの皿と、応援のメッセージカードを見て、………悲しみとも、嫌悪ともつかない、複雑な表情に眉間を歪める…。
Ronoue Genji,「…………お館様…」
,源次のその促しは、ベアトに対し、何らかの労いの言葉を掛けてはどうか…、というものだ。
,戦人もそれはわかっている。{n}……このような好意を受けて、悪い気がするわけもない。
,それが理屈でわかっていても、………彼は口から、小さく溜め息を漏らすことしか出来なかった。
