Speaker,PS3 Japanese - Censored (JPC)
Ushiromiya Lion,「……お祖父さまにとって、……ベアトリーチェという女性が、どれほど人生の大部分を占めてきたか、わかった気がします」
Willard H. Wright,「何もわかってなんかいねェ。“ベアトリーチェを誰が殺したか”。それがわからなきゃ、俺たちはいつまでもここから出られねェ」
Ushiromiya Lion,「……そうでしたね。早く、終わらせなければ。葬儀はもう終わっているのですからね」
Willard H. Wright,「………………………。違ぇな。葬儀なんだ。……これがな」
Ushiromiya Lion,「私たちのさせられていることが、ですか…？」
Willard H. Wright,「これまでに聞いたどのベアトリーチェも、殺されてなどいない。……それを、俺たちが“殺された”ことにしようとしている。ベルンカステルにとっては、これこそが本当の葬儀なんだ」
Ushiromiya Lion,「…………誰も“殺された”ことを知らない。それを、私たちが暴こうとしている？」
Willard H. Wright,「お前、……つくづく察しがいいな。下層の駒と話してるとは思えん。俺のワトソン役として与えられた“駒”だから、か。…………痛ェ！」
Ushiromiya Lion,「相棒を駒呼ばわりとは失礼な方です。……さ、次は何を？　ウィラード・ホームズ？」
Willard H. Wright,「捜査の基本は聞き込みだろ。まだ、聞くべきベアトリーチェは残っている」
,ウィルが、次は彼らに話を聞こうと、顎で示す先には、譲治、朱志香、真里亞たちのいとこグループがいた。
,真里亞が元気に何かを講釈していて、それに譲治たちが耳を傾けているようだった。
Ushiromiya George,「へぇ。すごいんだねぇ、ベアトリーチェは」
Ushiromiya Maria,「うん！　伏せたカップの中にね？！　魔法で、キャンディをいっぱい生み出してくれたの！」
Ushiromiya Jessica,「伏せたカップの中に？　そりゃすげぇぜ。確かに魔法だ」
Ushiromiya Lion,「……真里亞ちゃんは、魔女とか魔法とか、そういうものが大好きですから」
Willard H. Wright,「魔女の権威に、話を聞かないわけには、いかねぇな」
,ベアトリーチェを語れと言えば、真っ先に挙手するのが彼女だろう。
,彼女の語るベアトリーチェは、金蔵たちの語る、本当のベアトリーチェのことではない。
,しかし、１９８６年の六軒島にて、ベアトリーチェの名が指す存在は、むしろ真里亞が語るベアトリーチェの方だろう。
Willard H. Wright,「………戦人の姿が見えないな」
,右代宮戦人。……ベアトリーチェの対戦相手として、数多のゲームを戦わされた、このゲームの、物語の、最も重要な人物だ。
,この世界にいる戦人は、恐らく駒の方だろうが、それでも、何か重要な情報が聞き出せるはず。
,……戦人にも話を聞こうと思っていたのだが、その姿はいとこグループになかった。
Ushiromiya Lion,「戦人くんは、今回の葬儀には欠席しています。もっとも歳の近いいとことして、残念です」
Willard H. Wright,「仲はいいのか」
Ushiromiya Lion,「えぇ、もちろん」
Willard H. Wright,「………戦人が何かスケベな失言をする度に、しりをつねってるんだろう」
Ushiromiya Lion,「おや、よくご存知で。推理は可能でしたか？」
Willard H. Wright,「戦人に同情すらァ」
,……ベルンカステルは、全てここに揃っていると言った。
