Speaker,PS3 Japanese - Censored (JPC)
,静かに、静かに。……雨が降っている。
,悲しみの雨は、礼拝堂の外壁を濡らして流し、現世の塵を静かに払う。
,礼拝堂の扉は開かれていた。
,婚儀ならば、参列者は招待状を持つ者に限られる。
,しかし、葬儀ならば、故人を偲ぶ者すべてに、扉は開かれている。
,……だからこれは、葬儀に違いなかった。
,傘を持つ人影が、礼拝堂へ近付いていく。
,それは、……ウィルだった。
Willard H. Wright,「………………………」
,礼拝堂の入口には机が出され、受付が設けられていた。
,その人影に気付くと、受付に座っていた嘉音は立ち上がり、黙礼で迎えた。
Kanon,「……こちらが受付でございます。弔問の皆様にはご芳名を賜っております。ご記帳をお願い致します」
Willard H. Wright,「悪いな。弔問じゃねェ。……待ち合わせだ」
,葬儀の会場で、待ち合わせ…？　嘉音は怪訝そうな表情を浮かべる。
,ウィルは懐より、一通の封筒を取り出すと、その差出人名を示した。
Kanon,「………失礼いたしました。どうぞ、お入りを」
Willard H. Wright,「すまねェな。……せめてそいつを、もらえるか」
Kanon,「……ありがとうございます。……きっと、お喜びになられると思います」
,嘉音は、弔問者に渡している手向けの黄金の薔薇を一輪、手渡す。
,ウィルはそれを受け取り、……静かに頭を下げてから、礼拝堂に入った。
,礼拝堂の中には、故人の遺族と思われる人々が、何人かのグループに集まっていて、それぞれが故人の思い出に耽っているようだった。
Ushiromiya Kinzo,「うぉぉおおぉぉぉ…。ベアトリーチェぇえぇ…、なぜにッ、なぜにぃいいぃいぃ…おおぉおぉぉぉ……」
Ushiromiya Natsuhi,「お父様、どうかしっかり……。控え室の方で少し休みましょう…」
Ronoue Genji,「……………………」
Ushiromiya Rosa,「私が殺したのよ…、私が……！」
Kumasawa Chiyo,「とんでもない…！　どうして楼座さまが殺したことになりましょう…」
Ushiromiya Kyrie,「お父さん、すごい泣きようね」
Ushiromiya Rudolf,「……ベアトリーチェぇぇぇ、か」
Ushiromiya Eva,「絶対、お母様が亡くなった時より泣いてるわ」
Ushiromiya Hideyoshi,「こら。今はそんなこと言う時、ちゃうで」
,あるグループは涙を隠すことなく咽び、あるグループは遠い昔の思い出のように静かに語り合い。
,……それぞれの形で、故人を偲んでいる、……ように見えた。
,ウィルが祭壇へ近付くと、何人かが振り返る。{n}もちろんウィルに面識のある人間など、いようはずもない。
,ウィルは気にせず、黄金の薔薇で埋めるように飾られた祭壇の、棺の前に立つ。
,……棺の中に、遺体はなかった。
,そこにはまるで、体の代わりとでも言うように、……一冊の、豪華な装丁の分厚い本が納められている。
,そしてその周りを、無数の黄金の薔薇が埋めていた。
,本の表紙に、文字が記されている。
,“愛するベアトリーチェへ。１９８６年１０月５日”
Willard H. Wright,「……ミス・ベアトリーチェ。ミセスだったら許しな。……会ったことはねェ。だが、お悔やみ申し上げるぜ」
,棺の中に、入口で受け取った薔薇を置く。
,……ベアトリーチェなる御婦人とはまったく縁はない。{n}しかし、この葬儀の場に訪れた以上、死者への最低限の礼儀はあるべきだ。
,その最低限に従い、ウィルは故人の冥福を祈った……。
Ushiromiya Krauss,「失礼だが、……どちら様かな？　私は右代宮蔵臼。喪主の代行です。こっちは子供の理御」
Ushiromiya Lion,「初めまして。右代宮理御です」
Willard H. Wright,「……理御？　………誰だ、お前」
Ushiromiya Lion,「理科の“理”に、御するの“御”で、リオンと読みます。……ちょっと日本人っぽくない名前ですよね」
Willard H. Wright,「………………………」
,ウィルは怪訝そうな顔をして、まじまじと理御の顔を見る。
,蔵臼に対しては特に何も関心がないのに、理御にだけは、何か思うところがあるようだった。
,関心、というよりは違和感という感じだった。
Ronoue Genji,「……旦那様。奥様がそろそろと……」
Ushiromiya Krauss,「む、そうか。……一同の諸君。ここで賑やかにしては、故人もうるさがるだろう。控え室の準備が整ったそうだ。場所を変えようではないか」
,蔵臼が一同に呼びかけると、皆ぞろぞろと、礼拝堂内の控え室へ移動していく。
Ushiromiya Krauss,「すまん。理御はしばし、お客様のお相手を頼む。私はみんなを控え室に案内する」
Ushiromiya Lion,「はい、父さん」
,それは、父と子のまったく違和感のない、自然なやり取りに見えた。
Willard H. Wright,「親子、なのか」
Ushiromiya Lion,「そうですが、何か…？」
Willard H. Wright,「右代宮蔵臼の子供は朱志香のはずだ」
Ushiromiya Lion,「朱志香は妹です。お呼びする必要はありますか…？」
Willard H. Wright,「………………。……いや、ない」
,どうやら、……さっそく、何かの座興が始まっているらしい。
,ウィルは面倒臭そうに頭を掻きながら、辺りをじろりと見回す。
Ushiromiya Lion,「……失礼ですが、貴方様は、故人とはどのようなご関係で？」
Willard H. Wright,「まったく何もねェ。……迷惑な話さ」
Ushiromiya Lion,「…………ではあなたは、どうしてこの葬儀に？」
,温和な理御だから、きょとんとした表情で済む。{n}……普通の人間ならとっくに、怪訝な表情を浮かべている頃だろう。
,ウィルは面倒臭そうに頭を掻きながら、理御以外の誰かに向かって不機嫌そうに怒鳴った。
Willard H. Wright,「来たぜ。そろそろ顔を出しやがれ」
,すでに右代宮家の親族たちは、蔵臼の号令で皆、控え室に移動している。
,この、黄金の薔薇に飾られた寒々しい広さを持つ礼拝堂には、すでにウィルと理御の二人の姿以外は存在しなかった。
,「……よく来たわね。……異端審問官、魔術師狩りのライト」
,その少女の声は、彼らの後ろから唐突に聞こえた。
,理御が驚いて振り返ると、祭壇の上に、何処からかフワリと舞い降りた少女の姿があった。
,神聖な、それも葬儀の祭壇の上に、さも当然のように土足で舞い降り、黄金の薔薇を踏み躙る…。
,無論、理御はその少女のことなど知りもしない。
,……次々と現れる、葬儀と無関係の人間たちの登場に、何が起こっているのかと目を白黒させるのがやっとだった。
Willard H. Wright,「俺はもう引退だ。仕事なら新しいライトに頼みな」
{f:5:Bernkastel},「いいえ。あなたに頼みたいのよ。この事件を。……送った“物語”は読んでくれたかしら…？」
Willard H. Wright,「……斜め読み程度にはな」
Ushiromiya Lion,「あ、貴方がどなたか存じませんが、そこから降りて下さい。そこは神聖な祭壇ですよ」
,理御は我に返り、少女に祭壇から降りるように言うが、当の少女はまったく意にも介さない。
,そしてウィルも、理御などまったくどうでもいいかのように、少女との話を続けていた。
Willard H. Wright,「理御とか言ったな。こいつは何者だ」
{f:5:Bernkastel},「その子が名乗った通りよ」
,右代宮、理御。
,そのような名の人物が登場した例は、過去のゲームにない。
Willard H. Wright,「お前の駒なのか」
{f:5:Bernkastel},「いいえ。このゲーム盤の、正しく正当な駒。登場人物よ」
Willard H. Wright,「ゲームマスターはお前だ。なら、お前の駒だろう」
{f:5:Bernkastel},「くすくす……。……ベアトの猫箱より、もっと大きな猫箱で閉ざしただけよ。理御は、その中で生まれ得る可能性を持つ、一つの駒」
Willard H. Wright,「………そういうことか。……結局、お前の駒というわけだ」
{f:5:Bernkastel},「私が置いた駒、という意味では正しいわ」
Willard H. Wright,「ただし、ヱリカのような配下の駒ではない、ということか」
{f:5:Bernkastel},「……ヱリカって誰？　……くすくすくす」
Willard H. Wright,「…………………」
Ushiromiya Lion,「……ヱリカ、さん？　？？？？」
Willard H. Wright,「理解しようとするな。頭痛にならァ」
,理御には、彼らが何の話をしているのか、さっぱり理解できない。
,しかし、面識さえない彼らが、右代宮家の内情について詳しく知っていることは、間違いなさそうだった。
Ushiromiya Lion,「わ、私には貴方たちが何の話をしているのかわかりません…。とにかく、そこのお嬢さん。その祭壇から降りて下さいっ。右代宮家、次期当主としてお願い申し上げますっ」
,平然と祭壇に土足で立って会話を続ける少女に、とうとう理御も声を荒げる。
,だが、当の少女はまったく意にも介さない。{n}しかし、ウィルはわずかに反応を見せた。
Willard H. Wright,「………次期当主は蔵臼のはずだ」
Ushiromiya Lion,「父、蔵臼は、私が二十歳になるまでの間の当主代行です。二十歳になると同時に、次期当主である私が、当主を継承することになっています」
Willard H. Wright,「初耳だ。証拠はあるのか」
,温和な理御も、さすがにそろそろカチンと来たようだった。{n}その穏やかな表情の眉間が、少しだけ歪む。
Ushiromiya Lion,「これは次期当主に許されている、片翼の鷲の、銀の指輪です。これで証拠になりますか？」
Willard H. Wright,「………銀の指輪？　金の、当主の指輪は何度も登場したが、次期当主の、銀の指輪など初耳だ。……蔵臼も朱志香も、そんなものを指に通していた記憶がねェ」
{f:5:Bernkastel},「くすくす……。嬉しいわ。斜め読みにしてはちゃんと読んでくれてるじゃない」
Willard H. Wright,「魔女の寄越す文章は、どこにろくでもねぇことが書いてあるか、わかったもんじゃねェ。ましてやそれが、元老院の大魔女と来りゃあな」
Ushiromiya Lion,「あ、……貴方がたは、……一体、何者なんですかっ？！　失礼だが、私には何の話をしているのか、さっぱりわかりませんっ。故人への献花がお済でしたら、どうぞお引取りを。どうやら貴方がたは、当家がお持て成しすべき方々ではないようです」
,理御の堪忍袋の緒も、とうとう切れる。{n}温和な理御なりの、最大限の厳しい言葉がぶつけられた。
,しかし、ウィルと少女には、まるで蛙の面に水という感じだ…。
Willard H. Wright,「俺も、来たくて来たわけじゃねェ」
{f:5:Bernkastel},「時間の無駄だから話を進めるわ。……ライト。このゲームに挑みなさい。ゲームマスター、ベルンカステルの名において、このゲームにあなたを招待してあげるわ」
