Speaker,PS3 Japanese - Censored (JPC)
,作業着を着た業者たちが、ホールの一角にブルーシートを敷いていた。
,壁を採寸したり、工具を並べる様子から、何かの工事の準備であることが見て取れた。
Ronoue Genji,「お館様が、とても大切にされております。くれぐれも、傷つけることがないように」
,施工業者の社長が、わかってますわかってますと何度も頷く。
,そこへ、若い作業員たちが６人掛りで、白いシーツのようなものに包まれた、大きな長方形を運び込む…。
,「よーし、気をつけろー！　そっとだぞ、そっと置け」
,「じゃあ、この場所でいいすかー」
,「おーし、始めるぞー」
,どうやら、その大きな何かを、ホールの壁に取り付ける工事のようだった…。
Ushiromiya Natsuhi,「………あれを、あそこに飾るというのですか」
Ushiromiya Krauss,「そうご希望だ。この屋敷とて、親父殿の玩具に過ぎんよ」
,夏妃は深くため息をつく。
,敬愛する金蔵の気紛れとはいえ、……屋敷の顔である玄関ホールに、それが飾られることには、強い抵抗があるようだった。
,白いシーツが取り払われると、そこには、ドレス姿の美しい西洋女性の姿が現れる…。
,それは、女性の姿を描いた、巨大な肖像画だった……。
Ushiromiya Kinzo,「順調であるか」
Ronoue Genji,「はい。夕方までには完了します」
Ushiromiya Kinzo,「早く、堂々と掲げられたところが見たい。監督を頼むぞ、我が友よ」
Ronoue Genji,「お任せを」
Ushiromiya Krauss,「……お父さん。立派な絵が出来たようですね」
Ushiromiya Kinzo,「うむ。素晴らしい出来栄えだ。満足しておる」
Ushiromiya Natsuhi,「……お父様に黄金を授けられたという、恩人の女性ですね」
Ushiromiya Kinzo,「そうだ。……ベアトリーチェとの出会いがなければ、今の私はなく、右代宮家もなく、無論、この屋敷もなかったであろう。彼女の肖像画を、もっとも良い場所に飾るのは当然のことである」
,そこまで言い切られてしまっては、もう今さら、何も言い返せない。
,蔵臼と夏妃は、肩を竦める他なかった。
Ronoue Genji,「……お館様。碑文のプレートです。内容のご確認をお願い致します」
Ushiromiya Kinzo,「うむ。一言一句、間違っていてはならんからな…」
,碑文…？　蔵臼たちは小首を傾げ、金蔵の後を追う。
,業者の社長が、毛布に包まれたプレートを広げていた。
,絵の名前や謂れなどを記したものだろうと思ったが、それにしては、ずいぶんと文字量があるようだった…。
Ushiromiya Natsuhi,「………お父様。これは……？」
Ushiromiya Krauss,「懐かしき、……故郷を貫く、鮎の川……？」
Ushiromiya Kinzo,「ふ。……ふっふっふっふっふ。好きに読み、好きに解釈するが良い」
Willard H. Wright,「……いよいよ、碑文と肖像画の登場か」
Ushiromiya Lion,「碑文、というものが私にはよくわかりません。私の世界にはないものですから」
Willard H. Wright,「だろうな。お前の世界には、お前という、明白な跡継ぎがいるからな。しかし、この世界にはいない」
Ushiromiya Lion,「それはつまり、……この碑文はやはり、お祖父さまが後継者を選ぶために設けたと…？」
Willard H. Wright,「恐らくはな。あるいは、奇跡を信じたのかもしれない」
,誰にも解けぬように作った、難解な謎。
,それを解ける人間がいるとしたら、……まさに奇跡の人間。{n}その奇跡が、……金蔵のもっとも欲する人間を、導いてくれるのではないか…。
Ushiromiya Lion,「つまりこの碑文は、やはり誰もが想像するように、魔女ベアトリーチェを復活させる、儀式を記したものなのですか…？」
Clair,「………普通に考えれば、これはそう読み取れるでしょう。１３人の生贄を捧げれば、魔女が蘇ると読み取れる、謎の儀式。……しかし、本当の儀式はそれではない。……奇跡的に解ける誰かを待つ。そちらこそが、本当の儀式。しかし、運命とは皮肉なもの」
Willard H. Wright,「源次は知っていた。……金蔵は始めから、源次が全てを知っていると思い、仕掛けたのかもしれねぇな」
Clair,「……その運命が偶然だったのか、仕組まれたものなのか。私にはわかりません。……しかし、その碑文により、魔女ベアトリーチェは、本当の意味での復活を遂げるのです」
{f:5:Beatrice},「………これが、………ベアト…リーチェ…」
,妾は、その巨大な肖像画に描かれた貴婦人に魂を奪われる。{n}それは、まさにその通りだったかもしれない。
,魂を奪われるというより、……魂が、より相応しい、在るべき場所へ戻るというべきか。
,美しいブロンドの髪は妾と同じだったが、結い上げられていた。
,纏うドレスは漆黒で、その黄金の髪をより引き立てている。
,………これが、魔女ベアトリーチェ。{n}これが本当の、……妾の姿なのだ……。
{f:5:Beatrice},「？　…………これは何か」
,肖像画のタイトルを記したにしては、文字量の多過ぎるプレート。
,懐かしき、故郷を貫く鮎の川……。{n}黄金郷を目指す者よ、これを下りて鍵を探せ。
{f:5:Beatrice},「……黄金郷…。……そうか、………妾の世界は、……黄金郷なのか…」
,妾はずっと、自分だけの世界を、理想郷と呼んできた。{n}しかし今宵、それは改められる。
,これより、妾の世界は、黄金郷。{n}我こそは、黄金郷の主、ベアトリーチェ……。
,……そして、第一の晩から続く、残酷な生贄の儀式。{n}第九の晩に、魔女は蘇り、誰も生き残れはしない……。
{f:5:Beatrice},「妾はこの儀式を執り行えば、……真の復活を得るというのか……」
,そして第十の晩に旅は終わり、黄金の郷に至る……。{n}魔女は賢者を讃え、四つの宝を授けるだろう。{n}一つは、黄金郷の全ての黄金。
,……金蔵は、ベアトリーチェより莫大な黄金を授けられ、今尚、それをどこかに隠していると噂される。
,これはやはり、家人や使用人たちが噂しているように、金蔵が隠した黄金の在り処を示す暗号なのだろうか。
{f:5:Beatrice},「………ニンゲンが至れば、莫大な黄金を手に入れるであろう。………しかし妾が至れば、自らの復活を得る…」
,……………………………。
,……金蔵め、老いぼれ魔術師め。{n}老い先短いと馬鹿にしていたら、こんな戯れを始めるとは。
,面白いではないか。……きっと妾が解いてやろうぞ。{n}そして、妾は本当のベアトリーチェとして復活するのだ。
,さすれば、妾は絶大な魔力によって、人も物も、昼も夜も、六軒島の全てを支配するであろうぞ……。
Gohda Toshiro,「あの碑文、宝の隠し場所を示していると、もっぱらの評判です…！」
Kumasawa Chiyo,「噂では、お館様は１０ｔもの黄金をお隠しになられたとか…！」
Kanon,「……ベアトリーチェに授けられたとか何とか。僕も噂を聞いたことはあるよ」
Shannon,「１０ｔの黄金なんて、……すごいですね。想像もつかないです」
