Speaker,Russian (RU)
Ushiromiya Battler,""".........Надо было брать судно......... судно......"""
Ushiromiya Maria,"""Па‐адаем! Па‐а‐адаем! У‐у‐у, у‐у‐у!!!"""
Ushiromiya Rosa,"""Мария, хватит!"""
Ushiromiya Rosa,"""......Но какой, однако, сюрприз. Я уж думала, что ничто на свете не способно напугать Баттлера‐куна."""
Ushiromiya Rudolf,"""Парень почему‐то на дух не переносит транспортные средства. Вечно орёт о том, как разобьётся или утонет, или ещё чего. Ты позоришь мужской род, это факт."""
Ushiromiya Battler,"""......Замолчи. Эту штуковину слишком уж трясло, ну правда... Я лишь слегка занервничал, ведь это был мой первый полёт на таком маленьком самолёте..."""
Ushiromiya Eva,"""Ты называешь это 'слегка занервничал'? Ху‐ху‐ху, сдаётся мне, что с тобой будет очень весело слетать на отдых за океан, Баттлер‐кун. Не хочешь ли в Египет со своей тётушкой? Тебе предоставится возможность провести на самолёте целых 14 часов."""
Ushiromiya Kyrie,"""Аха‐ха‐ха! Хорошая идея. Баттлер‐кун, тебе стоит позволить Еве нээ‐сан сделать тебя мужественнее. Но мой бог, как же ты был потешен! А‐ха‐ха‐ха!"""
Ushiromiya Hideyoshi,"""А‐ха‐ха‐ха, ну же, ну же. У всех есть свои сильные и слабые стороны. Нехорошо смеяться над ними. Вах‐ха‐ха‐ха!.."""
Ushiromiya George,"""П‐папа, ты же сам смеёшься. Эй, Мария‐чан, не надо больше смеяться."""
Ushiromiya Maria,"""Не надо смеяться? У‐у!"""
,"А‐а‐а, чёрт подери! Неужели боязнь самолётов — настолько серьёзный недостаток?{n}Ну, теперь все точно считают меня большущим олухом... Тц!"
,Мы разделились и взяли отдельные такси из аэропорта до гавани.{n}Оттуда мы отправимся на остров на судне.
,"Острова находятся напротив друг друга, поэтому плыть не так далеко.{n}30 неторопливых минут на воде."
,"Придя на причал, где стояло на якоре судно, мы увидели машущий нам рукой силуэт."
Ushiromiya Jessica,"""Джордж нии‐са‐а‐ан! Офигеть, как давно не виделись!!!"""
Ushiromiya George,"""Ах, Джессика‐чан, мы не виделись целый год! Ты снова подросла, не так ли?"""
Ushiromiya Jessica,"""Кья‐ха‐ха, да хорош, так неловко каждый год это слышать!"""
Ushiromiya Battler,"""......Э‐эй, Аники, да ты шутишь. Это правда Джессика?!"""
Ushiromiya Jessica,"""Секундочку, Джордж нии‐сан... Этот здоровяк... Баттлер?!"""
,Мы уставились друг на друга.
,"...Она определённо не выглядела такой взрослой в моих воспоминаниях, но её {c:86EF9C:ненормальную манеру речи} я не забыл."
Ushiromiya Battler,"""Здорово, Джессика! Что с тобой стряслось! Не может быть, да ты теперь на женщину похожа! А это что, буфера? Даже ты грудь отрастить умудрилась! Ихи‐хи, дай‐ка я их полапаю, дай‐каааа!"""
Ushiromiya Jessica,"""Отвали от меня, я застенчивый восемнадцатилетний цветок! Как волосы растут, так и всё остальное! Ты думаешь, у меня буфера для того, чтобы ты мог их взять и полапать, неудачник?! А сам то что? Есть чем подкрепить эти гигантские размеры?!! Мышцы‐то нарастить не забыл?!!"""
Ushiromiya Battler,"""Не смей меня недооценивать! Я продемонстрирую тебе результат моих многочисленных тренировок!"""
Ushiromiya Jessica,"""Да пошёл ты! Я выиграю у тебя по твоим же правилам!"""
,Эту упрямую деваху зовут {p:0:朱志香}.
,"......Она была рождена под той же несчастливой звездой, что и я, обладая таким же странным именем. Видите ли, {p:0:朱志香} читается как ""Джессика""."
,Она дочь старшего брата моего отца.
,"Этот старший брат приходится старшим сыном для семьи Уширомия, так что Джессика сейчас — прямая наследница."
,"Так как мы с ней ровесники и между нами было это мальчишеско‐девчачье соперничество, мы постоянно дрались и дурачились каждый раз, когда родственники собирались вместе."
,"Джессика росла быстрее, поэтому я всегда проигрывал ей в размерах и силе."
,"Так что, когда мы дрались на выявление сильнейшего, Джессика обычно выходила победителем."
,"Поэтому, даже сейчас, когда я отчётливо понимаю, что я крупнее её, я всё ещё чувствую, что не могу одолеть Джессику своими силами."
Ushiromiya Battler,"""Кхм! Агх‐х‐х...гр‐р‐р!!...."""
Ushiromiya Jessica,"""............Э... эй!.. Что за!.. Что!.. Эй, ты чего так разошёлся‐то?!! Ай‐ай‐ай‐ай!.."""
Ushiromiya Battler,"""Эй, эй, эй, это ещё сущие пустяки! Что‐то ты хиловатой стала, Джессика."""
Ushiromiya Jessica,"""За‐заткнись. Я, представь себе, девушка. Не могу же я всегда оставаться сильнее мужчины!"""
Ushiromiya Battler,"""Ну‐у, это определённо так! Объём, что у меня пошёл в мускулы, у тебя пошёл в гру‐удь! Состязание в силе между моими руками и твоими буферами будет достаточно честным, ты так не думаешь?"""
Ushiromiya Jessica,"""Сказала же, мои буфера не для твоих лапаний! Кстати, а что насчёт тебя? Твой рост говорит о том, что ты повзрослел, но что насчёт других мест?!!"""
Ushiromiya Battler,"""Перестань, дура! О не‐е‐ет, извращенка! Я же так жениться не смогу... не трожь меня там, где не положено!"""
Ushiromiya Jessica,"""Н‐не говори вещи, которые могут неправильно понять!!!"""
,"По правде, я был так удивлён тем, насколько Джессика стала женственной, что мне пришлось устроить переполох, чтобы скрыть это."
,"......Ну да, любой был бы удивлён, учитывая, каким несносным ребёнком она была шесть лет назад."
,"И, полагаю, она была столь же удивлена.{n}Она уж точно не ожидала, что проиграет мне в силе."
,"После такого лёгкого поражения, она должна быть шокирована тем, насколько я вырос за последние шесть лет."
,".........Шесть лет... Я ещё раз убедился, насколько это был большой промежуток времени."
Ushiromiya Jessica,"""Чёрт... продула по полной. Я теперь тебе вроде как и не ровня."""
Ushiromiya George,"""Неправда. Даже у Баттлера‐куна есть свои слабости. Верно, Мария‐чан?"""
Ushiromiya Maria,"""У‐у! Па‐а‐адаем, па‐а‐адаем!"""
Ushiromiya Battler,"""Тсс. Не надо. Мария‐я. Пусть это останется секретом, хорошо?"""
Ushiromiya Jessica,"""Па‐а‐адаем? Это что ещё за хрень?"""
Ushiromiya Battler,"""Хе‐хе! Извини, но сейчас ты этой моей слабости не увидишь! В конце концов, кошмарный полёт уже позади и всеми забыт! Всё, что осталось, это тихий, приятный плеск волн о борт судна. Никогда бы не подумал, что воспылаю любовью к этому плавучему корыту. Ихи‐хи‐хи!"""
Ushiromiya Jessica,"""А? Джордж нии‐сан, у него с головой всё в порядке?"""
Ushiromiya George,"""Ты скоро поймёшь. Очень скоро."""
,"Тогда мне было невдомёк, что скрывалось за широкой улыбкой Аники..."
Kumasawa Chiyo,"""Что это тут у нас...... О‐о‐о! Баттлер‐сан, как же ты вырос!.."""
,"Кто на этот раз? Пожилая женщина в фартуке.{n}.........О, да‐да, давно это было... Вспомнил!"
Ushiromiya George,"""Помнишь её, Баттлер‐кун? Ну помнишь же... Это Кумасава‐сан, одна из слуг."""
Ushiromiya Battler,"""Как я могу забыть бабулю Кумасаву! Ну, в смысле, ты ничуть не постарела за эти шесть лет. Погоди, ты, часом, не помолодела ли, а?"""
Kumasawa Chiyo,"""Хо‐хо‐хо! В последнее время моя кожа стала такой упругой! И погляди, грудь у меня случаем заодно не выросла? ...Хочешь пощупать?"""
Ushiromiya Battler,"""О‐очень смешно! Моё щупание ограничивается девушками в теле!"""
Kumasawa Chiyo,"""Я в молодости тоже была в теле, знаешь ли. Ну же, ну же, не стесняйся попробовать!"""
Ushiromiya Battler,"""Ой‐ё, да хватит уже! Меня молодые интересуют! Не бабули!"""
,"Моё подтрунивание над Джессикой вышло мне боком. Хотя, если уж на то пошло, Кумасава всегда была не прочь подшутить над другими."
Ushiromiya Rudolf,"""Кумасава‐сан, прекратите уже. Людям, стоящим одной ногой в могиле, не пристало дурачиться."""
Kumasawa Chiyo,"""Порезвиться с молодёжью — лучшее средство для омоложения. Хо‐хо‐хо!"""
Ushiromiya Eva,"""Нечасто вы выходите встречать нас, Кумасава‐сан. Что это за любопытный поворот событий? Обычно, всякий раз, когда вам что‐нибудь поручают, у вас вечно приключается боль в пояснице. Кха‐ха‐ха."""
Kumasawa Chiyo,"""Хо‐хо‐хо, Ева‐сама, вы как всегда едки. У меня появилась срочная необходимость сделать кое‐какие покупки, и пока я этим занималась, решила, что встречу вас. Хотя, конечно, дряхлая старуха в роли встречающего производит не лучшее впечатление. Хо‐хо‐хо!.."""
,"Тётя Ева отпустила сарказм, однако многолетним опытом бабули Кумасавы невозможно пренебречь. Она более чем способна легко и спокойно пропустить мимо ушей подобную ремарку."
,"Эм‐м, не хотелось бы говорить об этом, но золотые годы старой бабули Кумасавы как слуги, возможно, уже позади."
,"Может, она и ведёт себя так, будто хорошо себя чувствует, но её тело изнашивается под действием головных болей и радикулита. По правде говоря, одно то, что она до сих пор выходит на работу, уже впечатляет."
,"...Сколько ей там стукнет в этом году?{n}Ей, должно быть, уже под восемьдесят.{n}Не верится, что она всё ещё может вести себя так радостно."
Ushiromiya Rosa,"""Вы, кажется, становитесь всё бодрее и бодрее. Ах да, это вам. Чай, о котором я говорила ранее. Вот, купила вам немного. Пожалуйста, попробуйте его как‐нибудь."""
,"Тётя Роза показала ей сувенирный пакет, который достала из своего чемодана."
,"Подумать только, она вспомнила обещание, данное, по‐видимому, в прошлом году, и добросовестно купила его. ...Подобная внимательность как раз в духе тёти Розы."
,"Она человек, неспособный забыть или нарушить данное обещание."
,"Что до Кумасавы‐сан, она была глубоко тронута тем, что тётя Роза не только не забыла об этом обещании, но ещё и купила подарок для простой служанки вроде неё."
,Эту женщину зовут Кумасава Чиё‐сан ({p:0:熊沢 チヨ}).
,"Она — старшая служанка, работающая в главном доме семьи Уширомия многие годы.{n}Она не в состоянии заниматься тяжёлым ручным трудом, что вполне естественно для человека её возраста, однако в остальном, начиная с дел кухонных и заканчивая стиркой и уборкой, она как какой‐то супер слуга."
,"Похоже, единственное, в чём её можно упрекнуть, так это в её склонности отлынивать от работы."
,"Я слышал, что она использует свои хронические болезни как отмазку от тяжёлой или неприятной работы."
,"......В случае бабули Кумасавы это, скорее, можно назвать чем‐то вроде ленивой находчивости."
