Speaker,Russian (RU)
,Катер хорошенько встряхнуло.
,"Похоже, мы причалили в гавань.{n}Рулевой катера вышел и спрыгнул на пристань со швартовым в руках."
,"Нас ожидал крупный мужчина в смокинге с тёплым, улыбающимся выражением лица."
,"......Его лицо было мне незнакомо, но, судя по его одежде, я предположил, что он является слугой из головного дома семьи Уширомия."
Gohda Toshiro,"""Добро пожаловать домой, миледи. Вы припозднились, и я уже начал беспокоиться."""
Ushiromiya Jessica,"""Ах, спасибо за заботу! Этот придурок так испугался, что пришлось сбавить скорость. Это здорово раздражало!"""
Ushiromiya Battler,"""З‐замолчи... Я тебе это припомню, в день, когда ты ощутишь подобное на своей шкуре. Пфф."""
,"Такими темпами об этом скоро прознает вся семья, и я стану главной темой для разговора за сегодняшним обедом."
,"Даже без этого я был бы у них на устах ввиду своего шестилетнего отсутствия, но теперь им предоставилась ещё более сочная тема!"
,"Вот блин, ну почему глава семейства Уширомия живёт на этом оторванном от окружающего мира острове!"
,"Тем временем катер был окончательно пришвартован.{n}Небольшая доска была спущена, чтобы мы могли сойти."
,"Один за другим, наши родители спустились с судна."
Gohda Toshiro,"""Вас наверняка утомило столь долгое путешествие. Позвольте помочь вам, мадам."""
Ushiromiya Eva,"""Благодарю. Давно не виделись, Года‐сан. Как поживаешь?"""
Gohda Toshiro,"""Спасибо за беспокойство. Я всегда рад служить."""
Ushiromiya Kyrie,"""Баттлер‐кун, это ведь твоя первая встреча с Годой‐саном, не так ли? Если я не ошибаюсь, ты ещё не работал здесь шесть лет назад, верно?"""
Gohda Toshiro,"""Совершенно верно. Посему прошу позволить поприветствовать его в первый раз. Для меня честь наконец встретиться с вами, Баттлер‐сама."""
Ushiromiya Battler,"""Я и сам‐то не маленького роста, но ты просто огромен... Это определённо наша с тобой первая встреча. Если бы я повстречал такого здоровяка, как ты, то ни за что бы не забыл!"""
Ushiromiya Battler,"""Взаимно. Я Баттлер."""
Gohda Toshiro,"""Прошу прощения за заминку. Я работаю в головном доме Уширомия с позапрошлого года. Меня зовут Года ({p:0:郷田}), и я к вашим услугам."""
Gohda Toshiro,"""Приятно с вами познакомиться. Если у вас возникнет какая‐либо просьба, не стесняйтесь обратиться ко мне."""
Ushiromiya George,"""Давно не виделись, Года‐сан."""
Gohda Toshiro,"""Даже слишком давно, Джордж‐сама. Пожалуйста, позвольте мне помочь вам."""
Ushiromiya Hideyoshi,"""Ты, как всегда, профессионален в приёме людей... Если тебе вдруг понадобится работа, только скажи мне, окей? Я тут же найму тебя!"""
Gohda Toshiro,"""Вы оказываете мне слишком большую честь. Пожалуйста, разрешите мне помочь вам, Хидэёши‐сама."""
,"Затем Года‐сан помог всем сойти с катера, здороваясь с каждым."
,Его речь и манеры обладали изысканным блеском профессионализма.
,"Он был очень грациозен, в противоположность своему первоначально грубоватому виду."
,"Сначала он показался мне страшным из‐за его больших размеров, однако он был намного более обходителен в сравнении с моими первыми впечатлениями."
,"Он сказал, что работал на острове два года, но не было никаких сомнений, что прежде ему доводилось заниматься подобной работой."
,"После того, как все покинули борт, швартовые были отданы, и катер стал выплывать из гавани."
,"Скорее всего, он возвратится обратно в порт Нииджимы."
,На прощанье капитан помахал нам рукой.{n}Мария добросовестно помахала ему в ответ.
Ushiromiya Battler,"""............Хм‐м, вот оно что, вот почему я чувствовал, что что‐то не так всё это время. Я не слышу криков чаек."""
Ushiromiya Jessica,"""Чаек? Птиц?"""
,"Каждый раз, когда я приезжал на остров, чайки встречали нас своими оживленными криками."
,"Из‐за этого каждый раз, когда я слышу крики чаек где‐нибудь ещё, мне кажется, что я приехал на семейное совещание."
,"За исключением небольшой части острова, занимаемой головным домом Уширомия, Роккенджима, не тронутая рукой человека, определённо превратилась в рай для диких птиц."
,"По‐видимому, какой‐то из утёсов стал домом для огромной колонии чаек, поэтому их всегда полно на этом острове."
,"Поскольку на этот раз мы не дождались от них приветствия, мне стало чуточку одиноко."
Ushiromiya Rosa,"""Что случилось, Баттлер‐кун?"""
Ushiromiya Battler,"""О, тётя Роза. Не, ничего особенного, я лишь сказал, что без криков чаек становится немного одиноко."""
Ushiromiya Rosa,"""Боже, а ведь ты прав. Они вечно такие бойкие, но сегодня почему‐то не видно ни одной."""
Ushiromiya Maria,"""......У‐у? Почему нет чаек?"""
Ushiromiya Rosa,"""Хм‐м, может, у них тоже где‐то собрание? Мария, ты хотела увидеть чаек?"""
Ushiromiya Maria,"""У‐у, хотела."""
Ushiromiya Battler,"""Что же заставило их испариться? Наверное, это Джессика сделала из них всех якитори и съела!"""
Ushiromiya Maria,"""......У‐у?!"""
