Speaker,Russian (RU)
,Они позавтракали в привокзальном кафе.
,"...Так получилось, что внутри кафе было украшено в цвета Хэллоуина, поскольку на дворе стоял октябрь."
,"Похоже, что Мария была этому невероятно рада."
,"И из‐за этого она продолжала шуметь внутри поезда о своём желании отметить Хэллоуин, не заботясь о том, что этим привлекает внимание других людей."
,"Хэллоуин популярен в Европе и Америке, но в Японии люди практически незнакомы с ним."
,"Торговый район был красочно украшен оранжевыми тыквами, но детей в маскарадных костюмах, требующих конфеты и говорящих ""сладость или гадость"", нигде не было видно."
Ushiromiya Maria,"""У‐у! Я хочу на фестиваль Хэллоуина! Я не хочу носить эту западную одежду, я хочу быть похожей на ведьму! У‐у, у‐у!"""
Ushiromiya Rosa,"""Семейное собрание не для игр. Мы собираемся встретиться с дедушкой, поэтому ты должна быть в западной одежде."""
,"Хотя поезд и не выглядел полным, на самом деле он был битком забит, почти все места занимали пассажиры."
,"И вот среди них Мария подняла шум, топая ногами на месте, в то время как Роза сердито смотрела на неё."
,"Роза уже прежде множество раз просила её вести себя потише, но Мария совсем её не слушала."
,"...Стоило Марии начать так себя вести, то сколько бы ей не пытались объяснить ситуацию, она всё равно не стала бы слушать."
,"Раньше Роза, чтобы побаловать Марию, могла уступить ей в такие минуты."
,"Но, возможно, что как раз это и вышло боком."
,"Когда маленькая Мария шумно жаловалась, её мать отступала, ошибочно полагая, что Мария выслушала всё, что она сказала."
,"Роза поняла, что допустила ошибку, при помощи учебного пособия, и с тех пор превратила ту часть своего сердца, которое всегда хотело, чтобы она баловала свою дочь, в демона..."
,"Но Роза начинала находить всё меньше и меньше взаимопонимания с Марией, и в итоге её понемногу начала смущать собственная беспомощность..."
Ushiromiya Maria,"""Хэллоуин, Хэллоуин! Если вы не дадите мне сладкое, то я совершу розыгрыш, у‐у‐у!"""
Ushiromiya Rosa,"""У меня нет для тебя сладкого! Ты только что позавтракала!"""
Ushiromiya Maria,"""Если вы не дадите мне сладкое, то я вас разыграю! Если вы не дадите мне конфеты, то я вас разыграю! У‐у‐у!!!"""
,"Полная пожилая женщина, сидевшая рядом с Марией, топавшей своими ногами, вытащила леденец из своей сумки и отдала его Марии."
Ushiromiya Maria,"""У‐у! Получила сладкое, получила сладкое! Смотри, смотри, мама, мама! Счастливого Хэллоуина!"""
Ushiromiya Rosa,"""Эй Мария, ты не можешь так просто принимать конфеты от незнакомых людей, понятно?! Верни это!"""
,"""Всё в порядке, хо‐хо‐хо. Она очаровательная юная леди. Сколько ей лет?"""
,"Возможно, в словах этой старой женщины не было никакого злого умысла.{n}...Но было видно, что для Розы это оказалось крайне унизительно."
Ushiromiya Rosa,"""Мария, я всегда тебе говорила, чтобы ты не брала конфеты от незнакомцев!"""
Ushiromiya Maria,"""У‐у! У‐у! Она дала её Марии! У‐у У‐у! Нет, она моя!"""
Ushiromiya Rosa,"""Отдай её! Не я ли всегда говорю тебе слушать то, что говорит мама?!"""
Ushiromiya Maria,"""Это Мари‐и‐и! Марииии‐и‐и! У‐у! У‐у‐у!"""
Ushiromiya Rosa,"""Сколько раз повторять тебе не укать?!"""
Ushiromiya Maria,"""У‐у‐у‐у‐у‐у‐у‐у‐у‐у‐у‐у‐у‐у‐у‐у!!!"""
,Роза машинально влепила Марии сильную пощёчину.{n}...Мгновение спустя Мария начала громко плакать.
,"Роза тут же взяла леденец из рук Марии и оттолкнула его обратно ошеломлённой старушке, сидевшей рядом с ними."
Ushiromiya Rosa,"""...Пожалуйста, не давайте конфет моей дочери!"""
,"""...............Я... я очень сожалею."""
,"Тяжело дыша, Роза снова протянула леденец старушке."
,"...После того, как старушка стала лихорадочно гадать, что бы ей ответить, похоже, она наконец поняла, что своим поступком вызвала конфликт между родителем и ребёнком, и она, извинившись, приняла леденец обратно..."
,"Тогда Роза, наконец, обратила внимание на окружающую обстановку..."
,"Одежда её дочери была вся измята, она кричала, плакала и постоянно шмыгала носом, и множество изумленных пассажиров наблюдало за ними."
,"...Кроме стука колес, не было ни единого звука."
,"К счастью, эта жалкая тишина длилась недолго.{n}...За ней, тем не менее, последовала ещё более болезненная атмосфера, порождённая возникшим всеобщим перешёптыванием."
,"Мария кричала и топтала ногами, как обычно не обращая внимания на людей, сидящих вокруг неё."
,"...Розе вновь импульсивно захотелось ударить её, но, заметив холодные глаза людей в поезде, она не смогла это сделать."
,"Когда поезд остановился, Роза схватила Марию за руку и вышла из поезда, волоча дочь за собой."
,"Мария, как обычно, не прекращала плакать."
,Роза дошла с ней до конца платформы и снова дала ей пощёчину.
,"После удара Мария на мгновение перестала плакать, но после этого стала кричать и плакать ещё больше, чем прежде."
,"Роза, на пределе своих эмоций, схватила Марию за воротник и поволокла её, зацепляя волосы."
Ushiromiya Maria,"""У‐у! У‐у‐у! У‐у! Мама, больно, мама, больно! У‐у‐у!"""
Ushiromiya Rosa,"""Вот почему я говорю тебе закрыть рот! Это твое 'у‐у'! Прекрати так делать!"""
Ushiromiya Rosa,"""Это и есть причина, по которой ты не можешь найти друзей в классе, верно? Очнись ты! Что у тебя вечно за детский сад в голове?!! Почему ты не можешь послушаться того, что говорит мама?!! Почему?! Почему?!!"""
,"Выкрикивая эти жёсткие слова, Роза продолжала хлестать Марию по щеке снова и снова.{n}Чем больше Мария плакала и кричала, тем больше Роза била её.{n}И чем больше она била Марию, тем сильнее она кричала и плакала..."
Ushiromiya Maria,"""Мама, так больно!.. Мама, так больно!.. Мама, спаси меня, мама, спаси меня!.. У‐у‐у‐у‐у‐у‐у‐у!"""
Ushiromiya Rosa,"""Почему ты никак не можешь прекратить это 'у‐у‐у‐у'?! Из‐за этого ты не можешь ни с кем подружиться! Из‐за того, что ты так делаешь, папа не вернулся из командировки! Из‐за того, что ты так делаешь, я!.."""
,"""Ах... простите... мадам, что‐то случилось?.."""
Ushiromiya Rosa,"""Может быть, вам {i:что‐нибудь} нужно?.."""
,"Тем, кто робко обратился к ней, был дежурный станции.{n}Роза устремила на него взгляд, говорящий ""не вмешивайся в проблемы матери и ребёнка, незнакомец""."
,"Дежурный станции, естественно, не горел желанием с ней разговаривать.{n}Однако Роза кричала на платформе гораздо больше времени, чем она представляла."
,"...Её эмоциональная выволочка вынудила пассажиров на платформе сообщить дежурному станции, что было бы неплохо обратиться к ней."
,"Роза крикнула дежурному станции больше не волноваться, поскольку они собираются уехать следующим поездом."
,"...И теперь, наконец, или, возможно, следует сказать, снова, она заметила пассажиров на платформе, издали уставившихся на неё."
,"......Роза немного вспотела и ощутила, как ветер пытает её, охлаждая пот."
,"Мария всё ещё продолжала плакать, прикрывая свою голову.{n}......Нет...если это избиение продолжится, она, возможно, так и будет вечно плакать."
Ushiromiya Rosa,""".................. ......Я... опять..."""
,"Поскольку Роза оправилась от злого жара в своей голове, она поняла, что снова оставила лишь дурное в своей душе."
Ushiromiya Maria,"""Мама, мама! Мама, вернись!.. У‐у! У‐у‐у!"""
,"Роза упала на колени и обняла Марию, чьё лицо было сырым из‐за слёз и соплей."
Ushiromiya Rosa,"""......Мария... прости... прости..."""
Ushiromiya Maria,"""Мама... мама... Добро пожаловать назад, добро пожаловать назад..."""
,"Наконец... Мария поняла, что её мать вновь стала её прежней матерью.{n}И она прильнула к телу своей матери и заплакала, пряча лицо у неё на груди."
Ushiromiya Rosa,"""...Прости свою плохую маму... Прости свою дурную мать... ......Я действительно... сожалею!.. Пожалуйста, не ненавидь свою маму..."""
Ushiromiya Maria,"""У‐у... Мария в порядке... Не буду ненавидеть маму. ......Просто мамой снова овладела злая ведьма. ...Но мама вернулась и всё хорошо."""
Ushiromiya Rosa,"""Да... да... мамой просто... снова овладела злая ведьма... Прости меня... я действительно сожалею..."""
,"Они двое обнимали друг друга, прося прощения и прощая, ещё долгое время."
,"Спустя некоторое время, они постепенно успокоились и убрали свои лица друг от друга."
,"Лицо Марии, лицо Розы, оба были сильно покрасневшими после того, как они выплакали все глаза."
Ushiromiya Rosa,"""...Ты ведь что‐то хотела на Хэллоуин, Мария?"""
Ushiromiya Maria,"""Да. Я хотела показать зефирную тыкву Джорджу онии‐чану и Джессике онее‐чан..."""
,"Это была конфета, продававшаяся рядом с кассовым автоматом в магазине, где они ели свой завтрак."
,"......Причудливая конфета из оранжевого зефира и в форме тыквы, насаженной на палочку."
,"Мария её хотела и настойчиво просила её купить.{n}...Роза сказала, что она не собирается покупать такую конфету сразу после того, как они позавтракали, и отказалась."
Ushiromiya Rosa,"""......Вот что, Мария. ......Я не уверена, продают ли её в этом городе или нет, но давай выйдем и попробуем поискать её, хорошо?"""
Ushiromiya Maria,"""У... да! Я так люблю тебя, мама, люблю тебя... Спасибо тебе..."""
Ushiromiya Rosa,"""Я тоже тебя люблю, Мария..."""
,"Говоря по правде, у них не было времени впустую слоняться около остановки станции.{n}Если они опоздают на самолёт, то на полдня отстанут от запланированного графика."
,"Она должна была отправиться домой с достаточным временем в запасе, но в итоге задержалась, так как пришлось подобрать одежду для Марии."
,...Из‐за этого Роза с самого утра была как на иголках.
,Она посмотрела на часы. ...Им следовало немедленно уезжать следующим поездом.
