Speaker,Russian (RU)
,"...Роза и остальные вернулись из часовни в гостиную особняка.{n}Так много событий произошло с утра пораньше.{n}Естественно, они были напряжены..."
,"Баттлер и Джордж, которые кричали, бушевали, и не сдерживали своих эмоций, после того как увидели мёртвые тела своих родителей, вернулись в гостиную и рухнули на диван, ошарашенные, как будто всё случившееся ранее, не могло быть правдой..."
,Лишь Мария не изменилась и выглядела абсолютно нормальной.
,"......Когда она не шалила, то была обычным ребёнком, игравшимся самим по себе, поэтому даже если она и была ошарашена, то, возможно, держала это в себе."
,"...Но даже когда она включила телевизор и начала переключать каналы, она по‐прежнему выглядела так, будто в ней совсем ничего не изменилось."
,"Приходили ли в голову Розе какие‐либо мысли насчет подобного поведения, столь очевидно отличавшегося от поведения нормальных людей?"
,......Она уставилась на спину Марии довольно неприятным взглядом.
,"В конце концов, Кумасава пришла сказать доброе утро. ...Её бодрый нрав был абсолютно не к месту, и она неизбежно оказалась озадачена странной атмосферой в комнате."
,"......Затем она услышала подробности от Годы, и стала по‐настоящему шумной от испытанного потрясения."
Kumasawa Chiyo,"""К‐к‐к‐конечно вы же связались с полицией, ведь так?! Что нам делать в такой ситуации, о‐о‐ох, что же нам делать?!"""
Gohda Toshiro,""".........Пожалуйста, успокойтесь и послушайте. ...Кажется, ночью аппарат был как‐то повреждён молнией. Из‐за этого мы не смогли воспользоваться телефонами..."""
Kumasawa Chiyo,"""Э?! Т‐тогда до того как тайфун пройдет, мы даже не сможем связаться с полицией?!"""
,"Возможно, преувеличенное удивление Кумасавы было немного комичным."
,Даже в такой ситуации Роза хихикнула.
,"......Из‐за этого, туман замешательства, покрывавший её мысли, слегка развеялся."
Ushiromiya Rosa,""".........Я обязана быть сильной. ......Не только из‐за Марии. Я также исполняю обязанность матери Джорджа и Баттлера, поэтому я должна быть сильной..."""
,Роза была младшим ребёнком в семье с большой разницей в возрасте с остальными.{n}Поэтому к ней всегда обращались как к ребёнку.
,"Всё, что она узнавала, было очевидным для её братьев и сестры, и у неё образовался комплекс от мысли, что она, должно быть, недостаточно способна."
,Поэтому у неё сформировалась привычка просить совет у братьев и сестры при каждом происшествии...
,".........Но теперь у неё больше не было ни братьев, ни сестры.{n}Теперь Роза оставалась единственной из выживших детей Кинзо."
,"...Кроме того, если Кинзо по‐прежнему оставался у себя взаперти даже в такой чрезвычайной ситуации... Роза должна была преодолеть эту напасть в качестве представителя главы."
Ushiromiya Rosa,"""............Я больше не ребёнок, не ребёнок. ....................."""
,...Роза слегка хлопнула себя по коленям и поднялась.
,Сейчас у неё не было времени дожидаться дальнейших указаний.{n}...Она должна начинать действовать самостоятельно.
,"Роза подняла трубку с проводного телефона на низком столике.{n}......Но затем сразу вспомнила, что телефоны не работали."
,"Генджи и Шаннон, отправленные к Кинзо, пока ещё не вернулись."
,"...В целом, она могла представить, что из этого последует. Он, должно быть, кричал какую‐нибудь бессмыслицу в порыве неконтролируемых эмоций."
,...Его дорогая часовня была осквернена кровью.{n}Так что его состояние было несложно представить.
,"Она хотела воспользоваться запасным телефоном, чтобы позвонить в кабинет, но к сожалению и этот телефон оказался сломан."
,Тогда Роза решила лично сходить в кабинет её отца.
,"Прежняя она настолько бы испугалась, что никак не решилась бы отправиться туда, чтобы увидеться с Кинзо."
,"...Встреться она с ним и в самом деле, то её, скорее всего, в чём‐нибудь обвинят и жестоко накажут."
,"Но сейчас не время, чтобы бояться. .........Как его истинная дочь, она обязана была доложить ему о текущей ситуации."
Ushiromiya Rosa,"""......Кумасава‐сан, мне нужно увидеться с отцом. ...Особенно позаботься о Джордже‐куне и Баттлер‐куне. ......Я думаю, они сейчас на самой грани нервного срыва."""
Kumasawa Chiyo,"""Да, да... Это очень возможно... ...Вот уж кого действительно жаль.... Я приготовлю им выпить чего‐нибудь горячего."""
Ushiromiya Rosa,"""Благодарю вас."""
,Роза вышла в коридор и направилась в сторону кабинета Кинзо.
,"Атмосфера в этом особняке, в котором она провела свою юность и который был полон воспоминаний, казалась совсем иной..."
,Затем она стала подниматься по лестнице в вестибюле...
,......И вдруг. В тонкой тьме вниз по ступенькам за спиной Розы... что‐то засияло.
,Это была одиноко порхающая золотая бабочка.{n}...Она порхала вокруг и сверкала.{n}Эта бабочка беззвучно плясала.
,......Не таясь. Никто не может услышать звук биения крыльев бабочки.
,.........А затем... она села на спину медленно поднимающейся по ступенькам Розе.
,"Роза не заметила. И даже если бы кто‐то увидел её, они, вероятно, не увидели ничего, кроме прицепившегося одинокого золотого листка в форме бабочки."
,"Не замечая, Роза продолжила идти в кабинет Кинзо..."
{f:5:Beatrice},""".........Итак, развлечёшь ли ты меня следующим ходом? ...Имеется пока ещё много, много оставшихся фигур. ...*Хи‐хи*хи‐хи*хи‐хи*хи‐хи*!.."""
,"В затихшей гостиной единственным источником звуков был телевизор, который в одиночестве смотрела Мария."
,"Единственным звуком помимо этого был звук дождя, продолжавшегося с прошлого вечера."
,"Все, кто видел ту таинственную и ужасную сцену, молчали, будто бы молясь, чтобы утренние события были лишь сном."
,"Кумасава, как единственная, кто не стал её свидетелем, вела себя иначе."
,"...Она думала, что эту тишину было сложно вынести и попыталась подбодрить всех..."
,"...Тем не менее она, по видимому, намеревалась быть хоть сколько‐то полезной им, пусть ей и приходилось быть осторожней с тем, о чём она говорила с ними..."
,"В нормальной ситуации уже пришло бы время завтрака. ......Однако, должно быть, произошедшее прогнало из головы Годы все мысли о приготовлении еды."
,"...Нет, возможно, все были настолько измучены, что забыли о голоде."
,"Кумасава хотела поднять вопрос о том, что им приготовить на завтрак, но атмосфера казалась неподходящей, и она не решилась."
,Но голод уже становился невыносимым.{n}...Поэтому она вскользь предложила.
Kumasawa Chiyo,"""...Кажется, все устали после всего произошедшего. ......В такое время, я думаю, лучше всего разогреться чашкой горячего чёрного чая."""
Nanjo Terumasa,"""......Хм‐м, это хорошая идея. Я согласен."""
Kumasawa Chiyo,"""Хо‐хо‐хо. Как насчет восхитительного чёрного чая с печеньем и джемом? Да, да, кажется, скоро Хэллоуин, и аппетитные печенья в форме тыквы лежат на полке..."""
Nanjo Terumasa,"""......Ах, Кумасава‐сан, это..."""
,"Конечно, она сказала нечто неподходящее. ...Потому что напомнила Баттлеру и остальным о той ужасной и трагичной хэллоуинской вечеринке в часовне..."
,Нанджо торопливо зашептал на ухо Кумасаве.
Ushiromiya Battler,"""........................"""
Kumasawa Chiyo,"""......Баттлер‐сан, мне очень жаль! ...Я не имела в виду ничего плохого, правда..."""
Ushiromiya Battler,"""Нет, не переживай об этом. .........Я определённо обращу эту кипящую злость на преступника."""
Ushiromiya George,""".........Интересно, находится ли тот преступник всё ещё на острове."""
Ushiromiya Battler,"""Вероятно. По меньшей мере, до тех пор, пока тайфун не пройдёт, не прибудет ни одна лодка."""
Kumasawa Chiyo,"""Д‐да, это верно! Так как лодки не приплывают, даже если ветер слаб. Да, они несомненно не прибудут во время тайфуна!"""
Ushiromiya George,"""......Мне не по себе."""
Ushiromiya Battler,"""Ты ведь тоже так думаешь, Аники? Как и я. .........Является ли преступником таинственная гостья или нет."""
Nanjo Terumasa,"""Точно. ......Мы просто естественно подозревали таинственную гостью, зовущую себя {f:5:Беатриче}, но мы всё ещё не можем быть уверены, что она преступник. ...Всё ещё имеется возможность, что она {i:жертва, чьё тело всё ещё не было найдено}."""
Ushiromiya George,"""......Когда я думаю об этом с такой точки зрения, есть кое‐что, чего я просто не могу понять."""
Gohda Toshiro,"""Что... ты имеешь в виду?"""
Ushiromiya Battler,"""Всё просто. Как сказала бабуля Кумасава немногим ранее, сейчас этот остров находится посреди тайфуна, что делает побег невозможным. То же относится и к преступнику. .........В таком случае разоблачение преступления должно быть той вещью, которой преступник хотел бы избежать больше всего."""
Gohda Toshiro,"""......Точно. ...Не было никакой необходимости рисовать тот жуткий магический круг на входе в часовню, выставляя факт того, что трупы там."""
Ushiromiya Battler,"""Вот именно так и получается. Более того, если у него было время и возможность сотворить нечто столь ужасное с теми шестью, то он мог бы спрятать шесть трупов там, где их будет невозможно найти."""
Ushiromiya George,"""Я согласен. Та жестокая хэллоуинская вечеринка вероятно не была адресована тем, кто умер. ......Она была адресована людям, которые, в конце концов, обнаружат её — то есть нам. Можно даже сказать, что магический круг был там, чтобы продемонстрировать это."""
Ushiromiya Battler,"""...Преступник знал, что какое‐то время не сможет покинуть остров. ......И всё‐таки он поступил так, словно хотел, чтобы мы нашли трупы посреди этого тайфуна."""
Ushiromiya Battler,"""......Что это значит? ...Если бы я был преступником, я бы определённо не стал валять дурака и не позволил нам найти трупы."""
Gohda Toshiro,"""............{f:5:Беатриче}‐сама не было в её комнате. ...Комната не казалась особенно потревоженной. ......Ах, нет, миледи все же устроила там беспорядок..."""
Ushiromiya Battler,"""...Кстати, что случилось с Джессикой?"""
Gohda Toshiro,"""За ней присматривает Канон‐сан. ...Скорее всего, они находятся в комнате миледи."""
Ushiromiya George,"""............Это нехорошо. ...Преступник, вне всяких сомнений, всё ещё находится на острове. ......Мне не кажется, что в такой ситуации уместно разделяться на малочисленные группы."""
