Speaker,Russian (RU)
Ushiromiya Jessica,"""Папа... Мама!!! Кто посмел это сделать???!!! А‐а‐а‐а‐а‐а‐а‐а‐а‐а‐а‐а‐а‐а‐а‐а‐а!!!"""
,Горестный голос Джессики эхом разнёсся по всему розарию...
,"Наверное, то было проявление интуиции человека, жившего на этом острове."
,"...Когда Джессика заглянула в то место в розарии, где пали тётя Роза и Мария, и ничего не обнаружила, она прошла ещё дальше до самой беседки."
,"Обычно беседка была наиболее подходящим местом, чтобы мирно насладиться чаем и полюбоваться розами в хороший солнечный день."
,"......Удивительно, но даже дядя Краусс и тётя Нацухи, бывало, отдыхали в ней и вместе наслаждались чаем."
,......В беседке покоились трупы дяди Краусса и тёти Нацухи.
,"По крайней мере, они не были пропитаны дождём, как это произошло с тётей Розой и Марией, но я ни за что не стал бы делиться данной мыслью с Джессикой в этот момент..."
Ushiromiya Battler,"""......Что вы об этом думаете, доктор Нанджо?"""
Nanjo Terumasa,"""Уд... удушье, надо полагать. ...Вот, взгляните на это. На шее остались следы, словно их задушили чем‐то тонким и прочным."""
Ushiromiya Battler,"""Кто знает. ......У меня сомнения, что это стало основной причиной их смерти."""
,"...В телах находились напоминающие колья орудия оккультного вида, одно из которых было загнано в область бедра дяди Краусса, а другое торчало из голени тёти Нацухи."
,"Когда мы обнаружили их торчащими во лбу и в груди у моих родителей, мы решили оставить их для полиции, чтобы сохранить место преступления, но Джессику нисколько не волновали подобные вопросы, и она тут же выдернула колья из тел своих родителей."
Ushiromiya Eva,"""......Теперь уже обнаруженные тела оказались пробиты в голову, грудь, живот, колено и голень."""
Ushiromiya Jessica,"""О‐о‐о‐о‐о‐о‐о‐о, гад, гад, гад!!! Я убью тебя, душегуб, убью тебя!!! Ува‐а‐а‐а‐а‐а‐а‐а‐а‐а!!!.."""
Ushiromiya Eva,"""......На этом должны завершиться восьмые сумерки. ...Значит ли это, что продолжение будет и на девятые сумерки? ......Ведьма будет возрождена, и никого не останется в живых."""
Ushiromiya Jessica,"""Пусть появляется... ......Если ведьма оживёт, это значит, что преступник собирается показать себя, верно?!"""
Ushiromiya Jessica,"""И кто в живых остался — будет мёртв? {i:Бред}... ......Я убью его!.. Уж я позабочусь собственными руками расправиться с убийцей папы и мамы!!!"""
,"Джессика, воя от горького гнева, позволила всем своим эмоциям выйти наружу. ......Чтобы не оказаться раздавленной горем, ей ничего не оставалось, кроме как противопоставить этому свой гнев."
Ushiromiya Eva,"""......Мы всё ещё... не нашли Джорджа. ...Джессика, вам, детям, лучше оставаться здесь. Я иду в особняк."""
Nanjo Terumasa,"""Е... Ева‐сан, нам не следует разделяться! Это опасно, если мы не будем держаться вместе!"""
Ushiromiya Eva,"""Мы уже ничего не сможем сделать для нии‐сана и его жены. Но Джордж всё ещё может где‐то находиться живым!.. Я не могу попусту тратить здесь время!"""
,"Когда тётя Ева прокричала это, Джессика зло посмотрела на неё."
,"...У Евы больше не оставалось времени, чтобы переживать за мёртвых.{n}Её гораздо больше беспокоила безопасность её единственного сына, которого она до сих пор не увидела."
Ushiromiya Eva,"""Джессика‐чан, ты можешь оставаться со своими отцом и матерью. Я быстро сбегаю в особняк. Баттлер‐кун и доктор Нанджо, вы оба можете оставаться здесь."""
,"После этих торопливо сказанных слов, тётя Ева выбежала из беседки."
,"Я крикнул, чтобы она остановилась, но вряд ли она меня услышала."
,...Однако оставаться в одиночестве в подобной ситуации означало лишь верную смерть.
,"Если мы молча позволим ей уйти, то практически обречём её на смерть.{n}Поскольку тётя Ева отказывалась остановиться, у нас не было другого выбора, кроме как следовать за ней."
,"......И пусть даже жестоко так говорить, но дядя Краусс и тётя Нацухи были уже мертвы, поэтому для них мы ничего сделать больше не могли..."
,"В итоге, у нас не было другого выбора, кроме как, утешая Джессику, вместе последовать в особняк."
,"...К счастью, Джессика сама поднялась."
,"Возможно, ей удалось подавить своё горе. ......Но выражение, возникшее на её лице, больше походило на демоническое."
Ushiromiya Jessica,"""...Я убью этого человека собственными руками... ......Я непременно отомщу за них... ......Идём, Баттлер. Если мы найдём виновника, не становитесь на моём пути. Я однозначно поубиваю их!"""
Ushiromiya Battler,""".........У меня тоже остались неотомщённые родители. Извини, кто первый — тот и начнёт."""
Ushiromiya Jessica,"""...Да... это верно... ......Убьём гадов!"""
,"После моих слов Джессика, похоже, наконец почувствовала, что её эмоции тоже нашли поддержку."
,"Она всё ещё была накручена, но я чувствовал, что Джессика стала хотя бы немного вменяемой."
,Мы побежали.{n}Погнались за тётей Евой.
,"Через розарий, вверх по каменным ступеням, мы во весь опор бежали в направлении особняка, огромная тень которого прорезалась во вспышках молний."
,"......Итак, убийства по эпитафии уже достигли восьмых сумерек.{n}А затем, к девятым сумеркам же возродится ведьма.{n}...И кто в живых остался — будет мёртв."
,"Я, скорее всего, лишусь жизни."
,"......Но по крайней мере я хочу, чтобы правда отпечаталась в моих глазах.{n}Лишь это желание придавало мне сил двигаться в данный момент."
,"Нам удалось воссоединиться с тётей Евой, которая никак не могла открыть замок на входной двери."
,"Было видно, что в голову тёти Евы ударила кровь.{n}Похоже, из‐за этого ей никак не удавалось совладать со своими пальцами."
,"Казалось, ей было тяжело выполнить даже такую простую вещь, как вставить ключ в замок."
,...Затем раздался негромкий звук.
