Speaker,Russian (RU)
Ushiromiya Hideyoshi,"""Ва‐ха‐ха‐ха‐ха‐ха, ты в порядке, Баттлер‐кун?! Мы уже на твёрдой земле, так что дальше падать уже некуда, ва‐ха‐ха‐ха‐ха‐ха!.."""
Ushiromiya Maria,"""У‐у, ха‐ха‐ха‐ха‐ха‐ха! Па‐а‐адаем, па‐а‐адаем, ха‐ха‐ха‐ха‐ха!"""
,"Мария возбуждённо носилась по фойе аэропорта Нииджимы.{n}Поднятый Баттлером в самолёте гам, должно быть, был крайне занимателен."
Ushiromiya Rosa,"""Эй, Мария! Завязывай с этим! ...Прости, Баттлер‐кун. Не принимай это близко к сердцу."""
Ushiromiya Rudolf,"""Что за {i:жа‐алкий} ты парень. Даже с таким мо‐ощным телом ты не можешь выдержать поездку в транспорте?"""
Ushiromiya Battler,"""Ай, ну тебя... У каждого человека есть свои слабости..."""
Ushiromiya Eva,"""Баттлер‐кун, почему бы тебе в ближайшее время не поехать со своей тётей куда‐нибудь за границу? Как насчёт Европы? Я уверена, что ты выдержишь полдня полёта на самолёте. *хихикает*!"""
Ushiromiya George,"""...Хватит, мама. Я уверен, что неприязнь Баттлера к самолётам передалась по наследству."""
Ushiromiya Kyrie,"""О, от Асуму‐сан?"""
Ushiromiya Rudolf,"""......По каким‐то причинам она не выносила транспорт. Кроме, конечно, велосипедов и машин. Всякий раз, когда мы пытались съездить куда‐нибудь далеко, эта женщина так раздражала со своим 'нет, только не это, нет, только не это, мне страшно, мне страшно, падаем, падаем, гья‐а‐а, гья‐а‐а'."""
Ushiromiya George,"""Дети впитывают то, что вещи, с которыми не могут справиться их родители, опасны. Уверен, что Баттлер‐кун в детстве увидел, как Асуму‐сан делала нечто подобное и подумал, что транспорт — это что‐то жуткое."""
Ushiromiya Kyrie,"""*хихикает*. Интересно, могут ли это быть гены Асуму‐сан?"""
Ushiromiya Rudolf,"""Кто знает. Но это довольно‐таки досадные гены. .........Довольно разговоров об Асуму. Прямо сейчас, единственная, кто рядом со мной, это ты. Ведь так?"""
Ushiromiya Kyrie,"""...Ты прав, извини."""
Ushiromiya Hideyoshi,"""Э‐эй, такси уже приехало! Ровно три машины. Давайте, усаживайтесь!"""
Ushiromiya Maria,"""Падаем, па‐а‐адаем!!! Где парашю‐ют, где парашю‐ют!!! У‐у‐у, ха‐ха‐ха‐ха!!!"""
