Speaker,Russian (RU)
Leviathan,"""Эй! Он мо‐ой! Отда‐ай!"""
Beelzebub,"""Нет, не‐е‐ет, я съем его‐о‐о! Асмо, Асмо, отстань!"""
Asmodeus,"""Кья‐ха‐ха‐ха! Левия онее‐сама, здесь~!"""
,"Где они его стащили, хотела бы я знать.{n}И теперь они с шумом и гамом дрались из‐за какого‐то пончика."
Satan,"""Э‐э‐э‐э‐эй! Энджи‐сама читает, так что не могли бы вы хоть немного угомониться?!"""
Lucifer,"""А сама‐то как громко кричишь, Сатана! Тише! Вот глупые сестры!"""
Satan,"""Чего орёшь, Люцифер онее‐сама?! Т‐тебе что‐то не нравится?!"""
,"Самая старшая и третья по старшинству сестры вовсю спорили друг с другом. Даже при присущей им раздражающей быстроте перемещения, было немного смешно наблюдать, когда они пытались сдерживаться."
,Они были наделены удивительной схожестью друг с другом.
Belphegor,"""*смешок*смешок*. Вам позволено шуметь, но вы немного переборщили. Может быть, всё же можно потише?"""
Ushiromiya Ange,"""............Они могут делать всё, что душа пожелает. Это ведь куда приятнее, чем смешки в классе."""
Mammon,"""Энджи‐сама‐а‐а‐а, быстро перелистните страницу! Вы читаете слишком ме‐е‐едленно!"""
Ushiromiya Ange,"""Мамона, ты любишь читать? А ты заметила, что делаешь некоторые вещи хуже, чем я?"""
Belphegor,"""Мамона отвечает за алчность. ......Туда же входит и жажда к знаниям. Но она хочет, чтобы эти знания принадлежали лишь ей, так что имейте в виду, она не даёт людям свои книги, а то и вовсе сжигает их после прочтения."""
Mammon,"""Мне нравится изучать вещи, о которых помимо меня никто и духу не ведает. Я люблю делать то, что другому сделать не под силу. Я люблю и теорию, и практику. Потому что хочу знать то, что больше никто не знает."""
,"Когда она говорила, её глаза сверкали, она посмотрела на раскрытую страницу и прочитала её ещё раз."
,"Можно было понять, что грех сделал её жаждущей прочитать ту страницу, и её жажда была в разы больше моей."
,"Как можно было заметить, моя магическая сила выросла по сравнению с той, которой я владела в первый день их призыва."
,Сейчас мне было под силу призвать всех семерых сестёр чистилища и спокойно читать книгу.
,"То место, хоть я и не помню, {i:где} оно находилось, было тихим и спокойным, а рядом стояла скамья."
,"Тогда я была совсем мала, потому и не помню."
,"......Но мне запомнилось, что те деньки, которые я там проводила, были очень беззаботны."
,"Тогда с мамой, папой... и даже братиком, мы провели редкий счастливый денёк, пока были вместе... это прочно вписалось в мою память..."
,"Прохожие, сновавшие туда‐сюда, совсем не замечали меня.{n}Они попросту игнорировали меня и шли мимо, будто всё было в порядке."
,"Даже откровенное одеяние семи сестёр не смущало их, ведь они их не видели."
,"Если подумать, то я уже привыкла к нему. При условии, что меня {i:саму} не заставляют его носить."
,"Я сидела на стильной скамье, запоминая хронологию мировой истории."
,"......В академической системе, основанной на коллективной ответственности, отсутствует терпимость к лентяям."
,"Казалось, что для школы я была чересчур среднего класса."
,"Согласно разговору тех заумных девиц у всего класса бы резко повысился средний балл, улучшь я свой собственный."
,"......Они любезно показали мне график, сделанный цветными ручками на листе ватмана B4."
,"...Я думаю, решение рассказать им всё было неправильным."
