Speaker,Russian (RU)
Ushiromiya Jessica,"""..............Испытание?"""
Ushiromiya Krauss,"""......Д‐да. Слушайте внимательно."""
,Краусс вновь позвонил в домик для гостей.
,"......И рассказал, что Кинзо хотел испытать своих внуков на право получения звания следующего главы семьи."
Ushiromiya Krauss,""".........Глава сказал, что его наследником не станет кто‐то из его детей... Он решил... выбирать из внуков..."""
,"Судя по сдержанному голосу Краусса, Джессика, как его дочь, поняла, что он был вынужден это говорить."
,"И ей пришлось осознать, что заложники даже теперь находились в опасности, так что в случае отказа им вполне могли причинить вред."
Ushiromiya Jessica,"""Т‐тогда... что же нам делать?"""
Ushiromiya Krauss,"""......Хм‐м‐м. Секунду..."""
,"Положив трубку, Краусс взглянул на ухмылявшегося Кинзо, стоящего по другую сторону решетки."
,Кинзо отдал следующий приказ.
Ushiromiya Kinzo,"""Перед испытанием посторонние лица должны уйти. ..........Года и Кумасава находятся там, надо полагать? Они могут доставить неприятностей, если станут мешать испытанию. Прогоните их из гостевого домика."""
Ushiromiya Krauss,""".........Прогнать... говоришь?"""
Ushiromiya Kinzo,"""В розарии должен быть склад для садового инвентаря. Заприте их там. Хм‐м‐м, пожалуй, начнём с этого. Скажи им, чтобы они немедля это сделали."""
Ushiromiya Kinzo,""".........Мои орудия проследят за выполнением. Если случится что‐либо сомнительное, то я прекращу испытания и всех вас превращу в жертв!"""
Ushiromiya Krauss,"""......П‐понятно... ......Алло, Джессика... Слушай внимательно..."""
,Краусс передал приказал Годе и Кумасаве запереться в сарае...
Ushiromiya Kyrie,"""......Что за за испытание ты задумал?"""
Ushiromiya Kinzo,"""Хм‐м? А‐а‐а, крайне просто! Я всего лишь хочу, чтобы мои внуки и внучки продемонстрировали свою решимость. Что ж, интересно, как они себя поведут. ......*хи‐хи*."""
,"Кирие наблюдала за Крауссом, разговаривающим с детьми с выражением отвращения на лице."
,"......Жаль, но сейчас мы вынуждены подчиниться."
,"Здесь, в подземелье, сопротивление не поможет."
,"Если мы спровоцируем его, из‐за чего он может принять решение убить нас, то его уже ничто и никто не остановит."
,......Пока что мы только можем подчиниться его воле... ожидая подходящего момента...
,"Но если мы продолжим беспрекословно выполнять его команды, во время этого пресловутого испытания на детей могут напасть и даже убить."
,.........Будем ли мы изображать подчинение или сопротивляться... ничто нам не поможет.
,"В общем, напрягать глаза в стремлении до самого конца не упустить хоть какой‐то шанс сбежать — это единственный доступный нам способ сопротивления."
,"......Говоря все это про себя, Кирие наблюдала за Крауссом, выполняющим приказы Кинзо..."
Nanjo Terumasa,""".........Кирие‐сан. Давай потерпим..."""
Ushiromiya Kyrie,"""Я понимаю. ......Прискорбно, но сейчас мы можем только ждать. Если бы мы только могли хоть что‐нибудь сделать с этими прутьями, то у нас была бы возможность вернуться в особняк..."""
Nanjo Terumasa,"""......Если бы мы могли только выбраться отсюда......... Я... я что‐нибудь придумаю. ...............Кинзо‐сан, могу ли я вас о кое‐о‐чём попросить?"""
Ushiromiya Kinzo,"""Хм‐м, и о чём же, мой друг?"""
Nanjo Terumasa,"""Мы все понимаем, что вы хотите испытать детей... ......Вы вполне имеете на это право."""
Nanjo Terumasa,"""Без вашего могущества семья Уширомия могла прекратить своё существование в прошлом. Мы действительно понимаем, почему вы хотите тщательно выбрать действительно стоящего главу. Ведь в этом и суть настоящего семейного собрания. Мы не будем препятствовать вам..."""
Ushiromiya Kinzo,"""Хм‐м. Мне приятна твоя забота. Действительно, это семейное собрание. Последнее семейное собрание, на котором я выберу следующего главу. Фу‐ха‐ха‐ха‐ха‐ха!"""
Nanjo Terumasa,"""И всё‐таки, Кинзо‐сан... ......Здесь слишком холодно. Так как мы не будет мешать испытанию, не могли бы вы перевести нас в более тёплое место?"""
Ushiromiya Kinzo,""".................."""
,"При этих словах Нанджо, всякие намёки на улучшение настроения Кинзо, до этого проглядывающие в нём, как ветром сдуло."
,"Нанджо пораженно замолчал, а Кинзо оценивающе смотрел на него опасным взором..."
{f:5:Virgilia},"""......Конечно, здесь холодно. Трудно здесь быть старому телу. ......Господин, не лучше ли отвести их наверх?"""
Ushiromiya Kinzo,"""Я не могу этого допустить! Что за наивность, Нанджо‐о‐о‐о‐о? Думаешь, если притворишься, будто пропускаешь этот ход, то такой выбор здорово и замечательно сыграет на руку твоим интересам? Я на подобное не поведусь, ясно? Если ты замерз, то почему бы не выложить по полу раскаленные угли!"""
{f:5:Virgilia},"""М‐мои извинения..."""
,"{f:5:Вергилия} попыталась было помочь им, но Кинзо её не послушал..."
Gaap,"""...............Вы оба так покорны. ...Захоти вы, то с лёгкостью бы сломали эти прутья."""
Kanon,"""..........................."""
Shannon,"""......Даже если мы сломаем их, из этого не выйдет ничего путного."""
Gaap,"""Конечно. ......Если бы вы их сломали, то игре {f:5:Голдсмита} пришел бы конец. ......Все вы, включая людей в гостевом домике, сразу же станете жертвами для ритуала Кинзо."""
Gaap,"""......Но, как ни удивительно, единственными являетесь как раз вы оба, не так ли? Пожалуй, только вы наделены силой для выхода из сложившейся ситуации, так ведь?"""
Gaap,""".........Вы ведь хотите попасть в Золотую Землю, верно? У вас, должно быть, имеется много неисполненных мечтаний? *хи‐хи*хи‐хи*..."""
Kanon,""".............................."""
Ronove,"""Гаап. Не провоцируй их. ......Это не твоя игра. Это игра Господина и Миледи."""
Ushiromiya Kinzo,""".........Что ты сказал, Ронове?"""
Gaap,"""Ох, нет, ничего. ......Мы просто разговариваем с узниками. Простите нас."""
,Гаап последний раз послала Канону насмешливую улыбку и отвернулась.
,А Канон мог лишь закусить губу и сжать кулаки...
Kanon,"""...........................Вот же..."""
Shannon,"""......Молодец... Ты неплохо держался..."""
Kanon,"""Мы бессильны... Ведь мы всего лишь мебель..."""
Shannon,"""Действительно... мы бессильны. ......Однако бывают случаи, когда мебель нужна и даже любима."""
Shannon,"""......Но сейчас мы всего лишь хранимся в подвале. ......Безусловно, в один прекрасный день нас кто‐нибудь да полюбит. Потому что мы нужны. ......Вот почему нам сейчас нужно игнорировать их провокации.........Хорошо?"""
Ushiromiya Krauss,"""......Отец. Я сказал им запереть Году и Кумасаву."""
Ushiromiya Kinzo,"""Отлично. Повесь трубку. ......Чиесты. Проследите за тем, как они запрут Году и Кумасаву. Если они сделают что‐нибудь подозрительное, то испытание на место следующего главы будет тут же прервано."""
,"Как только Кинзо приказал, Чиесты появились аккурат за ним, выстроившись в линию."
Chiester00,"""Приказ понят, сир. ......Я прослежу. {ruby:пять пять шесть:556} и 410 охватят обе стороны. У 45 широкий обзор."""
Chiester45,"""00... 556, она......"""
Chiester00,"""Ах... да. Прошу прощения."""
Chiester45,"""Она была хорошей девочкой......."""
Chiester410,"""......Вот почему я их не люблю, ньех. ...Хороших людей."""
Ushiromiya Kinzo,"""Что вы делаете, сёстры Чиесты?! Следуйте моему приказу!"""
Chiester00,"""..............Прошу прощения, сир. Вперёд, осуществлять наблюдение. ......Выдвигаемся!"""
,Сестры Чиесты мгновенно испарились.
,"Нанджо и Кирие стали свидетелями того, как троица мистически появлялась и исчезала, будто телепортировалась, но они расценили это как игру тьмы таким образом, чтобы это все только выглядело как телепортация, и им ничего не оставалось, кроме как тереть глаза..."
Ushiromiya Kinzo,"""......Хорошо. Я начну подготовку к испытанию. Ронове, Гаап. Я хочу попросить вас помочь мне. {f:5:Вергилия}, а ты приглядывай за этими крысами. ........Всё‐таки, моя мебель здесь. Будьте осторожны, на всякий случай."""
,"Он взглянул на Шаннон и Канона. Шаннон, крепко зажмурив глаза, молчаливо, избегая сторонних действий, поклонилась..."
{f:5:Virgilia},"""......Конечно. Я буду осторожна."""
Gaap,"""Разве твоему старому телу не холодно, Лия? Принести стакан горячей воды?"""
{f:5:Virgilia},"""Заткнись. Иди уже. Гап."""
Ronove,"""Пу‐ку‐ку! Что же, проведения испытания, а также выступление в качестве экзаменатора может стать интересным опытом в этой игре. .........Я надеюсь, что это развлечет Миледи."""
{f:5:Virgilia},"""......Явитесь, предстаньте, козлоголовые."""
,"Как только {f:5:Вергилия} прокричала это во тьму, тут же возникли козлоголовые люди."
Gaap,"""О, слуги Беато. Хорошо. Тем более, они кажутся такими тёплыми. Ясно, так они вместо стакана с тёплой водой. В таком случае разве овцы не будут лучше козлов?"""
{f:5:Virgilia},"""Эй, ты у нас тут в кашемир одета. ......Они, может, умом не блещут, однако являются преданными и надёжными исполнителями."""
Ushiromiya Kinzo,"""Хм‐м, оставляю это на тебя, мой друг {f:5:Вергилия}. ......Остальные ступайте за мной."""
,Полным достоинства жестом Кинзо пошелестел плащом.
,"За ним последовали Ронове и Гаап, а также трое недавно призванных козлоголовых слуг."
{f:5:Virgilia},""".....Вы трое должны ждать здесь со мной. Не следуйте за ними."""
,Козлоголовые удивлённо подпрыгнули и побежали обратно.
,"Кирие, до этого поражённо наблюдавшая за разыгравшемся перед ней зрелищем, не смогла сдержать смешка."
Ushiromiya Kyrie,"""Хе‐хе... Какие забавные шестёрки."""
{f:5:Virgilia},"""Л‐лорд {f:5:Голдсмит} не давал тебе разрешения трепать языком."""
,Она определённо смутилась.
,"Ответ {f:5:Вергилии} был прохладен, однако Кирие просекла её и какое‐то время не могла сдержать сдавленный смех."
,Однако про себя Кирие дивилась количеству людей под началом Кинзо.
,Поскольку помимо Кинзо явили себя ещё как минимум 10 врагов.
,"Подземелье, в котором их заперли, предположительно находилось под скрытым особняком под названием Кувадориан."
,"И хотя об этом особняке шёпотом передавались слухи, даже Краусс не знал о его существовании до сего дня."
,"Неужели на Роккенджиме находится несколько зданий вроде такого, в которых содержатся и укрываются известные Кинзо приспешники?"
,Сколько же людей тайфун запер на Роккенджиме?
,"Нет, с другой стороны...А может, именно мы единственные, у кого сложилось впечатление, что на острове находилось лишь 18 человек?"
,"Не оказались ли мы, пререкающиеся на этом острове о том, существуют или нет {f:5:Беатриче} с 19‐м человеком, не более чем лягушкам в колодце?"
,"Нет стоп, не только это... Ведь на данный момент на стороне врага числится больше людей, чем на нашей, не так ли?"
Ushiromiya Kyrie,"""..............Что за чертовщина тут творится... Ведьмы? Демоны? Магия? ......Вы хотите, чтобы я в это поверила? Или мои глаза врут мне? Или у меня крыша поехала? ......Впрочем, если не поехала, то, кажется, уже начинает..."""
,Массовое убийство при помощи магии.{n}Демоны возникающие из воздуха и в воздухе растворяющиеся.
,"И что даже важнее численности врага, как нам истолковывать швыряемые нам в лицо вещи, которые не объяснить здравым смыслом этого мира?"
,"На Кирие напало ощущение, что она полностью утратила понимание происходящего, и, отчаянно сражаясь с желанием послать всё подальше и опустить руки, она попыталась ухватиться за свой рациональный ум и начать бороться с разыгравшейся перед ней трагедией."
,"Года с Кумасавой, разумеется, не горели желанием быть запертыми на складе в розарии."
,"Но им пригрозили, что воспротивься они, и ничто больше не сможет гарантировать безопасность заложников..."
,"Их оказалось довольно непросто уговорить, но как только они пришли к мысли, что их собственная безопасность на деле будет гарантирована, если ключ садовому складу будет передан им после того, как их запрут, и что им дадут одеяла и еду, они всё‐таки согласились."
Kumasawa Chiyo,"""........Это место довольно холодное... Сколько же нам придётся сидеть там взаперти..."""
Ushiromiya George,"""......При наихудшем раскладе — до утра понедельника, то есть полный день и ночь. ......Мне правда не хочется так поступать с вами, но..."""
,"Джордж и Баттлер расчистили пространство на полу и расстелили одеяла.{n}Они также оставили им консервы, крекеры и другие лёгкие закуски, которые принесли с собой."
Ushiromiya Battler,"""Вам придётся нелегко до понедельника с такой провизией... Эх, были бы мы поближе к кухне..."""
Ushiromiya Jessica,"""Нам наказали не ходить в ненужные места. .......Судя по всему, за нами наблюдают. ......Чёрт."""
Gohda Toshiro,"""......Я искренне сожалею, что не могу быть хоть как‐то полезен. А ведь это время, когда нам следует всецело поддерживать вас..."""
Ushiromiya George,"""Ничего не поделаешь. ......Что важнее, позаботьтесь о Кумасаве‐сан. Мы не знаем, что может случиться. Когда уж совсем прижмёт, я хочу, чтобы вы делали всё, что в ваших силах. Но больше всего я хочу, чтобы вы были целы и невредимы..."""
Gohda Toshiro,"""...Да, я понимаю. Пожалуйста, все, будьте осторожны. Господин сейчас отбирает человеческие жизни так, словно убирает шахматные фигурки с доски. Берегите себя."""
,"Года посмотрел на дверь, всё ещё не веря в случившееся, когда вспоминал сотворённое в обеденном зале злодейство и со стыдом повесил голову от своей неспособности описать тот ужас."
Ushiromiya George,"""Спасибо. ......Главное, будьте бдительны. Вы тоже, Кумасава‐сан."""
Kumasawa Chiyo,"""И вы тоже берегите себя... Я уже окончательно перестала понимать, что происходит..."""
Ushiromiya George,"""Что ж... Мы, пожалуй, пойдём. Идёмте, Баттлер‐кун, Джессика‐чан. ......И ты тоже, Мария‐чан, пойдём."""
Ushiromiya Maria,""".............У‐у."""
,При взгляде на их переживающие лица становилось лишь тяжелее запереть дверь садового склада.
,Но обратного пути не было.{n}За нами наблюдали.
,"Задвижку опустили и дверь была заперта.{n}Затем Джордж повернулся к маленькому окошку, расположенному сбоку от склада."
,Оно невелико и только пропускало свет и обеспечивало вентиляцию.
