Speaker,Russian (RU)
,"С силой распахнув дверь, издавшую при этом лязганье, Роза влетела с Марией."
Ushiromiya Rosa,"""Есть тут Генджи‐сан или хоть кто‐нибудь?! Не важно кто, просто принесите полотенце!.."""
,"На улице уже вовсю бушевал тайфун, и сильный ливень вступал в свои права.{n}Хоть у неё и был зонтик, Мария провела очень много времени в розарии под дождём и ветром."
,Она продрогла до костей.
,Она слегка поссорилась с Розой и ей было сказано оставаться в розарии.
,"......И она выполняла сей наказ, продолжая ждать на том самом месте, несмотря на проливной дождь."
,"Роза, конечно, несколько вспылила, однако Мария со своим капризом, пожалуй, была виновата больше."
,"......Кузены, наблюдавшие сию размолвку, ощутили облегчение, увидев мать и дитя снова вместе."
,"Роза принялась вытирать полотенцем голову Марии. Она, видимо, боялась, что Мария может простудиться, но самой Марии это было безразлично."
Ushiromiya Rosa,"""Ты как? Не простудилась, надеюсь? Может, нам всё‐таки стоит пока вернуться и переодеть тебя?.."""
Ushiromiya Maria,"""У‐у, не надо! Важнее то, что Мария хочет кушать, еда лучше сменной одежды, у‐у!"""
Ushiromiya Battler,"""Ха‐ха‐ха‐ха. Она вроде в порядке, тётя Роза. Во всяком случае, должна быть, если настолько энергична."""
Ushiromiya George,"""Хорошо, что у неё был зонтик. .....Я уж подумал, что она могла промокнуть до нитки. Зонтик, который она держала в руках, стал лучом света в темном царстве."""
Ushiromiya Jessica,"""Только Мария! Даже если у тебя есть зонт, тебе необходимо найти укрытие, если начинается такой сильный дождь, понимаешь? Маленьким девочкам определённо не стоит переохлаждать свои тела."""
Ushiromiya Maria,""".........У‐у."""
Ushiromiya Rosa,"""Все в порядке, Джессика‐чан. ......Мама виновата в том, что сказала ей там оставаться. Я очень, очень раскаиваюсь в этом!.."""
Ushiromiya Maria,"""У‐у! Мария хорошая девочка? Мария хорошая девочка потому, что послушалась маму? Осталась там, хоть и было холодно, стояла там, пока мама не пришла! У‐у!"""
Ushiromiya Rosa,"""Да, ты очень хорошая девочка, Мария. Ты в точности послушалась маму... Действительно впечатляет. Но, в следующий раз, даже если мама скажет тебе что‐то сделать, найди укрытие если пойдёт такой дождь. Договорились?.. Пообещай маме."""
Ushiromiya Maria,"""У‐у. Обещаю, мама. ......У‐у‐{p:0:☆}"""
,"Роза, заботливо поддерживая Марию, сплела свой мизинец с её, и они закрепили обещание."
,"Баттлер и остальные поняли, что с прикосновением мизинца её матери, тепло начало возвращаться в тело Марии."
Ushiromiya Rosa,"""Канон‐кун, спасибо за полотенце. Ты очень мне помог."""
Kanon,"""......В таком случае прошу меня извинить."""
,"Канон поклонился с безразличным выражением лица, будто он не сделал ничего, заслуживающего благодарности, и покинул гостиную."
Ushiromiya Rosa,"""......Итак, пора ужинать. Пойдёмте все вместе. ......Я даже дам Марии свою долю десерта за то, что она так хорошо себя вела."""
Ushiromiya Maria,"""У‐у! Правда, мама?! У‐у‐у‐у, получу десерт, у‐у‐у‐у‐{p:0:♪} Люблю маму, люблю маму!"""
Ushiromiya Rosa,"""Эй, Мария, прекрати скакать. Мама тоже тебя любит, Мария. Люблю Марию, люблю Марию."""
Ushiromiya Maria,"""Мария тоже любит маму, люблю маму! У‐у‐у‐у!"""
Ushiromiya Rosa,"""У‐у‐у‐у‐{p:0:♪}"""
,"Роза и Мария выглядели очень близкими друг другу. Даже кузены, смотревшие на это, ощутили, как в их груди растекается давно забытая теплота."
Ushiromiya Battler,"""......Знаете, это, наверное, тот возраст, в котором у тебя лучшие отношения с родителями."""
Ushiromiya Jessica,"""У меня всё было не так. Мама всегда кричала на меня, чтобы я училась, училась и училась."""
Ushiromiya George,"""Это все от любви к своим детям. Любовь родителей не всегда нежная и потакающая. Моя мать тоже была строга со мной, но теперь я понимаю, что её строгость проистекала из глубокой заботы обо мне."""
Ushiromiya Maria,"""У‐у‐у‐у! Люблю маму, люблю маму!"""
Ushiromiya Rosa,"""Люблю Марию, люблю Марию{p:0:♪} Ну что, пойдём кушать? Давайте все будем дружить и возьмемся за руки."""
Ushiromiya Maria,"""У‐у! Будем дружны и возьмемся за руки! Мама и Мария — дружны‐предружны{p:0:♪}"""
Ushiromiya Rosa,"""Да, это верно. Мама и Мария — друзья. Мы все‐гда будем ими. Я люблю тебя, Мария..."""
Ushiromiya Battler,"""............Что случилось, ты чего это вдруг? ...В чём дело?"""
,"Источником внезапного звука послужила чашка, которая до этого была в руках Гретель, но теперь упала и разбилась."
Ushiromiya Ange,""".........Прошу прощения. Как неаккуратно с моей стороны. Извините, что уронила её."""
,"Чашка, лежащая на полу, была разбита вдребезги."
,......Могла ли она издать такой звук и разбиться вдребезги всего лишь от падения с такой высоты?
,"Даже чурбан вроде Баттлера мог понять, что что‐то испортило ей настроение, однако он не мог понять, что так внезапно вызвало её негодование."
,"Когда она собралась наклониться и собрать осколки чашки, Ронове появился из ниоткуда и остановил её."
Ronove,"""Вы поранитесь. Оставьте уборку мне. Принести ли мне вам ещё чашку чёрного чаю?.."""
Ushiromiya Ange,"""......Обойдусь. .........Думаю, демонский чёрный чай не соответствует моим вкусам."""
{f:5:Beatrice},"""Хо. Подумать только, есть кто‐то, чьи вкусы не удовлетворяет даже чай Ронове. Не могу не признать тонкость твоего вкуса."""
Ushiromiya Ange,""".........Мне становится скучно, так что я выйду на секунду."""
Ushiromiya Battler,"""{i:Скучно}? Подожди секунду, сейчас начнется самая интересная часть. Примерно сейчас, Мария, возможно, снова собирается сказать, что {f:5:Беатриче} дала ей зонтик и письмо, не так ли? Это важнейший момент..."""
Ushiromiya Ange,"""Прошу меня извинить. Будьте добры, приберитесь здесь."""
Ronove,"""Предоставьте это мне."""
,"Не говоря более ни слова, Гретель исчезла по собственной воле. Её силуэт буквально растаял и растворился в воздухе..."
,Её лицо безусловно выражало недовольство.
,"Однако ни Баттлер, ни Ронове, ни, естественно, Беато не могли понять, что послужило причиной столь внезапной пасмурности в её настроении."
,Всё что осталось — это аромат разлитого ею чёрного чая...
,.........Мне это не нравится.
,"Точнее, говоря откровенно, меня воротит от этого."
Ushiromiya Maria,"""У‐у?.. .....Почему ты так раздражена, Энджи?"""
Ushiromiya Ange,"""{i:Почему}, спрашиваешь?! Разве не очевидно?.."""
Ushiromiya Maria,"""У‐у. ...Мария не понимает..."""
,Даже Мария онее‐чан с её ничего не выражающим лицом... раздражала меня.
,"В мои руки, выставленные ладонями вверх в пустоту, из ниоткуда приземлилась книга."
,.........Это был дневник Марии онее‐чан.
,"Даже несмотря на то, что я не переворачивала страницы и ветра не было, они стали пролистываться, и отворилась дверь в мир Марии онее‐чан."
Ushiromiya Maria,"""......Почему ты считаешь, будто Мария несчастна, Энджи?"""
Ushiromiya Ange,"""............Подумай об этом объективно."""
Ushiromiya Maria,"""Под объективностью ты подразумеваешь мышление через твоё восприятие, Энджи?"""
