Speaker,Russian (RU)
,Тук‐тук‐тук‐тук!!!
,Нацухи привели в чувства неожиданные яростные стуки в дверь.
,"Вероятно, она задремала в кабинете, ища способ преодолеть завтрашний день."
,Но... кто бы это мог быть?.. Да ещё и в такое время...
,"Что более важно, странно уже то, что стучат."
,"Если кто‐то хотел связаться с ней, можно было просто позвонить по внутренней линии."
,"Она сказала, что будет здесь."
,"Понимая, что происходит нечто странное, Нацухи ещё раз тряхнула головой, окончательно отбросив сонливость."
Ushiromiya Eva,"""Отец, отец!.. Это Ева. Мне срочно нужно обсудить с тобой очень важные новости!"""
,Это был голос Евы.
,......Как?
,"Я же сказала наглухо запереть двери и окна особняка после того, как все уйдут в домик для гостей."
,Так почему Ева здесь?!
,"Нацухи подбежала к двери, ответила тихим стуком и тихо сказала через дверь"
Ushiromiya Natsuhi,""".........В чём дело? Не кричите."""
Ushiromiya Eva,"""Нацухи?! Что ты делаешь в кабинете отца в такой час?!"""
Ushiromiya Natsuhi,"""......Я же сказала — тише! Вы забыли, что глава любит тишину и покой больше всего на свете?!"""
Ushiromiya Eva,"""Сейчас не время! Прекрати давить на это и немедленно открой! Приведи отца!!!"""
Ushiromiya Natsuhi,"""Глава только что пошёл спать! Не знаю, какое у вас дело, но я выслушаю его не раньше утра!"""
Ushiromiya Eva,"""К тебе у меня никаких дел нет! Сейчас же открой!!!"""
,"Иногда множество схем и предположений могут развалиться из‐за самых прямых, простых и эмоциональных стратегий."
,Дело плохо...
,"Если я открою, Ева оттолкнёт меня и ворвётся в кабинет."
,Сейчас я даже не могу открыть эту дверь!..
,В этот момент неожиданно зазвонил телефон.
,В‐всё нормально. Оба ключа от кабинета у меня.
,Никто не сможет открыть эту дверь!..
,Нацухи потихоньку отошла от двери и подняла трубку...
Ushiromiya Natsuhi,"""А... алло! Нацухи слушает!"""
Ushiromiya Krauss,"""Это я... Всё плохо. Скорее спустись в гостиную."""
,Это был Краусс. Его голос был крайне напряжён.
,......Да что случилось?!
Ushiromiya Krauss,"""Баттлер и наша гостья, Эрика......... разгадали эпитафию ведьмы и нашли золото."""
Ushiromiya Natsuhi,"""Э? ............... ...П‐правда?!"""
Ushiromiya Krauss,"""Рудольф и остальные прорвались сюда. Говорят, что Баттлер покажет всем местоположение скрытого золота..."""
Ushiromiya Natsuhi,"""Сейчас Ева прямо за дверью, кричит, чтобы я открыла!.. Если я открою, она может ворваться в кабинет!.."""
Ushiromiya Krauss,"""...Во... вот как. Я сейчас подойду. Не думай о Еве. Оставайся там и ничего не предпринимай!.. Я подам тебе сигнал, когда уведу её от двери, поэтому уходи сразу же, как только услышишь. Поняла?!"""
,Сразу после этого Краусс в сопровождении Генджи поднялся вверх по лестнице.
,"Между ним и Евой разгорелись горячие дебаты. 'Открывай!' 'Нет, успокойся'."
,"В разгар этого, как сигнал, раздался тихий стук."
,......Краусс умело оттолкнул Еву от двери и отвлёк её.
,За это время Нацухи выскочила из кабинета и быстро закрыла дверь...
,"Ева заметила, и её лицо скривилось в разочаровании, но звук автоблокировки уже прогремел, и дверь была заперта."
