Speaker,Russian (RU)
,"......Шум ветра — единственное, что было слышно."
,"Звук беды, достаточно сильный, чтобы приносить печаль и беспокойство тем, кто его слышит."
,Медленно...... я пришёл в себя.
,Я наконец очнулся на кровати с твёрдым матрасом...
,Опять же...... где я?..
,"Не могу вспомнить, но смутно припоминаю...... что не должен оставаться здесь."
,Комнату освещал тусклый свет.
,"Свет был, но он только сильнее выделял мрак и ужас этой комнаты."
,"На окне не висели занавески, однако снаружи было слишком темно, чтобы всматриваться."
,"Когда я искоса посмотрел на ту кромешную тьму...... мне показалось, будто оттуда на меня смотрит лесная ведьма... и я в страхе отвёл взгляд от окна."
,"......Я не вижу и не слышу...... но чувствую, что если покину эту комнату, станет ярко и тепло, и за ней точно будет кто‐нибудь ещё."
,Нужно сейчас же добраться до остальных......
,Плохие воспоминания из моего детства били ключом.
,"Ужасные, суровые воспоминания о том, как я задремал на семейной конференции и меня отнесли спать в незнакомую комнату. Я помню, как проснулся там совсем один, всхлипывая..."
,Мне...... нельзя оставаться в этой комнате.
,"Да, нужно скорее выбраться отсюда."
,Я больше ни на секунду не хочу здесь задерживаться.
,Мне страшно. Жутко. ......Где все?{n}Хочу сейчас же уйти отсюда...
,"Я открыл дверь, стремясь покинуть комнату."
,"Через дверную щель просочился тёплый свет.{n}......Как я и думал, коридор был полон утешительного света."
,"Я не слышу их, но чувствую, что вдалеке радуются люди."
,......Все наверняка собрались в комнате напротив этой.
,"......А я заперт в этой одинокой, жуткой комнате...... совсем один."
,Нужно скорее уходить.
,"Как только я об этом подумал, раздался беспощадный металлический звук, и дверь отказалась открываться дальше."
,.........Висела цепочка.
,Я всегда ненавидел такие замки.
,Обычный замок можно открыть просто покрутив.
,"......Но цепные замки сделаны так раздражающе, что с ними легко не справишься."
,...Поэтому я ненавидел их ещё с детства.
,".........Видите? ...Даже эта цепочка... доставляет мне неудобства, и я никак не могу её снять."
,Почему так? Я просто хочу сейчас же уйти из этой жуткой комнаты...
,Всего лишь по другую сторону тонкой двери всё купается в тёплом свете...
,Не могу снять... Никак не могу снять эту цепочку.
,"Чем больше нарастало отчаяние, тем более тревожный мрак подступал к моей спине, и мне становилось всё страшнее..."
,......Тогда я наконец заметил.
,С этой цепочкой...... что‐то не так.
,"......Да, это цепочка, ...но не цепной замок."
,"Это просто цепь, приделанная к двери так, чтобы её нельзя было открыть шире..."
,"Значит, она предназначена не для того, чтобы её открывать."
,"""Ка... ......какого чёрта?.. Кто такое сделал, чтоб его..."""
,"Что бы я ни делал, сколько бы ни пытался, я не мог ни вытащить крепёж, ни снять цепочку, ни сломать механизм."
