Speaker,Russian (RU)
,"Эрика задремала на кровати, и когда раздался стук в дверь, она заметила его не сразу."
,"Она посмотрела на часы и увидела, что с тех пор, как она легла, прошло не так много времени."
Furudo Erika,""".........Да, кто там? Надеюсь, у вас есть хорошая причина стучать по двери детектива в такой час..."""
Furudo Erika,"""Точно. ......Перед началом игры мне нужно кое‐что сказать."""
Ushiromiya Battler,"""А‐а, провозглашение детективом. Делай как знаешь."""
Furudo Erika,"""Нет, я имею в виду обратное. ......Мы повышаем ставки."""
{f:5:Beatrice},""".........Повышаете... ставки?.."""
{f:5:Lambdadelta},"""Что‐что? Звучит интересно. Вы о чём?"""
{f:5:Bernkastel},"""......Всё просто. В прошлой игре Баттлер нагнул нас. Поэтому в этой игре Эрика должна не просто сравнять счёт."""
{f:5:Beatrice},"""Разве в прошлой игре не была ничья?.."""
{f:5:Bernkastel},"""Мы бросили игру, которую должны были с лёгкостью выиграть. Если это не поражение, тогда не знаю что. Так ведь, Эрика?.."""
Furudo Erika,"""Д‐да, госпожа. Если бы не мой жалкий провал, мы бы выиграли ту игру по умолчанию..."""
{f:5:Lambdadelta},"""......О‐о‐о, поняла. Так на этот раз вы намеренно собираетесь бороться в невыгодном положении без провозглашения детективом... и всё равно победить!.. Вы планируете не только смыть провал в предыдущей игре, но и полностью перевернуть счёт с ног на голову, да?"""
{f:5:Beatrice},"""Со... ......собираетесь поставить в игре Баттлера, в которую он влил душу и сердце, такое глупое препятствие?.. Это не только самонадеянно, но и грубо!.."""
Ushiromiya Battler,"""......Действительно. Звучит как оправдание на случай их поражения."""
{f:5:Lambdadelta},"""Да, тоже верно. Если они выиграют, это будет великая победа, а если проиграют — у стороны Эрики появится хорошее оправдание. Как‐то нечестно."""
{f:5:Bernkastel},"""Не беспокойся, ставка уравновешена с обеих сторон. ......Если победит {y:0:Челове}{n:0:челове}к, не провозглашённый в этой игре детективом, Баттлер и другие ни за что не соберут фрагменты иллюзии ведьмы."""
{f:5:Bernkastel},"""......Но, с другой стороны, если Эрика проиграет, это детективное ничтожество отправится в глубины забвения вместе с худшим из всех возможных фрагментов."""
Furudo Erika,"""............"""
{f:5:Bernkastel},"""......Вот видите? Всё уравновешено. Окончательная победа, когда иллюзию ведьмы разрушит обычный {y:0:Челове}{n:0:челове}к, а не сверхчеловек‐детектив. ......Ради этой ставки она ставит на кон свою гибель."""
{f:5:Bernkastel},"""Мне надоели ваши с прежней Беато вялые повторяющиеся игры. ......Поэтому мы повысим ставки и разрешим всё за раз."""
{f:5:Lambdadelta},"""......Ну, что верно, то верно. ......{i:Доведя эту} игру до конца, Баттлер 'победит' игру Беато, и игра закончится. ......В каком‐то смысле вам не избежать решающего столкновения, да?.."""
Ushiromiya Battler,"""..................Мне ясна ваша позиция. ......Тебя всё устраивает, Эрика?"""
Furudo Erika,""".........Д... ......да, разумеется. ......Чтобы вернуть доверие госпожи, потерянное из‐за моего прошлого поражения... я... я рискну даже жизнью..."""
Ushiromiya Battler,"""По своей воле?.."""
Furudo Erika,"""............"""
{f:5:Lambdadelta},"""............"""
{f:5:Bernkastel},""".........В чём дело, Эрика? Ответь ему."""
Furudo Erika,"""Ко... ......конечно же. Я сама так хочу. ......Я ни за что не проиграю......... Даже без провозглашения детективом... я......я одолею вас несмотря ни на что!.."""
{f:5:Beatrice},""".........Баттлер........."""
Ushiromiya Battler,"""..................Отлично. Если ты так хочешь, я принимаю вызов."""
Furudo Erika,"""..................Б‐благодарю. Вы об этом не пожалеете."""
{f:5:Lambdadelta},"""Всё‐таки, когда Баттлер играл на {y:0:Челове}{n:0:челове}ческой стороне, у него не было никаких привилегий вроде полномочия детектива. Ему было позволено лишь использовать синюю правду и просить Беато повторить то, что он скажет."""
{f:5:Bernkastel},"""Именно. Прошлая игра была отчасти несправедливой. .........Мы провалились несмотря на это и поэтому всё равно что проиграли."""
Furudo Erika,""".................."""
Ushiromiya Battler,"""Поступайте как знаете. Если захотите ввести провозглашение детективом — вводите в любое время. ......Я понимаю, что пока вы держите его в резерве."""
Furudo Erika,"""Вы всерьёз думаете...... что я бы стала его использовать?.. Против подобного противника?.."""
Ushiromiya Battler,"""............"""
{f:5:Bernkastel},"""Тогда начинайте. Мне уже становится скучно."""
Furudo Erika,"""......Положитесь на меня, госпожа!.. Я обязательно разобью иллюзию ведьмы!.."""
,В дверь Эрики стучали Джордж и Джессика.
,"Они спрашивали, не заходили ли туда Баттлер и Мария. ......Конечно нет."
