Speaker,Russian (RU)
{f:5:Beatrice},"""......И, каково играть на стороне ведьмы?"""
Ushiromiya Battler,"""Странно. .........Раньше я считал, что у стороны ведьмы огромное преимущество. Но играя на этой стороне, я понял, что это чушь. Похоже на игру, где нужно кидать ножи в бочку так, чтобы не задеть усатого парня внутри."""
,"С точки зрения человеческой стороны, это напоминает стрельбу в цель, сокрытую туманом."
,Однако для стороны ведьмы выстрел наугад может стать роковым.
{f:5:Beatrice},"""......Прежняя 'я' всё время играла в такие игры."""
Ushiromiya Battler,"""Да, почти как русская рулетка. ......Но ты всё равно верила, что я в конце концов замечу, и растягивала игры до предела."""
{f:5:Beatrice},"""......Этот вопрос может показаться наглым...... но что вы заметили, Баттлер? Под самый конец ваших игр с прежней мной..."""
,Странный вопрос.
,"Хотя раньше Беато не переставала излагать его Баттлеру...{n}Теперь, когда он понял, она спрашивала его..."
Ushiromiya Battler,"""......Всё совсем наоборот. ......Раньше только ты помнила...... и только я забыл. Но теперь мы поменялись местами. Только я помню...... и только ты забыла."""
{f:5:Beatrice},"""Вы не могли бы сказать мне, что?.."""
Ushiromiya Battler,""".........Сказать... просто. ......Но я не хочу говорить. Я не вредничаю. ......Просто хочу... сам некоторое время верить в чудо."""
{f:5:Beatrice},"""............В чудо?.."""
,"Да, единственное семя чуда, оставленное Баттлером."
,"......Если Беато сможет вспомнить нечто определённое сама...... это докажет, что она действительно возродилась."
,Поэтому он не говорил ей.
,"......Это было последнее семя Баттлера...... существующее потому, что он до сих пор не смог отказаться от надежд на возрождение Беато."
{f:5:Beatrice},"""Если вы не можете сказать мне, я не стану спрашивать. ......Простите, если я вызвала у вас недовольство..."""
Ushiromiya Battler,"""Забудь. Просто я упрям. ............"""
,"Когда она посмотрела на его печальную улыбку, в груди у Беато всё сжалось."
,......Он смотрел на неё... и видел её прежнюю.
,Да...... ради него... я должна стать прежней собой.
,"Моя старшая сестра, которую обжигает паутина, и я, кого она не обжигает, должны стать единым целым."
,"......Несомненно, для него будет полезнее, если я сейчас отправлюсь на поиски себя...... чем если я просто буду наблюдать за его игрой."
{f:5:Beatrice},"""Что думаете об этой игре?......Победите ли вы?"""
Ushiromiya Battler,"""Я намерен победить. Я одержу победу...... и положу конец этой вечной пытке, как и хотела Беато."""
{f:5:Beatrice},"""Когда всё закончится......... что станет с этим миром?.."""
Ushiromiya Battler,"""Кто знает. ......Хотелось бы знать. ...Но мы этого хотели. ......Каким бы ни был результат, я приму его."""
{f:5:Beatrice},""".........Что станет со мной?.."""
,Беато не была уверена.
,Даже она в этой игре не более чем фигура.
,"......Если игра закончится, она, рождённая из её правил...... исчезнет?.."
Ushiromiya Battler,"""Думаю, эта игра исчезнет. ......Но теперь я полностью понимаю магию. ......Я смогу вывести тебя с игровой доски. ......Наверное, это и было твоим желанием."""
{f:5:Beatrice},"""Моим...... желанием?.."""
Ushiromiya Battler,"""...............Остальное — секрет. ......Я буду ждать чуда...... что ты вспомнишь всё сама."""
,"На секунду горько улыбнувшись, Баттлер засмеялся и сказал ей не беспокоиться."
,"Судя по всему, ей лучше не говорить с ним о предыдущей себе..."
Ushiromiya Battler,"""......Ну что, пойду проверю своего противника. ...Не терпится увидеть, какие ещё безумные теории надумает эта дурочка."""
{f:5:Beatrice},"""Прежний Баттлер тоже придумывал много таких. ......Моя любимая — с первых сумерек второй игры, когда вы сказали, что преступник убил всех, скормив им крошечные бомбы."""
Ushiromiya Battler,"""А‐а‐а‐а, вершины моего тёмного прошлого... Забудь, прошу тебя..."""
{f:5:Beatrice},"""Да, я постараюсь."""
,Баттлер превратился в облако золотых бабочек и пропал в темноте.
,"Беато поклонилась и так и стояла, пока он окончательно не исчез......"
,На его месте появилась золотая бабочка...... и стала старшей {f:5:Беатриче}.
{f:5:Beatrice},"""......Ты меня звала, младшая сестра?"""
{f:5:Beatrice},"""Да. .........Я хочу узнать о тебе больше. И...... хочу узнать, какая настоящая я. Я хочу стать такой, как она."""
{f:5:Beatrice},"""Конечно, мне тоже хочется узнать о будущей себе. ......Ради этой цели мы раскрыли всё друг о друге. ......Но всё равно не стали едины. Я не понимаю, что нам нужно сделать для этого."""
{f:5:Beatrice},"""............Как нам стать одним целым?.."""
{f:5:Beatrice},"""Я возлагаю большие надежды на испытания Зепар и Фурфур."""
{f:5:Beatrice},"""Ты про чудо магии, которое дадут победителям?"""
{f:5:Beatrice},"""Что если получить чудо магии означает стать единым целым? ......Я обрету свой истинный облик. Ты исполнишь желания Баттлера. Он тоже будет счастлив, и все мы получим что хотим."""
{f:5:Beatrice},"""......Это же испытание, верно?.."""
{f:5:Beatrice},"""И, значит, нам нельзя проигрывать двум другим парам."""
{f:5:Beatrice},"""......Джордж и Шаннон, Джессика и Канон. ......Я могу обрести счастье...... только растоптав их..."""
{f:5:Beatrice},"""Условия распространяются на всех нас. ......Если кто‐то преуспеет в любви, будут растоптаны две другие группы, включая тебя."""
{f:5:Beatrice},"""......Интересно, зачем так наклонять весы?"""
{f:5:Beatrice},"""Наклонять?"""
{f:5:Beatrice},"""Одни обретут любовь, а другие нет. ......Поэтому можно положить две эти группы на весы. Но у весов нашего испытания три чаши, и для победы одной две другие должны проиграть. Ужасный наклон..."""
{f:5:Beatrice},"""Кто знает? Может, одна успешная любовь стоит две уничтоженные. ......Ты слишком ненадёжна, младшая сестра. Если не сможешь поставить своё желание оправдать ожидания Баттлера выше неуверенности в том, что произойдёт с проигравшими, — точно ничего не приобретёшь."""
{f:5:Beatrice},""".........Ты права. ......Я не откажусь от нашей победы. ......Мне не хочется поступать так с остальными...... но между нами и ними не будет обид."""
,Если проиграю...
,"......Я пожелаю всего наилучшего победившим влюблённым, кто бы это ни был."
,Поэтому я буду бороться всем сердцем и душой...... чтобы ни о чём не жалеть...... и выиграю чудо магии.
{f:5:Bernkastel},"""Ну что? Как прошла красно‐голубая перестрелка первых сумерек?"""
Furudo Erika,"""Первым делом мы разведали обстановку. Баттлер тоже выглядел крайне нетерпеливым."""
,"Она только что вернулась из ожесточённой схватки с Баттлером, в которой собрала информацию, требуя повторить красным текстом."
,"Старый, знакомый вид битвы, напоминающий время первого появления красного текста или же разрешения использовать голубой текст..."
{f:5:Bernkastel},"""И в результате?.."""
Furudo Erika,"""Во‐первых, во всех случаях жертвы сами образовали закрытые комнаты. Кроме того, эти закрытые комнаты прекрасно сохранились до тех пор, пока группа Краусса не открыла их. Также я подтвердила, что в течение этого времени все вмешательства извне были невозможны."""
,"Эрика докладывала с такой гордостью, будто это была великая битва, но {f:5:Бернкастель} слушала со скукой на лице."
,"Безучастно взглянув на неё, {f:5:Лямбдадельта} откровенно высказала своё мнение."
{f:5:Lambdadelta},""".........Секунду. Разве не значит, что эти убийства в закрытых комнатах совершенны?"""
Furudo Erika,"""Чт... ......э......"""
,Жертвы сами заперлись в закрытых помещениях.
,"Закрытые комнаты сохранились до тех пор, пока Краусс и другие не открыли их.{n}Внутри не было никого, кроме жертв.{n}И никто из группы Краусса, вошедшей в комнаты, не преступник......"
,......Ей удалось выиграть несколько небольших красных правд вроде этих.
,"Как правило, хватило бы и такого сбора жизненно важной информации."
,"Однако её госпожа‐ведьма, уставшая от скуки, ждала не такого примитивного результата...... а гораздо более роскошной победы, опровергающей доводы противника."
Furudo Erika,"""Н‐но...... в этот раз у меня нет полномочия детектива, и я могла напортачить, осматривая трупы. По... поэтому, если предположить, что для того, чтобы перехитрить мою проверку, был использован препарат, имитирующий смерть, э‐э..."""
{f:5:Lambdadelta},"""Пурупурупикопуйо?"""
Furudo Erika,"""Н‐нет, не это!.. Общеизвестные препараты вроде инсулина могут вызвать временное состояние, имитирующее смерть. ......Баттлер не возразил этому красной правдой. Моя голубая правда сработала!.. Ду... думаю, мы начали с победы."""
,"Подводя итог отчёту Эрики, она лишь слушала красную правду, которую Баттлер мог ей сказать."
,"Была предоставлена только та информация, которую Баттлер хотел предоставить, и она не смогла нанести удар по каким‐либо слабым зонам."
,"Словно пошедший за покупками ребёнок, который забыл про свою задачу и купил только конфету..."
,.........Но игроки с {y:0:Челове}{n:0:челове}ческой стороны могли делать лишь это.
