Speaker,Russian (RU)
,"Вход в особняк заперли, но у Эрики был универсальный ключ, и она открыла его без всяких проблем."
,Она убедила Краусса и других забрать у слуг универсальные ключи и благодаря небольшой ловкости рук стащила один из них...
Dlanor,"""Что ж. Куда пойдём {f:5:сначала}?"""
Furudo Erika,"""Зачем спрашивать? ......Давай услышим ответ Баттлера."""
,"Ухмыляясь, Эрика пересекла зал и прошла перед столовой...... глубже... и глубже."
,"......Она направлялась к гостевой комнате, где лежал мёртвый Баттлер."
,"До того момента, пока Эрика не засвидетельствует печати, Баттлер мог решать, оставлять ли их целыми."
,"Как только она их увидит...... Владелец игры должен будет показать, что с ними случилось."
,"В игре ведьмы, где они сейчас были...... простая проверка печатей гостевой комнаты была атакой."
Dlanor,""".........Вы готовы, лорд {f:5:Баттлер}?"""
Ushiromiya Battler,"""Да. ......Или, как бы сказала ты......... шаг вперёд."""
Furudo Erika,"""<Good>! Тогда покажите нам свой ответ. Ну что...... печати разорваны или нет? Закрытая комната сохранилась...... или нет?!"""
,"Фигура, которую Эрика подняла высоко в воздух...... белая королева, представляющая её саму."
,Её цель...... позиция Баттлера. Она прорвалась...
,"Эрика с тошнотворной улыбкой пронеслась по коридору и прижалась, как паук, к гостевой комнате."
,"Затем она внимательно рассмотрела печати, которые поместила задним числом."
Furudo Erika,"""............Хех...... хе‐хе‐хе‐хе‐хе‐хе‐хе‐хех! ......Вы уверены?.. .........Вы уверены, ...Баттле‐е‐е‐ер?!"""
{f:5:Beatrice},"""В... ......всё в порядке, Баттлер?.."""
Ushiromiya Battler,"""......Да, я не могу отступить. ......Всё равно, даже если я запечатан там...... есть способы положить письмо."""
{f:5:Beatrice},"""Но сейчас Эрика войдёт в гостевую комнату и увидит, там ваш труп или нет. ......Что вы намерены делать?! Если он там, тогда ничего страшного. ......Предпосылка письма пропадёт, но это ещё не так ужасно. ......И всё равно...... вы собираетесь бороться лоб в лоб!.."""
Ushiromiya Battler,"""Есть такие моменты...... когда тебе бросают прямой вызов... и на него нужно ответить, кем бы ни был противник."""
Ushiromiya Battler,"""......Я не должен... отступать. ......Я приму вызов. Позже я смогу найти выход!.. Тогда же мне удалось сделать так в кабинете Кинзо!.. ......Не беспокойся... я смогу!.. У меня получится! Давай, Эрика‐а‐а‐а‐а‐а‐а!!!"""
Dlanor,"""{p:1:Подтверждено, что печать гостевой комнаты {f:5:не повреждена}. С того момента, как леди {f:5:Эрика} подтвердила присутствие Баттлера, закрытая комната была {f:5:сохранена}}."""
Furudo Erika,"""<Good>! Я уничтожу эту печать! Сорву, разорву! Хех, хе‐хи‐хи‐хи‐хи‐хи‐хи‐хи!!!"""
,Эрика в экстазе разорвала печать из клейкой ленты на двери...
,Интеллектуальный насильник наконец проявил свою истинную сущность.
Furudo Erika,""".....Отлично...... открываю...... Смотрите... Вот...... весь сценарий Баттлера!.. Хе‐хи‐хи‐ха‐ха‐ха‐аха‐а!!!"""
,"Как хулиган, толкнувший слабую девочку...... Эрика безжалостно и жадно распахнула дверь."
,И наконец...... перед ней предстала гостевая комната Баттлера.
,Баттлер должен показать.
,.........Есть там труп или нет?
Furudo Erika,"""<Come o‐o‐o‐on>, Баттле‐е‐е‐е‐е‐е‐е‐е‐е‐ер!!!"""
Ushiromiya Battler,"""А‐а‐а‐а, вот мой отве‐е‐е‐е‐е‐е‐е‐ет!!!"""
,Баттлер схватил с доски чёрную фигуру и высоко поднял её.
,......A‐a...... эта фигура......
,"Беато не помнила то время, когда она была экспертом по этой игре."
,"И всё же...... по какой‐то причине она поняла, что этот ход не забрать назад."
,"Как только фигура сдвинута, её нельзя передвинуть обратно!.."
,Ува‐а‐а‐а‐а‐а‐а‐а‐а‐а‐а‐а‐а‐а!!!
,......Гостевая комната была окутана безмолвной тьмой.
,Темным‐темно и ничего не видно. ......Но в стороне от входа был выключатель света.
,"Если щёлкнуть по нему, в комнате станет светло, и она увидит, есть на кровати труп или нет."
Dlanor,""".........Включаю."""
Furudo Erika,"""Нет...... подожди секунду. ......Баттлер, у меня предложение."""
Ushiromiya Battler,"""Слушаю."""
Furudo Erika,"""Думаю, вы уже знаете...... но на этот раз мне не нужна классическая победа. ......Мой враг — не мелкий преступник, убивающий фигур...... а не кто иной, как вы, мой противник."""
Ushiromiya Battler,""".........Знаю. ......В общем...... твоя цель — логическая ошибка."""
Furudo Erika,"""Хе‐хех......"""
Ushiromiya Battler,"""......Теперь я всерьёз сожалею. ......Ты выглядела такой несчастной, что я полностью поддался...... и дал тебе ту нелепую привилегию."""
Dlanor,""".........Всё из‐за вашей {f:5:гордости}. ......Она дорого вам {f:5:обойдётся}."""
Ushiromiya Battler,""".........Чёрт...... возьми......"""
{f:5:Beatrice},"""......Так что вы предлагаете?"""
,Беато твёрдым голосом призвала её продолжить.{n}Ещё секунду назад она взволнованно стояла за спиной Баттлера.
,......Но сейчас собралась.
,"......Она увидела, как Баттлер поддался эмоциям, как его спровоцировали на плохой ход...... и поняла, что ей пора сохранить хладнокровие и поддержать его."
,"В предложении Эрики не могло быть ничего хорошего.{n}И к тому же, Эрика хитрая."
,"Вряд ли она стала бы делать предложение, которое легко отклонить..."
Furudo Erika,"""Сейчас я включу свет. Кровать будет освещена и решится, исчез Баттлер, как говорилось в письме, или нет."""
Furudo Erika,"""......Если он там — великолепно. В этом нет ничего странного. В письме могла быть ошибка. ......Естественно, возникнет вопрос 'тогда кто положил туда письмо?', но пока что поле битвы выйдет за пределы этой закрытой комнаты."""
{f:5:Beatrice},"""............А... если он пропал?.."""
,"Беато уже знала.{n}Она знала, какой ход сделал Баттлер секунду назад."
,......Баттлер...... уже исчез из комнаты......
,"Следовательно, им не нужно подготавливать другой трюк с исчезновением, помимо 'на самом деле он был жив и вышел через дверь'."
,Ситуация проста.
,"Во‐первых, эта комната — закрытая комната.{n}Жив Баттлер или нет — подтверждено не было."
,"Поэтому нет проблем, если он жив."
,"Они должны были навести Эрику на мысль, что Баттлер испарился."
,"Ему просто нужно было уйти из комнаты...... или же, если это невозможно, просто спрятаться и ждать, когда она уйдёт, наводя её на мысль, что он исчез."
Furudo Erika,"""В этой узкой комнате...... я начну наш эндшпиль...... погоню за королём. Всё закончится всего за пару ходов. Вы не сможете построить логику, позволяющую Баттлеру выбраться из этой комнаты......... и история потерпит крах — конец игры."""
{f:5:Beatrice},""".........Делать всё, чтобы избежать этого, — наша работа. ......В чём ваше предложение?"""
Furudo Erika,"""Эндшпиль, цель которого — логическая ошибка, должен быть чуть более точным. ......Мы снова будем сражаться красной и синей правдой, но нам нужен судья на том же уровне, что и Владелец игры, чтобы наблюдать, как бы тот не наделал красной правдой ещё логических ошибок."""
{f:5:Beatrice},"""......Вы... выглядит разумно."""
Furudo Erika,"""Ничего особенного. ......Будучи Владельцем игры, вы были под опекой леди {f:5:Лямбдадельты}. Так было признано, что вся красная правда допустима."""
Ushiromiya Battler,"""......И ты говоришь нам раскрыть {f:5:Лямбдадельте} наши карты?"""
{f:5:Lambdadelta},"""Я наблюдала с самого начала. ......Всё в порядке, не беспокойтесь. Я беспристрастна в своих суждениях."""
{f:5:Beatrice},"""Мо... можно то же самое красным?.."""
{f:5:Lambdadelta},"""Ага. {p:1:Клянусь, что я беспристрастна в своих суждениях}. .........В прошлой игре я была беспристрастнее некуда, так ведь?"""
{f:5:Bernkastel},"""......Особенно когда эти суждения интересны независимо от того, как они провалятся. .........Смирись, Баттлер. Эрика собирается загнать тебя в угол. Понимаешь? .........В этой комнате она сразится с тобой на дуэли и убьёт тебя. ......Если ты мужчина — прими дуэль!.."""
Ushiromiya Battler,"""Д... ......да, ладно. .........Мы ничего не добьёмся, если вы будете видеть логическую ошибку в каждом моём невозможном убийстве. ......Нам действительно нужен наблюдатель, гарантирующий законность игры."""
{f:5:Lambdadelta},"""Тогда перехожу на вашу сторону. ......Дай взглянуть на твою руку. ............Хм‐м?.."""
,"{f:5:Лямбдадельта} поняла, что у Баттлера в рукаве."
,"......И она подтвердила, что первый ход Эрики действительно попал ему прямо в сердце."
,"Как Эрика и предположила, Баттлер был жив, выскочил из комнаты после того, как она осмотрела его 'труп', ......положил письмо у домика для гостей и скрылся."
,"Когда гостевую комнату задним числом запечатали клейкой лентой...... он должен был показать, что печати сорваны."
,"Но так вышло бы, что его увидели насквозь и он проиграл."
,"Не желая признавать это, Баттлер с ложной смелостью заявил, что печати нетронуты, и теперь торопится пересмотреть свою логику."
,"Да, он может спасаться ещё несколько ходов."
,......Но Эрика планирует загнать его там в угол и убить...
{f:5:Lambdadelta},"""......Баттлер. ......У тебя невероятные карты."""
Ushiromiya Battler,"""Карты?........Для тебя эта шахматная игра как карты?"""
{f:5:Lambdadelta},"""......Мне кажется, будто все вы играете в покер. Перейдя на эту сторону и увидев твои карты, я всё поняла."""
{f:5:Lambdadelta},""".........Ужасный ход. Пустая трата времени... И Эрика уже увидела тебя насквозь."""
Ushiromiya Battler,"""............Хе‐хех... Что бы ты сделала?"""
{f:5:Lambdadelta},"""Я судья и не могу давать тебе советы. ......Но позволь я выскажу своё впечатление."""
Ushiromiya Battler,"""Нет, всё в порядке."""
{f:5:Lambdadelta},"""......Я вся дрожу. ......Этим бесполезным ходом...... необоснованным блефом...... ты хочешь заставить Эрику отступить...... но она не отступит. ......Потому что...... именно тебе сейчас нужно сбросить свои фишки и свернуться..."""
{f:5:Beatrice},"""......Благодарю за совет. .........Баттлер. Я согласна с ней. ......Давайте отступим от сражения в этой комнате. У нас нет выигрышных карт..."""
