Speaker,Russian (RU)
Furfur,"""А‐а, Зепар! Важное объявление?!"""
Zepar,"""Слушай, Фурфур! Нашу главную песню выпустят на CD!"""
,"""""""Ло‐о‐о‐о‐о‐о‐о‐ожь?"""""""
,"""""Да, ложь! Аха‐ха‐ха‐ха‐ха‐ха‐ха."""""
Zepar,"""Нам просто стало скучно всё время появляться одинаково!.."""
Furfur,"""Мы подумали немного изменить стиль!"""
Zepar,"""Мы артисты! А сцена — действие!"""
Furfur,"""Нужно то и дело импровизировать!.."""
Ushiromiya Jessica,"""Д... ......да, нам без этого никак, чёрт подери..."""
Ushiromiya George,"""......Спасибо, что помогаете снять напряжение. Прошу прощения, но мы ещё обсуждаем второе испытание. Нам нужно чуть больше времени. И тишина, если можно."""
Zepar,"""Извини, Джордж. На самом деле у нас есть очень важное объявление по поводу второго испытания."""
Furfur,"""Для некоторых это хорошие новости! А для других — плохие?"""
Zepar,"""Те, для кого это плохие новости, думаю, уже догадались!"""
,"""""А если вы не знаете, о чём мы, тогда для вас новости хорошие!"""""
Shannon,"""......Госпожа {f:5:Беатриче}?.."""
{f:5:Beatrice},""".........Ничего."""
Kanon,"""............"""
,Было пять человек. Отсутствовал только Баттлер.{n}Беато стояла с низко опущенной головой и мрачным выражением.
,"Все поняли, что, должно быть, что‐то случилось с Баттлером..."
Zepar,"""Мы бы хотели объявить, что перед вторым испытанием Баттлер выбыл."""
,Все забормотали. ......Что же случилось?..
Furfur,"""Игра ведьмы будет ждать его вечно, но пара влюблённых вечно ждать не может."""
Zepar,"""Любовь как мороженое! Она сладкая и сливочная, но если быстро не съешь, то потеряешь её. Наша игра не так щедра, чтобы ждать его возвращения."""
Kanon,"""......Так вот что подразумевалось под хорошими новостями."""
Ushiromiya Jessica,"""Хех. ......Я, конечно, рада сокращению числа наших противников, но вы глубоко ошибаетесь, если думаете, что я стану аплодировать чужой беде..."""
Ushiromiya George,"""Баттлер... Тот, кого мы считали нашим самым главным врагом... ......Я не стану спрашивать причину. Если демоны так говорят, значит, так оно и есть."""
Shannon,"""......Тогда... что будет с госпожой {f:5:Беатриче}?.."""
{f:5:Beatrice},""".........Вероятно, я потеряю право проходить испытание."""
Zepar,"""Ведь это испытание на проверку уз между влюблёнными!"""
Furfur,"""Сейчас Баттлер не в состоянии участвовать. Поэтому его пара дисквалифицирована! Поистине печально!"""
Zepar,"""Но она участница этого трёхстороннего испытания любви. Так что нам стоит позволить ей наблюдать за испытанием!"""
Furfur,"""Прекрасная идея! Она имеет право пожелать счастья паре, преодолевшей испытание!"""
Ushiromiya George,"""......Вас это устраивает?"""
{f:5:Beatrice},"""Да...... Я хочу наблюдать до конца. ......И...... я всё ещё верю, что он скоро вернётся, вернёт право на участие и снова продолжит со мной это испытание."""
Shannon,"""......Думаю, она имеет право быть наблюдателем."""
Ushiromiya Jessica,"""Не возражаю."""
Kanon,"""......Нам незачем быть жестокими."""
Ushiromiya George,"""Но всё равно...... мы потеряли сильного противника. ......Извините, но я хотел бы сейчас же решить исход этого испытания."""
Furfur,"""А‐а, вот он, Джордж! В душе я болею за тебя больше всех!"""
Zepar,"""Холод, которым он подпитывает любовь, только делает её ещё жарче!.."""
Ushiromiya George,"""Так или иначе...... число пар сократилось с трёх до двух, и трёхсторонний тупик разрешён. ......Мы не могли активно бороться потому, что боялись ситуации одного против двух."""
Kanon,"""......Теперь один против одного...... и нужно лишь устроить хорошую, изящную дуэль."""
Shannon,"""............"""
Ushiromiya Jessica,"""Всё‐таки...... надо было сделать так ещё в начале..."""
,"Четверо встали, будто в ответ на невидимый вызов, и решительно посмотрели друг на друга..."
,Только Беато стояла в стороне...... напряжённо следя за ходом противостояния молодых влюблённых.
,......У каждого из них неразрывно сильная связь.
,Тогда...... разве этого мало?
,Их любовь уже настоящая. Не нужно проверять её.
,Но в таком случае...... почему им приходится сражаться?..
,Победившие влюблённые будут связаны вместе чудом магии...... а проигравшие расстанутся.
,"Почему демоны пообещали, что без чуда магии мы разойдёмся?.."
,.........Зачем нужна подобная дьявольская игра?......Я не понимаю.
,"Нет, сейчас они не имеют значения..."
,Мне нужно скорее придумать хитрость...... чтобы вытащить Баттлера из закрытой комнаты......
{f:5:Beatrice},"""............Я слышала о Баттлере. Кажется, у тебя неприятности."""
{f:5:Beatrice},"""Старшая сестра......"""
{f:5:Beatrice},"""Я бы хотела помочь тебе, как дорогой сестре и части конечной меня. ......Я займусь закрытой комнатой Баттлера по‐своему......... но она сложная. Из обычной цепочки словно сделали проволочную головоломку..."""
{f:5:Beatrice},"""Я слышала от {f:5:Лямбдадельты}. ......Она сказала, что прежняя {f:5:Беатриче} обязательно придумала бы трюк. ......У тебя есть идеи?"""
{f:5:Beatrice},"""Прежняя {f:5:Беатриче} — конечная форма после нашего слияния. ......Даже я только часть неё. Мне это не разгадать..."""
,"Иначе говоря...... сколько бы мы ни думали в наших неполных формах, мы не сможем понять."
,"Ни старшей, ни младшей сестре...... не разгадать эту загадку......"
,"Беато тряхнула головой, выкидывая из головы эту мысль."
{f:5:Beatrice},"""Я не сдамся............ Я разберусь с этой закрытой комнатой!.. Если я скорее не спасу Баттлера...... его душа будет сломлена."""
{f:5:Beatrice},""".........Разумеется, я не против прибегнуть к своей мудрости. ......Но даже мне не справиться с этой закрытой комнатой..."""
{f:5:Beatrice},"""Объединившись, мы наверняка сможем найти тот же ответ, что и если бы мы были едины. ......Прошу, не сдавайся и помоги мне своей мудростью!.."""
{f:5:Beatrice},""".........До сих пор не понимаю, почему ты готова так далеко зайти ради Баттлера...... но я сделаю как ты просишь. Ведь это просьба самой меня. Я прибавлю свою мудрость к твоей......"""
Zepar,"""Смотри, Фурфур. Две Беато вместе думают."""
Furfur,""".........Смогут ли они спасти Баттлера?"""
Zepar,"""О, смогут! С чудом любви уж точно!.."""
Furfur,"""Верно, Зепар! С чудом любви они обязательно смогут!"""
Zepar,"""......Эй, Фурфур. Думаешь, они поймут, что мы даём им подсказку к разгадке этой закрытой комнаты?.."""
Furfur,"""................."""
,"Две Беато сблизились лбами...... и, изо всех сил напрягая ум...... искали план по спасению Баттлера."
,"Как будто даже не видели тех четверых, которые метали друг в друга искры и торжественно обсуждали метод дуэли......"
Furfur,""".........Поймут. С любовью они обязательно поймут."""
,Они демоны любви.{n}Любовь — единственный элемент. Источник всех чудес.
,......Может ли чудо любви... дать ответ на трюк закрытой комнаты?..
Ushiromiya Ange,"""Снова. 'Без любви не увидеть'. ......Я понимаю, как этой коронной фразой можно описать некую концепцию. Но трюки закрытой комнаты — подлинные и безжалостные математические головоломки без всяких намёков на любовь. .........О какой подсказке говорят эти демоны?.."""
{f:5:Featherine},"""......У меня уже есть один ответ. ......Слова этих демонов поддерживают его ещё больше..."""
Ushiromiya Ange,"""Да, ясно, ты невероятна. Всегда знаешь верный ответ. И ни за что мне не скажешь. ......По правилу наблюдателей, раз ты не говоришь, возможно, ты только притворяешься, что знаешь, и лжёшь."""
{f:5:Featherine},"""Пф‐ф......... ха‐ха‐ха‐ха‐ха‐ха‐ха. ......Да, мне явно нравятся мико, обливающие грязью. Прекрасно, дитя человека. Для меня сарказм мико и оскорбления как церемониальный танец в мою честь......"""
Ushiromiya Ange,"""Да, ты очень раздражающая госпожа. .........Глупый братик... зачем ты...... создал такую закрытую комнату......"""
{f:5:Featherine},"""Думай, дитя человека. ......Персонажи истории не единственные, кто должен мыслить. ......Как Читатель, ты тоже имеешь право получать удовольствие от размышления. ......А я получаю удовольствие от наблюдения за этим."""
Ushiromiya Ange,"""......Я готова сделать ставку. У твоей последней мико кончилось терпение, и она сбежала от тебя, да?"""
{f:5:Featherine},"""Можешь получать удовольствие, ругая меня. Можешь рассматривать проблему, как две Беато. ......Если не будешь думать, история не продолжится."""
Ushiromiya Ange,"""Почему? Я — Читатель, верно? Разве я не могу просто тихо читать?"""
Hachijo Tohya,""".........Нет. ......Я хочу, чтобы ты думала, чтобы читатели тоже думали."""
Ushiromiya Ange,""".........! Вот как. ......Знаешь, ты очень неприятный автор."""
,"Естественно, Энджи ещё не дошла до конца рукописи, которую читала. ......Однако через несколько страниц она закончится."
,А как же оставшаяся история? Она должна быть гораздо длиннее.
,Должно остаться намного больше страниц......
,Они были в другом коричневом конверте...... в руке Хачиджо.
,"Хачиджо с усмешкой махнула толстым конвертом. ......'Если хочешь прочитать больше, делай как я говорю'."
Amakusa Juuza,"""Круто!.. Как вам, леди? Ха‐ха‐ха‐ха‐ха, аха‐ха‐ха‐ха‐ха‐ха!.."""
,"Давать читать бесплатно...... а потом перестать, когда наконец дойдёшь до самого интересного. Амакуса не мог перестать смеяться над этой дьявольской деловой практикой."
Hachijo Tohya,"""Твои взгляды и рассуждения. ......Вот чего я хочу. ......Скажи мне их...... и я отдам оставшуюся рукопись."""
Ushiromiya Ange,"""Прекрати издеваться. Думаешь, я после такого буду делать так, как ты говоришь?.."""
Amakusa Juuza,"""Да ладно вам, леди, успокойтесь. Я тоже хочу прочитать, так что остыньте."""
Amakusa Juuza,"""......По поводу оставшейся рукописи, Хачиджо. ......Вы ведь написали ответ на трюк закрытой комнаты и правду всех прочих загадок?"""
Hachijo Tohya,"""Конечно. .........Но я не писала так, чтобы поняли те, кто не размышляет и не рассматривает..."""
Ushiromiya Ange,"""......В конце концов твои пылкие читатели скажут, что ты предала их."""
Hachijo Tohya,"""Знаю, потому и не показываюсь. Дитя человека."""
Amakusa Juuza,"""В общем, вот что Хачиджо имеет в виду. ......Сначала скажи мне свой ответ, а потом я дам тебе его проверить."""
Hachijo Tohya,"""......Верно, молодой человек. .........Я не вредничаю. Я спрашиваю, потому что хочу, чтобы ты по‐настоящему поняла конец истории."""
