Speaker,Russian (RU)
,"Церемония бракосочетания закончилась гладко, и в соборе проводился приём..."
,"Пока козлоголовые демоны оглушительно праздновали, Дланор прислонилась к колонне, пытаясь скрыться от шума."
,Затем появилась Гертруда и прошептала ей доклад.
Dlanor,""".........Это {f:5:точно}?"""
Gertrude,"""Уважаемые присутствующие, я смиренно прошу слова. В настоящее время помощник Корнелия направляется на место. ......Полагаю, стоит связаться с леди {f:5:Эрикой}."""
Dlanor,"""{f:5:Поняла}. Я скажу {f:5:ей}. ......Гертрудаа, свяжись с ответственным за {f:5:безопасность} на церемонии. ......Готовьтесь к {f:5:битве}."""
Gertrude,"""Как прикажете."""
Chiester00,"""Прошу прощения, что прерываю вашу беседу. Я отвечаю за безопасность на церемонии."""
{f:5:Lambdadelta},"""Э? Меня?! О, что?"""
{f:5:Bernkastel},"""......Я уже говорила, что ты зашла слишком далеко. Кегли для боулинга из шампанского всегда были плохой идеей. Пора получить нагоняй. *хи‐хи*хи‐хи*......"""
{f:5:Lambdadelta},"""Эй, Бе‐е‐ерн! Да в чём дело, что я сделала не так?!"""
Chiester00,"""Стойка регистрации получила от неизвестного отправителя конверт на ваше имя, леди {f:5:Лямбдадельта}."""
{f:5:Lambdadelta},"""Я всегда игнорирую анонимные звонки и письма. Выкинь."""
Chiester00,"""Но...... взгляните..."""
{f:5:Lambdadelta},"""............Что?......Ты кому‐нибудь сказала?.."""
Chiester00,"""Нет, только двум Сёстрам за стойкой регистрации, и я поняла. Им уже приказано молчать."""
,"Увидев конверт, {f:5:Лямбдадельта} сразу же схватила его и понизила голос."
,......{f:5:Бернкастель} отошла и высмеивала Эрику.
,"Берн и, разумеется, Эрика — обе были пьяны.{n}Если их оставить в покое, они забудут."
,"Да, на конверте не написано имя отправителя."
,......Но золотая печать на нём... выполняет ту же роль.
,......Эта печать......
,"{f:5:Лямбдадельта} спряталась за колонну, разорвала конверт, достала содержимое и прочитала."
,"Её глаза тут же заблестели......... и она улыбнулась как ребёнок, придумавший злую шутку..."
Chiester00,"""......Что прикажете? У команды снайперов есть красные боеголовки. Если дадите разрешение, я отдам приказ зарядить их."""
{f:5:Lambdadelta},"""..................Что ты такое говоришь? Ты хоть понимаешь, как важны эти гости? Если в одного из присутствующих попадёт шальная пуля, всех новых сестёр Чиест следующие десять лет будут отправлять с завода прямиком на гильотину."""
Chiester00,"""Поняла. Мы перехватим регулярными боеголовками. Нам разместить дозорных вокруг Семи сестёр чистилища?"""
{f:5:Lambdadelta},"""Это ещё зачем? Семь кинжалов теперь мебель Баттлера... и Эрики. Зачем нам расставлять дозорных вокруг своих союзников? Главное строго следите за безопасностью."""
Chiester00,"""Только что мы получили рекомендацию подготовиться к битве от помощника инквизитора, Гертруды. Её причины неизвестны."""
{f:5:Lambdadelta},"""От Гертруды? .........Хе‐хех. Тогда следуй этой рекомендации. Если оживить вечеринку, она станет ещё веселее!.."""
Chiester00,"""Поняла. ........00 вызывает Чиесту 17, Чиесту 38, Чиесту 45, Код R, будьте настороже. Передача второй степени готовности."""
,"""17, копирую."""
,"""38, копирую."""
Chiester45,"""45, поняла!.."""
Chiester410,"""Было бы гораздо круче, если бы ты сказала 'копирую', нье."""
Chiester45,"""А‐а, просто я нервничаю!.."""
Chiester410,"""О, точно. 45, подойди на секунду."""
Chiester45,"""Ч‐что такое? Э... эй, мы сейчас на работе!.. Стой, не играй с моими ушами!.."""
Chiester410,"""Уши. Лучше сложи их, нье."""
Furudo Erika,""".........Что ты сказала?! Это что, шутка? Такое невозможно!.."""
Dlanor,"""Корнелия направляется на место. ......Вероятность, что {f:5:Беатриче} атакует, крайне {f:5:высока}. Я рекомендую приостановить приём и {f:5:эвакуироваться}."""
{f:5:Bernkastel},"""В чём дело, Эрика?.. Что‐то идёт не так с развлечениями?.."""
Furudo Erika,"""Не... нет, госпожа!.. Прошу, продолжайте наслаждаться приёмом. ......Эй, кто‐нибудь, дайте леди {f:5:Бернкастель} ещё черносливового вина!.."""
,У Эрики не было времени скрыть волнение.
,"Увидев...... {f:5:Бернкастель} поняла, что наконец прибыла их последняя, опоздавшая гостья."
Asmodeus,"""Сестра Люци. Я слышала, в домике для гостей что‐то сдвинулось."""
Lucifer,"""......В домике для гостей? Кого сейчас волнует игровая доска?"""
Beelzebub,"""Видишь ли...... говорят, Канон исчез из комнаты кузенов..."""
Satan,"""Что?! Ты с ума сошла? Комната кузенов — идеальная закрытая комната с идеально запечатанными окнами и дверью. Ему не выбраться!.."""
Belphegor,"""Нет, я тоже следила. ......Ошибки быть не может. Канон исчез из комнаты кузенов."""
Mammon,"""......А может, он прячется где‐то там. Или, может, ему ещё в начале удалось обдурить всех... и его там и не было."""
Leviathan,"""Невозможно. Было гарантировано, что ""все"" находятся в комнате кузенов, за исключением тех, чьи имена леди {f:5:Эрика} зачитала вслух. Он бы не смог выбраться."""
Lucifer,"""......Как Канон преодолел барьер печатей Юнгфрау?.. Нет, что самое главное, где он? Немедленно найдите его!.."""
,В этот момент собор вдруг потемнел.
,Послышались удивлённые вскрики гостей...
{f:5:Lambdadelta},""".........Пришла."""
Chiester00,"""00 вызывает всех Чиест. Код R, тревога! Чиеста 17, можешь починить электронные системы?"""
,"""Отрицательный ответ. Связь с руководством разорвана."""
Chiester00,"""Всем Чиестам, код красный! Rock 'n' Roll!"""
Chiester410,"""Копирую."""
,"""Копирую."""
,"""Копирую."""
Chiester45,"""По... поняла. А! Т‐то есть, копирую!"""
,Команды снайперов на люстрах все разом сняли предохранители.{n}Весь отряд безопасности внизу зала зарядил боеприпасы.
Dlanor,"""......Леди {f:5:Эрика}, давайте эвакуируемся в {f:5:зал ожидания}. {f:5:Здесь} опасно."""
Furudo Erika,"""Что опасного?! Я территориальный лорд этого мира! Почему я должна бежать в страхе?!"""
Dlanor,"""Гертруда, создай {f:5:барьер} для защиты важных персон. Сразу же отзови Корнелию {f:5:обратно}."""
Gertrude,"""Да, выполняю."""
Furudo Erika,"""Барьер?! Почему я, в свадебном платье, должна быть окружена вашими жалкими, гнусными барьерами?! Какое оскорбление!"""
,"От шума застонал даже Баттлер, сидящий в соседнем кресле, как кукла..."
Ushiromiya Battler,""".........У‐у‐у........."""
,"Даже с запертой душой Баттлер понимал, что происходит нечто странное..."
{f:5:Bernkastel},"""Она опоздала, да, Лямбда?"""
{f:5:Lambdadelta},"""Ещё как. Мне уже надоело ждать."""
{f:5:Bernkastel},"""Что это было? Любовное письмо?.."""
{f:5:Lambdadelta},"""Письмо от фаната. Из фан‐клуба Лямбдочки."""
,"{f:5:Лямбдадельта} прикинулась дурочкой, хрустя попкорном."
,Тогда свет наконец загорелся...
,"Было ясно, что во время этого затемнения {f:5:Беатриче} подобралась ближе. ......Может быть, даже в сам собор."
,Перешёптывающиеся козлоголовые гости тоже поняли.
,Чья это схема... и зачем она?
,"......Хотя это могло быть опрометчиво, они с нетерпением ждали, и в соборе повсюду было слышно взволнованную болтовню..."
Gaap,"""Похоже, она пришла."""
{f:5:Virgilia},"""Га... Гаап!.. Тебя тоже отпустили?!"""
Gaap,"""Запирать меня в тюрьме бессмысленно, ты же знаешь."""
Ronove,"""И вправду! Пу‐ку‐ку‐ку."""
Gaap,"""......Но, Риче. .........Закрытая комната Баттлера, комната кузенов...... и даже последний шанс, соседняя комната, запечатаны......... Как ты собираешься спасти Баттлера?!"""
Ronove,"""Допустим, миледи нашла трюк Х. В этом случае ей неминуемо пришлось бы прийти сюда, чтобы бросить его в лицо {f:5:Эрике}..."""
{f:5:Virgilia},"""Но... против всех этих отрядов Чиест......... Поверить не могу, что здесь их столько пряталось!.. Ничего не выйдет, из неё сделают решето!.."""
,Кроличьи уши носились по всему залу.
,"......Невероятно, что она может оставаться незамеченной, когда вокруг столько народу..."
Gaap,"""......Если она подойдёт достаточно близко, чтобы бросить Эрике вызов...... бой будет равным."""
Ronove,"""Вот как, тот ход. .........Но у миледи они с собой?......Она вечно жалуется и не любит, когда я даю их ей. ......О боже. От неё столько хлопот."""
,На фоне толпы Ронове достал и показал что‐то.
,"......Увидев, {f:5:Вергилия} поняла значение того, что было у него в руке..."
,"Да, с *этим*......может, и получится остановить атаки отрядов Чиест......"
Gaap,"""Если с Эрикой это не пройдёт, нам конец. Вопрос в том, как сделать так, чтобы она подобралась к Эрике хотя бы на секунду. ......Чиесты сделают всё, чтобы помешать. ......Лия...... как думаешь, ты могла бы выиграть ей время?.."""
,{f:5:Вергилия} коротко кивнула.
,"Однако проблема заключалась в двух Чиестах, стоящих у неё за спиной."
,"......С тех пор, как она попыталась выскочить перед процессией, за ней постоянно наблюдали..."
,С её невообразимой магической силой можно моментально вывести из строя всех Чиест в соборе.
,"Совсем ненадолго, но этого хватит, чтобы бросить Эрике вызов."
,......Чиесты это знали и пристально наблюдали за {f:5:Вергилией} с напряжёнными лицами.
,В этот момент...... дверь великого собора разлетелась вдребезги.
,Обломки стали яркими золотыми бабочками... и закружили по помещению в прекрасной буре золотых листьев......
,Золотой шторм...... медленно прошёл...
,"И тогда...... в начале красной ковровой дорожки, ведущей к могиле......... встала спокойная, величественная фигура......"
Dlanor,"""Стража, стрелять на {f:5:поражение}!.."""
Chiester00,"""Отрицательный ответ, идёт сравнение идентичности."""
,"Дланор приказала страже сейчас же застрелить нарушителя, но Чиеста 00 не ответила. Потому что ей пригрозили насчёт стрельбы в гостей,"
,"и она боялась, что случайно застрелит пьяного гостя, задумавшего шутку?"
,Нет. 00 просто хладнокровно и спокойно выполняла свои обязанности.
Furudo Erika,"""......О, кто у нас тут... Я уж думала, что вы не придёте."""
{f:5:Beatrice},"""............"""
,Они посмотрели друг на друга с разных концов длинной ковровой дорожки.
,Однако между ними стояли несколько десятков Чиест почётного караула...
Furudo Erika,"""Вы очень долго добирались, почётная гостья! Мы забеспокоились! Но я рада, что вам удалось успеть хотя бы на приём!.."""
{f:5:Beatrice},""".........Хех...... хе‐хе‐хе‐хе‐хе‐хе‐хе‐хех..."""
,Беато...... засмеялась......
,От этого хихиканья......... глаза Баттлера дрогнули.
Ushiromiya Battler,"""Т... ......ты............"""
{f:5:Beatrice},"""......Заждалась? Фурудо Эрика‐а?! ......Я пришла отпра‐а‐а‐аздновать!.."""
,Она выглядела так внушительно и зловеще...... что бросала в дрожь.
,Подтверждать её личность по‐прежнему необходимо?{n}У кого ещё может быть такой внушительный вид?
Furudo Erika,"""{f:5:Бе}... ......{f:5:Беа‐а‐атри}{f:5:че‐е‐е‐е‐е‐е‐е}!!!"""
{f:5:Beatrice},"""'Увидимся в аду' — моя любимая прощальная фраза, но‐"""
Chiester00,"""Личность подтверждена. Это великая леди {f:5:Беатриче}!"""
{f:5:Beatrice},"""На этот раз всё действительно так, Фурудо Эрика‐а‐а‐а‐а‐а‐а‐а‐а‐а‐а‐а!!!"""
,"Две Чиесты, стоящие за {f:5:Вергилией}, вдруг резко упали на пол."
,......Ронове сзади коснулся оснований их больших ушей.
,"Очевидно, что он применил некую магию."
Ronove,"""Кто‐нибудь, найдите врача. Этим девочкам, кажется, плохо."""
Chiester00,"""Всем Чиестам, открыть ого‐о‐о‐онь!!!"""
{f:5:Virgilia},"""Беато, давай!"""
,"За миг до того, как Чиесты смогли бы выстрелить, {f:5:Вергилия} подняла руки к небесам."
,"Её магическая сила, которой было более чем достаточно, чтобы напомнить всем присутствующим, что её имя на пике её силы, стала духовной волной и разразилась по всему собору."
,"Этот толчок разбил витражи, и повсюду рассыпались красочные осколки стекла."
Chiester00,"""О... оборона от духовных частиц! Поспешите перезагрузиться!"""
,"Однако все Чиесты почётного караула, не имеющие защиты от духовных частиц, опрокинулись как куклы."
,"Защищённые потолочные снайперы сумели избежать поломки системы, но её перезагрузка займёт несколько минут."
,".........Этого времени...... должно быть достаточно, чтобы добраться до Эрики..."
,Но её не победить всего за пару минут.{n}За этот промежуток они не смогут увести Баттлера!..
,На что потратить это драгоценное время?!
,Беато понеслась по красной ковровой дорожке.
,"Она бежала по пути к могиле, выстланном Чиестами, лежащими как трупы."
,"Она назвала это место адом.{n}......В таком случае, бег из ада к могиле нёс обратный смысл."
,"Фигура Беато, несущаяся по дороге с трупами, как ничто другое символизировала её воскрешение!.."
Ronove,"""Миледи, возьмите!.."""
{f:5:Beatrice},"""Поймала!"""
,Она на бегу схватила нечто белое с протянутой руки Ронове.
,Больше никто не преграждал ей путь к Эрике!..
,"Но тут перед ней возникла золотая нить и, как швейная машинка, быстро сшила красный ковёр по направлению к ней!"
{f:5:Beatrice},"""Хо, ещё одна помеха!.."""
Chiester410,"""Перезагрузка завершена, запрос данных, нье!"""
Chiester45,"""Радар ведения огня нацелен. Передача данных 410!"""
,410 умна.
,"Она предвидела, что {f:5:Вергилия} пойдёт на атаку духовными частицами, и заранее сложила свои уши и уши 45."
,Поэтому они единственные не выбыли.
Chiester410,"""Огонь!"""
,"За Беато снова погналась золотая нить, сшивающая ковёр, как швейная машинка."
,Ей вслед как будто ударяла волнистая золотая змея.
{f:5:Beatrice},"""Наглость!.. Откладываете мою драгоценную схватку с Эрикой?!"""
,"Беато спрыгнула с красной ковровой дорожки, а затем бросилась по длинному, прекрасно накрытому столу."
,"Золотая змея погналась за ней, сшивая чисто‐белую скатерть, как швейная машинка, и рассекая блюда направо и налево!.."
,"Козлорогие гости дико метались, спасаясь бегством. В соборе началась свистопляска."
{f:5:Virgilia},"""......Поверить не могу, некоторые кролики избежали атаки духовными частицами!.."""
Ronove,"""Дело плохо. Если они на своей позиции...... мы ничего не можем сделать!.."""
,"Двое снайперов, атакующих с люстры, были гораздо дальше, чем Эрика, и Беато не могла достать до них."
,"Кроме того, с занятой ими позиции диапазоном их стрельбы был весь собор!"
Chiester410,"""......Какая жалость, нье, госпожа {f:5:Беатриче‐е}. Испытания любви суровы, нье! 45, новый магазин!"""
Gaap,"""Этот?"""
,Магазин ей передала Гаап.
,"......45 всегда передавала их задом‐наперёд, и 410 была сбита с толку, когда ей дали его правильно... ......?!?!"
Chiester410,"""Нье?! Нье нье нье, отпусти, нье нье нье!!!"""
,"Насколько бы далёкую позицию они ни заняли, для неуловимой Гаап это не проблема."
,Она скрутила их длинные уши и защекотала пальцами.
,Самое главное оружие Чиест также их самая главная слабость.
,Двое согнулись от смеха.
Gaap,"""......Я разобралась с этими двумя...... но сколько у нас секунд? Другие Чиесты восстановятся..."""
,На остальных люстрах снова медленно начинали двигаться Чиесты ещё мощнее......
,Выиграть больше времени невозможно.
{f:5:Beatrice},"""А, Гаап! Спасибо, я у тебя в долгу!"""
Gaap,"""Не забудь поблагодарить и их."""
{f:5:Virgilia},"""Беато, уда‐а‐ачи, держи‐и‐ись там!!!"""
Ronove,"""У вас не так много времени!"""
{f:5:Beatrice},"""Эрика‐а‐а‐а‐а‐а‐а‐а‐а‐а!!!"""
,"Беато пробилась сквозь толпу бегающих, как мыши, козлоголовых."
,"Её цель была прямо перед ней. Место, где сидели Эрика и Баттлер!.."
,"В этот момент был создан красный барьер, преградивший ей путь."
,"VIP‐охранный барьер Гертруды.{n}Она шагнула вперёд и выложила последнюю линию защиты, чтобы не дать Беато пройти."
Gertrude,"""Да будет известно, что ближе вы не подойдёте."""
{f:5:Beatrice},"""Думаешь, такая стена меня остано‐о‐о‐овит?!!"""
Dlanor,"""Сколько осталось времени до {f:5:перезагрузки} Чиест?"""
Lucifer,"""П‐примерно 30 секунд..."""
,"Как старшая из Семи сестёр чистилища, позади жениха и невесты в ожидании стояла Люцифер."
,"Она хотела помочь Беато.{n}Если бы она смогла на миг отвлечь Гертруду, стена бы исчезла..."
,Но Семь сестёр — мебель. Они служили территориальному лорду.
,Поэтому они не могли помочь Беато...
,Дланор посмотрела на Люцифер.{n}В её глазах виднелось принуждение.
Dlanor,"""............Тебе можно двигаться только по приказу {f:5:господина}."""
Lucifer,""".........Кх......"""
Leviathan,"""Кто наш господин?!"""
Satan,"""Теперь это Эрика, дура!.."""
Mammon,"""Нет, наш господин — Баттлер!"""
Belphegor,"""Верно. Эрика только говорит от его имени."""
Asmodeus,"""Точно, старшая сестра! Чья мы мебель?!"""
Beelzebub,"""Слишком вкусно, давайте есть!!!"""
,Абсолютный красный барьер на мгновение замерцал.
,"Плечо Гертруды пронзил кинжал Вельзевул, и её сосредоточенность дрогнула."
,......Но барьер не сломался.
,Гертруда медленно и невыразительно повернулась к Люцифер.
Gertrude,"""......По чьим приказам? Знайте, что леди {f:5:Эрика} не давала такого распоряжения."""
Lucifer,"""У нас есть приказы. ...П‐приказы нашего господина!"""
Ushiromiya Battler,"""............"""
Gertrude,"""Как может господин, неспособный говорить, отдавать приказы?.."""
Lucifer,"""Да... даже если он не может говорить...... понимать волю господина — работа мебели!"""
Gertrude,"""Тогда...... ничего не поделаешь."""
,Гертруду разом ударили семь кинжалов.
,"...Она решила принять все эти прямые атаки, до последнего отказываясь бросить барьер."
,"Хотя она была достаточно стойкой для того, чтобы буквально называться {ruby:Железной Девой:Eiserne Jungfrau}, и совсем не пострадала, этого хватило, чтобы она вздрогнула и потеряла контроль над барьером."
{f:5:Beatrice},"""Хорошая работа, мебель!!!"""
,Беато прорвалась сквозь красные осколки барьера...... и наконец оказалась прямо перед невестой и своей соперницей — перед Эрикой......
,Но там стоял её последний щит.
,......Дланор смертный приговор!
Dlanor,""".........Вы {f:5:опоздали}. ......Время уже вышло, леди {f:5:Беатриче}!"""
,"""Чиеста 17, передача данных всем Чиестам. Поступление данных от спутника Архангела. Самонаводящийся формат, концептуальное управление приговорного типа."""
,"""Чиеста 20, восстановление завершено."""
,"""Чиеста 127, восстановление завершено."""
Chiester410,"""Ни‐хи‐хи‐хи‐хи‐хи... Время вышло, нье. Ни‐хья‐ха‐ха! Прекрати, не‐е‐е‐е‐ет!"""
Gaap,""".........Риче...... удачи..."""
Ushiromiya Battler,""".........Бе... ......a......то......"""
Furudo Erika,"""......Кх...... Д‐Дланор!.."""
{f:5:Beatrice},"""Отступи, Дланор А. Нокс. Сейчас не твоя очередь."""
Dlanor,"""......Я получила от леди {f:5:Бернкастель} отвергающую вас красную правду. ......Боюсь, это место станет вашей {f:5:могилой}!.."""
,"Не знаю, что там {f:5:Бернкастель} позволила ей сказать.{n}Но я не собираюсь стоять без дела и ждать, когда она скажет."
{f:5:Beatrice},"""Я ещё успею сыграть с тобой. А сейчас отступи!"""
,Времени нет. Чиесты уже завершили восстановление.{n}Я живу только за счёт горстки одолженного времени.
Dlanor,"""{f:5:Отступите} здесь только вы!.. Жалкая актриса, ступившая на {f:5:сцену} в неподходящее время!"""
,Большая дуга абсолютного отрицания от красного меча Дланор...... двинулась прямо в макушку Беато.
,"Но в этот миг раздался глухой стук, и кривая слегка промахнулась."
,Беато не дала такой удаче пропасть впустую.
,Она проскочила мимо меча...... оттолкнула Дланор...... и наконец встала прямо перед Эрикой!..
,Теперь на её пути никто не стоит!
Dlanor,"""У‐у... гх...... ......Это что...... {f:5:попкорн}??? О... {f:5:откуда}?.."""
Cornelia,"""Срочный запрос от группы телохранителей невесты! Сёстрам Чиестам императорской гвардии немедленно открыть огонь по нарушителю!!!"""
,Волнения... стихли......
,......Однако... никто... не выстрелил.
,......Почему?..
,"Они могли бы выстрелить, если хотели."
,Все отряды Чиест со всех сторон окружили её и сняли предохранители.
,"Разумеется, все они завершили восстановление."
,......Ho......никто не решался нажать на спуск.
Cornelia,"""По... почему они не стреляют?! Пусть стража церемонии немедленно!.."""
Dlanor,"""......С... ......{f:5:стой}. ......По... ......посмотри......"""
,Дланор помрачнела.
,......А затем молча... убрала красный меч...
,Как‐никак...... Эрике нужно принять решение.
,"Если она решит проигнорировать, они смогут стрелять на поражение."
,Но если Эрика поднимет...... никто не посмеет выстрелить.
,"Поэтому, пока Эрика не решит, они не могли нажать на спуск..."
{f:5:Bernkastel},"""......Почему никто не стреляет?.."""
{f:5:Lambdadelta},"""Присмотрись. ......Видишь, что Беато бросила в Эрику?"""
,"Указала {f:5:Лямбдадельта}, по‐прежнему жуя попкорн."
,......С балкона было трудно разглядеть.
,Беато бросила в Эрику нечто напоминающее белый платок.
,Оно упало к её ногам.
,......Что это за белая штука?..
{f:5:Lambdadelta},"""......Всё‐таки она знает. Знает, что значит быть главным персонажем."""
Furudo Erika,"""Как......... интересно......"""
{f:5:Beatrice},"""............"""
,"Ударила Эрику по лицу и упала на пол......... белая перчатка, которую дал Беато Ронове."
,Удар такой перчаткой может означать только одно.
,И это......
Furfur,"""О‐о, Зепар! Что?! Что это значит?!"""
Zepar,"""Запрос...... на дуэль! Если перчатку поднимут, значит, вызов принят!"""
Furfur,"""А если она не поднимет, Чиесты выстрелят? Зачем ей поднимать?!"""
Zepar,"""Она не обязана. ......Но мы и присутствующие здесь демоны можем повсюду распространить слух о том, как она позорно избежала дуэли!.."""
,"""""Она вечно будет известна как трусиха, избежавшая поединка любви!!!"""""
,{f:5:Беатриче} ждала твёрдо и спокойно.
,Если Эрика отшвырнёт перчатку...
,......В ту же секунду...Чиесты одновременно откроют огонь и сделают из неё золотую вышивку.
,Поэтому Эрика не была обязана поднимать.
,Но...... она не могла позволить себе бояться поднять.
,"В конце концов...... она — истинный победитель, разобравшийся с трюком закрытой комнаты Баттлера и его логикой."
,"Если она победитель, ей нечего бояться."
,"Поэтому...... если Эрика боится поднять...... значит, она ещё отчасти сомневается в своей победе......"
Furudo Erika,""".........Не подняв, я могу убить вас, не запачкав одежду."""
{f:5:Beatrice},"""Это оживило бы твой приём. ......Но ты поднимешь."""
Furudo Erika,"""O? ......И почему же?.."""
{f:5:Beatrice},"""......Я принесла удивительный, идеальный для тебя подарок. ......Ты же хочешь узнать, какой. ......Поэтому ты поднимешь."""
