Speaker,Russian (RU)
{f:5:Bernkastel},""".........Лямбда...... где ты?.."""
,"Просто должна сказать, что признавать поражение...... было неприятно."
,"Почему она всегда так несносна и надоедлива, когда не нужна...... но не отвечает, когда я зову её?"
,Где...... я?..
,"Раздражённая предсказуемым концом, я покинула собор."
,"......Я хотела найти террасу с прохладным ночным ветерком, чтобы убить время до конца этого фарсового приёма."
{f:5:Bernkastel},"""......Да, я хотела найти уединённое местечко, чтобы не видеть их всех...... но это уже слишком."""
,"Я, великая {f:5:Бернкастель}...... потерялась?"
,Такое чудо невозможно.
,"Да, в этом мире не бывает чудес."
,"На сотворение чуда нужно 'время, которого никогда не хватает', период, неотличимый от бесконечности."
,"Поэтому, когда нечто напоминающее чудо происходит за более короткое время..... это не чудо...... а чья‐то...... схема."
,Значит...... я иду по этому коридору...... потому что меня заманили сюда......
{f:5:Bernkastel},"""......Кто? Кто решил сыграть со мной такую сложную шутку?.........Вижу, ты очень застенчив...... раз позвал меня в такое безлюдное место."""
,......И вдруг...... на другом конце тёмного коридора...... я услышала звук.
,"{a:c:*топ*, *топ*топ*топ*......}"
,"Звучало так, будто в быстром темпе шло небольшое животное — кошка или собака."
,Никакое чудо не привело бы сюда собаку или кошку.{n}Такое чудо *недопустимо*.
,"А раз это не чудо, значит, меня ведут в том направлении."
,"......Ладно. Может, это нужно, чтобы развлечь меня."
,"Если это новая шутка Лямбды, в награду я языком обмажу всё её тело мёдом."
,...А потом воткну ей в глаза шоколадные зонтики и скажу никогда так больше не делать.
,По направлению к источнику шума...... тусклый свет сменялся кромешной тьмой.
,Но...... в этой темноте я кое‐что заметила.
,"......Два изумрудно‐зелёных блика...... наверное, кошачьи глаза. Глаза чёрной кошки, всматривающейся в темноту."
{f:5:Bernkastel},"""Это ты позвала меня сюда?...........Или...... тебя кто‐то послал?.."""
,"Посмотрев под ноги...... я увидела красные следы, ведущие в сторону кошачьих глаз."
,......Тревожно... будто она бежала туда с окровавленными лапами.
,Когда мои глаза привыкли к темноте......... даже без света я кое‐как смогла проследить за красными следами.
,"......Они вовсе не светились...... но служили прекрасным указателем, ведущим меня вперёд."
,{a:c:*топ*топ*топ*топ*......}
,Словно говоря мне следовать за ней...... кошка развернулась и убежала во тьму.
,............В чём дело? ......Как‐то... очень странно.
,"Это ощущение я не испытывала с тех пор, как начала называть себя самой жестокой на свете ведьмой."
,"......Я не совсем помню, что это за чувство."
,"И всё же...... для меня, уставшей от скуки, так даже забавнее."
,"Я последовала за кровавыми следами кошки, которая иногда оборачивалась и смотрела на меня...... идя всё дальше по тёмному коридору..."
,Вперёд...... за угол...... время от времени вниз по лестницам.
,И затем...... хотя в темноте нельзя было сказать точно...... я оказалась прямо перед дверью.
{f:5:Bernkastel},"""............Сюда?.."""
,"Я медленно толкнула дверь...... но за ней было так же темно, как в коридоре."
,"Однако по воздуху и лёгкому изменению в эхо от моих шагов... было ясно, что я уже в комнате, а не в коридоре."
,Кошачьи шаги стихли.
,......Но кровавые следы остались.
,По другую сторону деревянной стены...... под маленьким светильником...
,......Та же чёрная кошка грызла какой‐то окровавленный корм.
,"......Вот как. Её награда за то, что она привела меня сюда..."
{f:5:Bernkastel},"""Кошка...... Извини, что отрываю тебя от еды...... но позови своего хозяина. .........Это же не ты позвала меня сюда?.."""
,Разговор с ней не заставил её повернуться.
,"......Впрочем, все животные так едят свою еду. ......Если я её пну, она наверняка побежит к своему хозяину."
{f:5:Bernkastel},""".........Хмф."""
,"Когда я пнула кошку...... она отскочила как плюшевое животное, ударилась об стену и упала на пол."
,"А затем исчезла, словно растаяв во тьме......"
,......Что с этой кошкой? ......Просто иллюзия?..
{f:5:Bernkastel},"""............!"""
,"Посмотрев на миску с едой...... я увидела, что она, как оказалось, была завалена залитым кровью сырым мясом."
,......Как будто кто‐то на месте разодрал живую плоть и навалил её туда.
{f:5:Bernkastel},"""......Эй, что за жуткий приём?"""
,{a:c:{m:-5:——}Жестоко было так бить её.}
,"Как только я услышала этот голос, у меня волосы на затылке встали дыбом."
,Тогда...... вокруг наконец стало светло......
,"Но {f:5:Бернкастель} уже до включения света догадалась, где была..."
{f:5:Featherine},""".........Эта кошка...... ты."""
{f:5:Bernkastel},""".................."""
{f:5:Featherine},"""......Кошка, которая научилась есть мясо и выбрала свой путь. ......Давно не виделись......"""
{f:5:Bernkastel},"""Я бы никогда не заметила этот путь, если бы ты не сказала. ......Чудовище, давшее мне познать вкус плоти. ......Так ты вернулась к жизни. .........{f:5:Фезарин} Ауаурора..."""
{f:5:Featherine},"""......{f:5:Августус Аврора}... Сколько тебе ни говори, ты всё никак не запомнишь... ...Впрочем, ладно. Даже это навевает приятные воспоминания...... Я слышала слухи............ Ты взяла имя {f:5:Бернкастель}, ведьмы чудес...... и заигралась в далеко не похвальную игру с фрагментами......"""
{f:5:Bernkastel},"""Я лишь подражаю тебе. Хотя едва дотягиваю до твоего уровня. ......Если слухи, которые ты обо мне слышала, плохие, то это просто цветочки по сравнению с тобой."""
,{f:5:Бернкастель} открыто села в старинное кресло...... словно не в первый раз в этом месте.
{f:5:Featherine},""".........Чего ты боишься? Я всего лишь радуюсь воссоединению с мико, служившей мне дольше всех... Неужели тебе так не понравился мой кошачий посланник?"""
,{f:5:Бернкастель} вела себя совершенно расслабленно...
,"Однако {f:5:Фезарин} увещевала её, сказав не бояться."
,"......И судя по выражению, показавшемуся на лице {f:5:Бернкастель}...... она попала прямо в цель..."
{f:5:Bernkastel},"""Без таких грубых намёков было никак?......Кошка оставляла кровавые следы и набивала рот окровавленным мясом..."""
{f:5:Featherine},"""..................Не бойся. ......Присмотрись. ......Где ты видишь кошку, набивающую рот мясом?.. Я просто дала ей миску печенья в награду за то, что она привела тебя..."""
{f:5:Bernkastel},"""............"""
,"............Выглядело так, будто сажу, покрывавшую миску у неё под ногами, сдуло несмотря на отсутствие ветра."
,...Там лежала красивая...... и совершенно нормальная... кошачья миска...... с кучкой печенья...
{f:5:Bernkastel},"""............Tч......"""
,{f:5:Бернкастель} даже не скрыла недовольную гримасу.
,"Качаясь в кресле‐качалке, {f:5:Фезарин} пожала плечами и пробормотала 'Ты не изменилась, дитя человека'."
{f:5:Bernkastel},""".........Вижу, ты как всегда неприятна. ......Но сейчас я счастлива. Подражать тебе и вправду было совсем не скучно."""
{f:5:Featherine},"""......Ругай меня сколько хочешь. Это был мой тебе прощальный подарок, когда мы виделись в последний раз."""
