Speaker,Russian (RU)
,"......На Роккенджиме в этот день — или, скорее, в этот раз — всё было как обычно."
,"Вскоре нагрянет тайфун.{n}Облака ещё не заволокли небо, но быстро набирали скорость."
,У Нацухи на уме был лишь план по сокрытию отсутствия Кинзо на этот год.
,Краусс из‐за стресса страдал от болей в желудке и спал в своей комнате.
,Джессика и Кумасава поехали по магазинам и чтобы встретить прибывающих на Нииджиму родственников.
,Слуги были с раннего утра заняты приготовлениями к семейному собранию — главному событию года...
,Шаннон и Канон подготавливали домик для гостей.
Kanon,"""......Разве гостевых комнат в особняке для родственников не более чем достаточно?"""
Shannon,"""Хороший вопрос. Хлопотно убираться и здесь. ......Но мне нравится убирать домик для гостей."""
Kanon,"""Да, здесь хорошо и спокойно без мадам и всех раздражающих служащих."""
,"Шаннон горько улыбнулась, детально проверяя гостевую комнату."
,Мы ничего не забыли убрать? Нужно ли пополнить запасы?{n}Она старательно проводила последнюю проверку комнаты......
Kanon,"""Ты же и прошлым вечером всё проверила. Как преданно с твоей стороны."""
Shannon,"""В такие дни беспечность может сыграть с тобой злую шутку. ......Можно не найти важные вещи, когда они нужны, а то, что вроде как было закрыто, оказывается открыто."""
Kanon,"""Всё из‐за твоей небрежности. Ты работаешь невнимательно."""
Shannon,"""Так вот почему ты помогаешь мне с проверкой. Спасибо."""
Kanon,"""......Меня не за что благодарить. Будь ты повнимательнее, мне бы и вовсе не пришлось помогать."""
Shannon,""".........*хи‐хи*. Но на самом деле ты просто хочешь побыть со мной, да? Ты из таких."""
Kanon,"""Ни... ничего подобного... Просто в последнее время ты так восторгаешься господином Джорджем. Ты всё портишь, и мне нельзя упускать тебя из виду."""
Shannon,"""*хи‐хи*... ......Канон. Давай поговорим."""
Kanon,"""......Нам сейчас нельзя. Мы работаем."""
Shannon,"""Ты смеёшься надо мной и господином Джорджем...... но что там между тобой и госпожой Джессикой?"""
Kanon,"""Ни... ......ничего особенного. Если у тебя есть время на подобные разговоры, давай скорее закончим......... а‐"""
,Канон слишком очевидно пытался сменить тему.{n}Шаннон подкралась к нему сзади и столкнула на кровать.
Shannon,"""Так почему ты отказал миледи, когда она попросила тебя пойти с ней встретить родственников?"""
Kanon,""".........Потому что мне надо было работать..."""
Shannon,"""Лжец. ......У тебя не было работы."""
,Шаннон и Канон поменялись ролями.
,"Обычно Канон брал на себя контроль, но когда дело доходило до романтики, всё было наоборот."
,Как Шаннон и сказала...... встретить родственников в порту Нииджимы должны были Джессика и Канон.
,"Однако Канон вдруг заявил, что ему надо работать, и вместо него пошла Кумасава."
,У него... совсем не было работы. Шаннон это знала...
Shannon,"""Миледи сказала мне. ......Несмотря на произошедшее после культурного фестиваля, ты ей очень нравишься, Канон."""
Kanon,""".........Хотя я... мебель..."""
Shannon,"""Верно. И я тоже мебель."""
Kanon,"""......Но ты всё равно полюбила {y:0:Челове}{n:0:челове}ка. ......Даже при том, что это невозможно."""
Shannon,"""Считаешь?........Может быть, мы мебель...... только потому, что сами так думаем."""
Kanon,"""Я не испытываю к миледи Джессике никаких особых чувств. ......Для меня она не более чем дочь семьи, которой мы служим."""
Shannon,"""Правда?.."""
Kanon,"""Правда."""
Shannon,"""............"""
Kanon,"""......Ч‐что?"""
Shannon,"""Знаешь......... возможно... господин Джордж этим вечером сделает мне предложение."""
Kanon,""".........!"""
,"Шаннон невероятно мирно улыбалась...... но Канон знал, что она ни за что не даст ему сменить тему."
,"Поняв, что она помогает ему в домике для гостей для того, чтобы поговорить с ним об этом, он тихо цокнул языком..."
Kanon,"""......Ты всерьёз думаешь, что ты, мебель, можешь выйти замуж за {y:0:Челове}{n:0:челове}ка?"""
Shannon,"""Возможно."""
Kanon,"""Невозможно."""
Shannon,"""Почему?"""
Kanon,"""Ты никогда не сможешь... исполнить ту мечту о будущем, которое господин Джордж вообразил для вас двоих."""
Shannon,"""Н... ......ну......"""
Kanon,"""......Мы не {y:0:Люд}{n:0:люд}и. Мы, мебель, уступаем им. Господин Джордж только думает, что ты {y:0:Челове}{n:0:челове}к."""
Shannon,"""...Д... ......да, но......"""
Kanon,"""И как только тебе столько времени удавалось водить его за нос. Ты всерьёз считаешь, что можешь обманывать его бесконечно? Ты ведь так и не смогла сказать ему, что ты мебель."""
Shannon,"""......Мебель ты или {y:0:Челове}{n:0:челове}к... для этого не важно. ......Я верю, что господин Джордж примет меня такой, какая я есть."""
Kanon,"""И всё же, у тебя нет храбрости проверить и убедиться."""
Shannon,"""..................Знаешь...... думаю... я приму его предложение."""
,Шаннон посмотрела вверх...... воображая их с Джорджем будущее.
,"Хотя ей было тревожно...... она ещё и радовалась, узнавая, каково жить в любви."
,"Видя её яркую мечту...... Канон понял, что никакие его слова больше не смогут достучаться до Шаннон..."
Kanon,"""......Хмф......... Делай что хочешь. ......Ты невероятно упряма, если что‐то решила."""
Shannon,"""Да. ......Я хочу жить по‐своему. ......Хочу перестать бояться того, кто мебель, а кто {y:0:Челове}{n:0:челове}к."""
Kanon,"""..............."""
,Канон молча подошёл к окну.
,"......Он увидел сад с серыми, скучными розами в цвету..."
,"Канон понимал, что Шаннон ведёт себя выше её места,"
,"и знал, что у её истории не может быть счастливого конца."
,"......Но также он знал, что никакие его слова не заставят её передумать, если она уже приняла решение."
Kanon,""".........Тогда...... неважно, что я скажу. ......Скажу тебе прекратить — ты не станешь слушать. Скажу тебе делать что хочешь — ты сделаешь что хочешь. ......Зачем ты говоришь мне об этом? Не похоже, что тебя волнует моё мнение."""
Shannon,"""Я хочу знать...... о твоих чувствах к миледи."""
Kanon,"""......Я не имею с вами двумя ничего общего."""
Shannon,"""Ты правда... абсолютно ничего к ней не чувствуешь?"""
Kanon,"""......Нет, и я уже говорил тебе."""
Shannon,"""Лжец."""
Kanon,"""Почему ты думаешь, что я лгу?"""
Shannon,"""Потому что знаю. Я же твоя старшая сестра."""
Kanon,"""Не знаешь. Ты не можешь знать, что я чувствую!.."""
Shannon,"""Могу. Я знаю о тебе всё, Канон."""
Kanon,"""Если знаешь, тогда зачем спрашиваешь?! Разве господин Джордж тебя не устраивает?!! И вообще, я люблю тебя за твою искренность! Вот почему...... я болею за тебя как могу! В ином случае...... даже я!.."""
Shannon,"""Даже ты что?"""
Kanon,"""Даже я......... хотел бы любить миледи!.."""
,"Канон наконец повернулся к ней лицом, честно и открыто сказав о своих настоящих эмоциях."
,"Это Шаннон и хотела услышать.{n}И услышав, она стала на шаг ближе к истинным чувствам Канона."
Shannon,"""Ты не можешь всё так оставить. Я тебе не позволю."""
Kanon,"""И что мне сделать?!! Что ты хочешь от меня услышать?!!"""
Shannon,"""Не уклоняйся, говоря 'Я хотел бы быть с ней'. Тебе лишь нужно честно сказать мне о своих истинных чувствах."""
Kanon,"""Миледи... слишком ослепительна для меня! Её образ жизни ослепляет, словно солнце! Вот за что я люблю её!.. Я был так счастлив, когда она протянула руку и попросила меня пойти с ней! Нет, я до сих пор счастлив!"""
Shannon,"""Ты ведь любишь её?"""
Kanon,"""Да, люблю! Я люблю миледи!!!"""
,Наконец...... Канон признал свои чувства во всей их полноте.
,"По правде говоря, сказав вслух, он сам наконец‐то понял, что чувствует."
,Когда на его глаза навернулись страстные слезы...... Канон наконец смирился...
,"Он не мог остановить слёзы, текущие по его лицу."
Kanon,"""Мы оба заперты на Роккенджиме и живём без всякой надежды!.. Но миледи всё равно удалось осветить свой путь и создать собственную судьбу!.. Она так ослепляла, что я завидовал ей! Мне казалось, что с ней...... я обрету истинного себя и перестану быть таким жалким, как сейчас!.."""
Shannon,"""Отвергнув признание миледи...... ты грустил?"""
Kanon,"""Да! Я и подумать не мог, что из‐за сказанной лжи может быть так грустно, так больно, так мучительно! И я не мог простить себе того, что своей ложью ранил миледи! Я посчитал, что больше не заслуживаю любить!"""
Shannon,"""Но ты заслуживаешь. Знаешь, что? Заслуживаешь ты любить или нет — решать только тебе. Мебель, не мебель — неважно. Решишь, что ничего не выйдет, — так и будет. Не будь таким чёрствым. Я дала себе — честолюбивой мебели — право полюбить. И ты тоже можешь."""
Kanon,"""Я способен полюбить?"""
Shannon,"""Да. Если никто не даст тебе такое право, тогда его дам я."""
Kanon,"""Спасибо. .....Кажется, теперь я наконец... вижу море......"""
Shannon,"""......Я уверена...... господин Джордж сегодня вечером сделает мне предложение."""
Kanon,""".................."""
Shannon,"""И я приму его. ......Я покину этот остров и начну новую жизнь в нашем новом мире."""
Kanon,"""Если таков выбранный тобой путь...... у меня нет права голоса в этом вопросе."""
Shannon,"""Я уеду с этого острова... и после... больше никогда сюда не вернусь. ......Мне придётся с тобой попрощаться, Канон."""
Kanon,"""........................Ты права. ......Мы...... больше никогда не увидимся."""
Shannon,"""Если...... если ты всем сердцем любишь миледи, и если твои чувства так же сильны, как мои к Джорджу......... мы с тобой должны решить, чьи чувства сильнее."""
Kanon,"""......Се... .........сестра......"""
Shannon,"""Так будет лучше для нас обоих. ..........Не отказывайся ради меня от своих чувств."""
Kanon,"""Даже если из‐за моего эгоизма ты можешь упустить своё счастье?.."""
Shannon,"""Я всё понимаю. ......Моё счастье...... тоже вредит тебе."""
,Нам остаётся только ранить друг друга.
,"Сказав это, Шаннон отвернулась от Канона..."
,"Смотря ей в спину...... он поразился её силе... и любви, что она по‐прежнему к нему испытывала вопреки всему."
Kanon,"""......Сестра. Жизнь с тобой... сделала меня счастливым."""
Shannon,"""Меня тоже. Без тебя я бы столько не продержалась. ......И благодаря этому я смогла встретить Джорджа."""
Kanon,"""Да. А я бы не понял, как ослепительна миледи...... если бы не ты."""
Shannon,"""Я не откажусь от своих эмоций. ......Проигнорировав всё остальное, я сосредоточусь на одних своих эмоциях и не стану отводить взгляд, топча твоё сердце."""
Kanon,"""......Я тоже. Я не буду оправдываться тобой...... чтобы скрыть свои настоящие чувства."""
Shannon,"""Моя любовь принесёт плоды... или же твоя. ......Мы оба будем радоваться результату."""
Kanon,"""Да. ......Обещаю. И если победа будет за мной...... я буду любить миледи...... и дорожить тобой."""
Shannon,"""Спасибо. Но если выиграю я...... то забыв и тебя, и этот остров, я навсегда уеду отсюда."""
Kanon,"""Да. ......Кто бы из нас ни победил, этот человек отдаст всё ради своей любви. ......Даже если знает, что эта любовь не будет вознаграждена."""
Shannon,"""Да. Теперь..."""
,"{a:c:""""Мы не мебель.""""}"
,Катер с родственниками прибыл в гавань.
,"Они один за другим выходили из катера, высмеивая Баттлера..."
,Года не единственный вышел встретить их. Канон тоже пришёл.
Gohda Toshiro,"""Какая встреча, дамы и господа. Приветствую вас на Роккенджиме."""
Kanon,"""......Надеюсь, ваше долгое путешествие прошло гладко. Добро пожаловать на Роккенджиму......"""
Gohda Toshiro,"""Да, хорошо, хорошо."""
,Года шёпотом похвалил Канона.
,"Канон, выглядя чуть кислым, проигнорировал его и продолжил здороваться с прибывающими родственниками."
Ushiromiya George,"""Ты видишь Году и Канона впервые, да, Баттлер?"""
Ushiromiya Maria,"""У‐у! Мария тоже впервые видит Баттлера! Аха‐ха!"""
Ushiromiya Rudolf,"""Года потрясающий повар. Единственная причина, по которой хочешь приехать на этот остров."""
Gohda Toshiro,"""Это большая честь для меня. Господин Баттлер, надеюсь, во время своего пребывания вы с нетерпением будете ждать трапезы."""
Ushiromiya Battler,"""Жду не дождусь!.. Рад встрече!"""
Ushiromiya Rosa,"""Давно не виделись, Канон. Кажется, ты сегодня в хорошем настроении. Замечательно."""
Kanon,"""......В‐вы так думаете?.."""
Ushiromiya Kyrie,"""О, да. Ты сегодня сияешь. Даже не могу сказать, в цвете лица дело или же в чуть более галантном взгляде."""
Ushiromiya Rudolf,"""Ха‐ха, период взросления. Вот так мальчик и становится мужчиной."""
Ushiromiya Eva,"""Ты обычно выглядишь так, словно вот‐вот упадёшь в обморок от анемии. А сегодня всё немного иначе."""
Ushiromiya Hideyoshi,"""Ты выглядишь гораздо энергичнее. Мальчик может сильно измениться всего за три дня. Думаю, даже Канон становится мужественнее!"""
Ushiromiya Rosa,"""Мы не высмеиваем тебя, а делаем комплименты. *хи‐хи*."""
,......Канон поклялся понемногу изменять свою жизнь.
,"Но он предполагал только внутренние изменения и не ожидал, что изменится внешне."
,"Он был потрясён, услышав о своём преобразившемся выражении, причём люди заметили, как только он раскрыл рот."
,"Хотя нет...... настоящим сюрпризом должно быть то, что его привычное выражение в сравнении выглядело невероятно угрюмым."
,"Года повёл всех к домику для гостей.{n}Канон замыкал шествие, помогая Кумасаве с пакетами."
Kanon,"""......Значит... моё лицо сегодня правда сияет?"""
Kumasawa Chiyo,"""Хо‐хо‐хо... Мне тоже так показалось. ......Случилось что‐то хорошее? *хи‐хи*хи‐хи*."""
,Даже Кумасава сказала.
,"......Канон, не видя, как выглядит его лицо, смущённо опустил голову."
,"......Дойдя до розария, они увидели, как остальные заходят в домик для гостей."
,"Тогда же он увидел Джессику, бегущую оттуда по направлению к нему."
,"......Даже миледи Джессика хочет сказать, что я сегодня в хорошем настроении?"
,Канон опустил голову ещё ниже.
,"И, словно не контролируя себя, заговорил первым."
Kanon,"""......Я действительно выгляжу иначе?"""
Ushiromiya Jessica,"""Э? А... ха‐ха‐ха‐ха‐ха. ......Ну, знаешь, Канон, ты не из тех, кто выходит поздороваться по своей воле. Наверное, поэтому все удивились..."""
Kanon,"""..................Простите, что я тогда не пошёл с вами, миледи."""
Ushiromiya Jessica,"""Что? А, да ладно... Это мне нужно извиняться за то, что просила тебя поехать со мной в такую даль на Нииджиму, чтобы встретить всех... У тебя наверняка сегодня столько дел..."""
Kanon,"""Я... почти ничем не занимался. ......Вы были так ослепительны. Так ослепительны, что я не мог быть с вами. ......Я был слабаком."""
,"Джессика запнулась, не совсем понимая, о чём он.{n}Но она поняла, что это слишком важно, чтобы отшучиваться."
Ushiromiya Jessica,"""......Что‐то случилось, Канон?.."""
Kanon,"""Шаннон говорит, что...... собирается замуж."""
Ushiromiya Jessica,""".........Вот как. ...Джордж всё‐таки решился в этом году сделать предложение."""
,"Джессика подумала, что внешние изменения Канона связаны с изменением его душевного состояния. Она посчитала, что ему грустно из‐за скорого прощания с Шаннон."
,"Канон догадался, о чём думает Джессика."
,"......Поэтому он говорил с ней ясно и честно. Он хотел, чтобы она узнала."
