Speaker,Russian (RU)
,По Роккенджиме быстро разошлась новость о сошедшей на берег Фурудо Эрике.
,"Эрику приняли вежливо, и было решено до окончания тайфуна отнестись к ней как к гостье."
,"В столовой чудесный ужин Годы подошёл к концу, и все отдыхали, наслаждаясь послеобеденным кофе и сыром......"
,"Баттлер даже обрадовался появлению Эрики — нового козла отпущения. Всеобщее внимание было приковано к ней, и на него перестали вешаться за то, что он спустя шесть лет наконец вернулся."
,На деле она оказалась весьма разговорчивой.
,"Когда разговор перешёл к сложному обсуждению детективного жанра, даже взрослые присоединились."
,"Она была так хорошо осведомлена, что поразился даже Нанджо с его обширными знаниями в этой области."
Ushiromiya Battler,"""Ва‐ха‐ха, точно. Странная семья в западном особняке на уединённом острове во время шторма. Когда у нас остановился детектив, чтобы укрыться от дождя, выстроились в ряд все основные факторы."""
Furudo Erika,"""Не бойтесь. Каким бы сложным преступление ни оказалось, я разгадаю его. Такова работа детектива."""
Ushiromiya Krauss,"""Как обнадёживает. Почти звучит так, словно ты хочешь, чтобы произошло преступление. Надеюсь, мне не придётся играть роль жертвы."""
Ushiromiya Natsuhi,"""Дорогой, ты неблагоразумен."""
Furudo Erika,"""Ну, истории {y:0:Челове}{n:0:челове}ческого детективного жанра всего около ста лет. Его приёмы и идеи ограничиваются несколькими переработанными схемами, и показывать уже нечего. Какие бы невозможные преступления или убийства в закрытых комнатах ни произошли, они будут теми же классическими трюками, представленными так, словно это нечто новое."""
Furudo Erika,"""......Детективный жанр ещё популярен лишь потому, что самопровозглашённые 'поклонники', отделывающиеся от знаний и даже вряд ли читавшие классику... Ошибочно полагают, будто классический трюк, о котором они не знали, потому что не приобретали знания, на самом деле нечто новое и удивительное."""
,Остальные не могли не поразиться этому внушительному заявлению...
,"Если бы такое сказал пожилой критик, это одно. ......Но такие смелые слова от девочки..."
Furudo Erika,"""Детектив — жанр, с которым было покончено ещё полвека назад. По крайней мере, насколько я могу судить. ......Но благодаря бесчисленным невежественным дуракам я играю роль детектива. *хи‐хи*хи‐хи*хи‐хи*хи‐хи*!.."""
Ushiromiya Battler,"""По‐твоему, после совершенной романтики эпохи Шекспира ничто больше не достойно чтения?"""
Furudo Erika,"""Именно. Поэтому просто прочитать Ромео и Джульетту всё равно что понять всю романтику."""
Ushiromiya Battler,"""Ерунда какая. .........Необязательно читать больше книг, чем все остальные, просто для вида, но довольствоваться всего парой историй тоже нельзя. ......Читать одну лишь классику прошлого и не видеть ничего нового чересчур старомодно, тебе не кажется? Звучит как отговорка старика, которому слишком лень читать."""
Furudo Erika,"""..................Верно. Я не читаю так много, как вы, поэтому в этом споре победа за вами."""
Ushiromiya Battler,"""Я? Ха‐ха, я не читаю книги."""
Furudo Erika,"""............"""
,"Он усмехнулся...... но из предыдущей игры Эрика знала, что 'Баттлер' на самом деле довольно энергичный читатель."
,Поэтому его слова больше звучали как вызов.
Ushiromiya George,"""Если ты так уверена в своей способности рассуждать, ты, наверное, хороша в разгадывании викторин и загадок?"""
Ushiromiya Jessica,"""О, точно. Мария, ты же вроде принесла с собой книгу загадок?"""
Ushiromiya Maria,"""У‐у! Принесла!"""
,"Заметив, что высокомерное заявление Эрики сделало атмосферу чуть более накрученной, Джордж плавно сменил тему."
,"К этому моменту стало более чем ясно, что она вовсе не милая гостья, какой казалась."
,Мария вытащила из своей сумки книгу с викторинами и загадками и стала читать их остальным.
,"Могло показаться, что началась мирная викторина...... но, конечно же, это не так."
,"Вдобавок к своей разговорчивости, Эрика внушительно быстро давала правильные ответы..."
,Она взяла полный контроль. ......Её хвастовство обострялось всё больше.
,Джордж даже пожалел о выборе для смены темы.
Furudo Erika,"""106 матчей. Даже не нужно рисовать турнирную таблицу."""
,На вопрос 'сколько матчей должно быть в турнире между 107 командами?' Эрика ответила мгновенно.
Furudo Erika,"""Эта головоломка даже не дотягивает для проверки знаний. Есть формула, показывающая, что количество матчей всегда равно количеству команд минус один. ......Впрочем, если просто взять в пример три матча для 4 команд и семь матчей для 8 команд, можно запросто вычислить схему."""
Ushiromiya Maria,"""У‐у! Ты такая классная, Эрика!"""
Ushiromiya Rosa,"""Эрика старше тебя, так? Ну?"""
Ushiromiya Maria,"""У‐у, Эрика, вы удивительны."""
Ushiromiya Battler,"""Впечатляет. .........Ты не просто так называешь себя детективом."""
Furudo Erika,"""Я бы не могла хорошо играть роль детектива, если бы не справлялась с подобными загадками."""
Ushiromiya George,"""Невероятно. В будущем ты наверняка сможешь стать настоящим детективом."""
Furudo Erika,"""Я уже считаю себя им."""
,"Все кузены обдумывали ответы на вопросы, но Эрика всегда отвечала первой."
,"Роза подумала, что грубовато со стороны Эрики говорить ответы вслух, а не молчать, пока люди думают, но, поскольку та была гостьей, она решила не упоминать об этом."
,"......Вообще‐то, Эрика прекрасно об этом знала, когда незамедлительно отвечала на вопросы."
,"Каждый раз она выразительно ухмылялась, словно говоря: 'Вы до сих пор не решили такую лёгкую задачу?'..."
Ushiromiya Kyrie,"""......Раз ты великий детектив, можно и не относиться к этому так серьёзно, правда?"""
Furudo Erika,"""Вы правы. Я воспринимаю эти детские загадки чересчур серьёзно. ......Буду осторожнее, так что давайте послушаем следующий вопрос."""
Ushiromiya Battler,"""Ладно, на этот раз я не проиграю. Мария, давай следующий вопрос!"""
Ushiromiya Maria,"""Э‐э...... имеется большой кусок сыра. Одним разрезом ножа его можно разделить на две части. Какое наименьшее число разрезов нужно сделать, чтобы разделить его на восемь частей? У‐у!"""
Ushiromiya George,"""О, эту я знаю. Поэтому пока буду молчать."""
,"Джордж, поведя себя как взрослый, напомнил людям не отвечать немедленно даже если они уже знают ответ, по сути предупреждая Эрику."
,"Эрика всё поняла и отвела взгляд, насмешливо фыркнув."
Ushiromiya Natsuhi,"""......Для восьми частей будет достаточно четырёх разрезов, так?"""
Ushiromiya Eva,"""Глупо. С таким ответом это не головоломка."""
