Speaker,Russian (RU)
Shannon,"""......Тогда я была немного неуклюжей, да и осталась такой же... Я всегда забывала, куда что положила, или же собиралась что‐то запереть, а потом забывала. ......От меня было много хлопот."""
Ushiromiya George,"""Ха‐ха‐ха, помню, как тётя Нацухи всё время злилась на тебя."""
Ushiromiya Jessica,"""Но в конце концов Шаннон удалось преодолеть забывчивость."""
Ushiromiya Battler,"""О, и как?"""
Shannon,"""......Хе‐хех. Ничего особенного...... просто у меня появилась привычка записывать обо всём. Я записываю, куда кладу нечто важное. ......Для часто происходящего составляю контрольный список и всегда сверяюсь с ним......"""
Furudo Erika,"""Так что? Вы видели {f:5:Беатриче} или нет?"""
Shannon,"""О, э‐э...... лицом к лицу я с ней не встречалась...... но, э‐э...... был один странный случай..."""
,Она говорила об одной летней ночи.
,Дело было когда Шаннон совершала ночной обход...{n}С её точки зрения это была история о призраке.
,А с точки зрения ведьмы...... всего лишь история об одной маленькой шутке летней ночью...
{f:5:Beatrice},"""Младшая сестра. Ты знаешь об отрицающем магию токсине, которым обладают {y:0:Люд}{n:0:люд}и?"""
{f:5:Beatrice},"""Н‐нет. Что это, старшая сестра?"""
{f:5:Beatrice},"""Хм. Времена ведьм давно прошли. ......Гнусные {y:0:Люд}{n:0:люд}и, возомнившие себя Творцами, опровергли нас и завладели сильным токсином."""
{f:5:Beatrice},"""Этот токсин вреден для нас?.."""
{f:5:Beatrice},"""Крайне опасен. Если он до нас дойдёт, мы тут же испаримся. Но кое‐что в нашу пользу есть — тот факт, что наше существование по‐прежнему очень слабое. Из‐за этого токсин не влияет на нас слишком сильно. В худшем случае он может на время превратить нас в туман."""
{f:5:Beatrice},"""Но мы предпочитаем избегать его."""
{f:5:Beatrice},"""Верно. Да, ты — это точно я. Быстро соображаешь."""
,"Сначала старшая сестра показалась надменной......... но — может, потому, что она была так счастлива, познакомившись со своим двойником и младшей сестрой — она была более чем готова научить ту всему, что та хотела знать."
,"Первым делом она рассказала ей, что они — ведьмы, другой тип бытия, нежели {y:0:Люд}{n:0:люд}и."
,"Беато думала, что она не ведьма, раз не может колдовать, но, видимо, она всё равно ведьма."
,"Потом она узнала, что ведьмы вроде неё в отличие от {y:0:Люд}{n:0:люд}ей связаны различными ограничениями."
,"Самое главное — отрицающий магию токсин, которым обладают {y:0:Люд}{n:0:люд}и."
{f:5:Beatrice},"""Получается, мы не должны появляться в поле зрения {y:0:Челове}{n:0:челове}ка..."""
{f:5:Beatrice},"""Верно. Можешь думать, что токсин излучают {y:0:Челове}{n:0:челове}ческие глаза. Они сожгут тебя, если увидят. Хоть и в меньшей степени, но если тебя услышат или почувствуют, это тоже может ввести в контакт с токсином."""
{f:5:Beatrice},"""......То есть, для нас опасно даже приближаться к {y:0:Люд}{n:0:люд}ям..."""
,Разве отец не {y:0:Челове}{n:0:челове}к?..{n}Почему меня не сжёг его токсин?..
{f:5:Beatrice},"""Если мы накопим магическую силу и {y:0:Люд}{n:0:люд}и её признают, токсин может резко сократиться. В общем, признав нас, люди потеряют свои токсины, и мы сможем предстать перед ними ещё раз."""
{f:5:Beatrice},"""Вот как...... Проще говоря, сейчас мы можем существовать только когда поблизости нет {y:0:Люд}{n:0:люд}ей..."""
{f:5:Beatrice},"""Нам по‐прежнему не хватает магической силы, поэтому мы уступаем даже бездомной кошке, которая в тени прячется от {y:0:Люд}{n:0:люд}ей."""
,"Основная цель старшей сестры — накопить большой запас магической силы и возродиться ведьмой достаточно сильной, чтобы не бояться отрицающего магию токсина."
,"Ради этого она ночь за ночью бродила по особняку, стремясь вернуть свою магическую силу и сократить {y:0:Челове}{n:0:челове}ческую силу, отрицающую магию..."
,"Могущественная прежняя {f:5:Беатриче}, о которой она прочитала в библиотеке {f:5:Фезарин}, открыто появлялась перед {y:0:Люд}{n:0:люд}ьми и даже вволю играла с ними."
,"......По словам её старшей сестры, такой уровень силы наиболее впечатляющий."
{f:5:Beatrice},"""Подумать только, ведьма открыто появляется перед людьми и колдует как пожелает! ......Такая ведьма до того великая, что я с трудом это представляю. Вот кем мы в конце концов станем?"""
{f:5:Beatrice},"""Да. ......Она напоминала ведьму из книжки с картинками — открыто появлялась перед {y:0:Люд}{n:0:люд}ьми из особняка, колдовала и призывала подчинённых сколько захочет..."""
{f:5:Beatrice},"""Хм‐м, как вдохновляет. Если таково наше будущее, все наши старания будут того стоить."""
{f:5:Beatrice},"""Верно. ......И всё‐таки, старшая сестра. Как эти старания связаны с отпиранием окон?.."""
,"Дело было среди ночи. Они шли за слугами, проверяющими замки на дверях и окнах, и отпирали эти замки после того, как те решали, что заперли их."
,"......Больше напоминало детскую шалость, чем дело рук ведьмы..."
{f:5:Beatrice},"""Эхе‐хех, таков путь к становлению великой ведьмой. Все путешествия начинаются с одного шага. Тем, кто не способен понять, первый шаг может показаться глупым. Но он всё равно остаётся важным первым шагом!.."""
,"Гордо, будто делая первый для всего человечества шаг на поверхность луны, старшая сестра со щелчком отперла окно."
{f:5:Beatrice},"""Ты не понимаешь, младшая сестра? Разве не видишь, что делает нечто подобное важным?"""
{f:5:Beatrice},"""............? Нет, старшая сестра. ......Я правда не понимаю."""
,"Старшая сестра прикрыла глаза, улыбнулась и открыла отпертое окно."
,"Взвив занавески, в помещение проник холодный наружный воздух."
{f:5:Beatrice},"""Скажем ядовитыми словами {y:0:Челове}{n:0:челове}ка. ......Нас не должно быть на этом острове. Зайду ещё дальше. 'Сейчас в этом коридоре никого нет'. И всё же, замок отперт...... и окно раскрыто. ......Видишь, насколько велико чудо, работа магии...... доказательство нашего существования? Даже ты должна понимать прохладу этого бриза..."""
{f:5:Beatrice},"""......Я понимаю. Приятно и прохладно..."""
{f:5:Beatrice},"""Прохлада, мягкость бриза. ......И чувство, как развивающиеся занавески касаются волос. Всё это показывает, что мы и вправду здесь."""
{f:5:Beatrice},"""И...... раскрыв так окно, мы можем оставить доказательство нашего существования."""
{f:5:Beatrice},"""......Потому я и открыла его."""
,"Естественно, были не только мелкие шалости вроде открытия окна."
,"......Она также могла разбить окна или вазы, или же оставить странные огни и таинственные надписи."
,"По правде говоря, однажды она действительно разыграла на кухне крупную шутку, жутко нагромоздив посуду и оставив причудливые каракули, изрядно напугавшие служащих."
,Дело увенчалось полным успехом.
,"Вышло до того страшно, что она сумела заставить слуг признать магию, ослабляя отрицающий магию токсин..."
,"Тем не менее, она решила заявить о себе, отпирая окна."
,"Так...... она могла освободиться от ограничений, налагаемых токсином {y:0:Люд}{n:0:люд}ей."
{f:5:Beatrice},"""Однажды я... нет, мы станем одной ведьмой и будем править всей Роккенджимой. ......Тогда мы обретём полную свободу и сможем расправить крылья как пожелаем."""
,Нам больше не придётся бояться чужих взглядов.
,"Мы будем летать где хотим, исчезать когда захотим. Смеяться как мы любим, шутить как нам нравится, говорить с кем хотим."
,{y:0:Люд}{n:0:люд}и смогут время от времени задавать нам вопросы.{n}Они смогут противостоять нам или же играть с нами.
,"Достаточно замечательные вещи для нас, хрупких и неспособных ни перед кем появиться созданий, чтобы с нетерпением ждать их......"
{f:5:Beatrice},"""......Сейчас всё это не слишком отличается от шуток, однако, накапливаясь, станет доказательством нашего существования. Слуги уже называют меня ведьмой {f:5:Беатриче}, ночной госпожой, и понемногу начинают верить в меня."""
{f:5:Beatrice},"""Чем сильнее они верят, тем больше отрицающего магию токсина теряют эти {y:0:Люд}{n:0:люд}и..."""
,"......Вот как... Выходит, у отца его нет."
,"Потому что...... он без всяких сомнений, по‐настоящему верит в моё, ведьмы, существование."
,"Наконец я поняла, что, хоть я и считала его холодным, отец всё же обладает незримой добротой..."
{f:5:Beatrice},"""Хотелось бы стать великой ведьмой и скорее появиться перед всеми."""
{f:5:Beatrice},"""Да. В конечном итоге мы сможем открыто предстать перед кем угодно. Если делать так постоянно, люди в нас поверят, и в конце концов мы даже сможем показать всем нашу магию. ......А после мы воцаримся на Роккенджиме как та великая ведьма, о которой ты говорила. Аха‐ха‐ха‐ха!"""
{f:5:Featherine},"""......Логика стороны ведьмы очень интересна. Она не перестаёт развлекать меня."""
Ushiromiya Ange,"""В некотором смысле звучит правдоподобно. Слыша, что вошли в обиталище привидений, {y:0:Люд}{n:0:люд}и обычно пугаются и начинают кричать на ровном месте: 'Призрак, призрак!'."""
{f:5:Featherine},"""Верно. Все явления принципиально нейтральны, одинаковы и скучны. ......Если хочешь, чтобы их приняли определённым образом, нужно для начала создать подходящую обстановку..."""
Ushiromiya Ange,"""Если у человека есть харизма, люди истолковывают его действия положительно даже если он напортачил. ......Понятно. Тогда крошечные усилия двух Беато не напрасны."""
{f:5:Featherine},"""Будь дело только в отпертых замках особняка, всё можно было бы разрешить, сказав, что кто‐то либо пошутил, либо забыл запереть. ......Но слухи о ведьме, бродящей ночь за ночью по особняку, медленно начали складываться в существование ведьмы."""
Ushiromiya Ange,"""Окружающая среда была устроена так, что если ночью в особняке происходит нечто странное, это рассматривают как дело рук ведьмы. ......Понятно. Если до конца следовать такой логике, это всё равно что ночью в особняке ведьма существует."""
,"После того как Беато закончили вредить отпиранием и раскрытием окон, они наслаждались прохладой ветра и яркостью луны, а потом превратились в золотых бабочек и исчезли во тьме."
