Speaker,Russian (RU)
,Эрика вернулась в отведённую ей комнату на втором этаже домика для гостей.
,Соседняя комната пустовала. Там было очень тихо...
,"Даже прижав ухо к стене, Эрика не слышала голосов из комнаты кузенов."
,"Даже со слухом, завышенным полномочием детектива, было бы невозможно что‐либо разобрать."
,"Эта комната самая дальняя по коридору, и она далеко от комнаты кузенов......"
Furudo Erika,"""А в прошлый раз моя комната была рядом с их комнатой. ......Вот как, на этот раз он сделал её дальше."""
Dlanor,"""Владелец игры имеет право изменять первоначальную {f:5:расстановку}. Вполне разумный первый {f:5:ход}, пожалуй."""
Furudo Erika,"""Впрочем, так даже лучше. Можно подумать, мне очень хочется слушать пискливые голоса тех надоед, играющих в карты."""
Dlanor,"""............"""
,"Всё это время Эрика возилась с чем‐то, стоя перед столом.{n}......Как и прежде, готовила печати из клейкой ленты."
,Эрика одолжила у Кумасавы самую липкую ленту.
,"Она нарисовала перманентным маркером сложную подпись, которую нельзя подделать, а затем начала делать надрезы."
,"Так она могла обклеить место, чтобы доказать, что оно было закрытым, создавая мощные печати, по силе равные красной правде."
,"Те самые устрашающие печати, поэтапно загнавшие Нацухи в угол в предыдущей игре..."
Furudo Erika,""".........Н‐н............ отлично..."""
Dlanor,"""Что‐то {f:5:не так}?"""
Furudo Erika,"""......Баттлер меня раскусил. ......Ничто не упускает."""
,Эрика пожала плечами и показала Дланор кусок оторванной ленты.
,"С первого взгляда Дланор не могла сказать, что раздосадовало Эрику.{n}Однако, взяв в руки, она тут же увидела разницу."
Dlanor,"""......Плохо."""
Furudo Erika,"""Да. Она едва липкая. И близко не дотягивает до красной правды."""
,"Даже клейкая лента может быть низкого качества, и с годами она слабеет."
,"Лента, найденная Кумасавой, оказалась слишком слаба даже для обычного использования. Она была недостаточно липкой для печатей детектива."
Dlanor,"""Её можно сорвать, {f:5:не оставив} следов. Это уже не доказательство‐{f:5:печать}."""
Furudo Erika,"""......А Баттлер не настолько некомпетентен, как я думала. Вероятно, подделал всю клейкую ленту на острове, воспользовавшись полномочием Владельца игры."""
,Позволить Эрике заполучить клейкую ленту всё равно что дать ей смертельное оружие против ведьм. Предыдущая игра это доказала.
,И поэтому Баттлер убрал это оружие из всего особняка......
Dlanor,"""Скорее всего, все возможные заменители клейкой ленты тоже подделаны."""
Furudo Erika,"""......Наверное. Хотя всё не так уж и плохо. По крайней мере, мне не придётся, как дуре, под холодным дождём карабкаться по всей наружной стене."""
,Эрика беспечно бросила клейкую ленту в сторону и повалилась на кровать...
Furudo Erika,"""Так или иначе, спокойно ждать преступления и курить трубку тоже часть роли детектива. ......Сомневаюсь, что ты понадобишься до первых сумерек, так что можешь взять перерыв и исчезнуть. .........Думаю, тебя утомляет один мой вид."""
