Speaker,Russian (RU)
Shannon,"""Ты проверила ванные принадлежности?"""
,"""Да, прошлась по всему списку."""
Shannon,"""Точно правильно их положила?"""
,"""Да, конечно. Всё как в списке."""
Shannon,"""*хи‐хи*, спасибо. Господин Генджи, гостевые комнаты готовы."""
Ronoue Genji,"""Хорошая работа. Обязательно проверь всё своими глазами, Шаннон. И ещё, мадам снова приказала нам поменять скатерти в столовой."""
Kumasawa Chiyo,"""О, зачем, когда мы ранее с таким трудом их меняли?.."""
Ushiromiya Natsuhi,"""Цвет скатерти не вписывается. Увидев её на фоне комнаты, я поняла, что она ему совсем не соответствует. Нам нужно постелить другую скатерть."""
Ushiromiya Natsuhi,"""Да, и вы точно почистили люстру в гостиной? Я не хочу, чтобы Ева смотрела вверх и говорила 'О, что, пыль? И даже паутина?' в который раз!"""
Ronoue Genji,"""Не беспокойтесь. Она уже была как следует вычищена и проверена. Сейчас я самостоятельно проведу окончательную проверку."""
Ushiromiya Natsuhi,"""Вот как? Хорошо. Займусь тем же. Шаннон, возьми молодых слуг и постели новую скатерть. Поищи что‐нибудь белое, придающее ощущение белизны."""
Shannon,"""Д‐да, как пожелаете."""
,"Нацухи нервничала даже больше, чем обычно. Она ходила тут и там, раздавая приказы."
,"Хотя небо уже темнело, слуги всё спешили."
,Завтра ежегодное семейное собрание.
,"Отдельные семьи нередко посещают остров, но все вместе они приезжают только в это время."
,"Самый важный день в году как для семьи Уширомия, так и для Роккенджимы."
,"Нацухи, несдержанная и нервная, продолжала приказывать слугам повторить то и это из‐за того, что выглядит всё‐таки недостаточно хорошо. Так продолжалось до поздней ночи."
,"Шаннон, у которой уже был многолетний опыт, Нацухи поставила в ответственное положение, поэтому её часто вызывали, чтобы высыпать на неё строгие приказы..."
,"Когда Шаннон закончила принимать душ и легла на кровать в приёмной слуг, она почти сразу же уснула......"
,......Я слышу шум ветра... откуда‐то издалека.
,......Он слегка отличается от шума ветра снаружи.
,"Словно...... я сижу в шезлонге в розарии, переворачиваюсь во сне...... и чувствую ветер в волосах."
,"Точно. ......Не звук, а чувство."
,Это...... сон?..
,"Как только я собралась принять своё предположение...... мне показалось, что со мной разговаривают."
,{m:-5:—}‐О боже. Работа слуги всё такая же скучная.
,"Не только скучная, но и трудная, строгая, ограничивающая, безрадостная..."
,В обмен на годы вашей службы вы получаете лишь определённый уровень уважения со стороны новых слуг.
,"И даже этого отнюдь не достаточно, чтобы отплатить вам за всю вашу тяжёлую работу..."
,"{a:c:""Как ты не устала от такой жизни?""}"
,Э? ......Кто?..
,"Ей не просто казалось, что с ней разговаривают. ......Она была потрясена, поняв, что так и есть."
,Открыв глаза...... Шаннон сглотнула.
Shannon,"""Г... ......где........."""
,Она не смогла сказать больше...... и буквально остолбенела.
,"Шаннон, спавшая на кровати...... очутилась в розарии."
,"Он напоминал розарий на Роккенджиме, но также и совершенно отличался."
,"Ведь...... розы были золотыми.{n}Не только цветы, но и кружащие бабочки."
,Золотой розарий потусторонней красоты.
,Шаннон сидела на стуле в беседке.{n}Словно заснула там и пробудилась ото сна.
,......Но что‐то было не так.
,Разве этот золотой розарий — сон?
,"По какой‐то странной причине казалось, что вся моя жизнь до сих пор была сном, и я наконец проснулась здесь..."
,"{a:c:""Добро пожаловать, Шаннон. Добро пожаловать в мой золотой розарий......""}"
,"Опять этот голос. Шаннон огляделась, смотря, кто это."
,Тогда же золотая бабочка приземлилась на стул напротив неё и немедленно приняла человеческий облик...
{f:5:Beatrice},"""Давно не виделись, Шаннон. Как поживаешь?.. Хотя уж это мне известно. Ведь я каждый день наблюдала за тобой."""
,"Она засмеялась так, будто была давней подругой Шаннон."
,"Но та, очевидно, не помнила ни странный золотой розарий, ни её лицо..."
{f:5:Beatrice},"""Точно. Ты же больше меня не помнишь."""
Shannon,""".........Я забыла вас?.. Прошу прощения, если так..."""
{f:5:Beatrice},"""Не нужно извиняться. Ты не виновата, я сама так сделала. ......Я представлюсь. Золотая ведьма, {f:5:Беатриче}."""
Shannon,"""......Го... госпожа...Беатриче?.. Б‐благодетельница семьи Уширомия, о которой всегда говорит Господин?.."""
{f:5:Beatrice},"""Не та Беатриче. Золотая ведьма, по ночам царствующая на Роккенджиме. ......Другая хозяйка особняка, которой ты всегда отдаёшь дань уважения."""
Shannon,"""В... ......вы... госпожа...{f:5:Беатриче}......"""
{f:5:Beatrice},"""Ха‐ха‐ха... Не нужно бояться. Мы же были подругами...... нет, соседками по комнате. В своё время я боготворила тебя и стремилась стать лучшей слугой."""
Shannon,"""......Я всегда жила в одноместной комнате, и у меня не могло быть......"""
{f:5:Beatrice},"""В последнюю нашу встречу я стёрла твою память. Но я не забыла, что когда‐то мы жили в одной комнате. ......А ещё я помню, как разрушила нашу дружбу и ушла."""
{f:5:Beatrice},"""И чтобы не оставлять тебя в одиночестве и печали, я стёрла все твои воспоминания и сам мир тех дней, которые мы провели вместе."""
Shannon,"""............"""
{f:5:Beatrice},"""Не нужно понимать... Поверь только в одно. Я позвала тебя сюда не для того, чтобы причинять вред."""
Shannon,"""Ра... разве я не во сне?.."""
{f:5:Beatrice},"""Можно сказать и так. Строго говоря, я заманила твою душу в свой сад, пока ты спала. Чтобы пригласить тебя в этот мир."""
,"{f:5:Беатриче} щёлкнула пальцами, и по розарию закружилась буря золотых бабочек."
,"Как только облако золотых бабочек прокружило над столом, появился великолепный чайный сервиз."
,"Чайные чашки и чайник оказались даже элегантнее тех, что были в семье Уширомия."
,"Чай был налит до краёв, и от него исходил сладкий аромат роз, который Шаннон никогда раньше не чувствовала."
,"Прежде чем настало время поразиться этому аромату, бабочки собрались над столом, и прямо из него проросла чайная подставка."
,Словно из‐под земли вырос волшебный гриб из сказочного царства.
,"Многоуровневая чайная подставка была наполнена чудесными пирожными, напоминающими съедобные драгоценности."
,"Разумеется, также было несколько восхитительных, светло‐коричневых булочек. Мёд был самый что ни на есть золотой, и в нём плавали кусочки золотых листьев......"
{f:5:Beatrice},"""В семье Уширомия порой устраивают чаепития, но их не сравнить с моими."""
Shannon,"""......Не... ...невероятно... Никогда не видела ничего подобного..."""
{f:5:Beatrice},"""*хи‐хи*хи‐хи*. Даже если и видела, то только когда была официанткой. Ты моя подруга. Мне не нужна официантка. Я же ведьма. Этого более чем достаточно. Ну же, не стесняйся. Бери что пожелаешь."""
Shannon,"""Бо... ......большое... спасибо......"""
,"Это всё, что Шаннон смогла выговорить. ......Было бы трудно сказать нечто большее после неожиданного приглашения на такое удивительное ведьмино чаепитие."
