Speaker,Russian (RU)
,""".........Выслушайте. Я одна, но всё же нас много. Я рассказываю нашу историю. Однако это крошечный мир за стеклом и пробкой, и никто о нём не слышал. В нём вся моя история, на которую никто не положит глаз, пока она плывёт по течению моря моего сердца, исчезая вместе с морскими водорослями......"""
Furfur,"""А‐а, где я?! И кто я?!"""
Zepar,"""Тогда ответь! Где ты хочешь быть? Кем ты хочешь быть?!"""
Furfur,"""Где угодно, пока меня тепло встречают! Кем угодно, пока ко мне добры!"""
Zepar,"""Да, для нас!.."""
Furfur,"""Для нас!.."""
,"""""Где и кто мы едва ли имеет значение!"""""
Clair,"""Верно. Для нас это очень незначительный вопрос. По крайней мере, так было, пока не наступил тот день. Почему нам приходится подстраиваться под новую судьбу? Такой поворот был неожиданным и резким."""
Zepar,"""Мне не была нужна такая судьба."""
Furfur,"""Но так твоё сердце заколотилось!.."""
Zepar,"""Куда нас заберёт новая судьба?!"""
Furfur,"""Неважно, куда!"""
,"""""Пока там добры к нам!.."""""
Clair,"""Когда мы попали во временное убежище, где собираются несчастные дети без родителей, это был знак Божьего спасения или же приглашение в игру демонов, где нас будет мучить новая судьба? Нам никак не узнать."""
Clair,"""И всё же, мы хотим верить. Верить, что это было посланное нам Божье спасение — знак 'фукуин', Евангелие."""
Furfur,"""Но при чём тут я? У меня нет религиозных убеждений!"""
Zepar,"""Значит, это было не Евангелие, а западня демонов!"""
Clair,"""И всё же, мы не можем противиться судьбе. О, я одна, но всё же нас много. Надеюсь, наша новая судьба принесёт нам счастье. 1976 год нашей эры, апрель. Всё ещё слишком холодное время для весны. Непривычная новая земля мучила нас тем же несвежим воздухом и сквозняками......"""
Ushiromiya Natsuhi,"""Это все семейные правила. Они строги, но я считаю, что дисциплина, которой вы научитесь в этом доме, хорошо послужит вам в будущем."""
,"""""""Да, мадам."""""""
,"Ответили в унисон все слуги, начинающие работать в апреле этого года."
,"Правила семьи Уширомия не менее и не более строги, чем в Доме Фукуин."
,Однако здесь нам много платят.{n}А ещё оказывают большую помощь в поисках следующей работы.
,"Мы работаем на семью Уширомия, копим деньги, с помощью их влияния получаем работу в хорошей компании и начинаем новую, счастливую жизнь."
,"......Такова была наша реалистичная мечта, хранимая всеми в Доме Фукуин."
,Но стать слугой семьи Уширомия может не каждый.{n}Рекомендуются только дети с примерным поведением и хорошими оценками.
,"Поэтому все дети, желающие зажить счастливой жизнью после того, как покинут Дом Фукуин, лихорадочно посвящают себя учёбе......"
Ushiromiya Natsuhi,"""На сегодня достаточно. Завтра вы начинаете рано. Не забудьте вовремя погасить свет. Можете идти."""
,"""""""Да, мадам. Большое спасибо."""""""
,После поклона Нацухи до самого её ухода все новые слуги последовали примеру более опытной слуги и подняли головы.
,"""Итак, на сегодня всё. С завтрашнего дня вы следуете расписанию смен. Мадам очень строга относительно времени. Если кто‐нибудь из вас проспит, ответственность будет лежать на мне. Проспите — я вас пну. Всё ясно?!"""
,"Разумеется, эта опытная слуга одна из старших девушек, пришедших из Дома Фукуин.{n}Судя по всему, она проработала здесь уже два года."
,"Наверное, поэтому все другие новые слуги старше меня хорошо её знали."
,"'Эта мадам выглядит такой строгой', 'Блин, я устала', '*хи‐хи*хи‐хи*'."
,"""......Кстати, а это ещё кто? Кто выбрал слугой этого ребёнка?"""
,Старшая слуга указала на меня и с сомнительным выражением обратилась к комнате в целом.
,"Конечно, неудивительно. Большинство из нас становятся слугами после выпуска из средней или старшей школы."
,А я только пошла в начальную.
,"Остальные будут работать слугами каждый день, согласно их сменам."
,"А я буду вместе с миледи ходить в начальную школу на Нииджиме, работая только по выходным и в свободное время."
,"Исключение среди исключений, то, чего раньше никогда не случалось."
,"......С первого взгляда было видно, что остальным, получившим свои позиции после строгого отбора, не нравилось моё присутствие."
,"""......И мадам, и господин Генджи сказали мне, что на первом месте у тебя должна быть учёба. И всё же тебе платят. В голове не укладывается."""
,"Если сплетничаешь, хотя бы сплетничай не при мне. Она даже не скрыла недовольство."
,"""Она и вправду такая умная? Вундеркинд?"""
,"""Вовсе нет."""
,"""Она всегда была из слабых и одиноких, я даже не знала её в Доме."""
,"""......Здесь ты часть системы коллективной ответственности. Если напортачишь ты, напортачим все мы. Смотри, чтобы этого не было."""
,"Я слабо кивнула. ......Мне никогда не угрожали те, кто гораздо старше меня, и я была очень напугана."
Shannon,"""Не беспокойся. Я с тобой. Давай будем стараться вместе, хорошо?"""
,"Сказав, Шаннон улыбнулась мне..."
Zepar,"""Разве Шаннон не испугалась? Этот дом выглядит таким строгим!.."""
Furfur,"""В нём нет ничего страшного. Тебе он просто показался страшным, оттого и испуг."""
Zepar,"""А если он покажется мне забавным, так и будет?!"""
Furfur,"""Да, будет. Так что давай и здесь с улыбкой выкладываться на полную."""
Clair,"""......В Доме Фукуин Шаннон стала моей единственной подругой. Она была уверенной и популярной, моей полной противоположностью. Я же была ошеломляюще несмышлёной, и со мной никто не хотел заводить дружбу."""
Clair,"""Я справлялась в Доме Фукуин только благодаря её поддержке. ......Возможно, с ней у меня и здесь всё получится."""
Zepar,"""Ну что, давай готовиться ко сну? Мне работать с раннего утра, а у тебя другая работа."""
Furfur,"""Да. В отличие от всех остальных, мне нужно ходить в школу. Проведя ночь на Роккенджиме, я собираюсь в школу и жду миледи у причала."""
Zepar,"""Миледи с виду такая энергичная. Надеюсь, вы поладите!"""
Furfur,"""С‐считаешь?.. Школа меня пугает, нервирует!.."""
Clair,"""......После жизни в Доме Фукуин с более мягкими школьными правилами жить стало проще. Но до тех пор, пока я к ним не привыкла, всё было ново и всё нервировало."""
,Моя новая жизнь на Роккенджиме заслуживает объяснения.
,"Она совершенно отличалась от комфортной, но всё же вялой жизни в Доме Фукуин."
,"Помимо работы слугой семьи Уширомия на Роккенджиме, по будням я ездила в начальную школу на Нииджиме."
,Начался стремительный и занятый период без всякой возможности расслабиться.
,"В отличие от Дома Фукуин, у меня не было своей кровати."
,Половину недели я спала в приёмной слуг в особняке Роккенджимы.
,После школы я возвращаюсь с миледи в особняк и работаю там слугой. Потом остаюсь на ночь и на следующий день снова еду с миледи в школу.
,"Когда работы нет, я возвращаюсь в общежитие на Нииджиме, где могу побыть в отведённой мне комнате."
,"Хозяйка общежития строго контролировала время приёма пищи и отбоя, но я уже привыкла к такой жизни, и она не была для меня трудной."
,"Комнаты были чуть больше средних, и в каждую такую размещали по три человека."
,"Тем не менее, либо из‐за числа людей, либо по счастливой случайности, мне не дали трёхместную комнату."
Shannon,"""Мы и в общежитии в одной комнате."""
,"С Шаннон мне кажется, что я справлюсь..."
Ushiromiya Natsuhi,"""Да. Каждый год из Дома Фукуин приходят новые слуги, заменяя некоторых старых."""
Ushiromiya Krauss,"""Это было самостоятельное решение отца. Мы не имели права возражать."""
Ushiromiya Natsuhi,"""Наша семья строго дисциплинирует детей без родственников и поддерживает их на пути к взрослой жизни, но я всегда рассматривала это как общественную обязанность богатой семьи Уширомия."""
Furfur,"""Какие дети приходят служить семье?"""
Zepar,"""Наверняка серьёзные, милые дети безупречного поведения!"""
Ushiromiya Natsuhi,"""На мой взгляд, среди них было много вопиющих гиен."""
Ushiromiya Krauss,"""Скажем так — у них были высокие амбиции. Бедные дети, оставшиеся без родственников. Они были полны решимости с помощью такой редкой возможности начать карьеру взять под контроль свои жизни."""
Furfur,"""Им всем приходилось уравновешивать работу слуги и школу?"""
Zepar,"""Трудно, должно быть! Они бы не смогли сделать много работы!"""
Ushiromiya Natsuhi,"""Не было ни одного случая, чтобы слуга и ходил в школу, и работал... За исключением того ребёнка."""
Ushiromiya Krauss,"""Если честно, я очень удивился, когда она впервые пришла поздороваться со мной. Слишком юная. Лет на 10 младше остальных, которым было около 16 или 18."""
Ushiromiya Natsuhi,"""Необычно юные дети приходили служить семье Уширомия главным образом ради опыта, поэтому никто особо не надеялся на неё, как на слугу."""
Ushiromiya Krauss,"""Именно. На неё нельзя было рассчитывать так же, как на взрослого, опытного слугу."""
Ushiromiya Natsuhi,"""Зачем нам принимать ребёнка, который ещё даже не пошёл в школу? Никаких знаний по дому, нет практического опыта, даже не закончено обязательное образование. Не знаю, о чём думал отец, но мне всегда казалось, что что‐то тут не так."""
Ushiromiya Krauss,"""Я говорил с ним. Спросил, не лучше ли подождать, пока эта слуга закончит среднюю школу, прежде чем служить здесь."""
Furfur,"""И что Кинзо ответил?"""
Zepar,"""Да ладно, все мы знаем, что."""
,"""""О‐о‐о, {f:5:Беатриче}~~!!!"""""
Ushiromiya Krauss,"""Ха‐ха‐ха... К тому времени он уже окончательно заперся в своём кабинете, одержимый оккультизмом. Если заговорить с ним, он кричит и говорит перестать прерывать 'путешествие его разума'."""
Ushiromiya Natsuhi,"""Решения отца абсолютны. ......Однако случай с этим ребёнком напрочь лишён смысла."""
Ushiromiya Krauss,"""Я даже спрашивал Дом Фукуин. Там сказали спросить Генджи. Когда я спросил Генджи, он сказал спросить Господина."""
Zepar,"""И затем ты спросил Господина, а он сказал '{f:5:Беатриче}~'!"""
Furfur,"""Аха‐ха‐ха! Никто не знает правды!"""
Ushiromiya Krauss,"""Джессика — единственный ребёнок на острове. Слуги часто играли с моей дочерью, но она хотела друга своего возраста. Того, с кем можно играть и дома, и в школе."""
Ushiromiya Natsuhi,"""......Я начала думать, что отец пожалел Джессику и нанял эту слугу. ......Но если так, то почему он не поговорил с нами заранее? Мы сами должны решить, какие друзья подходят нашей дочери."""
Furfur,"""Жу‐уть! Аха‐ха‐ха‐ха!"""
Zepar,"""И как только Нацухи выводила своего ребёнка в общество!"""
Willard H. Wright,"""Нам рассматривать это как спланированную Генджи договорённость?"""
Ushiromiya Lion,"""......Возможно. ......Генджи знал, что я из того мира потомок дедушки, и мог таким образом позвать 'меня' на Роккенджиму."""
Willard H. Wright,"""Ты уже хорошо себя чувствуешь?"""
Ushiromiya Lion,"""......Просто это был очень большой шок. ......Слегка кружится голова и всё."""
Willard H. Wright,"""В этом мире ты станешь главой. Но в другом мире ты слуга...... или, быть может, ведьма. ......До чего у тебя проблемная судьба."""
Ushiromiya Lion,"""Не то слово...... Я не жалею, узнав об этом, но хотелось бы забыть, будь такое возможно."""
{f:5:Bernkastel},"""*хи‐хи*, как интересно. Даже будучи слугой, на самом деле ты незаконнорождённый ребёнок главы...... Разве не романтично, прямо как в сказке?"""
Ushiromiya Lion,"""......Романтично?......Если подумать о чувствах мамы, становится сложно."""
{f:5:Bernkastel},"""Эхе‐хех, верно. В глазах Нацухи, Лион того мира не более чем ненавистный ребёнок, которого ей сказали вырастить и которого она в том мире отвергает."""
{f:5:Bernkastel},"""......Нацухи должна любить своего настоящего ребёнка гораздо больше. Ребёнок, не связанный с тобой родством, всего лишь гадкий, тёплый мешок грязи."""
Willard H. Wright,"""Имей совесть. Я тоже могу щипать за зад."""
Ushiromiya Lion,"""......Спасибо, Уилл. ......Я более‐менее понимаю. За это мне нужно благодарить свою маму ещё больше. Она справедливо воспитывала меня все эти годы."""
{f:5:Bernkastel},"""Хотя в такой низкой вероятности, что требуется чудо. ......Животные всегда жестоки к детям, в чьих жилах не течёт их кровь. Львы ведь тоже к ним относятся? ......*хи‐хи*хи‐хи*."""
