Speaker,Russian (RU)
Ushiromiya Battler,"""Гья‐а‐а‐а‐а‐а‐а‐а‐а! Падаю, падаю, па‐а‐а‐а‐адаю!!!"""
,И снова паром до Роккенджимы с капитаном Кавабатой пересекал море в идеальном состоянии.
,Да. История 4 октября 1986 года всегда начинается с криков Баттлера.
,Но на этот раз было отличие.{n}Вместе с Баттлером вопил ещё кое‐кто.
,Баттлер кричал.{n}Другая... смеялась?
Ushiromiya Battler,"""Падаю, падаю, па‐а‐а‐а‐адаю!!! Не‐е‐е‐е‐е‐е‐е‐е‐ет!.."""
Ushiromiya Ange,"""Весело, весело, ве‐е‐е‐есело! *хи‐хи*, *хи‐хи*хи‐хи*хи‐хи*!"""
Ushiromiya Maria,"""Баттлер смешной, Баттлер смешной! *хи‐хи*, *хи‐хи*хи‐хи*!"""
,"Вместе со старшим братом, который схватился за перила и кричал так, как никто его возраста кричать не должен, была младшая сестра, которая тоже схватилась за перила и прыгала так, будто они ехали в парк аттракционов. Видя такую разницу, Джордж и остальные не могли сдержать смех."
Ushiromiya George,"""А Баттлер не сильно изменился за последние шесть лет. Он как никогда энергичен."""
Ushiromiya Jessica,"""К тому же, в этом году Энджи и Мария выглядят ещё энергичнее, чем обычно."""
Ushiromiya George,"""Неужели все пять кузенов впервые собрались вместе?"""
Ushiromiya Jessica,"""О, правда? Точно. Выходит, этот год должен быть ещё энергичнее любого предыдущего."""
Ushiromiya Battler,"""Д‐Джо‐о‐ордж!!! Разве не слишком быстро?! Умоляю, попроси водителя замедлиться, пока не стало слишком по‐о‐оздно!!!"""
Ushiromiya Maria,"""Ки‐хи‐ха‐ха‐ха‐ха‐ха! Это — слишком быстро? Баттлер так жалок!"""
Ushiromiya Ange,"""Хочу быстрее! Быстрее, быстрее! *хи‐хи*хи‐хи*!"""
Ushiromiya Battler,"""Чуть быстрее, и я свалюсь с катера! Ты обрадуешься?! Па‐а‐а‐а‐а‐а‐адаю!!!"""
Ushiromiya George,"""Ха‐ха‐ха. Судя по голосованию, должен сказать, что предложение Баттлера‐"""
Ushiromiya Jessica,"""Отклоняется! Аха‐ха‐ха‐ха‐ха."""
Ushiromiya Ange,"""Осторожнее, братик. Смотри, ты падаешь! Аха‐ха‐ха‐ха‐ха‐ха!"""
Ushiromiya Maria,"""Баттлера надо наказать за трусость! Время щекотки! Ки‐хи‐хи‐хи‐хи!"""
Ushiromiya Battler,"""По... погоди, стой, Мария! Ты тоже, Энджи! Не... не‐е‐е‐е‐е‐е‐е‐е‐е‐е‐е‐ет!!!"""
Ushiromiya Kyrie,"""Слава богу. Хотя я волновалась о здоровье Энджи."""
Ushiromiya Rudolf,"""Было бы слишком грустно оставлять её дома. Я рад, что мы решили взять её."""
Ushiromiya Eva,"""Разве она не была очень больна незадолго до того, как вы поехали?"""
Ushiromiya Kyrie,"""Этим утром ей стало лучше. Дети порой поражают."""
