Speaker,Russian (RU)
,Почётная комната была окутана сладким ароматом тыквенного чая... и полна улыбок и смеха.
Ushiromiya Kinzo,"""Аха‐ха‐ха‐ха‐ха‐ха‐ха‐ха! Великолепно. Рад видеть тебя такой бодрой!.."""
{f:5:Beatrice},"""Могу сказать о тебе то же самое. Какой идиот сказал, что твои дни почти сочтены?"""
Ushiromiya Kinzo,"""Я лишь одолжил у тебя чуть‐чуть бодрости. Вернувшись в свой кабинет, я буду не более чем увядающим, дряхлым стариком."""
{f:5:Beatrice},"""Довольно лжи! Перестань и поклянись, что будешь жить на полную, пока тебе не стукнет сотня."""
Ushiromiya Battler,"""Согласен. Я не видел тебя шесть лет, но удивился тому, что ты почти ничуть не изменился."""
Ushiromiya Kinzo,"""Ва‐ха‐ха‐ха‐ха, мелочь. Вижу, ты за последние шесть лет научился льстить! Жаль разочаровывать, но вряд ли ты справедливый судья в этом вопросе. Я и вправду сильно постарел."""
{f:5:Beatrice},"""Ставлю тысячу иен на то, что Кинзо, когда ему стукнет сотня, по‐прежнему будет живее некуда."""
Ushiromiya Battler,"""Да, я тоже. Дед даже в сто лет не изменится."""
Ushiromiya Kinzo,"""Ва‐ха‐ха‐ха! Не думай, что получишь ещё подарки, осыпав меня комплиментами!"""
,"Кинзо бодро засмеялся.{n}Беато, сидящая рядом с Баттлером, тоже весело смеялась."
,"Энджи, совсем одна стоящая у окна, ......смотрела на остальных и пыталась понять, что связывает ведьму с портрета и её дедушку."
,Тут в дверь постучали.
Ushiromiya Kinzo,"""Это ты, Генджи? Входи!"""
Ronoue Genji,"""......Прошу прощения. Пришли господин Краусс и госпожа Нацухи."""
Ushiromiya Krauss,"""Отец... о, и Баттлер здесь."""
Ushiromiya Natsuhi,"""Давно не виделись, {f:5:Беатриче}. Что нового?"""
{f:5:Beatrice},"""Всё так же, как всегда. Ну же, садитесь. И, Энджи, что ты стоишь у окна? Садись."""
Ushiromiya Battler,"""Энджи, иди сюда."""
Ushiromiya Ange,"""......Я посмотрю отсюда."""
,"Энджи крепко сжала конфету, которую ей дала Беато, и продолжила смотреть пристально и осторожно."
,"Генджи предложил ей стул, но она только покачала головой."
Ushiromiya Kinzo,"""Пусть делает как угодно. Краусс, Нацухи, садитесь."""
Ushiromiya Battler,"""......Что‐то важное? Наверное, нам с Энджи лучше уйти."""
{f:5:Beatrice},"""Эй, если ты уйдёшь, кто поддержит меня?! Кинзо, ты же не против, если Баттлер останется?"""
Ushiromiya Kinzo,"""Мне нечего скрывать. Я не возражаю."""
,"Но он позвал Краусса и Нацухи в почётную комнату для встречи с {f:5:Беатриче}, Золотой ведьмой."
,"Было трудно представить, что Кинзо хотел просто поговорить......"
,"После того как Кинзо сказал, что не возражает, Беато попросила Баттлера остаться, и он так и сделал."
,"Чтобы не мешать их разговору, Баттлер встал с дивана и подошёл к окну, где стояла Энджи."
,"Когда старший брат наконец вернулся к ней, она прильнула к его талии, словно решив больше не отпускать."
{f:5:Beatrice},"""О‐о, понятно. Вот почему я не нравлюсь Энджи."""
Ushiromiya Battler,"""Э? Ты о чём? Не думаю, что ты ей не нравишься."""
{f:5:Beatrice},"""*хи‐хи*хи‐хи*. Ты никогда не понимал женщин, Баттлер."""
,"Беато улыбнулась Энджи, но та отвернулась в другую сторону..."
{f:5:Beatrice},"""*хи‐хи*хи‐хи*! Всё‐таки даже девочка тоже женщина."""
,"Когда Беато перестала смеяться, разговор переключился на другую тему."
,"Зачем Кинзо позвал Краусса и Нацухи в почётную комнату, и что он собирался обсудить? Все автоматически замолчали."
Ushiromiya Kinzo,"""{f:5:Беатриче}, Золотая ведьма. Изо дня в день я вспоминаю о том долге, который должна семья Уширомия за спасение на грани уничтожения."""
{f:5:Beatrice},"""*хи‐хи*хи‐хи*! Да‐да, благодари меня."""
Ushiromiya Battler,"""Ну, на самом‐то деле он благодарит твою бабушку."""
{f:5:Beatrice},"""Эй, заткнись."""
Ushiromiya Krauss,"""Нет, это одно и то же. Всё золото было предоставлено семье Уширомия на три поколения без какой‐либо компенсации."""
Ushiromiya Natsuhi,"""......Нам и вправду... не выразить всю нашу благодарность."""
{f:5:Beatrice},"""Для меня золото лишь груда кирпичей. Какое счастье, что Кинзо забрал его, мне их класть было некуда."""
Ushiromiya Battler,"""Фью‐ю. Хотел бы я сказать такое хотя бы раз перед смертью."""
Ushiromiya Ange,""".........Золотая ведьма... богатая?.."""
Ushiromiya Battler,"""Хм‐м? Ну, да. Ведь она взяла и одолжила деду десять тонн золота."""
Ushiromiya Kinzo,"""Именно. Я заимствовал его несколько десятилетий, всё обещая однажды вернуть. Этот долг мне никогда не погасить в полном объёме."""
Ushiromiya Natsuhi,"""Глава семьи ни на день не забывал о своей признательности. Правда, дорогой?"""
Ushiromiya Krauss,"""Конечно. Если бы {f:5:Беатриче} любезно не одолжила нам его на три поколения, семья Уширомия давным‐давно бы пала. Даже такой хитрый человек, как отец, ничего не смог бы сделать без средств для того, чтобы начать."""
Ushiromiya Kinzo,"""Сейчас мои деньги делают деньги, а золото, создавшее мои исходные фонды, может спать спокойно. .........Краусс. Знаешь, что я собираюсь сказать?"""
,"С того момента как Краусса позвали сюда, он догадывался о том, на что намекал Кинзо."
,Всё одолженное рано или поздно приходится возвращать. Этот день наконец настал.
Ushiromiya Krauss,"""......Да, я понимаю, отец."""
Ushiromiya Kinzo,"""{f:5:Беатриче}. Мне недолго осталось. На самом деле...... быть может, это последняя семейная конференция, которую мы проводим вместе."""
{f:5:Beatrice},"""Как малодушно. Ты, верно, шутишь."""
,Засмеялась одна Беато.
,"Она посмотрела на Баттлера, поэтому он засмеялся вместе с ней, но Кинзо и остальные молчали."
,"По‐видимому, были причины беспокоиться о здоровье Кинзо......"
Ushiromiya Kinzo,"""Естественно, я не намерен умирать прямо в следующем году. Но не думаю, что могу давать определённые обещания по поводу следующей встречи с вами. Я никогда не обещаю то, что не могу сдержать."""
{f:5:Beatrice},"""Раз ты так гордо об этом говоришь, я не в том положении, чтобы не соглашаться. ......Ты серьёзно?"""
Ushiromiya Kinzo,"""{f:5:Беатриче}. Я хочу искупить свою вину. И мне нужно искупить её, пока я ещё в добром здравии. По этой причине сегодня я принял решение."""
Ushiromiya Ange,"""......О чём говорит дедушка?.."""
Ushiromiya Battler,"""Тише. ......Он...... сейчас скажет нечто очень важное."""
,"К этому времени даже Баттлер понял, что Кинзо собирался предложить."
,"Беато, возможно, тоже поняла..."
,"В своё время семья Уширомия правила небесами, словно орёл, пока её не сокрушило Великое землетрясение Канто."
,"Орлу оторвало одно крыло, и он корчился в грязи на грани смерти."
,Тогда их спасло золотое чудо Золотой ведьмы.{n}Под её защитой орёл много лет залечивал раны.
,"И наконец орлу пришла пора покинуть гнездо, обеспеченное ведьмой......"
Ushiromiya Kinzo,"""Я верну всё золото, которое одолжила мне твоя бабушка. ......Краусс, ты ведь не возражаешь? Золото никогда не принадлежало семье Уширомия."""
Ushiromiya Krauss,"""Конечно. У меня нет возражений."""
{f:5:Beatrice},"""Точно, Краусс? Ты же инвестор. Ты мог бы всегда работать с более крупными суммами. Разве не хочешь, чтобы Кинзо передал тебе золото?"""
Ushiromiya Krauss,"""Ха‐ха‐ха‐ха... Да, с твоими словами трудно поспорить. Но договор всегда был между тобой и отцом, и золото принадлежало тебе."""
Ushiromiya Natsuhi,"""К тому же, мой муж — преемник. Так же, как отец возродил семью в своём поколении, я уверена, что благодаря моему мужу она будет процветать в его поколении. И мы добьёмся этого вместе."""
Ushiromiya Kinzo,"""Хм‐м, неплохо сказано. Так держать."""
{f:5:Beatrice},"""......Так просто отказываетесь от десяти тонн золота? Надо же, впечатляет. Что ведьма может сделать противнику, на которого не действует золотая магия?"""
Ushiromiya Kinzo,"""Я верну тебе золото. Однако это не изменит того, что семья Уширомия всегда будет в высшей степени признательна {f:5:Беатриче}, Золотой ведьме."""
{f:5:Beatrice},""".................."""
,"Вернуть золото, когда‐то одолженное Золотой ведьмой. Так просто и понятно."
,Но выражение Золотой ведьмы выглядело одиноким.
,"Энджи не понимала, почему."
{f:5:Beatrice},"""......Если возвращаете его, значит, оно вам больше не нужно. Впрочем, неважно."""
,Беато встала с дивана.
,"Она подошла к окну и посмотрела вниз на розарий, раскачивающийся на ветру."
Ushiromiya Kinzo,"""Краусс. Также я решил передать тебе и остальным своё наследство, пока ещё жив."""
Ushiromiya Krauss,"""О... отец......"""
Ushiromiya Kinzo,"""После моей смерти вы не только будете заняты похоронами, но и, как я предполагаю, Ева и остальные станут лезть к вам по поводу наследства. Если всё разделить сейчас, похороны будут менее хлопотными. ......Краусс, записывай. И, Генджи, побудь нашим секретарём. Я расскажу, как должно быть распределено моё имущество."""
,"Кинзо тут же начал объяснять, как будет разделено наследство."
,"Понимая, что ему не следует слушать этот разговор, Баттлер подошёл к окну, возле которого слонялась Беато..."
Ushiromiya Battler,"""Эй, богатый человек. Если у тебя слишком много золота на руках, буду рад облегчить ношу."""
{f:5:Beatrice},"""Золото... было бы не менее полезным, если превратить его в дрова и приготовить на них рагу."""
Ushiromiya Battler,"""Ты чего? Выглядишь заскучавшей."""
{f:5:Beatrice},"""Этот день наконец настал. ......Как‐то грустно."""
Ushiromiya Battler,"""......Грустно?"""
{f:5:Beatrice},"""Моя магия возродила семью Уширомия и создала Роккенджиму. ......И вот, семья Уширомия больше не нуждается в силе моего золота. Она взлетела, покинув гнездо моей магии."""
Ushiromiya Battler,"""Да. ......В общем‐то, так и есть."""
{f:5:Beatrice},"""Я назвала Роккенджиму островом ведьмы, своим островом."""
Ushiromiya Battler,"""......Да."""
{f:5:Beatrice},"""И теперь Роккенджима возвращает мне золото. ......Пришла пора... Роккенджиме пробудиться от моей магии."""
Ushiromiya Battler,"""..................Верно."""
{f:5:Beatrice},"""Я... знала, что эта игра будет последней. ......Но затрагивать эту тему, пусть даже таким образом...... на удивление тяжело."""
Ushiromiya Battler,"""Ты из таких людей, которые выглядят совершенно беззаботными, но на самом деле полны длительных привязанностей и сожалений."""
{f:5:Beatrice},"""Жестокие и упрямые обычно привязываются быстрее всех, а потом им одиноко."""
Ushiromiya Battler,"""Да. Вот такой ты человек."""
{f:5:Beatrice},"""......Эта игра... была для тебя и меня."""
Ushiromiya Battler,"""Было интересно. За эти шесть лет ты отполировала её до совершенства..."""
{f:5:Beatrice},"""Однажды я сравнила её с вечной пыткой для нас обоих."""
Ushiromiya Battler,"""......Вечность... самая счастливая, когда по‐прежнему можешь верить, что она вечна. Но всё должно заканчиваться. И мы должны это понимать."""
{f:5:Beatrice},"""Поэтому нам нельзя отводить взгляд."""
Ushiromiya Battler,"""Так же, как солнце всегда восходит, нет солнца, которое не садится."""
Ushiromiya Ange,"""............"""
,"Разумеется, Энджи понятия не имела, о чём говорят её брат и ведьма."
,"......Но даже в её возрасте ей казалось, что они провели вместе невероятно долгое время... и понимали друг друга так же хорошо, как супружеская пара..."
,Тогда... Беато заметила её реакцию.
{f:5:Beatrice},""".........Энджи. Когда‐то мы плели истории друг для друга. Но это время уже в прошлом. Эта игра создана не для нас, а для тебя."""
,"Они опять говорили загадками.{n}Схватив ключ, висевший на груди, Энджи посмотрела на лицо брата..."
Ushiromiya Battler,"""Нам нужно донести до тебя содержимое кошачьей коробки этого дня. ......Ключ, который я дал тебе, откроет её."""
Ushiromiya Ange,"""......Что значит...... кошачьей коробки?.."""
{f:5:Beatrice},"""Он имеет в виду этот день."""
Ushiromiya Battler,"""Чудом магии я привёл тебя в день, в который ты так хотела попасть. .........Как последняя ведьма, ты должна продолжить рассказывать историю этого дня."""
Ushiromiya Ange,"""Значит...... мне нельзя оставаться здесь?.."""
,"Энджи говорила слегка напряжённо.{n}Она поняла, что хочет сказать её брат, и нахмурилась."
Ushiromiya Ange,"""Я так долго страдала, желая вернуться на Роккенджиму 1986... И вот, я наконец здесь! Так почему ты прогоняешь меня?! Ты сказал, что я могу сама решить!"""
Ushiromiya Battler,"""Верно. Я так сказал."""
Ushiromiya Ange,"""Я не уйду. И хватит баловать меня этой странной, выдуманной игрой!.. Я хочу знать правду этого дня!"""
