Speaker,Russian (RU)
,"Оставив Энджи спать в гостиной, вернулись Генджи и остальные."
Ushiromiya Battler,"""Спасибо. Она хорошо спит?.."""
Ronoue Genji,"""Да. Она спит мирным сном."""
{f:5:Beatrice},"""Шум отсюда ведь не дойдёт до гостиной?.."""
Shannon,"""Нет. Дверь закрыта, так что вряд ли."""
Ushiromiya Battler,""".........Энджи. Сладких снов."""
{f:5:Beatrice},"""Ну что же! Достаточно торжественных прощаний! Начнём великолепный праздник, который у нас идёт по плану после вечери‐и‐инки!"""
,"Когда Беато громко хлопнула в ладоши над головой, зал ярко вспыхнул, и весь его внешний вид тут же изменился."
,Зал превратился в помещение для золотой вечеринки с порхающими золотыми бабочками и кружащими повсюду золотыми лепестками.
Ushiromiya Kinzo,"""Да, настоящая вечеринка начнётся сейчас!"""
Ushiromiya Battler,"""Именно! Что ж, отрицающий магию токсин исчез! Заходите! Вечеринка после шоу вот‐вот начнётся!"""
,С громом аплодисментов и криков в центре зала поднялось торнадо золотых бабочек.
,"К тому времени, как оно рассеялось, число лиц значительно возросло."
{f:5:Virgilia},"""Пусть ведьма будущего обретёт счастье. И пусть мы из прошлого будем вознаграждены за свои усилия."""
Ronove,"""Именно. Давайте тоже насладимся."""
{f:5:Beatrice},"""Да ладно, разве мы всё это время не наслаждались?!"""
Ronove,"""Пу‐ку‐ку‐ку. В этом мире истинный победитель — тот, кто наслаждается больше."""
{f:5:Virgilia},"""Ну же, пусть присоединятся и Семь сестёр."""
Lucifer,"""Семь сестёр чистилища на месте!"""
Leviathan,"""Поверить не могу, что игра наконец закончилась! Ува‐а‐а!"""
Satan,"""Не рыдай на празднике после вечеринки! Плакса!"""
Belphegor,"""Лорд {f:5:Баттлер}, госпожа {f:5:Беатриче}, спасибо за приглашение!"""
Mammon,"""Хочу увидеть спящее лицо шестилетней госпожи Энджи и забрать его себе!"""
Beelzebub,"""Хочу увидеть еду и забрать её себе!"""
Asmodeus,"""Тогда я хочу встретить хорошего парня и забрать его себе!"""
{f:5:Beatrice},"""Почему ты цепляешься за Баттлера, говоря это?! Прекрати, воровка!"""
Ushiromiya Battler,"""Рад вас видеть, Семь сестёр чистилища! Веселитесь!"""
Ronove,"""С их появлением в зале стало более шумно."""
Ushiromiya Kinzo,"""И что в этом плохого?! Раз уж на то пошло, шума ещё далеко не достаточно!"""
,Возник ещё один золотой циклон. Следом за этим показались трое с кроличьими ушами.
Chiester00,"""Сёстры чиесты императорской гвардии на месте!"""
Chiester45,"""Та... такая честь попасть на подобный сбор!"""
Chiester410,"""Я ещё не наигралась, чтобы заканчивать, нье. Ни‐хи‐хи‐хи!"""
{f:5:Beatrice},"""Тут я с тобой согласна. Но не бойся, ибо наша игра будет продолжаться гораздо дольше."""
Ushiromiya Battler,"""Целую вечность... внутри кошачьей коробки. Рад вас видеть, Сёстры чиесты."""
Chiester00,"""Лорд {f:5:Баттлер}, мы глубоко признательны вам за приглашение. В будущем мы постараемся высказать даже более‐"""
Ushiromiya Battler,"""Да ладно тебе, не будь такой каменной и формальной. Этим вечером мы все равны!"""
Chiester410,"""Верно, нье! До Баттлера дошло, нье, ни‐хи‐хи‐хи‐хи‐хи!"""
Chiester45,"""П‐прекрати, 410. Ты увлеклась... У нас будут проблемы!"""
Gaap,"""Хай, Риче. Давно не виделись! Ого, сколько времени прошло с тех пор, как нас здесь было так много?"""
{f:5:Beatrice},"""Случайно не с суда над Нацухи? И едва ли то можно было назвать вечеринкой!"""
Zepar,"""Если речь идёт о вечеринке!"""
Furfur,"""Даже не пытайтесь выставить нас отсюда!"""
Ushiromiya Jessica,"""......Ничего себе, да сколько их тут?"""
Ushiromiya George,"""Если они продолжат так появляться, их здесь станет больше, чем нас, людей..."""
Ushiromiya Maria,"""Теперь можешь выходить, Сакутаро!"""
Sakutarou,"""Урю!"""
Dlanor,"""Лорд {f:5:Баттлер}. Получить ваше {f:5:приглашение} было большой честью."""
,"""""Да будет известно, что это честь для нас."""""
Ushiromiya Battler,"""Привет! Рад, что вы пришли. Давно не виделись. Как дела?"""
Dlanor,"""Хорошо, спасибо. Сражаться со всеми вами всегда {f:5:веселее} всего. С меня хватит штампования {f:5:документов}."""
