Speaker,Russian (RU)
Ushiromiya Ange,"""Кто‐нибу‐у‐у‐у‐удь!!! Здесь кто‐нибудь есть?! Брати‐и‐и‐и‐ик! Ува‐а‐а‐а‐а!"""
,Энджи в рыданиях вылетела из домика для гостей.
,На этом острове ещё кто‐нибудь жив?
,"Когда она ранее проверила комнату кузенов, там никого не было."
,"Но она вспомнила, что не увидела тела Баттлера, Джорджа и Марии."
,"Она не знала, в порядке они... или же она вот‐вот встретится с ними как с трупами."
Ushiromiya Ange,"""Где они?! Где‐е‐е‐е?!! Отве‐е‐е‐е‐е‐етьте!!!"""
,Она неслась под дождём.
,"Куда? В частности, никуда."
,Потерявшаяся младшая сестра бегала кругами в поисках брата.
,Промокшая под дождём и совсем одна......
,".........В конце концов мне показалось, что я услышала из‐за куста голос своего брата."
,"Нет, не только его. Ещё я услышала голоса братика Джорджа и сестрёнки Марии."
,"Я крикнула во весь голос, но они не откликнулись."
,Хотя теперь всё хорошо. Они здесь. Всего лишь по другую сторону забора.
,Я даже слабо видела их через забор.
,"Обежав его, я оказалась возле сарая."
,"Наверное, сарай, в котором хранятся принадлежности для розария."
,Они втроём стояли перед сараем.
Ushiromiya Ange,"""Братик!.."""
,"Я закричала, но мой голос не достиг их ушей.{n}Даже если я крикнула так громко?"
,Что‐то было совершенно не так.
,"......Когда люди слышат голос, даже если они притворяются, что не слышат, их тела обычно реагируют на него."
,Но в них не было ничего подобного.
,Хотя я кричала так громко...... мой крик действительно не достиг их ушей.
,Поняв...... я сразу же замедлила бег и остановилась.
,Даже если мы вроде как в одном мире...... на самом деле мы в совершенно разных мирах.
,"Напоминало телевидение. Или, скорее, призраков?.."
,Я ясно видела их...... но для них меня не было.
,......Ведь посмотрите.
,Хотя я стою прямо перед ними...... их глаза меня не видят.
,"Если я попытаюсь прикоснуться к ним, у меня получится? ......Что если моя рука просто пройдёт насквозь..."
,"Эта мысль так меня напугала...... что я могла только потрясённо стоять на месте несмотря на то, что была к ним так близко..."
Ushiromiya Battler,"""Чёрт возьми!.. Я больше ничего не понимаю!.. Всё‐таки кто‐то пробрался на остров! И этот человек уничтожил семью Уширомия!"""
Ushiromiya Maria,"""......Сколько бы мы ни запирались, кого‐нибудь всегда убивают. ......У‐у! Всё‐таки виновата ведьма!"""
Ushiromiya George,"""Успокойтесь!.. Давайте успокоимся и подумаем. ......На этом острове нет никого, за исключением тех, кто имеет прямое отношение к семье Уширомия."""
Ushiromiya Battler,"""Не может быть!.. Мы же видели несколько убийств, невозможных ни для кого из нас!"""
Ushiromiya George,"""......Ну, да...... Но так ли это? Возможно, мы что‐то упустили."""
Ushiromiya Maria,"""Упустили?"""
Ushiromiya George,"""Например...... .........Точно, кто‐нибудь мог притвориться мёртвым! Раз мы единственные на острове, преступником должен быть один из нас. А значит, тот, кого мы считали мёртвым, на самом деле подделал свою смерть!.."""
Ushiromiya Battler,"""Но такое невозможно! Все трупы были осмотрены! Они не могли быть фальшивыми!"""
Ushiromiya George,"""Не хочется об этом думать, ...но что если осмотры трупов...... тоже были подделаны?"""
Ushiromiya Maria,"""......У‐у?.."""
Ushiromiya George,"""Скажем так. Изначально было несколько преступников. Один притворился мёртвым, а другой солгал и подтвердил смерть первого преступника. Потом преступник, притворившийся мёртвым, продолжил совершать преступления, создавая иллюзию, что на остров пробрался чужак!.."""
Ushiromiya Battler,"""Ты...... до сих пор подозреваешь, что преступник — кто‐то из семьи Уширомия?!"""
Ushiromiya George,"""......Доктор Нанджо был убит. Раз его убили, можно сказать, что он не преступник. Кроме того, осмотры врача самые надёжные."""
,"В таком случае, те, чьи смерти Нанджо подтвердил, почти наверняка мертвы."
,Кого он проверил?
,Труп Генджи.{n}Трупы Краусса и Нацухи.{n}Труп Шаннон.{n}Трупы Годы и Кумасавы.
Ushiromiya George,"""Вспомните начало и тела в столовой. Из тех шести жертв доктор Нанджо проверил только Генджи."""
Ushiromiya Maria,"""......Но разве мы не проверили остальных?"""
Ushiromiya George,"""Да, но доктор Нанджо не осмотрел их лично."""
Ushiromiya Battler,"""Что ты несёшь?! Как, чёрт возьми, наши родители могли выжить после того, как их так убили?!"""
Ushiromiya Battler,"""И вообще, ты думаешь, что говоришь, Джордж?! Разве не значит, что кто‐то из наших родителей — преступник?! Невозможно!"""
Ushiromiya Battler,"""Их убили в самом начале, да ещё и стольких!.. К тому же, как ты можешь называть наших родителей преступниками?! Я не позволю никому, даже тебе, подозревать наших родителей и клеветать на них после того, как их так убили!.."""
Ushiromiya George,""".........П‐...... прости......"""
Ushiromiya Maria,"""......Моя мама точно умерла. Значит, преступники — либо родители братика Джорджа, либо Баттлера?"""
Ushiromiya George,"""Давай не будем, Мария...... Я перегнул палку..."""
Ushiromiya Maria,"""Братик Джордж не стал бы убивать Шаннон."""
Ushiromiya Battler,"""Хватит!.. Никто из нас не убил бы нашу семью, так?!!"""
Ushiromiya Maria,"""Поэтому не думаю, что братик Джордж солгал бы о смерти своих родителей, будь они живы. ......Братик Джордж ни за что не стал бы помогать с преступлением, если бы Шаннон собирались убить."""
,"Спокойно...... будто отвечая на викторину или загадку, сказала Мария Джорджу."
,С пустым выражением... она затем повернулась к Баттлеру.
Ushiromiya Maria,""".........Баттлер, ты ведь видел трупы своих папы и мамы?"""
Ushiromiya Battler,"""Да, видел! Мы же все их видели! Столько крови, их так жестоко убили!.."""
Ushiromiya Maria,"""По‐моему, ты лжёшь."""
Ushiromiya Battler,"""А?! Почему, чёрт возьми?!!"""
Ushiromiya Maria,"""Потому что так всё сходится. ......В столовой родители Баттлера не умерли. Один из них убил тётю Нацухи и дядю Краусса, запер дверь изнутри и ждал в той комнате. ......Другой взял на себя последующие убийства."""
Ushiromiya Maria,"""......Чтобы взломать закрытую комнату домика для гостей, внутри должен был быть сообщник. Им был Баттлер. ......Это всё объясняет."""
Ushiromiya Battler,"""Х‐хва‐а‐а‐а‐а‐а‐а‐атит!!!"""
Ushiromiya George,"""Пе... перестань, Баттлер!.. Ты тоже, Мария!.."""
Ushiromiya Maria,"""Наконец‐то в моей голове все кусочки головоломки «Волки и овцы» встали на свои места. ......Преступники — семья Баттлера. У‐у. ......Верно?"""
Ushiromiya Battler,"""Ч‐что за бре‐е‐е‐е‐е‐ед?!!"""
,"{a:c:""Верно.""}"
,Позади Энджи раздался голос. Она в удивлении развернулась.
,......Все в крови...... и всё же с бодрыми выражениями... там стояли Рудольф и Кирие.
Ushiromiya George,"""Дядя Рудольф, тётя Кирие...... в‐вы в по‐"""
,"Не договорив, Джордж понял, что означало то слово, и его лицо скривилось в выражении шока и ужаса."
