Speaker,Russian (RU)
,"""А потом мы сделаем так, что среди работ, представленных на конкурс детективных романов компании Х, ещё одна великая работа Хачиджо появится под фальшивым именем..."""
,"""Разумеется, мы пойдём дальше с киноверсией и теледрамой в комплекте!.. Мы, компания Х, сочтём за честь принять вашу рукопись!.."""
Hachijo Tohya,"""А призовые деньги будут?"""
,"""Конечно!.. Весь приз за первый конкурс детективных романов компании Х — 10 миллионов иен — перейдёт к вам! И многое другое!"""
Hachijo Tohya,"""Великолепно. Вы меня заинтересовали. Поэтому я решила не писать рукопись."""
,"""""Э‐э‐э‐э?!?! Ма... мадам Хачиджо, почему‐у‐у‐у?!!"""""
,"Всё, казалось бы, шло гладко, и от её неожиданного отказа люди из издательства перевалились на диване."
Hachijo Tohya,"""Ваша авантюра гораздо интереснее написанной мной рукописи. Было бы неуместно отдавать её вам. ......Она всегда была никудышной историей. Всего лишь тем, что мои невежественные читатели ставят на полку, думая, что сумели разгадать великую загадку."""
Hachijo Tohya,"""Я надеялась, что они распознают иронию и посмеются над своей глупостью, но вы восприняли это всерьёз. Да, могу сказать, что, как писателю, мне стыдно за свой провал."""
,"""Ко‐ко‐конечно нет! Простите нас! Прошу, позвольте нам взять вашу‐!"""
Hachijo Tohya,"""......Мне не нужны деньги, но кошачья еда не помешала бы."""
,"""Кошачья еда? О... о‐о, для вашей кошки!.."""
,"""Ходил слух, что у вас есть кошка, любящая чернослив! Д‐да, как скажете!.. Скорее, принесём сюда первоклассный ассортимент чернослива!"""
Hachijo Tohya,"""Она ест только те, которые упакованы отдельно, по 200 иен за штуку. ......Такими темпами она умрёт от высокого кровяного давления. Ещё и всё время перекусывает кимчи и пряным супом мисо... С языком этой кошки явно что‐то не так."""
,Ми‐и! Кошка мяукнула с книжной полки в знак протеста.
Hachijo Tohya,"""Я не могу отдать вам эту рукопись, но почему бы мне не написать для конкурса вашей компании новую? Только я не стану писать её под своим именем. Считается, что на ваш конкурс будут отправлены тысячи рукописей. Если вам удастся вытянуть из них мою и если вы посчитаете её достойной приза, я буду рада продолжить наш разговор. ......Что скажете?"""
,"""""Х... ха‐ха! Одной чести принять вашу рукопись более чем достаточно!"""""
Hachijo Tohya,"""Вы, люди, и вправду забавны, постоянно подлизываетесь и преклоняетесь. Но на сегодня я от этого устала. Теперь уходите. Встречи с детьми человека иногда очень утомляют."""
,"""""Ха‐ха! Мы глубоко признательны за то, что вы любезно позволили нам встретиться с вами!!!"""""
,Слуга проводила людей из издательства до двери.
,"В кабинете, где наконец стало тихо, Хачиджо Тойя вздохнула, повалилась на диван и посмотрела в потолок."
Hachijo Tohya,"""Утомительно, но разговаривать с детьми человека в малых дозах не так уж и плохо."""
,"""......Для тебя хорошо порой разговаривать с людьми. ......Ты заплесневеешь, если всё время будешь оставаться взаперти."""
,Чёрная кошка спрыгнула с книжной полки и мягко приземлилась на ковёр.
,Затем её форма тихо скривилась и стала {f:5:Бернкастель}.
Hachijo Tohya,"""Да. Они однозначно могут быть интересны. Приглашая их к себе время от времени, я могу значительно облегчить скуку. ......Всё‐таки я напишу эту рукопись... когда захочу. Кажется, они даже принесут тебе подарок."""
{f:5:Bernkastel},"""Что ещё за «кошачья еда»? Как грубо."""
Hachijo Tohya,"""Что есть, то есть. ......Держи."""
,"Хачиджо взяла с полки банку, достала чернослив и подбросила его в воздух."
,"{f:5:Бернкастель} тут же превратилась обратно в чёрную кошку, поймала его в воздухе и начала жевать."
,"""......Мисс Хачиджо, ваши гости ушли."""
,"Объявила слуга после того, как постучала в дверь."
Hachijo Tohya,"""Спасибо. ......Дай знать, если он проснётся."""
,"""Как прикажете. ......Будете чай?"""
Hachijo Tohya,"""Нет. Я пока займусь написанием. Попрошу меня не беспокоить."""
,"""Да, мэм."""
,"Подождав, пока шаги слуги исчезнут вдали, Хачиджо подошла к своему столу."
,"С разбросанными страницами рукописи стол определённо выглядел так, словно принадлежал великому писателю."
{f:5:Bernkastel},"""......Век почти закончился, а ты до сих пор пишешь пером?"""
,"Сказала чёрная кошка, разорвав зубами чернослив."
Hachijo Tohya,"""Истории нужно писать чернилами. Для меня это нерушимое правило."""
{f:5:Bernkastel},"""......Сначала ты пишешь чернилами, а потом опять печатаешь всё на клавиатуре. ......Глупо делать одно и то же дважды."""
Hachijo Tohya,"""Тогда почему дети человека создают историю в своей голове, а потом снова печатают всё на клавиатуре? ......Как глупо с их стороны делать одно и то же дважды."""
{f:5:Bernkastel},"""Выходит, ты делаешь одно и то же трижды."""
Hachijo Tohya,"""......Пф‐ф...... *хи‐хи*хи‐хи*. Неплохо."""
,"Даже когда Хачиджо засмеялась, её перо уже скользило по странице."
,"Красивые буквы выводились почти так же быстро и умело, как при печати."
,......Только {y:0:Люд}{n:0:люд}и называли её творения «рукописями».
,Пером и писчей бумагой она создавала мир......{n}И тогда стрелки часов волчком вращались по кругу.
,"Свет и тени, просачивающиеся через окно, изменяли угол так быстро, что сами по себе могли сойти за стрелки часов..."
,......Она медленно провела большой Х по всем словам на бумаге.
{f:5:Bernkastel},"""......Что‐то не так?"""
Hachijo Tohya,"""......У меня плохо выходит. ......Писать рукопись для того, чтобы угодить людям, очень трудно. ......Ведь обычно я не пишу для других."""
{f:5:Bernkastel},"""Может, просто напишешь то, что хочешь сказать?.."""
,{f:5:Бернкастель} с насмешливой улыбкой свернулась калачиком на диване.
,"Обычно всякий раз, когда Хачиджо писала, она никогда не показывалась и уж тем более не разговаривала с ней."
,"Но {f:5:Бернкастель} поняла, что та скучает со своей рукописью, поэтому зевнула и заговорила."
{f:5:Bernkastel},"""Что, всё‐таки, ты пишешь?"""
Hachijo Tohya,""".........Историю для дитя человека."""
{f:5:Bernkastel},"""Для какого?"""
Hachijo Tohya,"""......Эту историю я пообещала написать мико, которая однажды читала мне."""
{f:5:Bernkastel},"""A...... Ты ещё пишешь её?"""
Hachijo Tohya,"""Я не могу придумать ничего такого, что бы её устроило."""
{f:5:Bernkastel},"""......Ауау снова сдаётся. ......Ты всегда обещаешь написать историю, а потом застреваешь до того, как закончишь, и опускаешь руки."""
Hachijo Tohya,"""Опустив руки, я бы так не беспокоилась."""
{f:5:Bernkastel},"""......С самого начала Энджи хотела только одну историю."""
Hachijo Tohya,"""Историю о единственной правде..."""
{f:5:Bernkastel},"""Энджи сказала, что хочет узнать о произошедшем в тот день. Сколько бы историй, искажающих правду, ты ни написала, она никогда не будет довольна."""
Hachijo Tohya,"""И всё же, по‐моему, мои истории гораздо интереснее единственной правды."""
{f:5:Bernkastel},"""Энджи не хочет читать интересную историю."""
Hachijo Tohya,"""......Я пообещала этому дитя человека написать для неё историю. Поэтому я пишу историю для того, чтобы угодить ей."""
