Speaker,Russian (RU)
,Шаннон и Канон стояли на страже перед дверью в Золотую Землю.
,Они спокойно и бесстрашно смотрели на жуткий флот кораблей на горизонте.
,Шаннон медленно подняла руки.
,"Канон тоже поднял правую руку, и там появилось красное лезвие."
Shannon,"""Оставайтесь там. Я запрещаю вам приближаться."""
Kanon,"""......Если приблизитесь...... я убью вас."""
,"Они видели, как одна шлюпка покинула флот и направлялась к ним.{n}Нельзя было сказать, посланник это или же первая волна."
,Шаннон и Канон внимательно наблюдали за ней...
,"Во главе шлюпки, на которой гребли козлоголовые...... стояла Эрика."
,"...Откуда у неё это? Может, строит из себя лидера флота. ......Эрика смотрела на них и агрессивно улыбалась с пиратской шляпой на голове."
Furudo Erika,"""Я пришла передать наши условия. Будут переговоры. Откройте ворота."""
,Шаннон и Канон переглянулись.
,Эту сделку предлагает Эрика. Вряд ли она будет приемлемой.
,"Но если они прогонят её, сразу же начнётся атака."
,В своём крайне невыгодном положении они хотели любыми средствами выиграть время.
,"Шаннон кивнула, и Канон стёр свой меч......"
,"В Золотой Земле шёл сильный ливень, сопровождаемый вспышками грома."
,"Поняв, что такая погода выражает их эмоции, Эрика улыбнулась ещё смелее."
,"В центре Золотой Земли... стояла беседка, окружённая золотым розарием."
,Там о чём‐то спорило множество {y:0:Люд}{n:0:люд}ей и сказочных созданий.
,"Даже не спрашивая, по их мучительным выражениям было легко предположить характер спора."
,"В конце концов, в ситуации вопроса жизни или смерти у них осталось не так уж много вариантов......"
,"В том направлении, куда вели Эрику, в ожидании стояла Беато, сопровождаемая отрядом Сестёр чиест."
,"Увидев её, Эрика, за которой следовала её козлоголовая охрана, поклонилась, но только {i:на вид} изящно."
,"Беато последовала примеру и отвесила изящный поклон, что для неё редкость."
{f:5:Beatrice},"""......Я — {f:5:Беатриче}, хозяйка Золотой Земли, Золотая и Бесконечная ведьма. ......Назови себя."""
,"Как бы намекая, что она более чем готова пройти через этот фарс, Беато смело представилась и попросила Эрику сделать то же самое."
Furudo Erika,"""Нас направили из благородного города тщательно отобранных книг великой ведьмы театра, драмы и спектакля. Я — ведьма правды, командир Библиотечного флота, преданного идее даровать книгам честь и защиту. Меня зовут Фурудо Эрика. Рада встрече."""
{f:5:Beatrice},"""Перейдём к делу?"""
Furudo Erika,"""Возрадуйтесь. Мы — Библиотечный флот, посвящённый даровать книгам честь и защиту — пришли ко всем вам с хорошими новостями. Во‐первых, я бы хотела объявить, что после тщательного отбора Книжный город признал и принял игровую доску, созданную Ведьмой Бесконечности {f:5:Беатриче}, как великую и почётную книгу."""
{f:5:Beatrice},"""Хо. Какая честь."""
Furudo Erika,"""Эта игровая доска — глубоко увлекательный и оригинальный шедевр, достойный пристального изучения. Он заслуживает быть прочитанным всеми нашими подданными. И поэтому Книжный город приказал нам оказать этой доске вечную честь и защиту."""
{f:5:Beatrice},"""Длинно и скучно. Ближе к делу."""
Furudo Erika,"""Мы требуем, чтобы вы передали всю эту игровую доску почётному Книжному городу. Так доске и её фигурам будет дарована величайшая честь и защита, какие только можно вообразить."""
{f:5:Beatrice},"""А если мы откажемся?"""
Furudo Erika,"""Вы будете привлечены к ответственности за присвоение великого культурного артефакта, который должен быть разделён среди всех наших подданных. Мы пришли уведомить вас о готовящемся нападении, которое будет совершено нами ради защиты преимуществ, являющихся законной собственностью всех подданных, а не только вашей."""
{f:5:Beatrice},"""Разве тебя не волнует, что долевая собственность всех подданных в вашем нападении может быть уничтожена?"""
Furudo Erika,"""В соответствии с защитными положениями великой библиотеки, когда преступник, виновный в присвоении культурного артефакта, возражает, что вы сейчас и сделали... С разрешения Верховного суда исполнительный флот может поставить арест выше защитных обязательств. ......Разумеется, его письменное разрешение мы уже получили."""
{f:5:Beatrice},"""Полагаю, арестовать можно живыми или мёртвыми?"""
Furudo Erika,"""Надо же. Впечатляет, что вы сумели разглядеть даже те крошечные буквы. Что ж, довольно фарса. ......Скажите свой ответ."""
{f:5:Beatrice},"""Что мы получим, приняв ваши условия?"""
Furudo Erika,"""Мы вдвоём избежим хлопот. Кроме того, ваши бравые и благородные деяния будут записаны в Книжном городе в виде славной последней главы."""
Furudo Erika,"""......Вы же понимаете? У вас нет ни шанса на победу. Это даже не битва. Вы просто будете сидеть на дне колодца и смотреть на бросаемые в вас камни."""
