Speaker,Russian (RU)
,"Величественная ведьма театра, драмы и спектакля положила перо, посмотрела в потолок и глубоко вздохнула."
,Стол был накрыт разбросанной горой исписанной бумаги.
,"Слова ложились на страницы в тонком языке высокой информационной плотности, который могли читать только великие."
,"Каждая буква этого языка переносит то же количество информации, что и несколько книг мира {y:0:Люд}{n:0:люд}ей."
,Такие буквы заполнили каждый дюйм этой огромной бумажной кипы.
,"......Она, безусловно, выписала каждую мелкую деталь некого мира."
{f:5:Featherine},""".........Да, я всё написала. Хотя, если быть точнее, я не написала всего."""
,"Она встала, села в своё любимое кресло‐качалку и какое‐то время мирно качалась."
{f:5:Featherine},"""Сколько нужно написать, прежде чем можно будет сказать, что всё написано? ......Это беспокоило меня на протяжении всех моих лет писательства. ......Приключения {y:0:Люд}{n:0:люд}ей в виде истории могут быть очень интересны. Но даже я до сих пор не знаю, когда это приключение перестаёт быть приключением."""
{f:5:Featherine},"""......Мой старый друг, которого уже нет в живых... однажды сказал, что жизнь {y:0:Человек}{n:0:человек}а — приключение от начала до конца, поэтому никогда не приходит пора опустить ручку. ......Я не согласна. Думаю, в какой‐то момент ручку всё‐таки нужно положить. Я считаю, что нужно написать историю до подходящего момента и оставить у зрителей послевкусие и мнения."""
{f:5:Featherine},"""......В общем, историю надо в нужное время положить в кошачью коробку. ......Кошачья коробка была темой этой длинной истории, так что не лучше ли воздержаться от написания её кончины и вместо этого положить историю в кошачью коробку, оставив её там?.."""
,{f:5:Фезарин}...говорила в никуда в пустом кабинете.
,"Разумеется, никто не прокомментировал её слова."
,"Но {f:5:Фезарин}, казалось, что‐то услышала.{n}Она кивнула и довольно улыбнулась."
{f:5:Featherine},"""Да, знаю. Напишу ещё немного и положу перо. ......А затем нам придёт пора прощаться."""
,"{f:5:Фезарин} повертела пальцем, показывая, что хочет затемнить комнату."
,Свет в кабинете потускнел......
{f:5:Featherine},"""Ничего если я сделаю короткий перерыв? ......А в это время моя кошка...... или, вернее, моя мико развлечёт вас......"""
{f:5:Lambdadelta},"""Ой‐ой‐ой‐ой‐ой‐ой, достала! Ты можешь обращаться с этой иглой не так неуклюже?!"""
{f:5:Bernkastel},"""......Заткнись. Если не хочешь зашивать вручную, я возьму швейную машинку."""
{f:5:Lambdadelta},"""Нет! Не надо машин! Я хочу, чтобы ты зашила вручную! Так что, прошу, будь чуть нежнее...... ой‐ой!"""
{f:5:Bernkastel},"""Будет лучше, если плюнуть."""
{f:5:Lambdadelta},"""Гья! Не начинай вдруг лизать меня!"""
{f:5:Bernkastel},"""Хм‐м, вот эта игла достаточно толстая. Будет адски больно, так что лучше закрой глаза. 5, 4, 3, 2‐"""
{f:5:Lambdadelta},"""Н‐не говори это прямо перед тем как начать!!! Б‐Берн, стой, подожди, гья‐а‐а‐а!!!"""
,"И всё же, они вдвоём действительно были близки."
,"Хотя {f:5:Лямбдадельту} жестоко расчленили в последней схватке, она выжила."
,"Но, к сожалению, осталась расчленённой."
,Поэтому {f:5:Бернкастель} иглой и нитью пришивала обратно её руки и голову.
,"Левая рука, всё ещё ожидающая возвращения на место, нетерпеливо ходила по кровати указательным и средним пальцами."
,"Остались только руки, поэтому, похоже, осталось недолго."
,"Хлопнув дверью, вернулась Эрика."
Furudo Erika,"""Я дома, госпожа! Купила кунжутную соль!"""
{f:5:Lambdadelta},"""......Почему кунжутную соль? Ты же не собираешься сыпать её в чай?.."""
{f:5:Bernkastel},"""Это игрушка Эрики. ......Эрика, ты принесла свои палочки?"""
Furudo Erika,"""Да, госпожа! У великих детективов всегда есть лупы! У Фурудо Эрики есть палочки."""
