Speaker,Russian (RU)
,Снаружи начался ливень.
,Однако в комнате кузенов было шумно и весело.
,Никто бы не обратил внимания даже если бы с неба падали копья.
Ushiromiya Battler,"""Ихи‐хи! Фул‐хаус! Получай!"""
Ushiromiya George,"""Ого. Так ты не блефовал!.."""
,Переполненные энергией кузены сидели в кругу на кровати.
Ushiromiya Jessica,"""А я‐то думала, что всякий раз, когда Баттлер ведёт себя храбро, у него мусор на руках!.."""
Ushiromiya Battler,"""Конечно, я всё это время проигрывал просто чтобы вы так подумали! Уширомия Баттлер — тот, кто по стратегии проигрывает, чтобы в итоге победить! Ихи‐хи!"""
Ushiromiya Maria,"""У‐у, Баттлер невероятен!.. У меня опять не осталось монеток."""
Ushiromiya Jessica,"""Я дам тебе пару своих. Давай вместе разгромим Баттлера!"""
,С одной колодой карт кузены смогли занять себя на несколько часов.
,"Они были так увлечены, что случайный удар молнии едва ли можно было посчитать помехой на заднем плане."
Ushiromiya George,"""Что‐то я проголодался. Интересно, ужин уже готов."""
Ushiromiya Jessica,"""Кто знает. Скоро должен. Года с остальными выложились на полную ради этого вечера."""
Ushiromiya Battler,"""Хе‐хех, а значит, можно многого ожидать. Это по случаю моего долгожданного возвращения?"""
Ushiromiya George,"""Шаннон сказала мне, что будет хэллоуинская вечеринка. В зале накроют шведский стол. Звучит потрясающе."""
Ushiromiya Maria,"""Хэллоуинская вечеринка?! Здорово, здорово, у‐у, у‐у, у‐у!!!"""
Ushiromiya Jessica,"""Хм? Да, кто там?"""
,"Раздался стук, дверь открылась, и показалась Энджи."
,Она спала в комнате родителей.
Ushiromiya Battler,"""О, Энджи! Ты проснулась."""
Ushiromiya Ange,"""Э‐э, там сказали, что пора ужинать и нам надо идти в особняк. Попросили подготовиться."""
Ushiromiya Maria,"""У‐у, у‐у, у‐у! Еда, еда~! Хочу есть!"""
,"Мария радовалась энергичнее других — возможно, потому, что была самой голодной."
,Она радостно запрыгала и соскочила с кровати.
,"Как только все остальные слезли с кровати и начали надевать обувь, появились Кирие и Рудольф."
Ushiromiya Rudolf,"""Эй, ребятня. Пора есть, так что готовьтесь."""
Ushiromiya Kyrie,"""Похоже, сегодня будет нечто особенное. Не терпится увидеть."""
Ushiromiya Maria,"""У‐у! Я знаю! Хэллоуинская вечеринка!"""
Ushiromiya Ange,"""......Хэллоуинская вечеринка?"""
Ushiromiya Maria,"""Ки‐хи‐хи‐хи‐хи! Я знаю, а Энджи не знает. Ки‐хи‐хи‐хи‐хи."""
Ushiromiya Ange,"""Мама, что за хэллоуинская вечеринка?"""
Ushiromiya Kyrie,"""Кто знает? Пойдём и посмотрим сами."""
Ushiromiya Hideyoshi,"""Все готовы? Пора идти."""
Kanon,"""Все здесь? Прошу за мной."""
Ushiromiya Rosa,"""Мария, подойди. У тебя воротник скривился."""
Ushiromiya Eva,"""А‐а, умираю с голоду. Еда — лучшая часть этих семейных собраний. Ты ведь тоже, Энджи?"""
,Ева улыбнулась Энджи.
Ushiromiya Ange,"""......Да. Умираю с голоду."""
Ushiromiya Kyrie,"""Энджи. «Я голодна», верно?"""
Ushiromiya Eva,"""*хи‐хи*. Всё хорошо. Да, ты наверняка проголодалась. У меня тоже в животе урчит."""
Ushiromiya Rudolf,"""Ладно, пойдёмте отсюда. Кажется, снаружи сильный ветер. Смотрите не потеряйте зонтики."""
Kanon,"""Дамы и господа, возьмите зонтики."""
Ushiromiya Eva,"""Вот твой, Энджи."""
Ushiromiya Ange,"""Спасибо, тётя Ева."""
Ushiromiya Eva,"""*хи‐хи*. ......А‐а, девочки такие милые. Приходи поиграть домой к тёте. Обязательно, ладно?"""
Ushiromiya Battler,"""......Похоже, тётя Ева прониклась к Энджи симпатией."""
Ushiromiya George,"""Ага. Мама очень хотела дочь."""
Ushiromiya Jessica,"""А, я тоже слышала. Думаю, она и меня обожала, когда я была маленькой."""
Ushiromiya Maria,"""Моя мама сказала, что очень хотела сына, у‐у!"""
Ushiromiya Rosa,"""Если ребёнок растёт в радости, не важно, мальчик это или девочка. Мария — мой драгоценнейший дар от Бога."""
,"Когда они вышли наружу, ветер был очень сильным."
,"Ева, нашедшая с Энджи общий язык, поделилась с девочкой зонтиком."
,"Было трудно сказать, о чём они так взволнованно болтали, но, похоже, они уже прекрасно ладили."
,"Смотря на них, Баттлер раскрыл зонтик."
,"Его младшая сестра была милой, когда прижималась к нему, но такой же милой и очаровательной, когда со счастливой улыбкой смотрела на кого‐то другого."
,Даже сильный дождь и ветер идеально подправляли их ожидание грядущей трапезы......
,Благодаря нескольким праздничным украшениям главный зал был переделан в место проведения хэллоуинской вечеринки.
,Семья Уширомия всегда ела в столовой.
,"Я впервые видел шведский стол к вечеринке, накрытый в главном зале."
{f:5:Beatrice},"""Привет, Баттле‐е‐ер! Эй, Мария! Давно не виделись!.."""
Ushiromiya Maria,"""Беато! Счастливого Хэллоуина! Шалость или угощение!.."""
{f:5:Beatrice},"""*хи‐хи*хи‐хи*. У меня есть для тебя кое‐какая конфета, но не сейчас. Ведь скоро ужин."""
Ushiromiya Rosa,"""*хи‐хи*. Спасибо, {f:5:Беатриче}. Вы как всегда прекрасно выглядите."""
{f:5:Beatrice},"""Ты тоже, Роза! Совсем не выглядишь достаточно старой для матери. Ва‐ха‐ха!"""
Ushiromiya Battler,"""Ты выпила? У тебя уши красные."""
{f:5:Beatrice},"""Хм‐м? Ну, после твоего ухода, ухи‐хи! Кинзо сказал, что купил редкий алкогольный напиток, и я не могла не попробовать!.. Ва‐ха‐ха‐ха‐ха!"""
Ushiromiya Battler,"""И это сказала та, кто говорит маленьким детям не есть конфеты перед едой..."""
Shannon,"""Прошу прощения. Госпожа {f:5:Беатриче}, вас зовёт Господин."""
,"Я увидел Кинзо, зовущего её у портрета."
{f:5:Beatrice},"""Боже. Когда дело доходит до ритуалов, он всегда одержим формальностями."""
Ushiromiya Battler,"""Наверное, что‐то по поводу ритуала возвращения золота. Для семьи Уширомия это огромный поворотный момент. Лучше подыграй."""
{f:5:Beatrice},"""Хотя из‐за этого становится грустно."""
Ushiromiya Battler,"""И всё же, ты — алхимик семьи Уширомия."""
