Speaker,Spanish (ES)
,...
Sakutarou,‘... Uryu... María... ¿no piensas responderme?...’
Ushiromiya Maria,"""..."""
Sakutarou,"‘... Uryu... entonces, ¿realmente soy... un animal de peluche?... Estoy hecho de tela y algodón... por lo que no puedo... hablar... Por lo tanto, ¿no puedo hablar con María?...’"
,"Sakutaro, con expresión triste, miró a María."
,"La cara de María estaba cubierta de lágrimas, y parecía incluso haber perdido todo sentimiento de tristeza..."
Ushiromiya Maria,"""... Uu... María puede oírte, Sakutaro... No eres un animal de peluche hecho de tela y algodón, Sakutaro. Eres... un amigo de María. Odio a Ange... Uuuuuuuuuuuu..."""
Sakutarou,"‘Uryu... ¡María, lo siento, lo siento!... ¡Uryu!...’"
,"Sakutaro se sentía culpable. Al congelar su corazón, María finalmente había sido capaz de escapar de su tristeza."
,"... Al hablarle y despertarla de su trance, había hecho que la tristeza la invadiera de nuevo..."
,"Sakutaro intentó abrazar a María, luego soltándola, y mirando inquieto su apariencia, se preguntó cómo podría animarla."
,... Probablemente su aspecto tuviera algo de cómico.
,"Al final, consiguió distraer a María de su tristeza..."
Ushiromiya Maria,"""Lo siento... Llorar ya no servirá de nada."""
Sakutarou,"‘Te peleaste con Ange, pero sigues teniendo un montón de amigos, María... No soy el único... Estamos todos aquí. Sakusuke y Sakukichi, la banda de animales, y muchos, muchos más...’"
,"María miró a los peluches situados en su almohada, que estaban colocados de forma que parecían tener una tranquila charla."
Sakutarou,"‘... Todos ellos... se preocupan por ti, María. Están discutiendo y discutiendo sobre cómo animarte, ¿sabes?...’"
Ushiromiya Maria,"""... ¿No se... irán... como Ange?..."""
Sakutarou,‘No. Siempre estaremos juntos.’
Ushiromiya Maria,"""... ¿En serio? Solo están con María en casa. No podemos salir juntos cuando no está mamá, no pueden ir a la escuela."""
Sakutarou,"‘Se supone que no debes llevarnos a la escuela, pues te meterás en problemas si los profesores lo descubren... Pero si nadie lo descubre, podemos estar juntos en cualquier momento.’"
Ushiromiya Maria,"""... Sakutaro, eres enorme, sería fácil verte."""
Sakutarou,"‘Entonces puedes llevar a alguno de los pequeños, que son lo suficientemente pequeños... Por ejemplo... ¿Qué tal ellos? Si te llevas a tus amigos de la banda del bosque... mira, son tan pequeños que puedes esconderlos en el bolsillo e ir al colegio con ellos.’"
Ushiromiya Maria,"""... Hay muchos en la banda. No caben en el bolsillo de María."""
,Recolectó todas las piezas de la banda del bosque que estaban esparcidas por la cama.
,"Había casi tantas piezas como en un juego de ajedrez, así que probablemente sería imposible meterlos a todos en su bolsillo..."
Sakutarou,"‘En ese caso, siempre puedes llevar solo a amigos especialmente cercanos... Puedes llevar a las cuatro conejas, que son con las que mejor te llevas de la banda del bosque.’"
Ushiromiya Maria,"""... Entrarían las cuatro en el bolsillo de María... Sí. Y así, no serán descubiertas."""
Sakutarou,"‘De esta manera, ni en la escuela estarás sola, María. Esos amigos te acompañarán a donde incluso yo no pueda ir.’"
Ushiromiya Maria,"""... Sí... Tal vez... no sea tan solitario... Tal vez María pueda aguantar... hasta volver a casa desde la escuela..."""
Sakutarou,"‘Mientras no seamos descubiertos por el profesor y mamá, podemos estar contigo en cualquier momento. Así que estemos juntos, juguemos siempre juntos. No te dejaremos sola, María. ¡Uryu!’"
,La expresión de María se iluminó un poco al fin.
,"... Es cierto. Al principio, el mundo de María no tenía a Ange."
,"Aun cuando no estaba Ange, era divertido estar con todos ustedes."
,"Y aun así, todo se volvió triste al faltar Ange, que llegó al final."
,... Lo único que ha ocurrido es que María ha vuelto a su mundo anterior a la entrada de Ange.{n}... Así que no hay que lamentarse.
Ushiromiya Maria,"""... Sí. No hay soledad. Sakutaro y todos los demás están con María."""
Sakutarou,"‘¡Uryuu! ¡Te quiero~, María!...’"
Ushiromiya Maria,"""María no volverá a permitir la entrada de ningún {y:0:Humano}{n:0:humano} a su mundo... Mariage Sorcière es una alianza exclusiva entre María y {f:5:Beatrice}."""
