Speaker,Spanish (ES)
{f:5:Virgilia},"{a:c:Tierra a la tierra.{n}Cenizas a las cenizas, polvo al polvo. Ilusiones a las ilusiones.{n}Y sueños a los sueños.}"
{f:5:Virgilia},{a:c:Un sueño es algo que está dibujado en la arena entre el paso y el retroceso de las olas.}
{f:5:Virgilia},{a:c:Algo tan frágil que se limpia cada vez que las olas retroceden.}
{f:5:Virgilia},"{a:c:Por esta razón, las personas sin corazón pueden burlarse del dibujo y llamarlo inútil.}"
{f:5:Virgilia},"{a:c:Sin embargo, ninguna ola volverá para borrar el sueño que ella dibujó.}"
{f:5:Virgilia},"{a:c:Su último y maravilloso sueño no desaparecerá, por toda la eternidad.}"
{f:5:Virgilia},"{a:c:Vamos, trata de recordar.}"
{f:5:Virgilia},"{a:c:Recuerda cómo era el sol de la tarde de ese día cálido de primavera,{n}para que su luz jamás se vuelva a apagar.}"
{f:5:Virgilia},"{a:c:Después de todo, era algo tan maravilloso...}"
{f:5:Virgilia},"{a:c:{m:-5:—}—Testigo de tu último sueño,{n}{e:080:{f:5:Publius Virgilia Maro}}}"
,"Los sospechosos fueron reunidos en una habitación, y muchos Inquisidores reportaban los resultados de su investigación."
,"Sus uniformes se parecían mucho a los del Eiserne Jungfrau, pero eran ligeramente diferentes. También eran diferentes las insignias que representaban su especialidad."
,Luego vino el sonido de alguien aplaudiendo una vez.{n}Era la Inquisidora en jefe.
,Era su señal de que todo el razonamiento se había completado.
,"""Hágase saber que ya no hay duda alguna. La anterior lógica ha demostrado la inexistencia de su coartada."""
,Al otro extremo de su dedo índice estaba una sirvienta temblando con los ojos asustados.
,"Su nombre era— no, eso no era importante."
,"Lo que importa ahora es que ella podría haber entrado en el estudio cerrado con llave en donde se encontraba la víctima cuando ella quisiera, y además, se había demostrado que su supuesta coartada en el momento del crimen era contradictoria."
,"Temblando, la sirvienta trató de continuar su ilógica defensa, pero todos sus argumentos habían sido destruidos."
,"""Con esto, hemos encontrado pruebas suficientes del quién y el cómo. Hágase saber que su posición como culpable es un hecho inquebrantable."""
,"""¡D-Debes estar bromeando!... ¡¿P-P-Por qué yo mataría al amo, a quien tanto quería y respetaba?!... ¡No tengo motivos ni razones!..."
,"""... Quién y cómo lo hizo. Hágase saber que estos dos son todo lo que es necesario establecer. Permítaseme hablar... para informarle lo siguiente. Hágase saber que los motivos no son necesarios en los misterios."""
,La Inquisidora habló friamente.
