Speaker,Spanish (ES)
,"Frente a la puerta de la Tierra Dorada, Shanon y Kanon permanecían firmes como guardianes."
,"Sin mostrar temor ante la ominosa flota que rodeaba el horizonte, mantenían su mirada fija y desafiante."
,Shanon levantó lentamente ambas manos.
,"Kanon también alzó con calma su brazo derecho, materializando una espada de estela roja."
Shannon,"""Deténganse ahí mismo. No permitiremos que se acerquen más."""
Kanon,"""... Si se atreven a acercarse más... los cortaré."""
,"Desde la gran flota, se podía ver una embarcación acercándose.{n}No estaba claro si era un emisario o un explorador."
,Shanon y Kanon observaban con cautela...
,"En la proa de aquella barca, remada por cabras, Erika se alzaba con altivez."
,"... ¿De dónde habría sacado eso? Tal vez estaba tratando de actuar como la líder de la flota... Llevaba algo parecido a un sombrero pirata y, mientras nos miraba fijamente, esbozaba una sonrisa desafiante."
Furudo Erika,"""He venido con un ultimátum. Habrá margen para la negociación. Abran las puertas."""
,Shanon y Kanon intercambiaron miradas.
,Si venía de Erika... Seguramente no sería nada bueno.
,"Sin embargo, si les cerraban la puerta en las narices, comenzarían a atacar de inmediato."
,"Considerando la desventaja absoluta, ahora lo único que deseaban era ganar tiempo, de cualquier forma posible."
,"Cuando Shannon asintió, Kanon hizo desaparecer su espada..."
,"En la Tierra Dorada, caía una fuerte lluvia acompañada de truenos ocasionales."
,"Erika percibió que ese clima reflejaba sus emociones, y sonrió con aún más descaro."
,La Tierra Dorada tenía como centro una pérgola por un jardín de rosas doradas.
,"En la pérgola se habían reunido tanto {y:0:Humanos}{n:0:humanos} como habitantes del mundo fantástico, enfrascados en algún tipo de discusión."
,"Aunque no se escuchara el contenido, las expresiones amargas en sus rostros permitían imaginar de qué trataba la discusión."
,"En una situación tan desesperada como esta, las opciones que les quedaban no eran muchas..."
,"En el camino de Erika, Beato la esperaba acompañada de las Hermanas Siesta."
,"Erika, escoltada por los guardias cabra, reconoció su presencia e hizo una reverencia impecable, aunque solo en apariencia."
,"Beato correspondió con una reverencia igualmente elegante, algo que rara vez hacía."
{f:5:Beatrice},"""... Soy la dueña de la Tierra Dorada, la Bruja Interminable y Dorada, {f:5:Beatrice}... Preséntate."""
,"Con una sonrisa desafiante, Beato se presentó, como si estuviera dispuesta a seguirle el juego, y le pidió a Erika que hiciera lo mismo."
Furudo Erika,"""He sido enviada desde la Noble Ciudad de Libros Cuidadosamente Seleccionados de la Gran Bruja del Teatro, el Drama y la Expectación. Soy la comandante de la flota de bibliotecarios que otorgan honor y protección a los libros, y Bruja de la Verdad. Mi nombre es Furudo Erika. Es un placer conocerte."""
{f:5:Beatrice},"""Escucharé lo que tienes que decir."""
