Speaker,Spanish (ES)
,"La majestuosa Bruja del Teatro, el Drama y la Expectación dejó su pluma, miró hacia el techo, y suspiró profundamente."
,El escritorio estaba cubierto con una montaña de papeles desordenados.
,Las palabras llenaban las páginas en un fino idioma de alta densidad de información que solo los más grandes podían leer.
,Cada letra de este idioma transmitía suficiente cantidad de información como varios libros en el mundo {y:0:Humano}{n:0:humano}.
,Estas letras llenaban cada centímetro de esta enorme pila de papel.
,"... Seguramente, había escrito cada pequeño detalle de algún mundo."
{f:5:Featherine},"""... He escrito todo lo que hay que escribir. No, para ser precisa, realmente no lo he escrito todo."""
,"Se levantó, se sentó en su mecedora favorita, y la meció pacíficamente durante un rato."
{f:5:Featherine},"""¿Cuánto debe escribir alguien antes de poder decir que lo ha escrito todo?... Eso es algo que me ha molestado durante todos mis años como escritora. Las aventuras de los humanos pueden ser muy interesantes como cuentos. Sin embargo, incluso yo sigo sin saber cuándo esa aventura deja de ser una aventura."""
{f:5:Featherine},"""... Mi viejo amigo, que ahora ya no está... una vez dijo que la vida de un humano es una aventura desde el principio hasta el final, así que nunca hay un momento correcto para dejar de escribir... No estoy de acuerdo. Pienso que uno debería dejar la pluma en algún momento. Creo que uno debería escribir un cuento hasta un momento apropiado, y entonces dejar el regusto y las opiniones a las mentes de los espectadores."""
{f:5:Featherine},"""En resumen, el cuento debe ser puesto dentro de la caja del gato en el momento apropiado. La caja del gato ha sido el tema principal de este largo cuento, así que ¿no es mejor abstenerse de escribir su final, y en vez de eso ponerlo en la caja del gato y dejarlo ahí?..."""
,{f:5:Featherine}... hablaba sola dentro del estudio vacío.
,"Por supuesto, nadie comentó sobre sus palabras."
,"Sin embargo, {f:5:Featherine} pareció oír algo.{n}Ella asintió y sonrió satisfecha."
{f:5:Featherine},"""Sí, lo sé. Escribiré un poco más, y dejaré la pluma... Entonces, será el momento de decirnos adiós."""
,"{f:5:Featherine} levantó un dedo y lo hizo girar en el aire, señal de que quería oscurecer la habitación."
,Las luces del estudio se apagaron...
{f:5:Featherine},"""¿Te importaría dejarme descansar un rato? Durante ese tiempo, mi gata... o mejor dicho, mi miko te entretendrá..."""
{f:5:Lambdadelta},"""Owowow{0}ow{0}ow{0}ow{0}ow{0}ow{0}ow, ¡Apestas! ¡¿No puedes ser menos torpe con la aguja?!"""
{f:5:Bernkastel},"""... Cállate. Si no quieres que lo cosa a mano, usaré una máquina de coser. *Coser*coser*coser*."""
{f:5:Lambdadelta},"""¡No! ¡Máquinas no! ¡Quiero que lo hagas a mano! Así que, por favor, un poco más de cuidado... ¡owow!"""
{f:5:Bernkastel},"""Se pondrá mejor si escupes encima."""
{f:5:Lambdadelta},"""¡¡Gyah!! ¡No empieces a lamerme tan de repente!"""
{f:5:Bernkastel},"""Creo que esta aguja debería ser lo suficientemente gruesa. Esto va a doler como mil demonios, así que será mejor que cierres tus ojos. Cinco, cuatro, tres, dos—"""
{f:5:Lambdadelta},"""¡¡N-No digas eso antes de empezar!! Ah, B‐Bern, para, para, ¡¡gyaaah!!"""
,"Pero a pesar de todo esto, realmente las dos eran muy cercanas."
,"Aunque {f:5:Lambdadelta} había sido brutalmente desmembrada en la batalla final, había sobrevivido."
,"Pero... desafortunadamente, aún seguía desmembrada."
,Así que {f:5:Bernkastel} estaba cosiendo sus brazos y su cabeza de nuevo con una aguja y un hilo.
,"El brazo izquierdo, que aún estaba esperando a volver a ser unido, caminaba por la cama impacientemente con su dedo índice y su dedo medio."
,"Solo quedaban los brazos, así que parecía que esto acabaría pronto."
,"Entonces, Erika volvió, abriendo la puerta de un portazo."
Furudo Erika,"""¡¡Ya estoy en casa, mi ama!! ¡¡He comprado algo de sal de sésamo!!"""
{f:5:Lambdadelta},"""... ¿Por qué sal de sésamo? No estarás planeando ponerla en el té, ¿no?..."""
{f:5:Bernkastel},"""Es el juguete de Erika... ¿Erika, has traído tus palillos chinos?"""
Furudo Erika,"""¡¡Sí, mi ama!! ¡Los grandes detectives tienen sus lupas! Furudo Erika tiene sus palillos chinos."""
{f:5:Bernkastel},"""¿Estás lista? Vierte sal de sésamo y usa esos palillos para separar las semillas de sésamo de la sal."""
Furudo Erika,"""¡¡Sí, mi ama!! ¡¡Por favor observe mi fantástica habilidad sujetando palillos chinos!!"""
{f:5:Bernkastel},"""Sí, buena suerte... Cuando acabes, asegúrate de dejarlo todo de nuevo en la bolsa."""
{f:5:Lambdadelta},"""... ¿Aún sigues abusando de ella de esa forma?"""
{f:5:Bernkastel},"""Qué maleducada. Solo estoy jugando con ella... Ah, sí, Erika. El cartero vino con una carta para ti."""
Furudo Erika,"""¡¿Una carta?! Siento un crimen llamándome. ¡No me lo digan, adivinaré quién me la ha enviado!"""
{f:5:Bernkastel},"""... El sello es del Cielo. Probablemente es de Dlanor. Me sorprende que sigan en contacto... Solo con la presencia de este sello, este razonamiento es posible para {f:5:Bernkastel}."""
Furudo Erika,"""¡¡Ey!! ¡No puede hacer eso, mi ama! ¡Van Dine Regla #9! ¡Queda prohibido que haya más de un detective!"""
{f:5:Bernkastel},"""... Entonces será mejor que te vayas. Hasta la vista, Gran Detective Erika."""
Furudo Erika,"""¡¡Nooooo, mi amaaaaa!! ¡Soy la Bruja de la Verdad, {f:5:Erika}, para servirle!"""
{f:5:Lambdadelta},"""... Aún no tengo claro si se quieren o se odian."""
{f:5:Bernkastel},"""Por supuesto que nos odiamos. Tú eres la única a la que quiero."""
Furudo Erika,"""¡¡C-Cómo puede decir eso, mi ama!! ¡Lady {f:5:Lambdadelta}! ¡Parece que no hay espacio suficiente para las dos!"""
{f:5:Lambdadelta},"""¿Lo dices en serio?... ¿Estás desafiando a la gran {f:5:Lambdadelta}?"""
,Erika sonrió y sujetó el brazo izquierdo de {f:5:Lambdadelta} que estaba andando por la cama.
Furudo Erika,"""Aquí está el brazo de Lady {f:5:Lambdadelta}. Y aquí está el final de su brazo cortado."""
,Erika sonrió y movió sus dedos de forma amenazante.
{f:5:Lambdadelta},"""Espera... no estás pensando en..."""
Furudo Erika,"""Veamos si mi rival puede soportar esto."""
{f:5:Lambdadelta},"""¡¡Gyah, gyajjajajajajajaajaja, ahhhyajajajaja, detente, eso hace cosquillas!!"""
,"Ella hizo cosquillas en el interior del brazo izquierdo de {f:5:Lambdadelta}. Aparentemente, tenía muchísimas cosquillas ahí."
,"Por cierto, de la parte abierta del brazo de {f:5:Lambdadelta} se asomaba un lindo, esponjoso, algodón azucarado blanco."
,"Aparentemente, su cuerpo estaba hecho de dulces y caramelos, con algunas especias dentro."
,"Pueden estar tranquilos, en esta escena no hay nada remotamente aterrador."
,"Erika se puso a correr, gritando ""¡He vencido a {f:5:Lambdadelta} yo sola, igual que mi ama!"" {f:5:Lambdadelta} gruñía y bufaba. {f:5:Bernkastel} siguió cosiendo, con una expresión exasperada."
,Era una escena muy pacífica...
{f:5:Bernkastel},"""¿Y bien? ¿Qué dice la carta?"""
{f:5:Lambdadelta},"""¿Hay algo sobre cómo les va a Dlanor y los otros?"""
Furudo Erika,"""Gertrude-san ha sido ascendida a Inquisidora en pleno derecho o algo así. Bueno, bien por ella, sí. Ooh, además de su gato, ahora también tiene un {ruby:wanyan:miauguau}."""
{f:5:Bernkastel},"""... ¿Qué es un miauguau?..."""
{f:5:Lambdadelta},"""¿Qué? ¡¿No lo sabes?! ¡No te enteras de nada! ¡Han estado de moda últimamente! Incluso yo conseguí una hembra miauguau hace unos días. ¡También puedes hacer un increíble konpeitou con ellos!"""
{f:5:Bernkastel},"""... No te entiendo en absoluto, pero me aseguraré de no probar tu comida casera en el futuro..."""
Furudo Erika,"""Cornelia-san está... ohh. Descubrió que ser buena en las artes marciales te da ventaja en los exámenes para Inquisidor, así que ha empezado a practicarlas. Es bastante difícil imaginarla haciendo eso, ¿cierto?"""
{f:5:Lambdadelta},"""Bueno, hay toda clase de artes marciales. ¿Qué está haciendo?"""
Furudo Erika,"""Al parecer, kickboxing y Kenpo Chino. ¿Podría ser la influencia de Eva?"""
{f:5:Bernkastel},"""... ¿Verdad que parece que ella lucharía bastante bien sosteniéndose sobre una pierna?"""
{f:5:Lambdadelta},"""Cierto. Alguien debe haberla endurecido haciéndola ir a la pata coja todo el rato."""
Furudo Erika,"""También habla sobre Will-san. ¡Ah, qué sorpresa! ¡Parece que Will-san tuvo éxito en el mercado de divisas, y ahora está disfrutando de una vida de ocio con los ingresos de sus inversiones inmobiliarias!... También parece que ha empezado a jugar al badminton últimamente."""
{f:5:Bernkastel},"""... Me apuesto algo a que alguien lo entrenando infernalmente."""
{f:5:Lambdadelta},"""Seguramente su trasero estará hinchado a estas alturas."""
{f:5:Bernkastel},"""Y, ¿qué pasa con Dlanor?"""
Furudo Erika,"""Como siempre, está estampando cosas, estampando cosas, sellando cosas, aprobando cosas, y {i:a veces} incluso firmando cosas."""
Furudo Erika,"""Humildemente nos pide que provoquemos un crimen en su distrito, ya que se le asignaría a ella personalmente."""
{f:5:Bernkastel},"""Bueno, ¿y por qué no lo hacemos? Un crimen suena divertido."""
{f:5:Lambdadelta},"""Dicen que los crímenes suceden donde sea que vaya un detective."""
Furudo Erika,"""Bueno, uno de estos días. Si me apetece, pasaré por allí a molestarla. Oh, y también hay algo sobre las Hermanas Siesta."""
{f:5:Bernkastel},"""... Espera. No quiero oírlo todo de golpe. Esperemos un poco para darle un poco de efecto dramático... De acuerdo, con eso bastará."""
{f:5:Lambdadelta},"""Ah, ¡por fin tengo de nuevo mi brazo derecho! ¡Ahora cose el izquierdo, por favor!"""
{f:5:Bernkastel},"""Bebamos algo de té primero... Erika, trae una lata de té negro y el bote de ciruelas secas."""
Furudo Erika,"""¡Sí, mi ama!"""
,"Con este viaje particular acabado, las brujas viajeras reposaron sus alas."
,... Todo era para poder salir en un nuevo viaje en busca del siguiente Fragmento.
,"Un corto descanso entre viajes, acompañado por el agradable aroma del té negro..."
{f:5:Lambdadelta},"""¿A dónde irás esta vez?"""
{f:5:Bernkastel},"""... Si vas al norte, yo iré al sur."""
{f:5:Lambdadelta},"""Entonces si vas al este, yo iré al oeste."""
{f:5:Bernkastel},"""... Espero que podamos encontrar otro cuento encantador como este."""
{f:5:Lambdadelta},"""La próxima vez, espero que no actúes de nuevo como la villana, Bern."""
{f:5:Bernkastel},"""¿Eso piensas? Ser la mala ha sido bastante divertido."""
{f:5:Lambdadelta},"""... Me pregunto... qué clase de cuento encontraremos después de este."""
{f:5:Bernkastel},"""Y en qué clase de cuento nos encontraremos de nuevo."""
{f:5:Lambdadelta},"""Para una pareja de amantes, el Mar de Fragmentos es pequeñito."""
{f:5:Bernkastel},"""Niños del Paraíso."""
{f:5:Lambdadelta},"""El Mar de Fragmentos es realmente enorme."""
{f:5:Bernkastel},"""Espíritu en el Caparazón."""
{f:5:Lambdadelta},"""Nos volveremos a ver. Cuando algo más llore."""
{f:5:Bernkastel},"""... Suena bien. Hagamos eso."""
,"{a:c:""""Nos volveremos a ver. Cuando algo más llore.""""}"
,{a:c: Ajjajajajajajajajajaja...}
,{a:c: Las voces felices de las brujas se desvanecieron en la distancia.}
,"{a:c: Hasta la vista, todos.{n} Nos volveremos a encontrar, cuando algo más llore.}"
