Speaker,Steam (ST)
Ushiromiya Kinzo,"""......I see. So it has begun."" "
Ronoue Genji,"""...Yes."" "
Shannon,"""............"" "
,"Even though Kinzo had received news of six deaths, his emotions did not waver. "
,"The expression on his face as he gazed out the window...was a smile, as though his opponent in a chess game had just made a spectacular move. "
,...It was hard to imagine that such an expression could ever appear on a father who had lost so many children at once. 
Ronoue Genji,"""...Gohda and Kanon followed Rosa-sama's orders and went to call the police. After that, she ordered us to follow your orders, Master... ...What shall we do?"" "
Ushiromiya Kinzo,"""......This island has already been cut off from the real world. Mere phones will serve no purpose."" "
Ronoue Genji,"""Should I have them stop?"" "
Ushiromiya Kinzo,"""...Until the roulette is finished, what they do to pass the time is up to them. Let them do as they please."" "
Ronoue Genji,"""......Yes sir."" "
Shannon,"""...Umm, ...what we should tell Rosa-sama?"" "
Ushiromiya Kinzo,"""Didn't I say they should pass the time as they pleased?!! They can sing if they want, dance if they want! They're even free to hang themselves by the neck or jump into a boiling kettle!! Until 13 people die, they can spend their time as they like. If that's too boring, then they can wonder about whether 6 times 9 is 42, or something!! That's the answer to the mystery of humanity and the universe!!"" "
Shannon,"""Y-Yes...! M-My apologies...!"" "
,Shannon cowered in fright at this sudden rage. ...Genji made a gesture as though telling her not to speak out of turn. 
,Shannon couldn't help but regret saying too much... 
Ushiromiya Kinzo,"""However, ...you two are also free to do as you wish. ...Genji. And Shannon too. You have done well serving me until today."" "
Shannon,"""Y-Your words are too good for me, ...but, umm......"" "
Ronoue Genji,"""......We are furniture who have sworn to serve the Master. ...We stand ready to serve you no matter the time. ...Until the very end."" "
Ushiromiya Kinzo,"""...... ............I want to tell the two of you... about everything. ......Shannon. I shall be writing a will. Please copy what I say. ...Genji, please, my usual drink."" "
Shannon,"""Huh...? ......Y-Yes sir...!"" "
,"Nanjo often recommended that Kinzo write a will because of his health, but each time he had, Kinzo had gone mad with rage. "
,"...Ever since then, you'd think ""will"" would've been the word Kinzo hated most. "
