Speaker,Steam (ST)
,Rosa returned to the lobby. 
,"It was still her turn to rest, but her expression made it look as though she couldn't sleep deeply with all this tension. "
Ushiromiya Rudolf,"""...Take it easy and lie down. Keep this up and you'll have it pretty rough later on."" "
Ushiromiya Rosa,"""Thanks for the concern. I just couldn't fall asleep. ...I've already taken a shower, so I'm good for now. The next person can rest."" "
Ushiromiya Natsuhi,"""What about you two, Kyrie-san? Rudolf-san?"" "
Ushiromiya Kyrie,"""...What will we do, Rudolf-san? Shall we rest?"" "
Ushiromiya Rudolf,"""You can rest. I'll stay awake. That's the only manly thing I can do right now."" "
Ushiromiya Kyrie,"""Then I'll stay awake. Staying awake with my husband is the only womanly thing I can do right now."" "
Ushiromiya Natsuhi,"""...*giggle* You two truly are close."" "
Ushiromiya Kyrie,"""You should talk. *giggle*."" "
Ushiromiya Krauss,"""It seems Eva and Hideyoshi-san are out cold. It appears that, unlike Rosa, they can't fight against their age."" "
,"As though in response to those words, the door to the hall clunked open. "
,Eva and Hideyoshi returned from the guest room. 
Ushiromiya Eva,"""That's none of your business. ...Oh, Rosa, are you sure you don't need to rest yet?"" "
Ushiromiya Rosa,"""You should talk, Nee-san. Why not take it easy and sleep?"" "
Ushiromiya Eva,"""......I just can't get to sleep. Taking a shower shook my drowsiness off. Rudolf, Kyrie-san, you can rest if you want."" "
Ushiromiya Rudolf,"""Sure, thanks. Well, for now, let's say I appreciate the sentiment. Why don't you go first, Aniki?"" "
Ushiromiya Krauss,"""How kind of you. But I cannot rest first. That is the most I can do as the oldest brother right now."" "
Ushiromiya Natsuhi,"""Do not worry, the two of us will stay awake until the very end."" "
Ushiromiya Kyrie,"""...*giggle* ......More importantly, Eva nee-san, are you okay? You look a little pale."" "
Ushiromiya Hideyoshi,"""...Come to think of it, you're right. ...Hmmm? Could it be a bit of a fever?"" "
,Hideyoshi put his hand up against Eva's forehead. ...It seemed that Eva wasn't feeling her best. 
Ushiromiya Rudolf,"""That goes without saying. ...That's what happens you break your sleep cycle at your age. ...Is it a cold?"" "
Ushiromiya Krauss,"""...Natsuhi, could you call Doctor Nanjo down?"" "
Ushiromiya Natsuhi,"""Y-Yes."" "
Ushiromiya Eva,"""...I'm fine, you don't have to make such a fuss over it. I have some medicine, so I'll be okay. ...I tend to get fevers when I'm tired. Don't worry."" "
Ushiromiya Rosa,"""...Nee-san, take it easy, okay?"" "
Ushiromiya Eva,"""......Thank you. ...If the siblings gathered without me around, I get the feeling everyone would start talking behind my back. ...It's a persecution complex from long ago. Sorry, okay?"" "
Ushiromiya Rosa,"""......Well, I won't say anything. As if I'd say bad things about you behind your back, Nee-san."" "
Ushiromiya Eva,"""............"" "
Ushiromiya Rosa,"""...What is it? Nee-san, you've been acting strange for a while. Shouldn't you get a little rest now?"" "
Ushiromiya Eva,"""......You're right. Just thinking about {i:raising money by March} makes my headache hurt even worse."" "
Ushiromiya Rosa,"""That isn't good. Rest. ...And I'll hold back too, so that your headache doesn't get worse. I've had a bad headache myself for a while now."" "
Ushiromiya Eva,"""......Thank you. ...Well then, I'll take those words to heart and rest for a while."" "
Ushiromiya Hideyoshi,"""What is it, Eva? Why so angry all of a sudden? ...Sorry, please let us rest a bit longer. Sorry, sorry..."" "
,"After apologizing several times as though praying, Hideyoshi followed Eva out of the lobby. "
Ushiromiya Krauss,"""......I don't like this atmosphere. It's all so strained."" "
Ushiromiya Kyrie,"""That's no surprise. ...There was a murder early this morning. And since then, we've been eating canned food and carrying guns around. ...It's natural that we'd start to build up stress."" "
Ushiromiya Rosa,"""I wonder if the kids up there are building up stress too. ...I'm worried about Maria. She tends to throw tantrums at times like this."" "
,"At that moment, they heard the sound of wild footsteps coming from the second floor. The guesthouse wasn't a cheap building, so they wouldn't normally have heard the sound of footsteps. "
,It was like the sound of someone stamping their feet in frustration. 
,"And an instant later, accompanied by what seemed to be the sound of her running out into the second floor hallway, they could hear Maria calling uu-uu-uu- over and over again, sounding displeased. "
,"Rosa grabbed her head, her hair flying, and she voicelessly moaned in anguish... "
,"The adults conscientiously turned their backs to her, pretending not to notice. "
,The noisy clamor came down from the second floor and flew into the lobby. 
,"It was Maria, who was sobbing, along with the other children and Nanjo. "
,"...In other words, they had all come downstairs because of Maria's tantrum. "
,Rosa couldn't hide her dizziness at this new annoyance her daughter was bringing to everyone... 
Ushiromiya Jessica,"""S-Sorry, Aunt Rosa... We tried to calm her, but she just wouldn't listen..."" "
Ushiromiya Maria,"""Uu-uu-uu-!! Uu-uu-uu-!! Waaaaaaaaaaaaaaaaahhh!!"" "
Ushiromiya Rosa,"""...What is it, Maria? Could you be a little more quiet? Everyone's watching."" "
Ushiromiya Battler,"""It's that rose of hers from the rose garden... She suddenly started saying that she was worried about it."" "
Ushiromiya George,"""...I think she's half asleep. She suddenly woke up and started going on about how worried she was about that rose. ......Maria-chan, calm down. That was just a dream..."" "
Ushiromiya Maria,"""Uu-uu-uu-uu-!! That rose belonged to {f:5:Beatrice} and me!! So if I don't take care of it, {f:5:Beatrice} is gonna get mad!! It might get snapped off again! Uu-uu-uu-! Uu-uu-uu-uu-!!"" "
Ushiromiya Rosa,"""......Haah...! ...Listen, I'm {i:telling} you to quiet down a bit, {i:alright}?!?!"" "
,The sudden rise in the tone of Rosa's voice surprised the children. 
,"But Maria's crying just grew louder, and her tantrum just grew fiercer. "
Nanjo Terumasa,"""R-Rosa-san, you mustn't scold a child so unsparingly... ...At times like this, it's best to give them some warm milk or something."" "
Ushiromiya Krauss,"""...Is there any here?"" "
Ushiromiya Natsuhi,"""The milk we just had for breakfast is empty now..."" "
Ushiromiya Rudolf,"""Doesn't anyone have a sedative to use on kids...? You know, those silver pill things?"" "
Ushiromiya Rosa,"""Of course I do!! Yes, I'll search for them now and make her take them!!"" "
,"Without hiding her displeasure, Rosa grabbed the handbag that had been set on the sofa and fished around for some medicine. ...It seemed she had brought some child-use sedatives for Maria's tantrums. "
,"She found it and opened the bottle, but it must have been empty. Irritated, Rosa shook the bottle several times, but that didn't change the fact that nothing was in there. "
,"...As she did that, Maria's crying grew even more intense... "
,"At that time, Eva was lying on her bed, covered by the bedding. "
,"Hideyoshi returned from the washroom, folding a handkerchief soaked in water. "
Ushiromiya Hideyoshi,"""...Whoo, this is one nasty fever... ...I'll bet it's the poisonous air at this family conference that got you... ...For now, you can forget all about the other relatives. ...Okay?"" "
,"As Hideyoshi spoke to her kindly, he set the soaked handkerchief on Eva's burning forehead. "
,Eva rested her own hand on top of his. 
Ushiromiya Eva,"""......Your hand... feels nice and cool."" "
Ushiromiya Hideyoshi,"""If my hand feels nice, your fever must be pretty bad. Don't worry, the medicine'll start workin' soon. Plus, my hand is a magic hand. I just put it against your forehead like this, and any fever'll melt right away."" "
Ushiromiya Eva,"""You're right. ...Your hand always makes my fevers fade..."" "
Ushiromiya Hideyoshi,"""Yep. No need for a doctor when you've got my hand. Don't worry and close your eyes. ...My magic'll make that fever fade away..."" "
Ushiromiya Eva,"""Yes, I know... ...I can feel your magic."" "
,"Hideyoshi was about to say it was just a placebo effect, but he stopped. "
,"...If Eva said she could feel magic coming from his hand, then that was fine for now... "
Ushiromiya Eva,"""......I wonder if magic really exists."" "
Ushiromiya Hideyoshi,"""Yeah. It does. Only those who believe can tell, though. ...There's actually a lot of magic like that out there in the world."" "
Ushiromiya Eva,"""...If magic actually exists, ...then I wonder if witches actually exist too."" "
Ushiromiya Hideyoshi,"""Oh? You mean that witch of the forest, {f:5:Beatrice}? She probably does exist for those who believe. Just like the gods. They don't show themselves except in front of those with strong faith."" "
Ushiromiya Eva,"""......I did it too, you know? ...Long ago, I was able to use magic."" "
Ushiromiya Hideyoshi,"""Oh? Really? Then you were a witch too."" "
