Speaker,Steam (ST)
,"The rose garden was truly splendid this year. The roses were blooming like crazy, as if competing with each other. "
,"In that rose garden, Kinzo, Kanon, and Natsuhi could be seen... "
Ushiromiya Kinzo,"""Once again, the flowers have grown wonderfully this year. It must be the result of your care."" "
Kanon,"""......Thank you very much. The weather just happened to be good this year."" "
Ushiromiya Natsuhi,"""Thanks to your care, the garden is even more beautiful than usual. Good work."" "
Kanon,"""Thank you very much..."" "
Ushiromiya Kinzo,"""If today weren't so special, ...we might have been able to admire the roses while enjoying some black tea."" "
,Kinzo shrugged. Today was the family conference. 
,"...When it came to the other siblings' businesses, none of the news had been good. "
,"On the contrary, those siblings probably planned to turn the conversation to the topic of Kinzo's remaining life... and hold a quiet feud over the inheritance. "
Ushiromiya Kinzo,"""...Those people are quite unpleasant. By the way, what about Krauss? Is that debt repayment plan of his proceeding well?"" "
Ushiromiya Natsuhi,"""It does seem to be a realistic plan. ......However, it's a plan on quite a large scale, and it doesn't seem to be bearing fruit quite as well as he expected."" "
Ushiromiya Kinzo,"""If possible, I would have hoped to have that resolved before today's family conference."" "
Ushiromiya Natsuhi,"""...Yes. My apologies."" "
{f:5:Beatrice},"""Are you sure you're okay, Kinzo? Casually walking around in a place like that?"" "
,"How had she gotten up there? ...Well, it's fairly pointless to wonder about that sort of thing when you're dealing with a witch. "
,"{f:5:Beatrice} was casually sitting on the roof of the arbor, almost as though she had been basking in the sun. "
{f:5:Beatrice},"""Those relatives are like a massive lump of the magic-resisting toxin, and they'll be intruding in on us. If you bump into them, your soul will evaporate in a instant."" "
Ushiromiya Kinzo,"""Hmph. I am already dead. Evaporating would be no detriment."" "
Ushiromiya Natsuhi,"""...We can't have that happen. Please, for the sake of the Ushiromiya family, lend us your strength just a little longer."" "
{f:5:Beatrice},"""Natsuhi, it seems the boat carrying the relatives has left the harbor. Perhaps it's about time to bring an end to this walk of yours."" "
Ushiromiya Natsuhi,"""...Is that so? Thank you. ...Please return to the study, Father."" "
Ushiromiya Kinzo,"""My, my... How tiresome, to go back inside when the weather is this perfect."" "
{f:5:Beatrice},"""Don't grumble, Kinzo. Right now, you're nothing more than a ghost I gave life to. It'll be troublesome for both me and Natsuhi if you're scattered away by the toxin. Just be a good boy, shut yourself away in the study, and wrap a blanket around yourself or something. *cackle*cackle*!"" "
Ushiromiya Kinzo,"""Hmph. ...Merely receiving the chance to enjoy these roses after death makes me an extremely fortunate man. I understand. I shall return to the study."" "
Ushiromiya Kinzo,"""But I would like some black tea. Kanon, tell Genji to bring me some. Perhaps some Marco Polo would do well today."" "
Kanon,"""...Certainly."" "
Ushiromiya Kinzo,"""Then let us go our separate ways. Natsuhi, ...you must conduct the family conference splendidly in my absence."" "
Ushiromiya Natsuhi,"""Of course, Father. He can't say it in front of them, but my husband is already the Ushiromiya Family Head. And, I will do all I can to ensure that I don't embarrass him as his wife."" "
Ushiromiya Kinzo,"""...Compared to Krauss, who's had a stomachache since this morning, you are so very composed, Natsuhi. ...My son is quite hopeless."" "
Ushiromiya Natsuhi,"""My husband is talented in his own way. Supporting him where he's weak is my duty as his wife."" "
Ushiromiya Kinzo,"""Indeed. Carry out your task with precision. I will make sure to stay shut away, so that I don't get in the way of this farce."" "
Ushiromiya Natsuhi,"""Kanon, go with Father to the study. And then have Genji prepare some black tea."" "
Ushiromiya Kinzo,"""I'm not so senile that I need your help to stand up. Here I go..."" "
,"Refusing Kanon's attempt to lend him a hand, Kinzo rose from the flower bed he had been sitting on. "
,The retired Head left everything in Natsuhi's hands and returned to the study at a gentle pace... 
{f:5:Beatrice},"""...You're looking well. You possess a sense of dignity reminiscent of Kinzo's deceased wife."" "
