Speaker,Steam (ST)
Ushiromiya George,"""...Erika-chan, huh... She's an odd kid. ...Somehow, I just can't seem to get along well with the young kids these days."" "
Shannon,"""*giggle* You're still pretty young yourself, George-san."" "
Ushiromiya George,"""Hahaha... I guess it's because I've always been the oldest of the cousins... It's always made me feel like I'm not one of the young ones anymore."" "
,"George and Shannon could be seen standing in the rainy rose garden. Though the rain was still pouring down, there was hardly any wind at all. "
,The scant protection provided by the arbor was more than enough to house this secret meeting between lovers. 
,"Following that fight with Erika, they had decided to play some cards for a change of pace. "
,"When that was over, Shannon had returned to the servant room, ...and shortly after that, George had left his room to meet with Shannon at the time they had arranged. "
Shannon,"""I think kids around Erika-san's age have a hard time getting along with themselves, more so than any other age."" "
Ushiromiya George,"""...Yeah, that's true. Around that age, most kids are so determined to free themselves from the shell of childhood that they lash out in all directions with their beaks. When they do break out, they'll finally be free to stretch their wings and fly high. ...I was like that too. My old self, still trapped inside that shell, was a weak, deplorable person who I couldn't really respect."" "
Shannon,"""Th-That's not true..."" "
Ushiromiya George,"""No, it's okay. I realize it myself. Back then, I might have been the oldest of the cousins, but I was still a lazy, hopeless person. ...And it wasn't just with the cousins. At home, at school...I was like that everywhere."" "
,...I hated being like that. 
,I wanted to break that shell and become a splendid adult like Mother and Father. 
Shannon,"""But in the end, ...you did break out of that shell, George-sama. ...Every time I've met you these past few years, you've grown beyond recognition."" "
Ushiromiya George,"""Thank you."" "
Shannon,"""...Did something cause you to make up your mind?"" "
Ushiromiya George,"""To break out of my shell?"" "
Shannon,"""Yes. ...I can't imagine that you grew so rapidly, like a butterfly breaking out of its cocoon, by just wandering around aimlessly. ...I thought there must have been some turning point that made you become so determined."" "
Ushiromiya George,"""...I fell in love with you and grew thanks to the power of love...is what I've told you so far. Haha, ...but the truth is, the turning point was a much more negative emotion."" "
Shannon,"""No way... It's hard to believe that someone who's always as bright and cheerful as you could have negative emotions."" "
Ushiromiya George,"""Well, ...my parents brought me up to treat women with care. And I thought that I'd managed to live my life that way."" "
Shannon,"""Yes. I think you're wonderful, a real gentleman..."" "
Ushiromiya George,"""But I'm not, actually."" "
Shannon,"""......?"" "
Ushiromiya George,"""I didn't know how to interact with the opposite sex. I deified them excessively...and though I always behaved in a gentlemanly, ladies-first kind of way, I was probably outright afraid of interacting with girls."" "
,"Of course, George had wanted to be around girls as much as any healthy boy might. "
,"However, he didn't know how to interact with them. He wanted to act like a gentleman, to avoid being disliked by them, treating them with care. "
,"Of those feelings, only the words ""treat women with care"" took precedence, blossoming into a subconscious fear of women... "
Ushiromiya George,"""You might call a man like that ""gentlemanly"" or ""a late bloomer"". ......Ridiculous. I was just a coward. Because of that, I started to wonder why I couldn't get a girlfriend if I was so gentlemanly, and I eventually came to the conclusion that all the women in the world had no taste, and started to hate all of them, ...selfishly. ......That's what a truly pathetic man looks like."" "
,How many years ago was it when I noticed? Probably when I was in middle school. 
,"At the time, I assumed that I was obviously the most gentlemanly of the cousins, so I would obviously be popular with women. "
,"However, reality was very different. "
,"At school, I was pretty much completely hopeless. "
,"...Far from being a leader, I was a typical bullied kid, who got pushed around by everyone. "
,"At the time, I figured I was just a capable and adaptable man, who could keep in perfect tune with his surroundings. ...How stupid. "
,"Sure, I might have gained some measure of trust from girls. "
,"...However, not only was there no one who would become my girlfriend, there weren't even any girls I could call friends. "
Ushiromiya George,"""Of course. ...I was a man who always stepped back for the sake of ""ladies first"". Who would ever want to follow behind such a negative, unmotivated man? ...It's funny. I didn't even realize this...and was convinced that I was an attractive guy."" "
Shannon,"""...I can sort of understand how you felt. ...Just because someone puts in a lot of hard work to look attractive to the opposite sex, it doesn't necessarily work out as they plan."" "
Ushiromiya George,"""Oh? ...Has that happened to you too, Shannon?"" "
Shannon,"""Of course. ...One time, I wanted to catch a boy's eye so much, I tried to put on makeup even though I didn't know how and embarrassed myself... ...Heheh, I remember a lot of embarrassing failures."" "
Ushiromiya George,"""The person that made me finally get over my conceit and open my eyes...was you, Shannon. ...No, it was both of you."" "
Shannon,"""......What was the turning point for you, George-san?"" "
Ushiromiya George,"""Haha, ...envy, probably."" "
Shannon,"""That's unexpected. ...But envy over what?"" "
Ushiromiya George,"""I saw you and Battler-kun having a really good time talking. ...That made me envious."" "
Shannon,"""......Me and...Battler-sama?"" "
,"Shannon raced through her memories, trying to find a conversation that might have made George envious. "
Ushiromiya George,"""Haha, it probably seemed trivial to you two. However, it still made me envious. ...I don't want Battler to hear what I say next, no matter what. Can you promise me?"" "
Shannon,"""O-Of course..."" "
Ushiromiya George,"""...... ...It's going to be a shameful confession. ...Still, I want you to hear it. I want to hear your answer tonight...only after I've told you about my bad sides as well."" "
Shannon,"""......Okay. ...Let me hear it."" "
,"With a smile but a serious look in her eyes, Shannon nodded. "
,Tonight. ...She knew what he was going to ask her tonight. 
,"George had the right to confess before asking that sacred question, and Shannon had the obligation to listen. "
,"Shannon understood this, ...so she listened quietly. "
Ushiromiya Ange,"""So this is what a Witch of Theatergoing peeps in on during her spare time?"" "
{f:5:Featherine},"""...Stories of love are precious in any age. I never tire of them. ...However, I do find that expression of virgin disgust on your face even more amusing..."" "
,{f:5:Featherine} laughed quietly. 
,"Ange huffed and looked away, but she quickly realized that this would only entertain {f:5:Featherine} even more, so she tried to act unconcerned... "
Ushiromiya George,"""Both Battler-kun and Jessica-chan have always been spirited. ...No, phrasing it that way is just dodging the issue. ...Let me be frank."" "
,"George looked up at where the moon should be, high above the rain clouds, ...and spoke. "
,"They were honest words, spoken simply from George's heart... "
Ushiromiya George,"""...For a long time back then, I thought of Battler-kun and Jessica-chan as bad-mannered kids. ...No, let me be even more blunt. ...I thought that even the way they talked was vulgar. ......It's true. I don't mind if you hold me in contempt for that."" "
Shannon,"""I don't. ...People are allowed to think anything they want inside their hearts. In fact, I think you were all the more commendable for not letting it show on the outside."" "
Ushiromiya George,"""Thanks. ......I secretly looked down on those two. I was so conceited that I truly thought I was just overflowing with gentlemanly charm compared to them."" "
,I was at that age where having a girlfriend felt like a necessary condition for becoming a real man. 
,I truly believed that no girl could fail to admire a gentleman who treated girls as well as I did. 
,"So, I really did assume that the girls I knew were attracted to me. "
Ushiromiya George,"""I thought that Battler-kun and Jessica-chan, who always joked around and spoke in a rude, vulgar fashion, would never be able to get a boyfriend or girlfriend. ...I might have used that argument to distract myself when I still couldn't get one myself. "
Ushiromiya George,"...I was a fool. They weren't inferior to me at all. I was the inferior one, with my deification of the opposite sex and my fear, which I hid under the guise of ""ladies first""."" "
{f:5:Featherine},"""That's been Battler's and Jessica's personality from the beginning. True, they were rude, and one couldn't have called them gentlemanly or ladylike. ...However, they did have the power to interact without worrying about gender. ...In fact, you might even call that their charm."" "
Ushiromiya Ange,"""......I sort of understand. People like Onii-chan and Jessica onee-chan can get along with anyone, whether that person's a boy or a girl. ...I hate to bring it up because of George onii-chan, but I find people who act too overtly like a gentleman...a bit creepy. ...It's like they're virgins trying too hard...or whatever..."" "
{f:5:Featherine},"""When dealing with strangers, people prefer for them to be harmless and boring. However, they only appreciate these qualities because such a person doesn't get in the way. ...No human would want to hang around with a boring person all the time."" "
Ushiromiya Ange,"""...Of course. No idiot would want to be friends with an unmoving, unspeaking telephone pole. ...However, unmoving and unspeaking is exactly what you'd want from a telephone pole."" "
{f:5:Featherine},"""That's it. It seems as though George finally discovered that he wouldn't be viewed as an attractive man no matter how superior he was, and that he had been treated like a telephone pole the whole time..."" "
Ushiromiya George,"""Back then, my conceit was at its peak. ...So, when everyone gathered at the family conference, I believed that I was the most attractive, and that all the servant girls who played with us loved having me there. ......On that day, I finally realized how pathetic I was."" "
Shannon,"""......Did I...say something inconsiderate then...?"" "
Ushiromiya George,"""No, it's the opposite. ......You didn't say anything at all. My conceited delusion that I was the only one ever reflected in your eyes...was crushed."" "
,"Just when did it start? ...No, it must have started long before then. "
,I only failed to notice because my eyes were clouded with conceit. 
Ushiromiya George,"""...One day, I suddenly realized it. ...All of you were getting along with Battler-kun and Jessica-chan far better than with me, ...playing around and having a good time."" "
,"...Yes. Those two, whom I had looked down upon so much, were radiating far more charm than I was. "
,You really looked like you were enjoying yourself that day. 
,The look on your face was far brighter than any you ever showed me. 
Ushiromiya George,"""Hahaha, sickening, isn't it? ...I just assumed that you liked me, and even had some childish fantasy that we might end up dating. "
Ushiromiya George,"I one-sidedly felt as though my girlfriend had been stolen from me and let myself feel hurt. ......I was such a pathetic man... ...That's when I finally realized how foolish I'd been."" "
Shannon,"""......George-sama..."" "
Ushiromiya George,"""After that, stuff happened and Battler-kun stopped coming to the family conferences, but I heard about him from time to time from Uncle Rudolf. ...He's a pretty funny guy. Even though he got in fights with Battler-kun all the time, ...he always paid close attention to what his son was up to."" "
Shannon,"""...That's true. He spoke to me about it as well. ...I think even Asumu-sama was exasperated by it. ...She thought all his popularity with the girls at school and the unceasing trouble this caused must have been because of Rudolf-sama's blood."" "
Ushiromiya George,"""And Jessica-chan too. I hear she built up a huge number of friends, both boys and girls, and that she was always right in the middle of things. ...When I talked with her myself, I could see that this was no exaggeration."" "
,This proved that the two I'd looked down upon... were much more attractive human beings than I was... 
Ushiromiya George,"""At first, I tried to imitate those two. ...It was pretty ridiculous. I thought that by joking around and speaking rudely, I could get that same charm they had."" "
