Speaker,Steam (ST)
Clair,"""......That is the end of my tale."" "
{f:5:Bernkastel},"""Oh, ...is that all? But aren't the next two years pretty fun...?"" "
Willard H. Wright,"""We don't need them. ...After all we've heard in the past games about your inner conflict and how you suffered, you don't need to say any more."" "
Ushiromiya Lion,"""......You mean...the conflict of the furniture with incomplete souls?"" "
Clair,"""There was a duel. The result had almost been decided. ......However, the year 1986...was incredibly merciless."" "
Willard H. Wright,"""...I'll bet you cursed your fate."" "
Clair,"""Yes. ...If it had been one year sooner... ...Or else, one year later..."" "
Willard H. Wright,"""The duel would've been settled, though the way it got settled would've been different."" "
,"Silently, Clair hung her head. "
,"...If only I had been given time... Or else, if I hadn't been given time to worry... "
,I hate...everything. Why...did it have to be 1986? 
Clair,"""I decided... ...to abandon control over everything."" "
Ushiromiya Lion,"""...Abandon control..."" "
Clair,"""Like the ceremony in which I inherited everything from the previous Head, ...I decided to abandon myself to the fate known as a miracle."" "
,It may be more accurate to say that I abandoned myself to the choice of the roulette. 
,"I...we...could not even decide our own fate, so we let fate decide everything for us. "
,"Perhaps one of us will find what they seek. Or, perhaps all will be joined and released. Or, perhaps someone will put a stop to this folly. "
Clair,"""...No matter which fate the roulette chose, I planned to obey its ruling. I will not resist fate. ...After all, whenever I have tried in the past, fate has always been heartless to me......"" "
,Clair hung her head and let a single tear drop down... 
,"Humans will carelessly say that people possess infinite possibilities. However, the Endless Witch...knows how limited those possibilities really are. "
,"So, out of her limited fate, she tried to create the infinite. "
,"By entrusting her fate to God, she tried to create the infinite. "
,"However, this did not mean that she was resigned to her fate. She spun the roulette of fate with an unshakable and certain will. "
,"A certain fate, where absolutely no one could escape if the epitaph was not solved. "
,She sealed off the island with it. Herself included. 
,"October 4th and 5th, 1986, were sealed away by an absolute and certain will, ...and she abandoned herself to that short span of time and the one fate out of many that would be chosen on that island. "
Clair,"""...And now, my confession is over. ...Isn't that enough to place my motive for the crime? ...If you still do not know, I will say no more. It's not as though anyone could understand my heart anyway."" "
Willard H. Wright,"""Yeah. ...There's no need to say any more."" "
Clair,"""...Lion, ...after watching how I have wandered through a dead-end of fate, do you see how great a hope you are to me?"" "
Ushiromiya Lion,"""...... ...I'm...a different possible ""you""."" "
Clair,"""The happiness you live in makes me jealous, but even more overwhelmed...with happiness. ...The future you represent was a possible one. ...Right now, ...that fact alone is my salvation."" "
Ushiromiya Lion,"""...I......"" "
Clair,"""...Please, live with enough happiness for the both of us. I'm glad I got to meet you once, ...at the end. ...You have my thanks, Lady {f:5:Bernkastel}."" "
{f:5:Bernkastel},"""...I'm just carrying out your funeral. There's no need to thank me. ...Well, it's about time to end this. It's about time to send the dead to the land of the dead."" "
Clair,"""......Yes. This is my funeral, after all. It's time for me to go back to where I belong."" "
Ushiromiya Lion,"""............"" "
Clair,"""Don't make that face. And please, rejoice that you were not me. After all, I rejoice in that fact as well."" "
Ushiromiya Lion,"""......I'll live. ...I'll live life for the both of us..."" "
Clair,"""Thank you. ...Live in happiness. And someday, find yourself a wonderful person. ...I pray that you live as a Human, without awakening as a witch. ...That you have a whole and single soul...and love one person with all your strength... ...I hope you live that sort of life."" "
Ushiromiya Lion,"""...I will..."" "
Clair,"""Will-san, I thank you for being an observer. ...You aren't the one I truly wanted to understand me, ...but you have saved my heart."" "
Willard H. Wright,"""I...understand you. I don't neglect the heart."" "
Clair,"""...Thank you. ......So, now that I have a splendid observer who understands me, ...I want to entrust my final moments to you."" "
Willard H. Wright,"""......Are you sure you're okay with it being me?"" "
