Speaker,Steam (ST)
,"......When I came to, all was silent. The room was dimly lit. And yet...it was massive. "
,...Where on earth...is this...? 
,"I was sitting in what seemed to be a very short sofa. It was very constricting, and looked like there were several more of them off to each side of me... "
,"Once I noticed that, I realized that I was in a theater. "
Ushiromiya Lion,"""...Where on earth...am I...?"" "
,"I don't know how long I've been here. And, more importantly, I don't know where this is. "
,"...Beatrice's funeral ended, everyone went back to the mansion, and... "
,"...And after that, my memory gets fuzzy, and I can't recall anything else. "
,"Then, I was surprised to notice the presence of another person. "
,"Apparently, I wasn't the only one sitting in the audience seating of this vast theater. "
,...The sound had come from a seat to the side of mine. 
,"When I looked, I saw a girl sitting several seats off to my left. "
,"It was a face I had never seen before. ...Who is she? She looked like a high-schooler or a college student, about the same age as I was. "
,"""......Nnn..."" "
,"She groaned. Apparently, she had just woken up... "
,"I didn't want to scare her, so I decided to introduce myself first... "
Ushiromiya Lion,"""...Hello."" "
Ushiromiya Ange,""".........!!"" "
,"Apparently, she was equally surprised to find someone other than herself here. She jumped when she heard my greeting. "
Ushiromiya Ange,"""...Who the hell are you?"" "
Ushiromiya Lion,"""I feel the same way. ...It seems that neither of us is here of our own accord."" "
Ushiromiya Ange,"""......Is that...the One-Winged Crest...?"" "
Ushiromiya Lion,"""Huh? ...Do you recognize this crest?"" "
,She looked suspiciously at the One-Winged Crest emblazoned on my collar. 
,"Her stare, which was unmoving but not openly hostile, wasn't exactly pleasant for me. "
Ushiromiya Lion,"""Allow me to introduce myself first. ...I am Ushiromiya Lion."" "
Ushiromiya Ange,"""Ushiromiya, ...huh? What?"" "
Ushiromiya Lion,"""Lion. Written as ""{p:0:睆御}"", but pronounced ""Lee-on"". ...Pretty strange name, don't you think?"" "
Ushiromiya Ange,"""...No stranger than mine. But I'll have to apologize. I don't know who you are."" "
Ushiromiya Lion,"""That's hardly surprising, since I don't know you either."" "
Ushiromiya Ange,"""That's not what I meant. Who are you? There's no one like you in the Ushiromiya family."" "
Ushiromiya Lion,"""And why are you so sure? Do you have something to do with my family?"" "
Ushiromiya Ange,"""I'm a member of the Ushiromiya family."" "
Ushiromiya Lion,"""...But that's..."" "
,She showed me her left sleeve...and the crest of the One-Winged Eagle emblazoned upon it. 
Ushiromiya Lion,"""...I regret having to ask the same question, but who are you? I've never seen you in the Ushiromiya family."" "
Ushiromiya Ange,"""...... ...First they tear me into little bits, then they make me read... ...What's next? Which witch am I supposed to be entertaining this time?"" "
,She spat out those words and seemed to be complaining about something. 
Ushiromiya Ange,"""Ange. ...I'm Ushiromiya Ange. Rudolf and Kyrie's daughter."" "
Ushiromiya Lion,"""What?! ...A-Ange-chan...?! But you're supposed to be six years old..."" "
Ushiromiya Ange,"""......I was six during the year of the final family conference on Rokkenjima. ...Now I get it. So, you're a person from the year 1986. I'm 18 years old. And I'm from the year 1998."" "
Ushiromiya Lion,"""I-In other words, ...you're the Ange-chan...of 12 years in the future...?"" "
Ushiromiya Ange,"""I'm glad you believe it. But, unfortunately, I don't have a clue who you are. ...Who are you? Who are your parents?"" "
Ushiromiya Lion,"""My father is Krauss. Natsuhi is my mother."" "
Ushiromiya Ange,"""That would make you Jessica onee-chan."" "
Ushiromiya Lion,"""Jessica is my little sister."" "
Ushiromiya Ange,"""...... ...What's going on? Wasn't Jessica onee-chan an only child...?"" "
,"By this point, I was starting to figure out the situation this Ange had come from. "
,"...She's probably from the world where I awakened as a witch, ...the world where Lion doesn't exist. "
Ushiromiya Lion,"""It will be a bit difficult to explain, ...but think of it this way. In a world slightly different from the one you know, I am also a member of the Ushiromiya family. In your world, a different fate leads me to walk a different path through life, so that I do not live as an Ushiromiya family member."" "
Ushiromiya Ange,"""......Are you...a witch...?"" "
Ushiromiya Lion,"""Sorry to disappoint you, but I'm just an ordinary human. ...What I just told you is something I heard from the witch called {f:5:Bernkastel}-san."" "
Ushiromiya Ange,"""......{f:5:Bernkastel}? That one with the long, blue hair and the gloomy face...?"" "
Ushiromiya Lion,"""...Y-Yes. That probably fits her, I think..."" "
Ushiromiya Ange,"""......In other words, I've been forced to play along with another witch's farce. ...Just where is this place?"" "
Ushiromiya Lion,"""I only woke up a second ago myself. ...I'm wondering the same thing."" "
Ushiromiya Ange,"""It looks like a theater. ...Are we supposed to watch a play or something?"" "
Ushiromiya Lion,"""...I'm really not in the mood now. Let's look for an exit."" "
Ushiromiya Ange,"""......You haven't noticed yet? Look."" "
Ushiromiya Lion,"""Huh? ......Ah, these are..."" "
,*clank*. 
,I finally noticed. Both of my wrists and ankles had chains attached to them. 
,"As long as I sat here, I had enough slack that I could move about a little, but it looked like there wouldn't be nearly enough for me to get out of this place. "
Ushiromiya Lion,"""...When did...? ...Who would do something like this...?"" "
Ushiromiya Ange,"""......Once a witch has made you her piece, you'll be their plaything forever. ...There's no way to escape."" "
,"Ange crossed her legs, making the chains clank together. "
,She realized that no amount of struggling could have broken those chains. ...Getting panicky wouldn't accomplish anything. She must've had nerves of steel. 
Ushiromiya Lion,"""What do you mean, a witch's piece?"" "
Ushiromiya Ange,"""...It's like being their slave. ...I made a deal, once. ...I said I wanted to see my family, to bring them back from that day. In exchange for making that a possibility, that witch turned me into a witch's piece. ......At least the witch kept her promise. I was able to see Onii-chan again."" "
Ushiromiya Lion,"""...You mean Battler-kun...?"" "
Ushiromiya Ange,"""Well, I wasn't even able to tell him who I was. ...And, in exchange for that short bit of time, I'm now trapped inside the witches' toy box for all eternity. ...Looks like you are too. ...Did you make some sort of contract?"" "
Ushiromiya Lion,"""N-Nothing of the sort..."" "
Ushiromiya Ange,"""Did you ever ask a witch to grant a wish for you?"" "
Ushiromiya Lion,"""Never. ......She taught me what a miracle my existence is. That's all."" "
Ushiromiya Ange,"""...Either way, neither of us is getting out of here. ...Okay, witches! What kind of show do you have for us this time?! Have we moved from reading aloud to theatergoing? Am I supposed to watch someone else read aloud this time, or what?! If that's it, then start it up already. I'm bored enough as it is!"" "
,"Ange yelled this to the pitch-black stage. Her voice reverberated throughout the theater, but no one gave an answer... "
,"...No, someone did. And that was also in a voice that rang out across the theater. "
,"However, that voice sounded theatrical, as though someone was announcing the start of a play. "
,"""What happened on that day, you ask? I'm not telling. If only you'd just give up and die!"" "
Ushiromiya Lion,"""...Whose voice was that...?"" "
Ushiromiya Ange,"""That old hag. It was Aunt Eva's voice."" "
Ushiromiya Lion,"""What does she mean by ""what happened on that day""?"" "
Ushiromiya Ange,"""...She's talking about the 4th and 5th of October in the year 1986. ...The day of the final family conference on Rokkenjima."" "
Ushiromiya Lion,"""In other words, ...today."" "
,"Today is October 4th, 1986. "
,"As a prelude to the family conference, Beatrice's funeral was held... "
Ushiromiya Ange,"""That's a surprise. So, you've come here from October 4th, 1986? Tell me. What happened during those two days...?!"" "
,The answer she seeks is inside the cat box. All I can tell her about is my close call with a sad life. 
,"However, I doubt that explanation will satisfy her. "
,"Then, ...a pillar of bright light pierced the stage. "
,There stood a white shadow. ...That white dress was obviously Clair's. 
,"Of course, Ange didn't recognize her. She looked suspicious, apparently wondering who in the world this was. "
,"However, even I felt as though something was wrong. "
,"...Didn't she settle all of her regrets in that funeral a short while ago, before being sent off into the next world...? "
,"She stood all alone in the narrow beam of light in the center of the stage, and the expression on her face was lifeless. "
,The light began to grow brighter and brighter. 
,"It shone more and more fiercely on her, until it became blinding just to look at her. "
,"The world was enveloped by a light so bright that we couldn't open our eyes, surrounded by a sound like wind or television static, ...and our minds began to go blank... "
Ushiromiya Hideyoshi,"""Whoo...! They're bloomin' wonderfully again this year!"" "
Ushiromiya Rudolf,"""It must be a pain to take care of all these. Pretty easy for us though, just looking at 'em."" "
Ushiromiya Kyrie,"""*giggle* I agree. We've got to thank the people who take care of them for us."" "
Ushiromiya Eva,"""But it is a bit lacking in grace. I prefer the way it used to be, before Nii-san decided to pile so much on."" "
Ushiromiya Rosa,"""The old look did have its own charm, didn't it?"" "
Ushiromiya Maria,"""Uu-! I love roses! I'd like them even more if they didn't have thorns! Uu-!"" "
Ushiromiya Battler,"""Whoa! This rose garden really takes me back! I'd totally forgotten about it these past six years...!"" "
Ushiromiya George,"""I guess it really has been that long. Both you and this garden have changed so much."" "
Ushiromiya Jessica,"""Ah, let me introduce you! This is Kanon-kun, one of our servants! This is the first time you've met Battler, right?"" "
Kanon,"""...Pleased to meet you."" "
Ushiromiya Battler,"""You can just call me Battler! Nice to meet you!"" "
Ushiromiya Jessica,"""Shannon's here too, today. Remember when we used to play together?"" "
Ushiromiya Battler,"""Ah, ...Shannon-chan! I'd totally forgotten... That really takes me back! How's she been doing?!"" "
Ushiromiya George,"""She's grown more and more beautiful these past six years. You should say hi to her later on."" "
Ushiromiya Maria,"""Shannon and George onii-chan are reeeally good friends! Uu-!"" "
Ushiromiya Jessica,"""Maria, shhh! That's a secret!"" "
