Speaker,Steam (ST)
Ushiromiya Battler,"""Gyaaaaaaaaaaaaaahhhhh!! Fall, fall, faaaaaaaaaaalllll!!!"" "
,"Once again, Captain Kawabata's ferryboat to Rokkenjima cut across the sea in perfect form. "
,"Yes. The tale of October 4th, 1986...always begins with Battler's screams. "
,"But this time, one thing was different. There was another yell alongside Battler's. "
,Battler was screaming. The other was...laughing? 
Ushiromiya Battler,"""Fall, fall, faaaaaaallll!! Nooooooooooooooooooooooo...!!"" "
Ushiromiya Ange,"""Fun, fun, fuuuuuunnn!! *giggle*, *giggle*giggle*giggle*!!"" "
Ushiromiya Maria,"""Battler's face looks funny!! *giggle*, *giggle*giggle*!!"" "
,"Alongside the big brother, who was grasping at the handrail and screaming in a way no one that age should scream, was the little sister, also grasping the handrail and jumping about like it was a ride at an amusement park. George and the others just couldn't hold in their laughter at the difference. "
Ushiromiya George,"""I guess Battler-kun hasn't changed much these past six years. He's as energetic as ever."" "
Ushiromiya Jessica,"""Plus, Ange and Maria look more cheery than usual this year."" "
Ushiromiya George,"""Could this be the first time we've had all five cousins together?"" "
Ushiromiya Jessica,"""Oh, is it? I get it. That explains why it's noisier this year than any year before."" "
Ushiromiya Battler,"""G-George-anikiiiiiiiii!! This is way too fast, right?! I'm begging you, ask the driver to slow down before it's too laaaate!!"" "
Ushiromiya Maria,"""Kihihahahahahahahaha! This is too fast? Battler's so pathetic!"" "
Ushiromiya Ange,"""I wanna go faster!! Faster, faster! *giggle*giggle*!!"" "
Ushiromiya Battler,"""Any faster than this, and I'll fall right off the boat!! Will that make you happy?! I'm gonna faaaaaaaaaaaalllll!!!"" "
Ushiromiya George,"""Hahaha. Going by popular vote, I'd have to say that Battler-kun's proposal is-"" "
Ushiromiya Jessica,"""Rejected! Ahahahahahahaha."" "
Ushiromiya Ange,"""Look out, Onii-chan. Look, you're gonna fall! Ahhahahahahahahaha!!"" "
Ushiromiya Maria,"""Scaredy-cat Battler needs to be punished!! Tickle time! Kihihihihi-!!"" "
Ushiromiya Battler,"""W-Wait, stop, Maria!! You too, Ange! N-Noooooooooooooooooooo!!"" "
Ushiromiya Kyrie,"""Thank goodness. I was worried about Ange's health, but..."" "
Ushiromiya Rudolf,"""It'd be too sad to leave her behind at home. I'm glad we decided to bring her anyway."" "
Ushiromiya Eva,"""Wasn't she very sick shortly before you left?"" "
Ushiromiya Kyrie,"""She was all better this morning. Kids can be so incredible sometimes."" "
Ushiromiya Hideyoshi,"""She's the kind of person whose health takes a hit when she's stressed! It's not that strange for people like that to get all better when the big day finally comes."" "
Ushiromiya Rosa,"""She must really have been looking forward to playing with all five of the cousins together."" "
Kumasawa Chiyo,"""Hohoho. Just watching them play together makes you feel charged with energy, doesn't it?"" "
,The adults smiled as they watched the children play around. 
,"Ange, who had gotten very sick, and who everyone had thought would be absent, made a miraculous recovery. "
,"Thanks in part to her strong desire to join in, she had come along to the family conference with the others. "
,And so... 
,"For the first time ever, all five cousins were gathered together. October 4th, 1986, became a day like no other. "
,The kids dashed up the path leading from the harbor to the rose garden. 
,They were probably so charged up that even walking was too boring for them. 
Ushiromiya Battler,"""Wahhahahaha! See that?! First place!"" "
,"Battler was the first one to reach the rose garden, which was the goal. "
,"Apparently, he was trying to make up for the dishonor he had suffered on the boat by proving his superiority on land. "
,"A short while later, Ange and Maria reached him in a dead heat. "
Ushiromiya Maria,"""I'm second!! I'm faster than Ange, uu-uu-uu-!!"" "
Ushiromiya Ange,"""No, you aren't! Maria onee-chan cheated!! I'm second!!"" "
,"The three year gap between Ange and Maria was large, especially since both of them were growing kids. "
,"It was only natural that Maria was faster, but Ange seemed to be complaining about a shoulder bump at the start line. "
,"Maria onee-chan cheated, so she gets last place! Teacher always says you get last place if you cheat! ...Protested Ange. "
Ushiromiya Jessica,"""Come on, no need to fight. Still, both of you really are fast...!"" "
Ushiromiya George,"""It's been a long time since I've run that much... Ah, the breeze feels so nice."" "
Ushiromiya Battler,"""Are you out of shape, George-aniki? You know, anyone who has to run the race-to-make-it-before-the-bell every day gets strong legs by default."" "
Ushiromiya George,"""In other words, being a fast runner is proof that you sleep in a lot."" "
Ushiromiya Ange,"""Onii-chan always sleeps in! He didn't wake up today either, so I had to wake him up! Right?!"" "
Ushiromiya Battler,"""A stomp followed by a flying elbow. And that body-plex from the top rope at the end there just about finished me."" "
Ushiromiya Jessica,"""That sounds more likely to put you in an eternal sleep..."" "
Ushiromiya Maria,"""Sounds fun! I wanna do it too!"" "
Ushiromiya Ange,"""I'll bet Onii-chan sleeps in tomorrow too! We'll wake him up together this time, okay?! *giggle*giggle*!"" "
Ushiromiya George,"""...I'd recommend against staying up too late tonight."" "
,"Finally, the adults came into sight. "
,"The cousins waved at them, urging them to hurry up. Ange and Maria were so excited that they could hardly wait. "
