Speaker,Turkish (TR)
Ushiromiya Jessica,"""...Maria hâlâ dönmedi. ......Yine Rosa Teyze tarafından azarlanıp azarlanmadığını merak ediyorum."""
,"Maria ile havaalanında karşılaştığımızdan beri, Maria sürekli olarak Cadılar Bayramı hakkında yaygara koparıp duruyordu."
,"...Ama görünüşe göre biraz ipin ucunu kaçırmış, uçakta, gemide ve öğle yemeğinde gereğinden fazla şımarık davranmıştı, çünkü Rosa onu birkaç kez uyarmıştı."
,Böyle zamanlarda Rosa Teyze onu insanların önünde nadiren azarlardı.{n}...Genellikle Maria'yı gizlice çağırır ve yalnız kaldıklarında onu azarlardı.
,"Bu yüzden, Maria bir yere çağrıldığına göre, şu anda azarlanıyor olmalı diye düşündüler."
,Saate baktıklarında saatin neredeyse altı olduğunu fark ettiler.{n}Maria'nın bunca zamandır azarlandığını düşünmek pek de mantıklı gelmiyordu.
,Belki de her hafta izlediği bir animenin başlama saati falan gelmişti. Muhtemelen malikanenin salonunda kalmaya karar vermişti.
Shannon,"""Belki Battler-sama uyanmıştır ve birlikte oyun oynuyorlardır."""
Ushiromiya George,"""Maria-chan, Battler-kun'u yeni bir arkadaş olarak görüyor olmalı. ...Havaalanında Battler-kun ile Cadılar Bayramı oynarken çok eğlendiğine eminim."""
Ushiromiya Jessica,"""Battler da çok eğleniyormuş gibi duruyordu. Adam kocaman olmuş, ama eski halinin tıpatıp aynısı, içten içe hiç değişmemiş."""
Shannon,"""Gerçekten de. ...Battler-sama'nın altı yıl önceki hali olarak kalacak kadar kibar olduğunu hissediyorum."""
Ushiromiya George,"""Shannon, Battler-kun'un altı yıl önceki halini hatırlıyor musun?"""
Shannon,"""Evet. Çünkü o, nasıl desem, çok enerjikti. *giggle*."""
Ushiromiya George,"""Ben de dördümüzün altı yıl önce nasıl birlikte oyun oynadığımızı hatırlıyorum. Shannon o zamanlar hep abla gibi davranırdı."""
Ushiromiya Jessica,"""Evet, öyle. Sanki o zamanlar daha aklı başında gibiydi. Ahahahaha!"""
Shannon,"""O-...O zamanlar ben, umm, ......haddimi bilmiyordum, yani... Umm, tüm yanlış davranışlarım için özür dilemeliyim..."""
Ushiromiya George,"""......Bu profesyonel tavırlara hiç gerek yok. İşin bir yana, şu anda olduğu gibi mola verdiğinde, o zamanlar olduğu gibi hep birlikte arkadaşça davranabilirsek sevinirim."""
Ushiromiya Jessica,"""Evet, kesinlikle. ...Hizmetkâr Shannon'u görevde olmayan Sayo'dan ayrı tutmaman için hiçbir neden yok. ......Sen köle değilsin, sadece hizmetkâr olarak çalışıyorsun, değil mi?"""
Ushiromiya Jessica,""".........Shannon ben seni, ...hayır, Sayo'yu en eski arkadaşım olarak görüyorum."""
Shannon,"""............Çok teşekkür ederim, Leydim."""
,Shannon Jessica'nın sözlerinin altında ne yattığını anlamış gibiydi.{n}......Çünkü Jessica ve Kanon arasında neler yaşandığını ikisinden de az çok duymuştu.
Ushiromiya George,""".................."""
,Anlaşılan George da aşağı yukarı bu konuda bilgilendirilmişti.
,"George pencereye yaklaştı, ve kararan yağmurlu gökyüzüne baktı..."
Shannon,"""...Kanon-kun hala genç ve bence bazı açılardan olgun bir düşünce tarzına sahip olmak için biraz fazla çaba sarf ediyor."""
Ushiromiya Jessica,"""Uhh, hahahaha... Hadi ama, bırak şunu."""
Ushiromiya Jessica,"""Şey, umm, benim de hatam var, sanırım atmosferin beni içine çekmesine izin verdim... Ve, umm, ...belki de siz ikinizi gördükten sonra, umm, biraz kıskandım ve kendimi çaresiz hissetmeye başladım, biraz da bu yüzden olabilir..."""
Ushiromiya Jessica,"""......A-Ama beni boş ver. Daha da önemlisi, George nii-san ile senin nasıl gidiyor? Oldukça iyi gidiyor gibi görünüyor, ha? Eheheh!"""
Shannon,"""Err, ......Ben, ...bilemiyorum..."""
Ushiromiya George,"""Evet. Çok iyi gidiyor."""
,"Shannon ne diyeceğini şaşırmış, yüzü kıpkırmızı kesilmişken George parlak bir sesle ve hızlıca cevap verdi.{n}Bu kaygısız tavır, ilişkilerinin herkesi kıskandıracak kadar mükemmel ilerlediğini açıkça ortaya koyuyordu."
Ushiromiya Jessica,"""Tch, kıskandım. ......Bu, Shannon'un istifa edip yakında pasta keseceği anlamına mı geliyor?"""
Shannon,"""K-Kim bilir... Ben, umm......"""
Ushiromiya George,"""Kim bilir, değil mi? Acaba ne cevap verecek?"""
,"George takılıyormuş gibi güldü ve Shannon'a yaklaştı.{n}...Muhtemelen yalnız olduklarında genellikle böyle flört ediyorlardı.{n}Jessica sadece garip bir şekilde gülümseyip ""evet, evet, teşekkür ederim, bu kadar yeter"" diyebildi."
Ushiromiya George,"""Benim bir hayalim var. İş dünyasında çalıştığım alanın lideri olmak tek hedefim değil. Aynı zamanda hayatımı birlikte geçirebileceğim bir eşle birlikte bir aile kurma hayalim de var."""
Ushiromiya George,"""...En az iki çocuk istiyorum. Ve ailecek yapabileceğimiz bazı sporları yapmak istiyorum. Ve bunun dışında daha pek çok şey. Bu tür şeyleri Shannon'la sık sık konuşurum. .........Gerçi ne zaman bu tür şeylerden bahsetsem, Shannon hep güler ve aceleci davrandığımı söyler."""
Ushiromiya George,"""...Nedense, şu bulunduğum yaşta bile kendimi emekliliğimi ve yuva kurmayı düşünürken buluyorum. ......Sağlıklı yetişkin çocuklarım, ve etrafta koşuşturan torunlarım ile beraber. Son yıllarımı yavaş bir tempoda, bununla çevrili olarak ve Shannon'la sonsuza dek birlikte geçirmenin ne kadar güzel olacağı hakkında."""
Ushiromiya Jessica,"""Kesinlikle aceleci davranıyorsun. ......Ama, nasıl desem, George nii-san, tam senin isteyeceğin bir şey."""
Shannon,"""Öyle bir aileyle çevrili olmak muhtemelen harika olurdu. ......Gençken zihnimde çizdiğim ideal aile de böyleydi."""
,"...Bir sosyal yardım enstitüsünde büyümüş olan Shannon için, bu uyumlu aile imajı muhtemelen özlemini duyduğu bir şeydi."
,"......Ve onun bu dileğini muhakkak yerine getireceğine söz veren George, hayatını birlikte geçirmesi için kesinlikle uygun bir kişiydi..."
,"Shannon, Jessica için önemli bir arkadaştı. ......George da bu arkadaşının geleceğini emanet edebileceği en uygun kişiydi."
Ushiromiya Jessica,"""Hevesinizi kırmak istemem, ......ama Hideyoshi Amca bir yana, Eva Teyze ne olacak? Onu ikna etmek zor olmayacak mı?"""
Shannon,"""........................"""
Ushiromiya George,"""Ahahahaha. Böyle bir şey için kimsenin endişelenmesine gerek yok. ......Benim dışımda kimse eş seçimime karışamaz. Shannon'u mutlu edeceğim. Bunun için kimin iznine ihtiyacım var ki?"""
Ushiromiya Jessica,"""......Vay be. George nii-san, çok havalısın... Bu kadar utanç verici bir şeyi yüksek sesle söyleyebildiğine inanamıyorum. Eskiden böyle biri olmadığını düşünürdüm."""
Ushiromiya George,"""Sonuçta, bir çocuğu üç gün bırakırsan onu zor tanırsın. ......Ben bile büyüyorum. ...Shannon'u mutlu edebilecek uygun bir adam olmak için, çok ama çok daha fazla çalışmayı planlıyorum."""
,"George belki de ağzından çıkan kelimelerin ne kadar utanç verici olduğunun bir şekilde farkında gibiydi. Yüzü hafifçe kızardı, ve başını kaşıdı."
Shannon,"""............George-san."""
Ushiromiya George,"""Sorun yok. Annemin işleri zorlaştıracağından eminim, ama onu bana bırakabilirsin. Seni eşim olarak tüm aileye kabul ettirebileceğimi sana göstereceğim."""
Ushiromiya Jessica,"""Harika... Shannon seni kıskanıyorum gerçekten!"""
Shannon,"""......E-Eğer bu kadar ileri götüreceksen, .........o zaman ben, ben çok minnettarım..."""
Ushiromiya Jessica,"""Bekle bir saniye, ...burada fazlalık gibi hissetmeye başladım. Belki de gitsem daha iyi oluur?"""
,"Jessica garip bir şekilde gülümseyerek oturduğu yataktan kalktı, ve tam o anda telefon çaldı."
,Jessica ne istediklerini merak ederek ahizeyi kaldırmadan önce Shannon saate baktı ve şaşkına döndü. ......Verdiği molayı biraz fazla uzatmış gibi görünüyordu.
Shannon,"""Ben, ben özür dilerim...! İşe dönme vaktinin geldiğini unutmuşum...! İ-İzninizle...!"""
,Jessica'nın telefonu eline almasıyla eş zamanlı olarak Shannon da odadan dışarı fırlamak için harekete geçti.
Ushiromiya George,"""Ah, Shannon! .........Yine, aynı saat, aynı yer."""
Shannon,"""Ev-.........Evet. ...İ-İzninizle!"""
Ushiromiya Jessica,"""Merhaba, ben Jessica. .........Ah, Genji-san. Evet, Shannon şu anda oraya geliyor. Korkarım onu biz tuttuk. Lütfen onu azarlamayın. Evet, tamam."""
Ushiromiya George,"""Anladım. Neredeyse akşam yemeği vakti geldi demek."""
,Mutfaktaki tezgâhın üzerinde birçok tabak sıralanmıştı ve akşam yemeği için hazırlıklar düzenli bir şekilde devam ediyordu.
,......Orada sıralanan tabakların sayısı.........19'du.{n}Bu sayı her yıl aile konferansı sırasında dizilenden 1 fazlaydı.
Gohda Toshiro,"""Bunu kabul edemem...! Neden doğrudan ben götüremiyorum?!"""
,"Gohda-san, taşmakta olan tencereye aldırmadan Genji'ye öfkeleniyordu."
,"Efendi yemeğini çalışma odasında tek başına yemekten hoşlanır, bu sebeple yemek çalışma odasında servis edilmelidir. Elbette anlayacağınız üzere bu yeni bir şey değil."
,"Gohda-san, yemeklerine kalbini ve ruhunu kattığı için Efendi'nin sofrasını kendi elleriyle kurmayı gerçekten çok isterdi."
,"......Ancak Efendi, Altın Kartal armasını taşıyan hizmetkârlar dışında hiç kimsenin çalışma odasına giremeyeceğine dair katı bir kural koymuştu."
,".........Gohda-san, Efendi'yi çalışma odasının dışından selamlayabiliyor olsa da, bir kez olsun yemeklerini çalışma odasına taşıma şerefine erişememişti."
,Gohda-san bundan her zaman rahatsız olmuştu.{n}...Elbette burada hizmet verdiği yıllar açısından daha yeni olduğunu biliyordu.
,"Ancak, daha önceki işlerinden çok fazla deneyim biriktirmişti, ve Kinzo'nun önünde bile, ona saygısızlık etmeyecek şekilde davranabileceğinden kesinlikle emindi."
,"Yine de, sırf Altın Kartalı taşımasına izin verilmediği için, bu onur ona bahşedilmedi."
Kumasawa Chiyo,......Bu durumun onun gururuna ne kadar zarar verdiğini tahmin edebilirsiniz. Bu akşam da bunun tekrarlandığını zannedebilirsiniz ama durum öyle değildi.
Kumasawa Chiyo,"Çünkü bu gece, yemeğinin odasına taşınmasını isteyen Efendi'den başka bir kişi daha var."
Kumasawa Chiyo,"Görünüşe göre, bu kişi çok eşsiz ve önemli bir misafir, ve bu kişiye aile reisi olan Efendi ile aynı seviyede davranılması konusunda kesin bir emir var."
Kumasawa Chiyo,Gohda-san bu onur konuğuna kendi elleriyle hizmet ederek puan kazanmak istemiş olmalı.
Kumasawa Chiyo,"Çünkü o çok gururlu bir insan. Efendi'ye hizmet etmeye uygun değilse, en azından aynı seviyedeki bir konuğa hizmet etmek istemişti..."
Kumasawa Chiyo,"Öğle yemeği sırasında zaman ayıramadığı için Kanon-san onun yerine gitmişti. ...Dolayısıyla, bu akşamın—yılın en iyi—yemeğini bizzat kendisi servis etmeyi çok istiyordu."
Kumasawa Chiyo,Ancak Genji-san'ın bu konuda bir itirazı vardı.
Kumasawa Chiyo,......Gohda-san'ın Tek Kanatlı Kartal'a sahip olmamasıyla ilgili bir şey.
Kumasawa Chiyo,.........Uygun niteliklere sahip olmadığı için bir kez daha azarlandıktan sonra Gohda-san'ın sabrı tükenmişti.
Kumasawa Chiyo,"Ahh, ne kadar yürek parçalayıcı, Gohda-san..."
Kumasawa Chiyo,Gölgelerden izlemekten başka bir şey yapamıyorum...
Gohda Toshiro,"""Kumasawa-san, eğer oyalanacak kadar boş vaktin varsa, lütfen yemek salonunu hazırla. Masa örtüsü hazır mı?!"""
Kumasawa Chiyo,"""Hoh-hoh-hoh-ho... Oh, amanın, özür dilerim..."""
,"Azarlanma sırası ona geldiğinde, Kumasawa usulca salona doğru kayboldu."
Ronoue Genji,"""{f:5:Beatrice}-sama ve Efendi ile tamamen aynı seviyede. ......Efendi için uyduğumuz kurallara aynı şekilde uymalıyız."""
Ronoue Genji,"""......Gohda, dikkatini tamamen sana verilen göreve vereceksin, ve aile ile ilgileneceksin..."""
Gohda Toshiro,"""Eğer sen olsaydın sorun etmezdim Genji-san, ama böyle bir çocuğun böyle bir konuğa gönderilmesi gerçekten doğru mu? Eğer bir hata yaparsa, bu çok kaba bir davranış olur."""
Gohda Toshiro,"""Burada uzun süredir hizmet verdiklerini biliyorum, ancak düzgün bir çıraklık döneminden geçmiş sayılmazlar. Özgürce ifade etmem gerekirse, konukları ağırlamak için uygun donanıma sahip değiller!"""
Shannon,"""........................"""
,"Gohda, Shannon mutfakta bekliyor olmasına rağmen açık açık konuştu."
,"Shannon, Genji'nin yemeği {f:5:Beatrice}'in odasına taşımasını emrettiği kişiydi. ......Altın Kartal'a sahip olan hizmetkârlar arasındaki sıralama sistemine göre, Shannon gerçekten de ikinci en yüksek rütbeliydi."
,"...Eğer en yüksek rütbeli olan Genji, Kinzo'nun odasındaki sofrayı kurmaya giderse, {f:5:Beatrice}'in odasındaki sofrayı kurmak da Shannon'a düşerdi."
,"Gohda'nın gururu bu sıralama sistemiyle karşı karşıya kaldığında her zaman korkunç bir şekilde kırılıyordu. ...Böyle zamanlarda, Shannon ve Kanon hakkında açıkça ve kabaca konuşurdu."
,"Gohda, Shannon'un geçmişteki başarısızlıklarını birbiri ardına örnek göstermeye devam ederek onun yanlış, bunun yanlış olduğu konusunda yaygara koparıyordu."
,"Shannon utanç içinde başını öne eğerek bunları dinlerken, arkasından Kanon'un sesini duydu."
,"...Kanon mutfağın girişine yakın bir yerde, duvarın koridor tarafına yaslanmış, kör bir noktadan dinliyordu. ...Muhtemelen mutfağa girerse, kıvılcımların kendisine doğru uçuşmaya başlayacağını biliyordu."
Kanon,"""............Bırak söylensin. O berbat bir adam."""
Shannon,"""......A-Ama, bu birini nasıl ağırlamam gerektiği konusunda bir temel oluşturmama yardımcı oluyor. ......Gohda-san çok şey biliyor, bu yüzden söyleyecekleri de çok..."""
Kanon,"""Hmph. ......Nee-san, gerçekten fazla iyi yüreklisin."""
Shannon,"""......Daha önemlisi, ............VIP odasındaki konuk...gerçekten söylendiği gibi, {f:5:Beatrice}-sama mı?"""
Kanon,"""...Evet. .........Onunla öğle yemeğinde masasını hazırlamam için gönderildiğimde görüştüm. ...Hata yok—gerçekten de o."""
Shannon,"""Ge-Gerçekten mi? İyi mi peki?"""
Kanon,"""........................"""
,"Kanon, kendisinin ve Shannon'un {f:5:Beatrice} hakkında farklı izlenimlere sahip olduklarını hatırladı. Shannon'a göre, {f:5:Beatrice}, George ile ilişkisini yaratması için ona büyü bahşeden bir aşk tanrısıydı."
,"Yüzündeki mutlu ifadeye bakılırsa, ...George'la ilişkisinin nasıl ilerlediğini {f:5:Beatrice}'e bildirmek için sabırsızlanıyor gibiydi."
,"......Ancak, Kanon çoktan biliyordu.{n}O cadı buraya korkunç bir amaç için gelmişti."
,"......Geçmişte sadece onlar tarafından görülebilen o belirsiz cadı, şimdi ön kapıdan açıkça içeri girmişti, ve artık ona yemek götürebilecekleri kadar canlıydı."
,"...Geçmişte, Kanon'un önünden kaybolduğunda...{n}...cadı, kendi gücünün hâlâ ne kadar zayıf olduğu hakkında bir şeyler söylemişti."
,".........Şimdi cadı bu şekilde açıkça ortaya çıkabildiğine göre, bu nihayet eski gücüne döndüğü anlamına mı geliyordu?"
,Ve... .........Aşk tohumlarının başarısız olacağını bilerek ektiğini açıkça söylemişti.
,Ayrıca... .........Altın Diyar'ın kapısının aralanacağı günün nihayet geldiğini açıkça söylemişti.
Kanon,""".........Shannon. ...Efendi ile birlikte tuhaf bir ritüel gerçekleştirecek, ...ve kesinlikle hayal edilemeyecek kadar korkunç bir şey yapacak. ......Ve kimse buna karşı koyamaz."""
Shannon,"""Sen neden bahsediyorsun......?"""
Kanon,"""Buraya geldi çünkü...Efendi'nin istediği gibi, Altın Diyar'ın kapısı açılsın ve böylelikle her şey Altın Diyar'a geri döndürülsün istiyor. Bunu bana açıkça söyledi!"""
Shannon,"""................................."""
,"Geçmişte, ......Kinzo için çalışan mobilyalar olarak ikisine de Altın Diyar'a açılan kapının ne anlama geldiği söylenmişti."
,"Bu nedenle, Shannon tek bir soru bile sormadan, her şeyi anladı.{n}.........Böylece, ...derin bir umutsuzluğa kapıldı."
,...Shannon'un yüz ifadesinin kederden altüst olduğunu gören Kanon'un yüreği parçalandı...
Shannon,"""............Nasıl... .........Neden, ...neden şimdi............"""
Kanon,"""......Sana söylemedim mi? Biz mobilyayız! ......İnsan gibi davrandığın için, sevdiğin için, .........hizmetimizin bittiği günü boyun eğerek kabullenemiyorsun...!"""
Shannon,"""..................Bir zamanlar, bu günün gelmesini dilerdim. ......Ama o kadar zaman geçmesine rağmen hiç gelmedi... ......Mobilya olarak daha ne kadar eziyet çekeceğimizi bilmiyordum... .........O yüzden sandım ki. ...Kurtuluş gününün sonsuza kadar gelmeyeceğini sandım."""
Kanon,""".........Ben de öyle düşünmüştüm! Ama bir gün mutlaka geleceğine inandım! Bu yüzden mobilya olduğumu hiç unutmadım! Ama Nee-san, sen bunu unuttun!"""
Shannon,"""..................Bu......benim hatam, değil mi...... .........Benim......"""
Kanon,"""Evet, Nee-san bu senin hatan. ......Nee-san, eğer aşkı bilmeseydin... ......İkimiz de bu günün sonunda gelmiş olmasından mutluluk duyardık! Anlamsız bağlar kurdun!{n} Kesinlikle terk etmek zorunda kalacağın bir dünya olmasına rağmen!!"""
Shannon,"""...............Ritüel...bu gece mi başlayacak...?"""
Kanon,"""...Evet. ...............Ayrıca, bana bir şey daha söyledi. ...Bu gece, George-sama muhtemelen sana bir nişan yüzüğü verecek, Nee-san."""
Shannon,"""........................"""
,"Bu bir gerçekti. ......George bugün cebinde bir nişan yüzüğü ile gelmiş olmalı. ......Ve kesinlikle, bu gece verecekti."
Kanon,"""......Seni ve George-sama'yı ikinci alacakaranlığın kurbanları olarak kullanmayı planlayarak, sizi bir araya getirdi. ...Anlıyor musun? Nee-san, seni cezbederek senden faydalandı!"""
Shannon,"""............Demek böyleydi. ......Bunu hiç düşünmemiştim."""
Kanon,"""Ama bana söyledi. ...Eğer bu gece nişan yüzüğünü kabul etmezsen, seni kurban olarak seçmeyeceğine söz verdi. ............Bence Altın Diyar'a birlikte gidebilme şansımız çok az."""
Kanon,"""On üç kişi kurban edilecek. Sadece beş kişi hayatta kalacak. ...İkimizin de o grubun bir parçası olma şansı gerçekten çok düşük. ......Ancak, en azından bu vaatten faydalanabilirsen, bu ihtimal yükselir! Bu bahse girmek istiyorum!"""
Kanon,"""Kurtuluşumuz Altın Diyar'da. Eğer oraya kadar dayanabilirsek, insan olabiliriz. Ve Nee-san, seninle birlikte, bir insan olarak hayatımı sürdürmek istiyorum...! Eğer bunu yaparsak, belki de gerçek aşkı bile......elde edebiliriz!"""
Shannon,""".............................. ...Eskiden hep Altın Diyar'a gidebilmeyi hayal ederdik, değil mi? .........Oraya gidersek, her dileğimiz kabul olur. .........Bu acıdan kurtarılacağız. ............Buna inanmıştık."""
,"Ancak, bu ritüelde, sadece kaderin ve şansın seçtiği birkaç kişi, Altın Diyar'a davet edilecekti. ......Diğer herkes ritüel sırasında kurban olarak hayatını kaybedecekti."
,"Ancak geçmişte Shannon ve Kanon...Altın Diyar'a ulaşsalar da kurban edilseler de her şeyin aynı olacağını, çünkü her iki durumda da mobilya olarak görevlerinden serbest kalacaklarını düşünmüşlerdi."
,"......Yani kısacası, ritüel onlar gibi mobilyaların kesinlikle kurtuluşa ermelerini sağlayacak bir şeydi."
Kanon,"""Bundan hoşlanmadım. ......Seninle birlikte, çektiğimiz tüm acıları telafi etmek istiyorum. Kurban olmayacağım. Nee-san sen ve ben hayatta kalacağız. Ve Altın Diyar'a birlikte ulaşacağız."""
