Speaker,Turkish (TR)
Kanon,"""Leydim, lütfen, sakinleşin...!"""
Gohda Toshiro,"""Suçlunun kim olduğunu hâlâ bilmiyoruz! Ve {f:5:Beatrice}-sama, Efendi için çok önemli bir onur konuğu...!"""
Ushiromiya Jessica,"""Ne olmuş yani?!! Yakasına yapışırsak, kesinlikle suçunu itiraf edecektir!! Gözlerinin içine bakabilirsek, gerçeği anlarız!! Yalanlarına kanmayacağım!! Bir cadı mı?! {f:5:Beatrice} mi?!! Gerçek kimliğini ifşalayacağım!!"""
,"Jessica hiç durmadan koşmaya devam etti.{n}Gohda ve Kanon onu ikna etmek için ellerinden geleni yaparak peşinden koştular, ama Jessica onlara hiç kulak asmadı."
,"Sonunda, ""Cadı'nın VIP Odası"" görüş alanlarına girdi.{n}Bu VIP odası her zaman kapalı tutulurdu ve asla kullanılmazdı."
,"...Ne tür bir misafir gelirse gelsin, Kinzo kimsenin bu odayı kullanmasına izin vermezdi."
,"......Yine de, her zaman kullanılabilir durumda olabilmesi için hizmetkârlara bu odanın temizliği yaptırılırdı."
,"Bu yüzden hizmetkârlar, diğer formsuz efendilerine ithafen bu odaya ""Cadı'nın VIP Odası"" demeye başlamışlardı."
,"Jessica bunu biliyordu. Ve, o odada kalarak kendine cadı diyen kadının küstahlığına katlanamıyordu."
,"......Altın Cadı sadece bir peri masalıydı. Hadi ama, bir cadı mı?! Jessica'ya göre, o kadın ailesini vahşice öldüren bir katilden başka bir şey değildi!"
,"Onu sorgulayacağım, acılar içinde mazeret uydurmasını, acılar içinde yere tükürmesini, acılar içinde nefes almasını sağlayacağım."
,"...Ne kadar cadı numarası yaparsa yapsın, ona sadece kokuşmuş, terli bir {y:0:İnsan}{n:0:insan} olduğunu öğreteceğim!"
,Jessica tüm gücüyle bağırarak VIP odasının kapısına vurdu.
,"Kesinlikle tıklama denilecek bir ses değildi. ...Bu ses öfkesinin çekicinin vuruşuydu, sanki açılmazsa kapıyı kırmaya kararlıydı."
Ushiromiya Jessica,"""Aç şunu, {f:5:Beatrice}!! Çık dışarı!! Duyuyorsun, değil mi?! Aç kapıyı!!!"""
,"Cevap gelmedi. ...Jessica hiç çekinmeden kapı kolunu çevirdi, ama kilidin direncini hissetti."
,Jessica iki hizmetkâra döndü ve talepkâr bir tavırla konuştu.
Ushiromiya Jessica,"""Master anahtar bu kapıyı açıyor, değil mi?! Açın!!"""
Gohda Toshiro,"""Leydim...! Bu çok büyük bir kabalık olur...!!"""
,"Gohda tedirgin olmasına rağmen, yine de bir şekilde Jessica'nın öfkesini yatıştırmaya çalıştı."
,......Kanon bir süre sessizce başını öne eğdikten sonra ceketinin cebinden bir master anahtar çıkardı.
Gohda Toshiro,"""Kanon-san...! Emin misin?!"""
Kanon,"""......Eğer odadaysa bunun kabalık olacağının farkındayım. .........Ayrıca, ...eğer {f:5:Beatrice}-sama'nın bu işle bir ilgisi yoksa, ona inanabilmemiz için sadece kendini açıklaması gerek."""
Ushiromiya Jessica,"""Ev-......Evet, aynen öyle!! Ver şunu!"""
,"Jessica master anahtarı Kanon'un elinden kaptı, ve şiddetli bir şekilde anahtar deliğine soktu."
,"...Hemen, kilitten hafif bir ses duydu ve açıldığını hissetti."
,Ve izin bile almadan kapıyı savurarak açtı.
Ushiromiya Jessica,"""{f:5:Beatrice}!! Neredesin?! Çık dışarı!!"""
,Jessica kaba bir şekilde odaya daldı.{n}...Cadı odanın hiçbir yerinde görünmüyordu.
Ushiromiya Jessica,"""...Orospu!! Burada değil!! Hangi cehenneme gitti?!"""
Gohda Toshiro,""".........E-Evet, burada değil gibi görünüyor..."""
,"Jessica, kadının odanın içinde bir yerde saklanıyor olabileceğini düşünerek, perdelerin arkasına ve yatağın altına baktı, ama kimseyi bulamadı."
,"Ancak, kesinlikle yatağın kullanıldığına dair izler vardı, ......ve bunu söylemek garip bir yol olsa da, odadaki atmosfer biraz daha yumuşamıştı."
,"Kilise gibi, normal şartlar altında insanlardan yoksun bir yerin sert atmosferi değildi.{n}Birinin geceyi bu odada geçirdiği kesinlikle anlaşılıyordu."
,Ama ortalıkta yoktu.
,"Gerçekte, ne Jessica ne de Gohda henüz {f:5:Beatrice} ile karşılaşmamıştı."
,"...Sadece onunla karşılaşanlardan, portredeki kişinin tıpatıp aynısı olduğunu duymuşlardı."
,"...Bu yüzden, yüzünün gerçekte neye benzediği konusunda şüpheleri vardı."
,"...Ancak, Kanon onunla karşılaşmıştı. Ve o cadının nasıl bir varlık olduğunu, ......nasıl bir karaktere sahip olduğunu anlamıştı."
,"Bu yüzden, onu bulmak için buraya zorla girecek olurlarsa, işlerin planladıkları gibi gitmesine izin vermeyeceğini biliyordu."
,......Bir yerlerden boş yere çırpınışımızı izliyor ve bizimle alay ediyor olmalı. ......İşte o öyle biri.
,"Olaylara bu açıdan baktığı için, bir şey bulan ilk Kanon oldu. ...Diğer ikisi bir insan figürü bulmaya odaklandıkları için fark etmemişlerdi."
,"Yan masadaki su sürahisinin yanında duran bir kâğıt vardı. Kağıda, üzerindeki kısa mesaj ve muhtemelen bu mesajı yazmak için kullanılmış olan dolmakalem eşlik ediyordu..."
,"Kanon cadıyı anlamıştı. Altı cesedi buldukları, öfke içinde bu odaya zorla girdikleri ve onu bulamadıkları için cadı kesinlikle onlarla alay edecekti."
,"......Alay, kişiye iletilmediği sürece bir anlamı yoktur.{n}Yani dolayısıyla, ...bu kesinlikle...oydu...!"
Kanon,"""......Leydim. .........Buraya bir şey yazılmış."""
Ushiromiya Jessica,"""Yazılmış mı, ne?!"""
