Speaker,Turkish (TR)
{f:5:Beatrice},"""Peki o zaman, ...hoşuna gitti mi? Az önceki oyunumuz."""
{f:5:Bernkastel},"""......Tek taraflı bir oyun, sürükleyici olmaktan çıkar ve sıkıcı hale gelir."""
{f:5:Beatrice},"""*cackle*cackle*. Amanın, her zamanki gibi sert bir eleştiri. ......Can sıkıntısından hiç hoşlanmayan Leydi {f:5:Bernkastel}'in bile, bu zorlayıcı gelişmelerle tatmin olacağından o kadar emindim ki... Ne vicdansızlık."""
{f:5:Bernkastel},"""...Zorlayıcı olduğunu, ...kabul ediyorum. ...Ancak, adil bir oyun olma açısından korkunçtu. Koşulları biraz daha eşitlemen gerekiyor, ya da—"""
{f:5:Beatrice},"""......Bana kazanmanın bir yolu olmadığı mı söylenecek? Leydi {f:5:Bernkastel} tarafından mı? ......*cackle*cackle*."""
{f:5:Bernkastel},"""..................Bununla ne demek istediğini merak ediyorum, Beato."""
{f:5:Beatrice},"""Aptalı oynamaya gerek yok. Ben çoktan biliyorum. ...Senin {i:seyirci olmadığını}."""
{f:5:Bernkastel},"""................................."""
{f:5:Beatrice},"""Sakladığını mı sanıyordun? Sırf aleyhime bahse girmek için onca yolu kat edip senin olmayan bir bölgeye gelmek ne kadar küstahça. Buraya yenilgim için büyük bir bahse girmişken, oyunumu kenardan izlemeyi planlayarak geldin. Doğru tahmin ettim, değil mi...?"""
{f:5:Bernkastel},"""........................... Öyleyse nolmuş?"""
{f:5:Beatrice},"""......*cackle*cackle*! Gerçekten ilginç!"""
{f:5:Beatrice},"""Leydi {f:5:Lambdadelta}'yı yenen cadıların en güçlüsü Leydi {f:5:Bernkastel}'e karşı savaşma şansının bana verilmesi gerçekten büyük bir zevk!!"""
{f:5:Bernkastel},"""......Evet. Bu beni de memnun ediyor. Ne de olsa bunca yolu sırf seni o özgüvenle dolup taşarken görüp sonra da dağılmanı ve kaybetmeni istediğim için geldim."""
{f:5:Beatrice},"""Ne kadar da dürüst biri. *cackle*cackle*!!"""
{f:5:Beatrice},"""Yeri gelmişken, ben ve büyük Leydi {f:5:Bernkastel} arasındaki müsabakada,hiç değilse en azından bir gözlemci olmaması çok büyük bir kayıp olurdu."""
{f:5:Bernkastel},"""................................. ...Onu çağırdın, değil mi? O çocuğu."""
{f:5:Lambdadelta},"""Hoh‐hoh‐hoh‐hoh‐ho! Seni buldum, sonunda seni buldum, {f:5:Bernkastel}!!"""
{f:5:Bernkastel},"""............Nasılsın, Lambda? Anlaşılan senin de boş vaktin var. ...Can sıkıntısını hiç sevmeyen bizlerin, yeniden karşılaşmış olması kaderin bir oyunu mu acaba...?"""
{f:5:Lambdadelta},"""Ne aptal bir çocuk. Neden bana karşı kazanmanın tek nedeninin biraz şans ve pek de iyi olmayan bir eşleşmeden kaynaklandığını anlayamıyorsun? Bu seni çok kibirli yaptı, ve şimdi de {f:5:Beatrice} ile savaşmaya mı başladın? Haddini bilmen gerekmiyor mu?"""
{f:5:Lambdadelta},"""*giggle*, {f:5:Beatrice} güçlüdür. Ve benden daha da acımasız. Sadece birazcık!"""
{f:5:Lambdadelta},"""Ayrıca, birinin adını Lambda diye kısaltma!"""
{f:5:Bernkastel},""".........Beato, sen de bir aptalsın. Eğer bu çocuk senin oyununda olursa, her şeyi saçma bir maskaralığa çevirecek."""
{f:5:Beatrice},"""Leydi {f:5:Lambdadelta}'yı buraya sadece kenardan izlesin diye çağırmadım."""
{f:5:Beatrice},"""Senin bana karşı bahis oynadığını öğrendikten sonra, sana karşı bahis oynayacağını söyledi."""
{f:5:Bernkastel},"""..............................Hâlâ kin tutuyorsun, değil mi?"""
{f:5:Lambdadelta},"""Hoh‐hoh‐hoh‐ho!! Çünkü ben evrendeki en güçlü cadıyım. Ama sana karşı kaybettim, yani en güçlü ben değilim!"""
{f:5:Lambdadelta},"""Bu yüzden sana karşı olan herkesin tarafını tutuyoruuuum!!"""
{f:5:Beatrice},"""*cackle*cackle*! İşte hepsi bu. Büyük Leydi {f:5:Bernkastel} rakibimiz olduğu sürece, bu bir handikap bile sayılmayabilir, ancak eğlenceli olacaktır."""
{f:5:Bernkastel},"""...............İstediğinizi yapın. ...Artık konu açığa çıktığına göre, ciddileşmeye başlayacağım."""
{f:5:Beatrice},"""Bu uygun olur. ""Müsamaha"" benim sözlüğümde hiç yer almamıştır. *cackle*cackle*cackle*cackle*cackle*! Bayan {f:5:Lambdadelta}, değerli yeni birlikteliğimizin tadını çıkaralım."""
