Speaker,Umineko Project (UP)
Ronove,"""Good morning, Milady. My, my, you do appear to be in a good mood. What a pleasant awakening you seem to have had."""
{f:5:Beatrice},"""‘Pleasant awakening’...! I was so excited, I couldn't sleep a wink. After all, the curtain is rising on the oh‐so‐fun fourth game...!"""
,It seemed that she truly had been so excited that she hadn't gotten any sleep.
,"And yet she showed absolutely no signs of tiredness; was that due to her youth, or her low mental age?"
,"Ronove chose not to say that aloud, and laughed with a {nobreak:""pu ku ku""} instead."
{f:5:Beatrice},"""I really ran that Battler into the ground last time! Ah, that look of ""you tricked meee"" all over his face! He looked so pathetic! In any case, I do hope he's not still feeling down?"""
Ronove,"""Feeling down, you say...?"""
{f:5:Beatrice},"""Mm, well, how to put it. ...You know how he is a bit too sincere for his age?"""
Ronove,"""Indeed I do. Although one could call that his charm. Pu ku ku..."""
{f:5:Beatrice},"""*cackle*cackle*cackle*! You could, you certainly could! Well, speaking of that. You know how he completely fell for the thing I pulled the last time?"""
Ronove,"""Oh, yes, completely and splendidly. ...His pure, rosebud‐like innocence, arising from never once having been tricked by another since birth, you unreservedly violated."""
Ronove,"""............Even the joy of running around a field covered with beautiful new snow on a winter morning and trampling it utterly wouldn't even begin to compare."""
Ronove,"""You took Battler‐sama's innocent heart, Milady, and thrillingly, splendidly, atrociously, mercilessly, and in quite the uncultured manner, enough to make one think ""maybe I went a teensy little bit overboard...?"", you most assuredly perpetrated the very worst of atrocities against it."""
Ronove,"""I am quite sure most people {i:would} start to feel down. Pukkukukuku, so much so, that I doubt they would ever want to see your face again."""
{f:5:Beatrice},"""S‐so you understand...!"""
{f:5:Beatrice},"""I also, umm, considering that the fourth game is finally getting underway, I thought that it would be such a pain if he was so disheartened that he wouldn't join us at the table, and so, you see, I asked you first, thinking that it would be better to prepare a countermeasure beforehand...!"""
Ronove,"""Hmmmm... In that case, indeed, I do think you would be well served to prepare such a countermeasure. Most unfortunately, due to your ""North Wind and the Sun Strategy"", it appears that Battler‐sama has received quite a shock."""
{f:5:Beatrice},"""H‐hoh... ......A shock, you say... How badly...?"""
,"Beato lowered her voice slightly, asking timidly.{n}Ronove went along with that, and lowered his voice in the same way."
Ronove,"""......In truth, he has been curled into a ball clutching his knees for some time now. I called out to him several times, but he did not answer. I also carried him something to eat, but he does not appear to have touched it."""
{f:5:Beatrice},"""...Th‐that is...troublesome...... Is he really feeling that down......?"""
Ronove,"""Pukkukukuku. It is only natural. ...After all, you {nobreak:com‐pre‐hensively} destroyed him, Milady. That would turn most anyone into a misanthrope."""
{f:5:Beatrice},"""Hoh, distrust of {y:0:Human}{n:0:human}s? How convenient! Let him give up on {y:0:Human}{n:0:human}s and trust witches, wahahaha... ...............O‐...oh, *cough*. Sorry, I took it too far."""
,"Beato had tried to joke about it, but it seemed that the situation was quite serious, and after picking up on this, she hid her laughter."
{f:5:Beatrice},"""......Is it really that serious...? Sh‐should we wait just a little longer before beginning the fourth game...?"""
