Speaker,Umineko Project (UP)
,The world whitened......
,"It wasn't ""white"". ...It was the blindingly bright color of gold."
,That place......was the beautiful Ushiromiya family rose garden.
,"However, the roses were all gold."
,......The nectar was also golden. The butterflies gathering there were gold as well.
,............This is...the Golden Land............
,The promised land that the witches of Mariage Sorcière would ultimately be guided to...
,"There, all wishes come true, and all magic and dreams come into being."
,"............In that garden of gold roses...............were two, and only two, witches."
,"At my uninvited appearance, the atmosphere trembled with unrest."
,.........What was to them an ominous wind shook the golden roses.
,"The incredibly beautiful scene formed by the golden rose petals scattering in the wind...was, without a doubt, something not of this world......"
,The two who had been taking a walk through the golden roses noticed me and reacted in surprise.
Ushiromiya Maria,"""......Ange......? .........Beato, it's Ange......!!"""
{f:5:Beatrice},"""...............How did you get here...? .........Leave us alone. I no longer invite anyone here."""
,Beato spoke coldly. .........She seemed like a completely different person from the boldly sneering woman she had once been.
,"She had closed off her heart, and shut herself up in a world where she was alone with Maria onee‐chan."
,"A world where she could always be alone with friendly Maria onee‐chan, conversing about magic while drinking tea."
,"......No one to hurry them, and nothing to hold them back."
,A world where not a single person who might hurt them existed.
,"Yes, to the two of them, that was a small and complete universe......"
Ushiromiya Ange,""".........Sorry. ......I can't have you shutting yourself up in here. .........The game won't move on unless you come back."""
{f:5:Beatrice},"""I said I was tired of it and I'm done with it. I will not return to the game anymore."""
Ushiromiya Maria,"""...............Beato is going to be here all the time with me. We'll drink tea here together, and think of lots of ways to play...! You can play with us too, Ange."""
{f:5:Beatrice},"""......{f:5:Maria}. We decided against that. As long as I have you, I am satisfied. Tell me that you too are satisfied as long as you have me."""
Ushiromiya Maria,"""..................... ......Yeah. ......Thank you. The only person who needs me that much is you, Beato. So I'll be with you. Just us is enough."""
{f:5:Beatrice},""".........{f:5:Maria}...... ......Thank you...... ............I am grateful........."""
,"Beato held Maria tight, even creating a small, warm universe within their joined arms..."
,".........It was probably the birth of the smallest universe in the world.{n}...The smallest universe in the world, which a pair who needed each other could create..."
,"No matter how small it was, that world was complete.{n}............But I have to tear it apart.{n}....................."
Ushiromiya Ange,"""......Sorry, .........but I can't let things be that way. I came to smash this Golden Land of Mariage Sorcière."""
{f:5:Beatrice},"""............Why......would you break......my world.........? Wh‐who has this world inconvenienced, outside Maria and myself......?!"""
Ushiromiya Ange,"""This game that you started, and then walked away from without finishing, is keeping Onii‐chan waiting forever! If you don't return to your seat, the match will never end...!!"""
{f:5:Beatrice},""".........Hahahahaha...ha...! There is no longer even a single player in that game. Battler vanished, and I came here and vanished as well. That game is already over."""
Ushiromiya Ange,"""It is not over! You started that game, didn't you?!! Take proper responsibility and see it through to the very end!"""
Ushiromiya Ange,"""Either defeat Battler, and give birth to the world you truly wished for, or be defeated and release everything swallowed up by your magic!! Take responsibility until the very end!!"""
Ushiromiya Maria,"""...............Don't, Ange. Beato will spend her time in this world with me, just the two of us together for eternity. ......And I don't need anything else either, as long as I have Beato. ......All wishes come true here. Everything is here."""
,............This Golden Land is made up of nothing more than the crystallization of Maria onee‐chan and {f:5:Beatrice}'s thoughts and feelings.
